start,end,text
480,8800," Hello and welcome to another sorting session. How about that? How about that? Today I wanted to do"
8800,14320," the same thing that I did yesterday. I want to continue developing my text editor. Right,"
14320,19840," so you can find the source code of this text editor in the description. And in the previous"
19840,27200," episode we actually implemented a very interesting thing. We made the text editor a little bit more"
27200,34320," dramatic than it initially was. Let me show you. Which gave me actually a couple of interesting ideas."
34320,39920," So I think we already merged everything. Right, so I'm going to check out the master."
39920,51280," I'm going to check out the master. Prune origin and git merge origin master. So is it not master?"
51280,56720," Okay, so there we go. Here is a master. And then I can remove the scroll. So let's rebuild everything."
57200,64800," Hello, 715209. Hello, hello. I hope your numbers don't mean anything bad. Otherwise,"
64800,72160," I will have to ban you. But welcome to our friendly Twitch channel. So this is basically what we"
72160,78880," implemented yesterday. So yeah, we have a text editor, which is extremely dramatic, as you can see."
78880,85840," Right, so as basically we have a camera that follows the cursor, which makes the entire typing experience"
85840,96080," extremely dramatic. So yeah, and it's kind of cool actually. Hello world. Right, so and then here."
96080,99920," And it's also a little bit dizzying, so we're definitely going to fix that. But yeah."
101920,108240," And I can also open the source code of the text editor itself. Right. So this is how the source code"
108240,114480," looks like. What's interesting is that we're not even doing any optimizations, right? We're not like"
114480,121440," calling, cooling. I think, how does that call call? The word, you know, C-U-L-L. I keep forgetting"
121440,125920," how it's supposed to pronounce this word. We're not like removing things that are outside of the screen or"
125920,132560," or stuff like that. We're just rendering everything at once and it just kind of works. Maybe SDL is doing"
132560,140080," something special in here. And so yeah, it's kind of it's kind of interesting. So since like once I"
140080,146000," implemented that, that gave me an interesting idea. What if we continue the topic, the theme,"
146000,151680," I would even say of these like dramatic effects in the editor. Right. So there will be a lot of like"
151680,158560," zooming and panning and stuff like that. Maybe a little bit of like effects particles and so on and"
158560,166400," so forth. And if we want to continue that theme, I think we'll need to port our renderer from pure SDL"
166400,173280," to OpenGL. Right. So and that's what I wanted to dedicate to this stream to. I want to dedicate this"
173280,179520," entire stream of just taking this, you know, renderer and implementing our own renderer in OpenGL."
180160,184400," So yeah, shouldn't be difficult because I implemented similar renderers before."
184400,189040," So yeah, I have a little bit of experience on that."
189040,197600," Let's go ahead and do that, I suppose. Hello, Draco. Hello, Monaswami. Hello, hello."
197600,205200," Explosions. Yeah, maybe. I think people already did something like that before with like Visual Studio"
205200,211600," Code and I think Visual Studio Code kind of uses OpenGL for like WebGL for some cases. I don't know."
211600,217680," So but it's not as dramatic as this stuff. Right. So look at this. Look at this camera movement."
217680,221200," I think it's pretty cool. All right."
223760,226160," Okay, so let's go ahead and implement that. I suppose."
226160,235360," OpenGL renderer."
235360,244720," So SRC. So I think I'm going to start OpenGL renderer in a separate main function. So basically,"
244720,250000," I'm going to command out the current main function just by renaming to something that is not main. And I'm"
250000,257440," going to start another one in here. So it's going to be arc C, char, arc V. And we're going to just"
257440,265600," basically start from scratch, but initializing OpenGL, preparing the, you know, vertex buffer objects,"
265600,271280," the vertex array objects, and so on and so forth. And yeah, so that's basically going to be the drill."
271280,274720," Deep singularity. Hello. How are you doing? Hi, hi. Hi, hi, hi."
276640,283520," Okay, guys. So I think I'm going to keep using SDL. I'm going to use SDL as basically OpenGL initializer."
283520,295200," And we'll see how it goes. So yeah, we're going to initialize the SDL. To be fair,"
295200,302400," I don't remember how to use SDL as an OpenGL initializer. Maybe I can steal some code from my game."
303040,309200," Uh, but it's the game is written in C++, but I think it shouldn't be that shouldn't be that hard to do."
309200,318320," Uh, so where is main CPP? There we go. Here it is. Uh, yep, yep, yep. So we're just initializing,"
318320,325600," uh, the SDL. We're creating the window and instead of, um, creating a renderer, right? We set up, uh, OpenGL,"
325600,332560," like attributes and, uh, then create the OpenGL context. We also initialize glue for additional"
332560,338880," extensions and stuff like that. Uh, and then prepare like a blend function and so on and so forth. Okay."
338880,344080," Looks reasonable. Looks reasonable so far. So maybe this is precisely what we're going to do in here."
344080,352880," So SDL init video, uh, check the code, uh, and then I'm going to actually create the window."
