start,end,text
640,7280," Looks like we're live. Hello everyone and welcome to yet another recreational programming session"
7280,13120," with Amista Zozin. Let's make a little bit of an announcement and officially start the stream."
13120,20640," So RedCircle live on Twitch and what are we doing today on twitch.at television website?"
20640,27440," Today chat is dedosing me as a program in Rust, right? So I'm gonna give the link to where we're"
27440,33040," doing all that twitch.tv/todding and I'm gonna ping everyone who's interested in being pinged and"
33040,38960," there we go the stream has officially started. The stream has officially started. So today we're gonna"
38960,44080," continue developing for @ which is a simple chat application that we started to develop like a"
44080,50320," couple of streams ago actually. Right so you can find the the source code in the chat and for people"
50320,54720," on youtube it's going to be in the description. Hopefully it's going to be there. So on the previous"
54720,57920," stream we actually rewrote the entire thing in Rust."
57920,67280," We literally performed re-write it in Rust meme right on the stream and I believe we actually"
67280,73040," recreated the entire functionality of the chat. We can take a look at how it looks like. So essentially"
73040,78640," here you have a server right so as you can see we started the server. Then we can open up a bunch of"
78640,85120," clients right so and I'm going to split the screen like that so we're going to do telnet"
85120,95360," 20s1001 6969. This is the first client right so might as well even do something epic and use TeamUX"
95360,101840," capabilities of copy pasting things and put this thing in here and now I have two chat applications that"
101840,108160," can uh communicate with you with each other right so as you can see they can see each other messages and"
108160,113360," stuff like that so if you disconnect as you can see all of that is detected appropriately and stuff like"
113360,119200," that you can even try to de-dos that uh right so basic send a lot of meaningless and you will be"
119200,126320," automatically banned because we detect that as well uh right so we can uh take cat div u random and we"
127040,134880," we're going to redirect it to nc and 27001 6969 and as you can see uh it got automatically detected and you"
134880,141920," got banned you got banned and if you try to connect uh it will tell you that you cannot connect for like"
141920,149840," 10 minutes right so this is basically the timeout uh this is basically the timeout so uh and it seems to"
149840,156480," be working we haven't battle tested it yet uh because at the time i was not sure how to filter out the"
156480,162480," escape sequences luckily uh people on our discord server actually helped me out and suggested a"
162480,168720," pretty cool way of uh filtering out the escape sequences you can basically uh filter out all of"
168720,175360," the characters that are less than 32 right and automatically you would uh filter out all the escape"
175360,181840," sequences and you won't basically kill um you know the correct utf encoding so utf encoding is going"
181840,186400," to be preserved though you also kind of kill the new lines which are useful sometimes"
186400,192320," what we actually append new lines when we broadcast the message to everyone uh right when we broadcast"
192320,199360," the message to everyone uh so this application theoretically should work worse than the go one"
199360,203760," right so the go application is still available in the source code so there's a folder like legacy go"
203760,207840," version in case you still need it right it's going to be there it's going to be theoretically perform"
207840,216320," worse than the go version because rust uses the real threats not a lightweight green threats so as"
216320,220560," essentially it's going to create a thread per connection it's going to create a thread per"
220560,226640," connection and uh what i'm thinking maybe it's not that big of a deal right so the way you get the"
226640,236160," amount of threats you can create on uh linux right so let's actually see uh how to get the amount of"
236720,244560," the maximum threats uh limit on linux and let's actually go to google right i think it will be"
244560,251280," able to tell me uh so there is a file in here right so there is a very interesting file proxies kernel"
251280,258080," threads max right so in essentially it's a text file if you go ahead and simply cut it it tells you how"
258080,264800," many threads you can create so on my machine i can create like 60 60 000 threads right so 60 000 threads we can"
264800,270080," ssh to your mom right and it's a vps server right it's a vps server and if you take a look at how"
270080,277520," many uh threads you can perform on there it's actually two million threads and like yesterday was three"
277520,283440," million i don't really know how exactly they set it up or how it is configured but maybe this amount of"
283440,291760," threats is going to be enough for everybody maybe it is going to be enough i'm not 100 sure right i'm not"
291760,296960," any procedure but we can just go ahead and test it out with this thing so let's just go ahead and test"
296960,304720," it out uh i'm going to like i already uh git cloned the application on my server right so as you can see"
304720,311360," uh i can uh try to build it up so i already have a rust compiler and everything actually using git repo is"
311360,318640," very convenient in a sense that uh i can just push some changes and then i can ssh to the server and just pull"
318640,324320," them from from github right so those very conveniently updating everything i think that's actually pretty"
324320,330800," cool uh i think that's actually pretty cool so here is the server but to be fair i would like to actually"
330800,336000," compile this entire thing in a safe mode right so let's actually compile all that in a safe mode so we"
336000,342400," do not accidentally leak any sensitive information uh i try to screen as much as information as possible"
343040,350960," uh right and uh so let's go ahead and rebuild this entire thing so essentially do you guys remember"
350960,357040," the ip of the server do you guys remember the ip of the server so i can give you the ip if you guys"
357040,367520," forgot the ip so it's going to be actually in ssh config so i do have the ip in here the leaked ip"
367520,374000," so this is the ip the port is 69 69 right so remember that remember that i'm going to start"
374000,380160," it and try to basically connect there and type something in there so if you're going to try to"
380160,386080," type something tos unfriendly we're printing only the ascii codes of the characters so it's not going to be"
386080,392080," obviously visible on the screen so yeah people are connecting"
392080,399600," all right and we're also figuring out escape sequences right so that should be fine"
399600,406480," i'm going to try to uh do that as well i'm going to try to tell net to this thing and see what people"
406480,408800," are writing hello"
408800,413760," so"
413760,420880," all right i can see some stuff i can actually see some stuff and it seems to be performing well"
420880,422880," seems to be performing well enough"
422880,433280," uh so people are trying to what the is like uh okay so let me let me kill this entire thing uh just a"
433280,439600," second what the people are opening that in the browser yet again right so or trying to establish"
439600,444160," ssh connection you don't have to establish ssh connection or anything what the is things"
444160,451440," uh all right so god is coming in two minutes this is already like the second time i see somebody"
451440,457760," actually writing that uh right so this is already like a second time i see somebody writing that"
458560,464400," all right so some people got banned by the way some people straight up got banned so the band system"
464400,470640," automatically working and everything so everything seems to be working right so i i don't know how"
470640,474320," well it performs compared to go but i think it performs all right"
474320,478880," so um yeah"
478880,486480," okay so essentially one of the problems that i have with this entire system is that it is basically"
487280,492640," uh exposed to everyone right it's a little bit of a problem right it's a little bit of a problem"
492640,500320," so essentially i want this system to be exposed only to people that i trust uh luckily there is"
500320,506400," quite a few of such people right so there is quite a few of such people so the idea i came up with the"
506400,512000," idea i've came up with let's introduce for now at least at least for now so later we're going to have"
512000,518480," something better hopefully uh introduce uh authentication token so essentially when you"
518480,526640," start up the server the server generates a random token and you can only uh connect to the uh to the"
526640,533200," server and start chatting after you provided that secret token that uh only the trusted people know"
534080,541840," how can we uh tell that token only to trusted people uh right so i came up with the following"
541840,548160," idea we're going to do that through discord right uh on the discord discord is actually um it's readable"
548160,555840," for everyone uh but it's writable only for people who are subbed or the 90 through patreon or like manually"
555840,562000," trusted right so essentially i created the channel that only the people who have the voice on the"
562000,568560," server can see and every time we start the judo session and with every time we started the session"
568560,575440," i'm going to be posting that token that one time talking in this channel so only people who can write"
575440,580880," into the server can actually see that token and can actually connect to the server so it all that is"
580880,588080," going to be uh all of that is going to be uh over unsecured connection over the plain socket connection"
588080,594240," so it could be probably potentially spoofed but it's a temporary solution right it's a temporary solution"
594240,602000," until we introduced encryption right so uh after we um introduced this sort of token authentication"
602800,611040," right people instantly said uh time to man in the middle right so uh and of course the token can be"
611040,616800," leaked sure but we're going to generate a new token every time we start the ddos session like every time"
616800,620880," uh we start a new thing it's going to be a new token and every time i'm going to be posting it there"
620880,624960," so that's going to be basically the idea so it's not going to be a permanent token it's going to be"
624960,627600," constantly changing it's going to be constantly changing"
627600,636880," sounds good sounds gucci sounds tabangucci and in that case i will be a little bit more comfortable"
636880,643840," with sharing the full log of the chat because i know only the people who have a special role in here"
643840,649440," can write something there so we can minimize over tos and friendly messages on the screen so that will"
650000,654960," will be a little bit easier for me so i think it's a pretty good solution right more or less it's not"
654960,660880," perfect but it's more of a good solution so let's go ahead and do that let's go ahead and do that chat"
660880,668720," so do you know what that means do you know what that means we need to be able to generate random numbers in rust"
672080,682000," and here's the thing rust the standard library of rust the standard library of rust doesn't have a random"
682000,690480," number generator because you it's unsafe right so um yeah you you have to use crate like there is no other"
690480,698880," way to generate random numbers in rust except using crates and like cargo and stuff like that and i'm very"
698880,705520," much uh i call myself like a spartan software developer i like to use just like a bare compiler"
705520,710160," without package managers and stuff like that with minimal dependencies but in rust i'm kind of forced"
710160,715200," to use cargo but we're going to be using cargo nonetheless because we will need an encryption"
715200,721280," right we'll need an encryption and for the encryption luckily by the way in case of encryption in rust there"
721280,728640," is such thing as a rust tls right so it's a basically open ssh alternative it's a tls library but it's"
728640,735920," implemented 100 percent in rust 100 percent in a safe rust as far as i know there's no single unsafe"
735920,742880," keyword in there right it's fully implemented in in a safe rust um right which doesn't really mean much"
742880,748400," right because you can have unsafe like a memory safe buffer overflows but that's besides the point"
748400,754000," so uh yes so yes so yes so we're probably going to be using that and we're probably going to be"
754000,759760," um you know introducing that as a dependency we're going to be introducing that as a dependence"
759760,766640," uh so yeah so what we need to do in here we need to transform our application into"
768640,774720," uh into crate project right so into crate project so if i try to maybe one of the things i'm going"
774720,779600," to do i'm going to create the src folder right and we're going to put the server right the server in"
779600,787760," here into here so there's one problem with turning that into a crate project the the name of the project"
787760,796480," itself starts with four yikes so if you try to do cargo in it you're going to be slapped in the face right"
796480,804400," away so yeah you cannot uh this name cannot be used as a package name the name cannot start with a digit"
804400,810560," if you need the package name and to not match the directory name uh consider using name blah blah blah"
810560,821280," right so yeah that's a little bit of a problem um so one of the probably solutions that people were"
821280,828640," suggesting is to basically rename the project into hat i think i saw that in a in the youtube comments"
828640,836000," right instead of uh for at uh call it hat and the reason why we call it for it in the first place is"
836000,844880," because chat in cyrillic looks like this so and essentially you can say that age is sort of like upside down"
844880,850160," and flipped check um can you just use cyrillic"
850160,858400," it's a good question i can try uh so i literally gonna call it like that"
858400,862640," well i mean it's already inconvenient because every time like at least for me"
862640,870240," at least for me it's already super inconvenient because i have to switch between cyrillic and uh latin all the time"
871680,879120," uh and if i try to do cargo in it uh right contains non-ascii characters non-ascii create names are not"
879120,885280," supported by rust which is kind of surprising to be fair knowing the rust community i would expect them"
885280,891120," to support them at least for emojis in the names of the packages"
891120,904800," i am actually surprised why rust rust developers why don't you support uh utf8 in the in the package"
904800,912080," names right so you could have like a i don't know a joy crying emoji as a package name wouldn't that be cool"
912880,920560," or flushed as a package name i don't know such such a missed opportunity such a missed opportunity"
920560,925600," okay so this is a cargo tomal uh so one of the things right so people were suggesting to call"
925600,932480," this entire thing hat uh right so let's maybe literally rename this entire thing to hat right"
932480,937440," so let's go ahead and rename this entire thing to hat uh right and i don't want to use cyrillic again"
937440,942880," because it's not only can inconvenient for people who don't have cyrillic key uh keyboard it's"
942880,947520," inconvenient for me because i have to constantly switch the layout right so i have two layouts"
947520,953440," simultaneously uh right so now to rename i have to switch layout then type it out and switch it again"
953440,959520," which is really annoying all right so i don't want to be able to do that all the time so i think uh cargo"
959520,966960," also created let's actually remove everything that carpet created uh so and let me see so i think in"
966960,974240," yeah so it created hello world i think in src uh yeah this one so for some reason it created hello world"
974240,980800," right but i mean they're trying to be uh you know user friendly or something cargo in it right so we have a"
980800,988080," hat and hat is probably already taken um so i mean we need we need some sort of a name we need some sort"
988080,997040," of a name uh naming thing is really hard right um so so what's the name of the you know random number"
997040,1006720," generator package in rust is it just random uh i don't quite remember so i remember that rust tls itself"
1006720,1014080," it kind of depends on random right because it's a cryptographical thing uh right so it is in fact a"
1014080,1020240," cryptographical thing maybe it's somewhere in its transitive dependencies so let's actually go ahead"
1020240,1028240," and just cargo add a rust tls and see what kind of stuff we can have in there right so cargo tree so"
1028240,1033760," we have in here so you can't build the tree without downloading all of these things okay there is a get"
1033760,1041120," random i can see that um i can see that um i can see that there is a get random so is that a good package"
1041120,1047040," is that a good uh random package for for rust i don't quite i don't really know creates io"
1047040,1052960," so get random"
1057680,1066080," get random okay so a rust library for returning random data from operating system sources it is"
1066080,1072000," assumed that the system always provides high quality cryptographically secure random data ideally backed"
1072000,1077520," by hardware entropy sources this crate derives its name from linux get random function but is cross"
1077520,1085920," platform roughly supporting the same set of platforms as rust std lip uh so it's like a it's a you know"
1085920,1093280," cryptographical quality source of entropy apparently um so yeah that's pretty cool"
1093280,1099280," let's go ahead and just do cargo add get random"
1099280,1103360," get random"
1103360,1112400," uh so let me okay so something something weird is going on i need to yeah because i renamed the folder now"
1113600,1119360," so uh i have to do it like that so here is the get random uh what i'm thinking is that it probably"
1119360,1125440," makes sense to just go ahead and generate some docs right so i think it's going to be convenient"
1125440,1130880," uh we're going to be trying to study get random through the docs"
1134320,1139120," might want to check out that ring package to see all that safe 100 trust that rust taylor said it has"
1139120,1139440," itself"
1139440,1147040," it's actually very interesting maybe i should do that um so while it's installing things"
1147040,1155440," and building things ring safe fast well i mean they already say that it's safe and it's fast so why"
1155440,1159360," why would you not believe them why would you not believe them why would you not believe them so"
1159360,1163200," it had a repository right so here is the repository"
1166800,1178560," so we're gonna just search for unsafe"
1178560,1187360," are they literally calling to open ssl this vast ls literally depends on"
1187360,1194320," what why are they calling to open ssl if that's supposed to be dropping replacement of open ssl i don't"
1194320,1200320," quite understand what this is going on maybe it's something else maybe um okay"
1200320,1211840," so i see very cool i mean it's not our problem if it's if it's third party dependency right so"
1211840,1218080," third party dependencies are safe and free all the time uh so did it open the the shy set i think"
1218080,1223920," yeah i think it did that's what it did in here so where is my get random motherfucker okay"
1223920,1229680," interface to operating system random number generator so linux uses get random on different"
1229680,1236320," operating system blah blah blah but how do you use this big so there is a function called get"
1236320,1243440," random so you basically take the destination right so fill desk with random bytes from the system"
1243440,1248000," preferred random number source this function returns an error on any failure including"
1248720,1255360," partial reads we make no guarantees regarding the contents of desk on error if this is empty get random"
1255360,1260320," immediately returns success making no calls to the underlying operating system huh"
1260320,1267920," well i mean yeah you should not expect anything on there i suppose"
1270000,1276160," so blocking is possible at least during the early boot c uh module uh documentation okay that seems to be"
1276160,1282320," pretty straightforward uh i don't really see anything particularly difficult or special or anything just"
1282320,1291680," like you go ahead and use that right so just go ahead and use that so use get uh random get random"
1291680,1300240," so this is a single function and get random and maybe we're gonna just have a token so it's gonna be"
1300240,1306560," mutable token right so let's say that it's gonna be a token and how many uh things we want to put in there"
1306560,1311920," like 32 bytes talking is gonna be enough for everyone i'm pretty sure right so it's gonna be enough for"
1311920,1320800," everyone so this is gonna be 32 and let's just do get random and afterwards we can simply print uh this"
1320800,1327040," entire thing so we're gonna print it like in debug mode right we're gonna print in debug mode and just"
