start,end,text
400,6800," looks like we're live hello everyone and welcome to yet another azuzin session hello hello welcome"
6800,12720," welcome welcome uh let's make a little bit of an announcement and officially start the stream how"
12720,21760," about that so uh the usual red circle live on twitch and what are we doing today on twitch.at"
21760,30720," television website today we're doing neural neural networks with array lib visualization right that's"
30720,39520," what we're doing today i'm gonna give the link to twitch.tv https twitch oh my god can't type today"
39520,45920," twitch.tv/todding and also i'm gonna ping everyone who's interested in being pink and there we go"
45920,52560," the stream has officially started the stream has officially started so what are we doing uh today"
52560,59840," essentially today we continue developing nn.h which is a simple stb style header only library for neural"
59840,64400," networks we've been developing it for quite some time uh i really enjoy developing it because i'm"
64400,69680," learning a lot of interesting things i'm going to give the link to this thing here in the chat and for"
69680,75680," people who's watching that on youtube it's going to be here in the description right so uh what we were"
75680,80000," doing on the previous stream on the previous stream we were trying to implement like a very simple"
80000,89520," visualization of uh how the neural network learns essentially uh we would uh visualize the uh the"
89520,95840," neurons and the connections and color them differently depending on their strength right so uh let's"
95840,102240," actually take a look at how it looks like right so what we implemented we implemented a simple adder"
102240,105440," uh as a neural network so i don't remember how big it is so it"
105440,110880," it it can actually add only four bit uh two four bit numbers that's what it can do"
110880,119280," uh right and essentially while it was learning to do that uh we were taking snapshots of the state"
119280,124080," of the neural network right so if we take a look at one single snapshot so i think we can start at zero"
124080,129280," zero zero zero and let me actually make a black uh background so this is how the neural network"
129280,136160," initially looked like right it has eight uh sort of inputs right so two hidden layers and uh actually two"
136160,143520," outputs uh right so this is how it looks like and essentially what we can do now we can try to display"
143520,150400," all of the uh all of the images and just go through these snapshots of the uh of the neural network and"
150400,157360," how it learns so here we have 50 snapshots and i think it doesn't really happen like do anything until"
157360,164960," like snapshot 13 uh or something like four yeah so on 15th snapshot it sort of jumps and learns really"
164960,171040," quickly and basically continues learning uh kind of from from them and sort of as you can see it keeps"
171040,177600," adjusting the things uh right so here i'm going backwards right so this is the sort of initial state"
177600,183680," and then i go forwards and this is how it's sort of adjusting its uh weights and biases until it learns"
183680,190320," how to add uh four bit integers so that's pretty cool visualization it's actually kind of cool to see"
190320,196480," how uh right it's just jumps to a particular configuration and then continues like adjusting"
196480,202640," weights and biases so that's actually pretty cool and uh this is not particularly a convenient way of"
203360,208240," looking at the visualization if you know what i mean right so what i initially wanted to do i"
208240,214400," wanted this thing to be actually like a gui style thing so essentially i would start the application"
214400,220320," it would open a window and show me the process in real time it will show me how this thing learns"
220320,229360," in real time right so and this is what i wanted to essentially dedicate today's stream for uh two actually"
229360,234480," i'm sorry i don't speak english uh right and uh to do that we'll need to use some sort of a graphical"
234480,239600," library and i was thinking what kind of library do i want to use initially i wanted to use sdl but sdl"
239600,246960," is kind of an ass when it comes to like shapes that are more complex than a rectangle so if you want"
246960,254240," to draw anything that is more complex than rectangle you just use sdl as a glorified open gl initializer"
254240,261120," right so and what i decided to do today i decided to give arraylib another try i already used raylib"
261120,266640," uh some time ago just like checked it out on the stream but didn't really do anything useful for"
266640,272960," myself in uh this library so i decided to give it another try and see how we can utilize it for"
272960,280080," visualization of the neural network learning process right if you know what i mean so i'm going to give"
280080,285200," the link to this library in here right so uh here you can find it and also for people who's watching"
285200,291760," on youtube it's going to be in the description as well so uh let's go i suppose let's go i think some"
291760,298000," people subscribed so let me quickly acknowledge the subs uh let me click on the subs so the big"
298000,303760," uh the big big guy one thank you so much for tier one subscription it was four days ago but i mean the"
303760,309680," twitch shows me that so i might as well acknowledge that tverskaya thank you so much for tier one"
309680,317680," subscription thank you thank you thank you and shy uh resubscribe with tier one um with a message oi"
317680,323120," um oh indeed thank you thank you so much for for resubscription marcio netto thank you so much for"
323120,327920," tier one subscription a great weekend to everyone thank you a great weekend to you as well"
328800,334880," so function thank you so much for 47 month of tier one subscription holy the og of this channel with"
334880,344880," the message raii lip and by the way so there i recently created another option to support me so you"
344880,352160," can find more details by doing the uh donate command but unfortunately for that option i don't have any"
352160,359200," notifications or any perks yet uh right so i apologize if you donated through these options"
359200,364080," and i didn't acknowledge that uh in the future i will set up something to be able to acknowledge this"
364080,371440," option as well uh right so let's go ahead and take a look at this ray leap as far as i know i do not have"
371440,377120," a ray leap installed on my system so one of the things we'll probably have to do we'll probably have to"
377920,383680," build it from scratch luckily it's a very simple uh it's a very simple library so it should be"
383680,388800," relatively easy to do so right so let's actually clone the source code and build it from scratch"
388800,395440," so i wonder maybe i already have the source code somewhere here no i don't okay so the lip clone and"
395440,401840," let's clone it uh this is not particularly what i wanted i'm not really sure what the was that um"
404160,410560," git clone it just like yeah it clones something weird uh yeah there we go so and i like to do"
410560,415920," a shallow clone right so essentially we have like thousand yes six thousand commits in here i don't"
415920,423600," want to like clone uh all of these six thousand commits uh right so i'm going to just do depth equal one"
423600,430640," um so isn't it header only no it is not unfortunately right it has its own build system and stuff like that"
431280,439680," build dot zig is it written in zig these days uh okay uh and that's that's the whole thing i suppose"
439680,446960," so that's that's kind of interesting so how much zig is there uh not that much actually right so it's"
446960,455680," primarily c but they're using zika as a build system okay fair sure why not but uh does it have any other"
455680,459360," options yeah let's have cmake so we'll be able to probably build with cmake"
459360,472640," okay so let's actually go in here and uh okay so that's cool make dir uh build uh cmake and let's do this"
472640,480400," i probably want to install it locally and to install this thing locally i probably need to set up the"
480400,487360," installation prefix but i don't remember how to do that uh cmake set prefix so let me quickly actually"
487360,496240," just so cmake install prefix okay can i just do something like dcmake install uh install prefix"
496240,502640," right essentially it's a prefix for the path where all the installation is going to happen right so and"
502640,508720," we're going to install it at home opt array lib right so these days i kind of like to install the"
508720,514400," things that i build from scratch like for a local user uh right without using root or anything like"
514400,520480," that so maybe it results with a lot of waste if you're using multiple users i think but i kind of"
520480,526320," like it right so the fact that you don't have to use any uh like root and don't have to worry about"
526320,531440," breaking something it's actually kind of nice uh right so i think it's kind of cool so as far as"
531440,536800," i know cmake uh actually caches all of that in a cache right so we can try to find the prefix and here"
