start,end,text
160,5600," hello everyone and welcome to yet another recreational programming session with a mr"
5600,11280," azuzin so uh we're going to continue working on panim which is a programming animation engine that"
11280,16080," allows you to develop this kind of animation so look at that is it not poggers that's pretty"
16080,20960," freaking poggers i think right so i'm going to be using that for making a video and stuff like that"
20960,27920," so uh but but but but uh so i working was working on this animation it's actually pretty cool"
27920,34560," animation i'm super proud of it but there is a little bit of a problem uh with this specific"
34560,39760," uh like with how this specific animation work so essentially what i'm trying to do i'm trying to"
39760,45360," simulate how a turing machine sort of like executes its instructions and stuff like that like how it"
45360,50720," executes them right as you can see like every time it performs one of these actions right so because"
50720,58560," here we have like what you have to do if you are in a state ink and reading this symbol right so let's"
58560,66160," actually start over uh right so there we go so as you can see you are in a state ink and here is a state"
66160,72960," ink and you're reading one and here is one what you have to do you have to write zero move to the right"
72960,78560," and switch to the state ink and since you are still in the state ink it's not going to switch anything so"
78560,84000," essentially what i want to do every time it performs one of these side effects i want them"
84000,90000," to sort of pop up right so to indicate that i'm performing them and i want to perform them simultaneously"
90000,96000," as i perform them actually so let's actually slow down the entire animation a little bit so as you can"
96000,103360," see it starts to uh sort of enlarge and also it starts to do this kind of thing simultaneously with like"
103360,110080," as i switch the whole thing right look at that so look at both of these things right and then as you"
110080,116080," can see it starts to move to the right and as it moves to the right i enlarge this thing right so and"
116080,123680," then it switches this thing again and then moves to the right and so on and so forth right so until it"
123680,129760," reaches the situation when it's ink zero in that case as you can see we switch to this sort of state"
129760,138560," or we switch to one we then move to the left and we are switching to the whole state right so we're"
138560,143040," switching to the whole state as you can see here is the whole state and this is where the problem is"
143040,150240," it kind of looks derpy doesn't it right so when these things playing and changing and these things so"
150240,157680," popping up they feel a little bit out of sync they kind of feel a little bit out of sync so let's actually"
157680,161360," play it one more time and you will see what i mean here look at that"
161360,169200," especially when we switch to the whole right it kind of feels a little bit weird so they're sort"
169200,179520," of like out of sync so essentially um what i want to do uh i want maybe to when i switch this state"
180080,189200," to also enlarge this thing to the size of this thing so then when they settle back to the original size"
189200,197280," they do that simultaneously they do that simultaneously so and what's interesting is that to do this kind of"
197280,203680," animations i'm using different interpolation functions right i'm using different interpolation functions and"
203680,210720," stuff like that so let's actually go to my paint and i'm going to demonstrate what i mean right um so"
210720,215840," okay my paint is starting so maybe i should actually stop running because it's a little bit heavy on"
215840,220640," resources sometimes when especially when i have a lot of things so let's actually look at the uh"
220640,228080," coordinate axis right so we have some sort of a coordinate axis like this and i have the x t so we're"
228080,234720," going to denote that as a time and then we have a function f of t so i usually usually consider the"
234720,243120," function from zero to one right from zero to one uh right so if you take a look at uh maybe a function"
243120,251040," that looks like this f of uh t uh equal to t right so this is basically an id and it looks like this sort of"
251040,261920," line um right so essentially if i use this function to animate uh like transitions of for example moving"
261920,269840," of one object to another one it will look kind of robotic right it will look kind of robotic so uh instead"
269840,277840," what i do instead i actually use a slightly different function uh i use smooth step that i think i think it"
277840,285200," roughly looks like this right so not exactly but roughly actually let's actually use smoothing"
285200,293840," uh in my paint yeah there we go almost right it's something like this right so as you can see it starts"
293840,300960," up slow then in the middle it ramps up and then it slows down again right it slows down again and it"
300960,307280," creates this sort of like a cool effect when there are transitions and stuff like that so we also had"
307280,314560," sign step so smooth step is actually if i'm not mistaken so let's actually do so this is a smooth step"
314560,325840," uh it's too too long to type smooth smooth step right so it takes t and its formula it's hardcoded"
325840,332320," somewhere in the source code let me actually see if i switch to the correct layout um right so we have"
332320,342560," a smooth step it's it's three multiplied by t squared right uh three multiplied by t squared minus two t cube"
342560,351760," that's what it is i also have a sine step right which basically takes uh a part of the sine wave that looks"
351760,357520," like this like a half of the sine wave as well uh right and stuff like that so this is basically different"
357520,363120," functions that i used to make the animation smoother and stuff like that but to synchronize"
363120,371760," this sort of like uh motions to to make more complex things uh i need a function that roughly"
371760,382240," looks like this right so essentially i need to sort of go uh yeah maybe i'm gonna go like this then i have to"
382240,390560," overshoot a little bit in here right so overshoot a little bit in here and then maybe go back right so"
390560,396720," because the symbols in the table they're slightly smaller than the symbols on the tape so to synchronize"
396720,402960," them in sort of the size and then settle down into sort of like the same size i need to look over shoot"
402960,410400," over one a little bit and how do i even define this kind of this kind of function and on top of that okay"
410400,416560," so that's a really funny function but i also want to be able to define arbitrary functions in here like"
416560,423360," you know like in the vector editor right like in a vector editor and this is where"
424160,430480," i think the time has come to introduce bezier curves are you guys familiar with bezier curves"
430480,439280," uh let's take a look at them uh i think my app okay so my mouse almost dead so here are the things"
439280,449200," so essentially um bezier curves you probably saw bezier curves in uh vector editors right as already"
449200,453600," dimensions so i've already have that in description so let's take a look at inkscape right so let's open"
453600,459280," up the inkscape so some people do know them pretty well that's actually cool that's actually cool so"
459280,463200," let's actually create a new document let's actually create a new document"
466640,475280," um yes why is it bright again every time i open this thing it's always bright even though i explicitly"
475280,482880," say bra don't make it so bright uh right so this is going to be the desk yeah that that's what i'm"
482880,489520," freaking talking about and this one uh yeah let's actually make it maybe something like this i wonder"
489520,496720," if i can save this entire thing probably not right uh so anyways so essentially you can uh create this"
496720,503280," kind of thing right so which is the basically simple stroke let's make the stroke a little bit thicker"
503280,509360," so we can at least see it and let's make it white right so again so we can at least see it"
509360,518480," so and what these kind of things allow you to do it allows you to have this sort of like handles"
518480,526480," right that you can control and have smooth curves like this right so it would be kind of cool if"
526480,532960," this was like basically uh how i have this axis right so this is basically t and this is basically"
532960,539360," f of t and i could like control how exactly those things look like right so for instance i could do"
539360,546000," exactly the shape of the function that i want that would have been cool right infinite smoothness yeah"
546000,550320," actually i think they are infinitely smooth essentially right so because it's a mathematical"
550320,556000," curve right so it basically depends on the resolution that you're rendering it with right"
556000,561120," if you're going to be rendering it right you you have to kind of pick this step pick the resolution"
561120,566800," uh right and then you can just smooth it so and with definitely infinite resolution is going to have be"
566800,575360," like infinitely um infinitely smooth so how can you even uh render this kind of uh this kind of bizarre"
575360,581840," curve right so there are some animations on the internet that actually tell you how to do that"
581840,587760," there is a lot of as you can see formulas scary mathematical formulas but this is because it's wikipedia"
587760,595360," right this is because it's wikipedia honestly throughout my career and like i noticed that"
595360,602720," a lot of mathematical and programming ideas are actually very fucking simple they're actually like"
602720,608480," i haven't like seen like a mathematical idea that you couldn't just easily understand if you spend some"
608480,615600," time and a lot of this is literally gatekeeping bullshit like majority of them and then the more"
615600,620400," i do this kind of stuff the more i'm getting convinced that yeah that's basically literally"
620400,627040," people trying to gate keep like and it's kind of like difficult to now convince me otherwise because"
627040,633600," i've seen it so many freaking times people just use that as a means to yeah so this is basically a good"
633600,638640," example on how they're rendered essentially right so this is a very good example but as far as now this"
638640,645920," is a quadratic bezier curve right so essentially you have two lines right and you interpolating between"
645920,650880," these two lines right and then you interpolate between the third line this is a cubic one and this"
650880,658000," is probably the one that we will need right so the more the main sort of like operation to that we will need"
658000,668000," to render um uh the bezier curve is going to be lerp or a linear interpolation uh right so let me actually"
668000,674240," pick maybe some sort of a bluish color and this is a very important operation honestly i think this is"
674240,682720," like an extremely important operation it accepts three parameters a b and c and t usually usually you"
682720,689120," like between zero like between zero and one right so that's what it is it can actually go over uh zero and"
689120,695760," one so but like usually you want it to be like between zero and one and so what it does it basically"
695760,705280," interpolates between a and b right so essentially you can think about it this way the closer t to zero"
706160,714000," the closer the result of lerp is going to be to a the closer t to one the closer the result of the"
714000,724240," lerp is going to be to b right so a corresponds to zero b corresponds to one right so and of course"
724240,731360," you can uh go under zero and over one and in that case the result is going to be under a and over b but"
731360,737200," usually this is not really what you want right usually this is not what you want so since it's"
737200,741600," basically interpolating between these two ways the implementation is going to be basically you need"
741600,747200," to take the distance between a and b so you're going to take b a so this is the distance and you multiply"
747200,753440," it by t so that means that sort of length is going to be interpolating from zero to the full distance"
753440,758720," as t goes from zero to one and then you're just upset by a so this is the entirety of the operation"
759440,765440," right this is the entirety of the operation so in here i'm using a b as scalars but they can be vectors"
765440,772480," they could be points in the space right so this could be a and b right so and essentially if t is"
772480,777920," going to be zero that means we're talking about this point if it's one we're talking about this point if"
777920,789120," it's half you you will find this point right so this is basically lerp a b 0.5"
789120,796080," you get the point right so the closer you are to zero the closer you're going to be to a the closer"
796080,802080," you are to one the closer you're going to be to b that's the entire to learn that's the entire to learn"
802080,814320," so now if you take three points right a b and c and you connect them like this"
814320,824400," right you connect them like this so you have two lines in here so now you have t and let's imagine that"
824400,834320," you start modifying iterating over that t from zero to one with some certain step with some certain"
834320,840720," step right essentially uh right so maybe zero zero point one zero point two and so on and so forth it"
840720,847840," doesn't really matter you're iterating from uh from zero to one so then let's imagine that t is somewhere"
847840,856080," in the middle you take a lerp between a and b right and you find the point this is another point then you"
856080,863280," take the point between b and c for that current t and this is the second point right then you connect"
863280,872720," these two points and you get the third line then you take do a lerp between this point and this point"
872720,883600," with the same t and you get the point on bezier curve for that specific t right and this is what's"
883600,890880," happening in that animations on the internet that you can see in here so the more lines you have the more"
890880,898720," lines you have well this is the quadratic one right if you do this nested lerping you see we have a hati"
898720,904960," and stuff like that if you do this nest in lerping you're gonna end up with a smooth curve you're gonna"
904960,911520," end up with a smooth curve so the more points you have you can do that with like for example uh four"
911520,918160," points like this in here right the more sort of control over the curve you have the more control over"
918160,926800," the curve you have so usually the uh bizarre curves that we use in the vector software they are cubic"
926800,934800," ones so essentially you have four points uh here is the one first point here is the uh second point"
934800,942240," the third point and the fourth point so usually we don't draw the line between this point in this point"
943120,948480," right but it's kind of there there is kind of like this um another line in here but we don't draw it"
948480,954160," we just draw these things as these sort of handles that you can move around right so in under the hood"
954160,960080," inkscape is doing that algorithm maybe not that algorithm maybe something more smarter but in in the"
960080,969360," essence it's doing that right in the essence it's doing that so essentially uh what i want to do i want to"
969360,979120," implement the system that allows me to use busy curves busy curves for uh for the animations right so"
979120,987680," essentially uh we have a task system which defines small predefined amount of work right for example we"
987680,995680," have things like move scalar uh right so move scalar so for the move scalar you provide the pointer for the"
995680,1002560," scalar for the number for the value that you want to move from one uh position to another uh right you"
1002560,1010560," provide the target where you want to move that current value you provide duration like in for how long"
1010560,1016560," you're going to be moving from its current position to the target right and then you provide interpolation"
1016560,1023200," function then you provide interpolation function right so in essentially interpolation function what is it"
1023200,1027760," it's uh it's a enumeration uh which tells what kind of interpolation function you can use a sin step"
1027760,1034240," smooth step i also have sin pulse which goes back to to zero right it goes from zero to one and then back so"
1034240,1040480," you can do sort of pulses like that um right which can we need some time for for for these kinds of things"
1040480,1047040," so essentially i want to modify this entire thing to accept a busy a custom busy curve"
1047840,1056160," a custom busy curve right but busy curve actually has a lot of freedom but we need specifically a"
1056160,1064240," busy curve which defines a function from zero to one right it must define a function from zero to one"
1064240,1071760," so because of that there will be a little bit of a limitation on how we represent that busy a curve"
1071760,1078160," that is going to be used in the animations right so for instance uh we're going to be moving from zero to"
1078160,1086960," one so that means the first and the last point that define the busy curve uh is going to be snapped to the"
1086960,1093600," left side and the right one is going to be snapped to to the right side to one right we should be probably"
1093600,1101680," able to modify their y position right so move up and down but generally i don't want these control points"
1101680,1107360," to move left and right right because that doesn't make any sense i want like a function that is defined"
1107360,1115600," from zero to one preferably so because of that uh we kind of like don't want to move these things around"
1116480,1123600," so and then you also have to specify two other control points in here right so which is going to"
1123600,1129040," be obviously connected like that and then uh they're going to be interpolated like that right like so and"
1129040,1133520," then created the the actual curve and stuff like that right so there's probably also going to be some"
1133520,1143440," limitations on where we put those things maybe uh the how to say that the x the x of that point should"
1143440,1151920," always be less or equal to the x of that one uh or something like that um so yeah we'll need to think"
1151920,1156480," about that but maybe generally we want to provide just like four points to define this kind of thing"
1156480,1163920," um right and just use that for animation but here is an interesting thing this entire"
1164560,1175440," scheisse uh right this entire scheisse is um not convenient to edit right so this entire scheisse is"
1175440,1181200," not convenient to edit because uh like am i am i going to be modifying the points like directly"
1181200,1185920," uh right like in the code like numbers and stuff like that it would be kind of nice to have some sort"
1185920,1192960," of editors that looks like inkscape where i could just drag around just like jerk off these little red things"
1192960,1198560," uh to to my liking you know what i'm talking about i wanted to like jerk off these things like and then"
1198560,1205520," adjust and stuff like that so we need some sort of a freaking editor for this stuff and yeah that's"
1205520,1214240," going to be the point of today's stream let's freaking implement an editor for the freaking busier curves so"
1214240,1223680," we can use them in animation the park isn't that fucking cool mate it's not fucking cool right so yeah"
1223680,1228240," that's basically the the topic for today's stream we're going to be implementing this kind of thing"
1228240,1235520," and the editor will generate the basically the parameters of the busier curve that you will be able"
1235520,1242000," to then use uh in the functions you you'll be able to copy paste those things into uh into your code and"
