start,end,text
240,5920," Hello everyone and welcome to yet another recreational programming session with Amista"
5920,14240," Zozin. So today we're going to be looking into Web Audio API, right? So we already have in"
14240,21920," in browsers, we already have an audio HTML tag, right? But working with the audio HTML tags is"
21920,27520," not particularly convenient. This is something that we were doing in our game actually, right?"
27520,34720," So the coil, multiplayer game, right? So when you need to play a sound, what we literally did for each"
34720,40640," individual sound sample, we created a separate audio tag. And every time you need to play a sound,"
40640,48080," we just say to that tag, play yourself, right? Go play yourself. I'm not sure if you can hear that,"
48080,56800," but let me crank up the audio. So maybe you will be, yeah. Right. As you can hear, like it plays"
56800,64160," fine and stuff like that. But this is a very cucumbersome way of working with the audio,"
64160,71120," right? Real serious software developers, when they work with the audio, they want to actually have a"
71120,76400," really fine-grained control of the audio to the level that they want to be able to manipulate the"
76400,83680," buffers of the samples, right? You guys know what is the buffers of the samples? So essentially sound is a"
83680,88720," wave, right? It's a wave of the difference of the air pressure."
88720,95600," So the way audio is stored in the computers is that this wave of the difference of the"
95600,103040," pressure is actually sampled at regular intervals and measured. And then each sample is stored as a value."
103040,110160," And then you send that information to the sound card and sound card reproduces that"
110160,117840," wave of pressure, recreating the sound. Right. So essentially when people, when serious software"
117840,124640," developers work with audio, they want to be able to actually manipulate that buffer that contains these"
124640,130640," values because they want to maybe apply some effects or maybe mix them together or maybe,"
130640,136880," you know, make it louder or quieter and stuff like that. You want to be able to manipulate all of that."
136880,140880," Right. And unfortunately, for the longest time on the web, you couldn't do that."
141600,149040," But I suppose some time ago, finally, the developers of the browsers created some sort of a bindings"
149040,154480," to some internal libraries that they use in the browser. So you can actually do that in JavaScript."
155280,161840," And today I would like to actually explore that. Right. So it exists in the form of a web audio API."
161840,166560," And if I understood correctly from reading documentation, it's exactly what it is. Right."
166560,172560," It allows you to work with the audio on a low level. It is a basis for different audio libraries and stuff"
172560,177040," like that. But since we are serious software developers, we're not going to be using any libraries."
177040,183280," We're trying to understand how things work under the hood. So we're going to be exploring this low level"
183280,190480," raw API directly. And I'm doing that for the sole purpose of then later using it in our game."
190480,195040," As I already said, our game doing a very dumb approach. Right. It literally creates just audio"
195040,200960," tags, hidden ones. Right. So it just creates a hidden audio tags because they don't exist on the page."
200960,206400," And then just like literally presses the play button every time you need to to play a sound."
206400,211440," As far as in the old web, long time ago, in the times of Internet Explorer 6, this is literally how the"
211440,219200," website would do that. Right. So they just yeah, you know, all in the old web, there was a lot of hacks,"
219200,225840," a lot of shitty hacks like that. But these days, a lot of the low level libraries that are used in the"
225840,234480," browser, they have bindings into the JavaScript. Right. So all of these extensions to the web standards is"
234480,240480," basically forwarding the bindings from the C libraries used in the browser themselves. So you"
240480,247120," can also use the C libraries in JavaScript. That's basically the current trajectory of the web today."
247120,253520," Right. So the web doesn't introduce any innovation. It's not like we couldn't do 3D graphic before web."
253520,259680," It's not like we couldn't manipulate audio before web. We could do all of that way before web existed."
259680,266880," Even it's all already there. All of the code for doing all of that magical stuff is already on your computer."
266880,272480," You just you just couldn't do that from shaded JavaScript in a cross-platform way."
272480,278960," So the only innovation that the web standards are doing today, they're just allowing you to forward that"
278960,281920," beautiful functionality into your shitty script."
282960,287920," So that's the actual innovation the web standardization is doing these days. Just saying."
287920,297840," So I'm saying that I'm just realizing how depressing that sounds. Holy shit."
297840,302720," Because like if you think about that, right, so really web doesn't do any innovation."
302720,311440," All the innovation has happened outside of the web long time ago, long, long, long, long time ago."
311440,318240," And it's just like only then we finally agreed on how exactly we want to access that beautiful"
318240,323920," innovation in this shitty fucking language that just happened to be installed on every computer."
323920,328800," And that's the only reason we're using it. It's just so fucking depressing, isn't it?"
328800,333280," It's almost like the programmers just like forgot how to develop good software at all."
333280,335280," And it's not like nobody gives a shit."
335280,337600," It's fucking sad, isn't it?"
337600,339920," It's fucking sad."
339920,343600," But anyway, so that today we're looking at the web audio API."
343600,347120," So I think the sound is a little bit too loud."
347120,351520," Speaking of audio, speaking of audio, I think the sound is a bit too loud."
351520,354080," So let me actually maybe bring it down."
354080,356800," 10 out of 10 intro."
356800,357200," Thank you."
357200,359680," I didn't expect that myself, honestly."
359680,362000," All right."
362000,364720," So let's read about the web audio API."
364720,368560," It provides a powerful and versatile system for controlling audio on the web,"
368560,372960," allowing developers to choose audio sources, effects to audio, create audio visualization,"
372960,376400," apply special effects such as spanning and much more."
376400,379200," And this is something that you do want to have in your game."
379200,385520," So it involves handling audio operations inside an audio context, right?"
385520,387760," It's kind of similar probably to canvas, right?"
387760,391520," So the canvas has the canvas context where you can draw shapes."
391520,394000," And this thing has audio context."
394000,396560," And it has been designed to allow modular routing."
396560,398640," Oh, you can do some routing and shit."
398640,399200," Okay."
399200,401360," Basic audio operations are performed with audio."
401360,402640," Oh my, oh my God."
406000,413040," We're going to be doing blueprints and shit or something."
413040,419040," Um, blueprints and code, which is kind of a bizarre way to say that,"
419040,423040," but because blueprints are supposed to replace code, but, but anyway, whatever."
423040,425040," Is there any examples?"
425040,428400," A Slayer node, audio buffer source node."
428400,429680," Holy shit."
429680,429920," Okay."
429920,431120," So this is very interesting."
431120,431840," Audio context."
431840,434160," You have inputs, effects, and destination."
435360,435760," Okay."
435760,436400," That's pretty cool."
436400,438720," So audio web API target audience."
438720,439040," Okay."
439040,440640," So it's probably us."
440640,442080," I can seem intimidating."
442080,447840," The web audio API can seem intimidating to those that aren't familiar with audio or music terms."
447840,450400," And as it incorporates a great deal of functionality,"
450400,453600," it can prove difficult to get started if you are a developer."
456960,462800," I mean, I mean, who else do you have to be to work with a fucking API?"
462800,465920," If not a fucking developer."
465920,474640," It's intimidating if you are a developer."
474640,477520," That's a such a fucking bizarre thing to say."
477520,481440," You're working is with application programming interface."
481440,483520," And it's."
483520,487040," Audio developer."
487040,488560," Ah, okay."
488560,491520," So they expect great deal of hyper specialization."
491520,492960," Okay."
492960,497920," It can be used to incorporate audio into websites and application by providing atmosphere like"
497920,499680," future library."
499680,499920," No."
499920,503200," Uh, do I want to click on this website?"
503200,506320," So it's probably going to be too loud."
506320,508720," Loading."
508720,510480," Enter."
514320,516240," A forest in Norway is growing."
516240,521360," In 100 years, it will become an anthology of books."
521360,527360," Every year, a writer is contributing a text that will be held in trust."
527360,530160," Bro, you just plain video."
530160,530720," Fuck off."
