start,end,text
0,6880," looks like we're live hello everyone and welcome to yet another azuzin session azuzin session let's"
6880,12160," make a little bit of an announcement and officially start the stream hello hello everyone welcome"
12160,18600," welcome welcome i'm really glad to see you all today so let's do the usual red circle and say"
18600,28200," live on twitch and what are we doing today on twitch.television so today we are coding and go"
28200,35860," while google is spying on us in that case i suppose right so let me give the link to twitch.tv"
35860,42400," right and i'm gonna ping also everyone who's interested in being pinged there we go the"
42400,48940," stream has officially started and today we are developing something unusual something that i"
48940,55360," don't usually develop on the streams but i needed to do the the chores so i decided to stream that"
55360,62020," anyway so today we're developing gatekeeper right gatekeeper is the chatbot that's sitting in the"
62020,68840," twitch chat and also discord chat and answers the commands and some stuff like that right so there is"
68840,75480," a there's a special command in here uh literally called gatekeeper right so as you can see somebody"
75480,81340," will reuse it and uh basically it's the chatbot that answers that specific command so that's what it is"
81340,88000," right so uh right so and the you can find the source code in here if you're interested i'm gonna copy paste"
88000,95380," it in the chat of course and uh also for people who watch on youtube i'm gonna also post uh put that in"
95380,99820," the description and today's topic today the feature that i want to implement today is actually related to"
99820,106680," the commands let's take a look at how we uh handle commands within the bot right so let's actually go to"
106680,114920," gatekeeper right and i have two executables within the chatbot actually right i have two executables"
114920,121080," uh the first executable is called gatekeeper it's the main boat bot it's the main process that connects"
121080,127160," to twitch and discord and listens to your messages and then responds back uh and there's also gaslighter"
127160,134120," right so on top of uh connecting to like different services like twitch or discord uh gatekeeper also"
134120,140280," connects to the database it uses the uh postgres database it stores all the data there right so and"
140280,146760," essentially if i want to modify something within a database but i don't want uh to use a postgreSQL"
146760,152680," directly i have a special command line tool right that has predefined commands of usual things that i want to"
152680,159480," do uh right um and it basically connects to the database directly bypassing the bot and modifies"
159480,164280," the database and it just exits like it's a command line tool for configuring the bot right so the"
164280,169880," bot itself is called gatekeeper the command line for configuring the bot and connection to the database"
169880,171640," bypassing the bot is called gaslight"
171640,180920," it's pretty cool isn't it uh right so we handle commands within the gatekeeper right so we're not going"
180920,186120," to do anything with gaslighter right now maybe a little bit later we'll see uh so we've got some"
186120,193960," stuff uh from enumer8 underscore uh thank you for 100 beats for the message twitch isn't letting me"
193960,200120," subscribe no matter what so we'll just cheer beats until i have uh can have membership of all your epic"
200120,206120," clubs that's kind of weird right so uh let me know what's if you want to have an access to discord like"
206120,210200," just let me know your nickname and i'm gonna trust you manually if that's what you what you need"
210920,216120," um oh yeah and the chat says we also need to have a girl bosser at some point yeah i don't know"
216120,221960," what it's going to be what's going to be the girl bosser right if the gatekeeper is the bot itself"
221960,226440," and the gas slider is the configuration to what is the uh girl bosser"
230360,237000," library maybe maybe it should be library yeah so and as you can see um go we are using go right and"
237000,242760," using go in 2023 is unethical but not really i don't know right it's just like depends on the opinion"
242760,250600," uh right because uh everyone is outraged how google is planning to add telemetry to go right so they"
250600,258280," literally plan to add telemetry to that language like if you google it up go telemetry uh right so"
258280,266360," it's just like a you know hotly debated topic uh and uh so we yeah we can't really find anything"
266360,274600," about that so can i do go lang telemetry github can we find the open time to go a okay"
275320,281240," so telemetry and go toolchain yeah this one right so essentially and justification is so weak"
281240,289640," right i'm not really sure like it's gonna go through right so but i actually strongly oppose"
289640,295800," this kind of thing right so i really against telemetry to be fair but that's like a topic for"
295800,302440," another time so i can talk about it for for like an entire stream but yeah so and i do plan eventually"
302440,309480," to rewrite my project in something else right but since it takes uh time and effort i just don't do"
309480,316120," that right and here's an interesting thing i'm pretty sure the reason why they decided to even suggest it"
316120,324440," right now is because they know that everyone already depends on go and nobody's gonna rewrite their huge"
324440,331720," projects in anything else and so uh those everyone just gonna suck it up they know that they calculated"
331720,338760," the precise time when to start slowly pushing that because they know you can't do about that it's just"
338760,347160," like that's such a google thing it's just like my god uh anyway so but by the way um you may say there"
347160,355400," there's not that many alternative to go uh maybe for you but i have a pretty cool alternative to go"
356520,363320," i have an access to jaya beta and usually i don't like to write my project projects in jaya beta because"
363320,369640," i don't like to um i don't like the fact that i can't share the code because other people can't uh run"
369640,374680," the code on their machine but this project it doesn't really meant to run on your machine"
374680,381880," it's meant to run on my machine it's my project it's in there is a lot of like hard-coded things"
382440,387400," specifically for my channel you literally can't reuse this bot for your channel unfortunately i'm"
387400,391640," sorry it's just like don't have time to make a general purpose boat i'm making like a very"
391640,396440," specialized bot for my channel and it has a lot of things that are literally hard-coded for my channel"
396440,401080," because it's just easier for me so i'm doing that only for myself not because i'm an asshole"
401080,405320," i am an asshole but i'm doing that not because of that uh right i'm doing that because it's just like"
405320,411720," doesn't take too much resources right so um so making a general purpose bot is not my goal right"
411720,417720," and jay seems to be like a perfect language for this right i don't need to make sure that it works on"
417720,423880," other people's machine i do it for myself and i yes it's just like perfect and jay is very good alternative"
423880,431320," to go like it implements a lot of things from go as well right so but that's a topic for another time"
