start,end,text
720,6600," Looks like we're live. Hello everyone and welcome to yet another recreation programming session."
6600,11740," Let's make a little bit of an announcement and officially start the stream."
11740,18300," So we're going to do a red circle live on Twitch."
18300,22760," And what are we doing today on Twitch.television website?"
22760,27920," Today we're trying to answer a question. Do we need garbage collector anymore?"
29560,32380," Right, so that's a very interesting question."
32380,35180," Not really, not really that."
35180,44940," But essentially today we're going to continue working on N.h, which is a deep learning framework in C that we've been developing for quite some time."
44940,47140," So this is our main project, so to speak."
47140,53380," And today I would like to address the memory management within that library."
53380,56300," You can find it in here, I copy paste it in the chat for people on YouTube."
56300,59020," It's going to be in the description and stuff like that."
59120,64040," Right, so today I would like to focus on memory management within that library."
64040,67640," And the memory management right now is actually very straightforward."
67640,76440," Right, so the idea was that you just pre-allocate as much memory as you need for working with the specific model,"
76440,79620," for training specific model and for using specific model."
80000,81420," and that is basically it."
81420,89060," Right, so there are such functions as NN-alloc, right, so which allocates a neural network with a specific architecture, right."
89060,95420," And architecture is described by sequence of digits, digits, numbers, I'm sorry, right, sequence of numbers."
95880,100800," And also you can just allocate the matrix with rows and columns and that's it."
100800,107800," Right, so you're supposed to just pre-allocate everything, right, and just use it, including intermediate stuff, right."
107800,116720," For instance, you have backpropagation, right, which computes the gradient into a second variable in here."
116720,119140," So you're also supposed to pre-allocate that."
119140,129960," Right, and the problem with this approach is that it's actually not particularly flexible and not particularly intuitive, right."
130020,135220," I would like, like, the cool thing about Python is that it has a garbage collector, right."
135220,142600," So that's the cool thing about it is that you can just, like, use, like, just describe what you want."
142600,147640," You can just write what you want to write and then think about memory management and just forget about it"
147640,153200," and the garbage collector is going to take care of all of that."
153200,158240," It would be kind of nice to have something similar in our framework as well, right."
158320,166480," I want to be able to just do some computations and just quickly allocate a matrix in the middle of a computation for an intermediate stuff"
166480,168640," and just throw that matrix away."
168640,174200," But since I'm forced to pre-allocate everything I'm going to need up front,"
174200,181640," I need to, like, sort of see in the future and see that I will need that extra matrix somewhere in a different place of the program"
181640,187120," and pre-allocate it for that and maybe even pass it through all of the arguments,"
187240,191560," all of the call stacks and stuff like that, which is kind of annoying, right."
191560,196900," And that's why in Python it is so pleasant to program, right, because you can just, like, do that."
196900,201520," You can just allocate an intermediate matrix, do some computations, and just quickly throw it away,"
201520,205780," and the garbage collector is going to take care of all of that, right."
205980,210000," So, and we can have that in C, in fact."
210000,220200," In C, we can have the same level of convenience if we implement something called arena allocator or region-based allocator."
220640,224580," It has different names, but it's just, like, a linear allocator, right."
224580,230220," So, if you want to learn more about this kind of stuff, I just recommend you to Google up arena allocator, right."
231040,233860," And there's a Wikipedia article, which also links to some papers."
233860,236020," It's called the region-based memory allocator."
236020,238780," So, it has, excuse me, several names."
238780,240960," I'm going to copy-paste it in here."
241060,250200," I actually implemented a region-based allocator on my stream several times, but for different projects and on the different topics, right, so to speak."
250200,256240," So, I'm going to copy-paste this entire thing in here, just for anyone who's interested."
256240,263620," So, and essentially, the idea is you basically allocate a region of memory, right."
263620,267840," So, let's actually go ahead and straight up introduce a region of memory, right."
267840,276620," So, maybe I'm going to go somewhere here, where we start working with the matrices, and let's just straight up start writing a structure called region, right."
276620,280780," So, and that region is going to have a certain capacity, right."
280780,286200," So, it's going to have a certain capacity, and it's going to have a certain size, right."
286200,289560," So, how much of that capacity is already taken."
289560,292160," How much of that capacity is already taken."
292160,295700," And then, we're going to have the data itself, right."
295700,297040," We're going to have the data itself."
297620,301940," And essentially, you just pre-allocate big enough chunk of memory, right."
301940,311320," You just allocate big enough chunk of memory, and you basically, every time you need more memory, you just take sub-chunk of that."
311320,312680," And that's it."
312680,320320," So, and essentially, every time you need an intermediate object, you just allocate that object into this region, right."
320320,328400," And then, at the end of some iteration, because you're going to have some sort of loop, like training loop."
328400,335620," At the end of the iteration of that training loop, you can just swipe out the entire region and start again, right."
335860,349320," That way, you may have a convenience of a garbage collector, where you can just, in the middle of a complicated computation, just allocate a quick matrix, do a quick intermediate computation, and just forget about that matrix."
349320,351540," You don't even have to call free, right."
351560,359860," You can just leave that thing in that region, and then, at the end of some iteration, it's going to be deallocated at once."
359860,363960," That's kind of the point of this linear region allocators, right."
364160,373280," And I want to build memory management for this library around this kind of stuff, because I feel like it's going to be very useful, because this is exactly what you want to do quite often."
373280,377040," Just quick intermediate things that you can forget about, right."
377040,381200," And region allocators are really perfect for that, right."
381200,388520," And again, that's probably why Python is so great for, you know, scientists and mathematicians, because they do this all the time."
388520,390420," Because they do this all the time."
390960,398300," Right, and essentially, how would you even allocate, you know, something into that region, right."
398300,407860," So, we're going to have some sort of a function called region, which accepts the region into which you want to allocate something, and the size of the object that you want to allocate."
407860,413900," So, this is going to be a malloc, but it's a malloc that allocates into the region, right."
413900,415780," So, there we go."
