start,end,text
960,6960," Hello and welcome to another setting session. How about that? How about that?"
6960,9940," Hello, JourneyMost. Hello, hello. Welcome, welcome, welcome."
9940,18960," So today is Monday and today I wanted to continue to work on my immediate terminal UI experiments"
18960,22960," in the form of an interactive terminal to do app."
22960,27900," So yeah, so today I wanted to continue developing the terminal to do app in Rust"
28180,32760," and you can find the source code of this thing in the description if you're interested in this thing."
32760,34840," So this is going to be source code."
34840,39700," And the previous episode of this series was on YouTube."
39700,41520," Simon, hi. Hi, Simon. How are you doing?"
41520,50460," So let's actually go to Serging Daily and let's find the previous episode."
50460,54880," Let's see if we can spot... I can already see the previous episode. Here it is."
54880,60540," So in the previous episode, we implemented two-panel interface for the application."
60540,63360," And let me demonstrate you."
63360,67240," So previous episode is going to be located in here."
67240,69540," So I think I already fetched everything."
69540,72240," So let's see, let's see, let's see."
74020,79480," So if I run the center, I think so it also requires the file into which it stores everything."
79480,82360," And as you can see here is the two-panel interface."
82360,85760," So maybe it would make sense to actually reset everything hard."
85760,88480," And yeah, there we go."
88480,91840," So here you can basically mark something as done."
91840,96500," Or if you're unsure, you can actually go in here and mark something as not really done."
96660,101720," Right. So as you can see, you have two-panel interface and you can switch between the two panels."
101720,105400," So that's what we implemented in the previous stream."
105400,117900," So today I wanted to do something interesting and I wanted to implement the ability to add new items to the to-do list and also edit the items."
117900,126080," So I think I want to start with editing the finals, the items, because that will make adding new items trivial."
126080,126700," Right."
126700,132040," So as soon as you can edit the current item, for instance, I didn't want to start Emacs."
132040,132740," Just a second."
132740,134040," Right."
134040,136920," So for instance, I can edit something by pressing some key."
136920,145920," The implementation of adding a new thing would be essentially adding an empty item and switching to editing of that item."
146180,152120," So, yeah, I think editing items has priority over adding them."
152120,155500," So that's precisely what we're going to do right now."
155500,161000," So hello, everyone who just joined."
161000,164920," Welcome, welcome, welcome."
164920,165940," Is this a Rust channel?"
165940,166720," No, no."
166720,170980," Yesterday we did C++ and the day before that we did something else."
170980,173400," You just don't watch this channel unless I'm doing Rust."
173400,175220," So that's why you're being biased about that."
176180,179680," So it's actually very interesting."
179680,184980," Like people tend to be extremely biased towards what they like."
184980,185600," Right."
185600,190800," So, for instance, there's a huge portion of people who never watch me unless I do C."
190800,191480," Right."
191480,194960," And there's also a portion of people who never watch me unless I do JavaScript."
194960,200000," Or there's a portion of people like you who never watch me unless I do Rust."
200340,202100," So, for you, I'm a Rust developer."
202100,203880," For other people, I'm a C developer."
203880,204240," Right."
204240,210460," And, like, you know, for different people, whatever fits their agenda, I'm that developer."
210460,212780," So, no, this is not a Rust channel."
212780,214660," It's just like you watch me only when I do Rust."
218720,219320," All right."
219320,220520," So, let's continue."
220520,222640," What I wanted to do here."
222640,237220," So, let's create a separate branch for this entire thing."
237480,240520," And let's see how we're going to approach this stuff."
240520,248160," So, I suppose, like, I think I wanted to introduce a special mode, like editing mode."
248160,256680," Maybe not even an editing mode, but rather like a boolean, sort of speak, like editing."
256680,257520," Right."
258000,265220," So, initially, we're not in the editing mode, but then by pressing a specific key, you switch to the editing mode."
265220,275060," And while sort of handling a specific list, if you're in editing mode, you're going to be editing the one that is currently selected in there."
276360,285360," So, but I think it's going to be rather difficult because, as you can see, we're handling the keys from the user input."
285360,296320," And if you are in the editing mode, these keys has to be redirected to the sort of, like, the editor that's going to be activated when you are in the editor mode."
297000,308420," So, I think I want to do a rather interesting thing or sort of, like, more in the immediate UI style thing."
308420,314160," Again, for those who doesn't know what is immediate UI, it's something similar to IAM GUI."
314160,314980," Right."
314980,321680," So, if you worked with IAM GUI, that's essentially what we're trying to implement, but for the terminal in the Rust."
322000,327360," So, I'm going to put this thing in the chat and in the description as well."
327360,328780," Right."
328780,331200," So, IAM GUI."
331200,332060," Right."
332060,341040," So, but the interesting thing about terminal is that in the terminal, you cannot use the same approaches as in graphics."
341040,341400," Right."
341400,343960," So, the approach of IAM GUI doesn't really work there."
343960,346640," So, we sort of have to reinvent our own approach."
346820,354760," And to know what's the approach is used by IAM GUI, I really recommend to watch the cases moratory talk on immediate UIs."
354760,361540," So, I'm going to give the link to that talk in the chat and also in the description if you're interested in this kind of stuff."
361540,365400," So, here is the talk and I'm going to put it in the description."
365400,368800," So, it's a cases moratory talk on immediate mode UIs."
368800,370320," It's a very interesting talk."
370320,376440," It's like 40 minutes long, but it explains the concept of immediate UI really well."
376440,383880," So, the main idea is that you have sort of like hot widgets and active widgets."
384380,389240," But what's interesting is that this idea of hot and active widgets doesn't really work in a terminal."
389240,397480," So, the only place it works at is when you have a mouse cursor and you can instantly focus on anything on the screen."
397480,402060," Here, you cannot easily instantly focus on anything on the screen."
402240,408180," So, you have to sort of like, I don't know, navigate through the widgets, right?"
408180,409880," And some of the widgets are navigatable."
409880,411260," Some of them are not navigatable."
411260,416220," For instance, I have to navigate to a corresponding panel."
416220,421080," And then when I have editing mode, I have to enter into editing mode."
421080,424840," But I actually entered editing mode inside of the left panel."
425260,426820," But what if I'm on the right panel?"
426820,429180," What if I want to edit something on the right panel?"
429180,432060," So, as you can see, I have an editing mode on the left panel."
432060,434100," And I have an editing mode on the right panel."
434100,438080," So, there's a lot of combinatorial complexity here, like, in place."
438080,442440," And you sort of need some sort of like a stack of the active items."
442440,447280," And as you navigate further down in the tree, you sort of grow that stack or something like that."
447280,449540," At least that's what it starts to feel like."
449700,458540," And because of that, the original approach that Casey Motory explained in his talk is not really applicable to the terminal UIs."
