start,end,text
0,4400," uh all righty so i don't have that much time left so maybe we're gonna do something fun"
4400,11840," uh one of the things i have in here so here is a super sampling which is like anti-aliasing which"
11840,17840," i kind of implemented right so um but i need to implement it for different things right"
17840,28640," so let's put it to do in here uh anti maybe a a4 triangle and uh also a a4 line um a4 line"
29760,35760," uh for rectangle i'm pretty sure for for the rectangle we don't really need any anti-aliasing"
35760,41920," right i don't think it makes much sense so and here i have a 3d triangles uh 3d triangles include"
41920,49200," like implementing a lot of uh rather um complicated things right because one of the things i wanted to"
49200,54160," implement here as well is z buffering right so because i want to be able to render triangles that"
54160,61200," intersect each other right so and maybe also do a little bit of z fighting right so uh i think i'm"
61200,68400," not going to implement specifically 3d triangles we can try to implement uh maybe circles that are"
68400,74640," floating in 3d let's let's try to do a little bit of a cpu 3d without any open gel or anything like that"
74640,85680," i think it's going to be interesting uh right so how do you do 3d at all right so because i i know that"
85680,92560," you can just like uh use one of the engines or one of the libraries or even in opengl uh you basically"
92560,99600," get the 3d automatically right but the question is how is it even implemented right how do you implement"
99600,110160," 3d so the the problem of implementing 3d is essentially you have um some points in a 3d space"
110160,117040," right so we have some stuff in the 3d space let's actually draw a cube uh it's a pretty scuffed cube"
117040,126880," but you get the point right hopefully you get the point so this is my uh cube right and you have some"
126880,134160," sort of a screen right you have some sort of screen and you have an observer yourself right and what you"
134160,143680," need to do you need to basically take all of these points and project them on the screen right so that's"
143680,148240," what you need to do you need to project them on the screen like that because this is basically how"
148240,155600," vision works right you have your eye here's the eye here is the screen and you need to imagine that this"
155600,163840," 3d scene is behind the screen it is behind the screen right and then we take the points in 3d space"
164160,169760," and what we need to do we need to somehow project them onto the screen uh in this sort of like a shape"
169760,177520," code right so and that's basically the problem that we're solving so what we have in here is um essentially"
177520,185120," the distance from the eye so this is the eye uh and this is the screen uh let's actually put like a"
185120,194080," screen and this is an object right so this is an object um and you also have some sort of a distance"
194720,205040," from your eye to the screen right so distance d so we have a point and uh you need to find point"
205040,215600," prime which is the point on this screen uh we can maybe denote uh some of the coordinates right so this"
215600,222160," is the z coordinate right so we're looking at this the whole thing from the side right we're looking at"
222160,231280," the whole thing from the side so that means uh here comes the uh the z axis and up in this particular"
231280,240800," sort of view is going to be y axis so an x from this point of view goes like deep it goes deep so it's"
240800,249520," it's not really that important so maybe i'm gonna even like put it like that there we go uh so maybe"
250800,252080," just maybe"
252080,265200," we're gonna say that um the screen is located at zero at z zero right it's located at z zero"
265200,272640," and the eye should be located at somewhere like minus one so the location of the eye let's actually denote all"
272640,281120," all of these like things uh i let's say that it's going to be located at zero zero right so it's located"
281120,289520," at the center x and y and in terms of z it's supposed to be located at minus d uh right so it's located at"
289520,298640," minus d so this is what we have uh screen in terms of like the center of the screen in here"
298640,306240," should be located at zero zero zero zero uh p uh has coordinates i don't know let's actually call"
306240,316000," them p x p y p z right so this is that and what's interesting about p prime"
317520,321840," is that it's a two-dimensional one right because it's on the screen"
321840,330480," if you like prime right how can we find all of this uh let's actually find only"
330480,337360," y of that projected point right only y of that projected point which will make it a little bit"
337360,344160," easy because that means we have to work only with uh p y p z point right so we sort of like project"
344160,352160," the center i think and we don't have to think about like anything else in here uh so we have um"
352160,360560," we have this line in here right we have this line and we already talked about"
362000,368480," we already talked about the formulas of the line right and how you can use it to actually find"
368480,376000," arbitrary point on the line right so let me actually maybe erase this entire thing"
376000,381680," so we're gonna erase this entire thing cool"
381680,391040," let me see so the formula of the line the the equation of the line is that y is equal to some k"
391040,398560," multiplied by x plus c and essentially what you need to do you need to find uh k and c and if you have"
398560,409760," two points right if you have two points uh you can find k as y y uh two minus y one divided by x two minus"
409760,420960," x one and a c can be found as uh i think it's like x one minus k y one if i'm not mistaken so i do"
420960,428400," have this formula in uh the library itself when i draw the line right when i draw the line where's"
428400,437360," it's just like a line okay so yeah c is basically uh k yeah so but it's actually y yeah okay"
437360,447040," i could actually maybe reinvent this formula again but i already reunited so many times like i'm too lazy to"
447040,455440," do that okay so we have something like this right so what i want to do effectively is to find k and c for"
455440,464720," this specific line between the i and p right so what that means that means that x one is going to be equal"
464720,472880," to well i mean we're actually doing that for y z right we're doing that for y z that means we have to replace"
472880,483280," x with z right because in our case as you can see z acts like x right z acts like s x uh so let's actually"
483280,490320," go ahead and maybe replace that stuff in here so this is going to be that that that uh and this is going to"
490320,494720," be z z z two z one and z one okay cool"
494720,503120," so in our case z one"
506960,511920," the first point the first point is going to be the i right and uh that means it's going to be minus d"
511920,526240," this is the z of the of this thing y one is going to be zero z two is p the z of the p and y two is p y"
526240,534000," right so uh let's try to find the decay for this thing right so this is going to be y two which is p"
534560,546800," y uh minus zero right so it's it's understandable uh then we're gonna have p z minus d which is plus d in"
546800,556800," that case right so because we already have minus d in here okay so this is that uh and then y one is"
556800,570320," going to be zero minus k um right minus k um minus minus minus zero maybe i'm not going to uh write minus"
570320,576800," zero p z plus d uh multiply by z one right"
580000,589280," all right so that's cool and then what we have to do we have to take the z of p prime right and z"
589280,594160," for this thing is actually zero uh right so if we"
594160,600080," essentially put y to here so it's going to be"
602560,607440," uh"
607440,612720," that is rather interesting"
612720,621840," okay so i suppose i confused myself"
625280,632400," what i was trying to come up with i was trying to reinvent the formula where you have p prime x"
632400,641360," p x divided by p z so this is what i was trying to end up with but i actually kind of failed to do that"
641360,644160," maybe because i'm already tired"
646720,653120," uh all right uh yeah i was trying to come up with this formula but i actually can"
653120,658000," completely messed up so let's actually try to quote this formula i suppose uh"
658000,664720," yeah because you just need to follow the process and yeah this is by the way the reason why"
664720,671600," i started to develop knock this is like precisely the reason why i started to develop knock because"
671600,679760," i do understand how to like do this entire process but i always mess up this process because i have to"
679760,684400," keep track of a lot of like many little things right this is something that i was talking about in"
684400,691520," in the knock streams right so like every time i'm trying to transform some formulas or stuff like that"
691520,698400," uh i just like mess up something like i just forget something and i i don't know what to do like"
698400,704320," but at the same time it's not like um doesn't mean i do not understand what i'm doing i do understand"
704320,709040," it's just like technically mechanically it's kind of difficult for me right so what i was trying to do"
709040,717120," i was trying to get this idea and then come up to this thing but i messed it up right uh so and i'm not"
717120,722320," sure maybe i should have just used knock in this in this particular case and the knock thingy that i was"
722320,728160," talking about is is this one if you're if you're interested in this thing all right um yeah"
