start,end,text
0,5560," Hello everyone and welcome to yet another recreational programming session with Amista"
5560,12140," Zozin. So here we have a very simple demo for a very interesting library which is called"
12140,18640," Olivesi or Olivets depending on how you want to pronounce it and this library is rather cool in"
18640,25260," the sense that it doesn't use any sort of like graphical APIs by itself. All it does it renders"
25260,29340," everything into the array of pixels into the buffer of pixels that you're supposed to allocate"
29340,33620," yourself and then you can do whatever the hell you want with that array of pixels for example"
33620,41000," put them into html5 canvas. This is a c library this is generated by c library compiled to web"
41000,46160," assembly and then this library generated an array of pixels and we just put it into the html5 canvas"
46160,53600," it doesn't use webgl. It doesn't even use webgl2 and it doesn't use a web gpu it literally just uses"
53600,61140," html5 canvas because it grabs the array of pixels just grabs them put them into image data and just"
61140,68800," slaps the image data onto the html5 canvas. That's how it works that's how cool it is. So right so on the"
68800,76820," previous stream we were working on actually converting the obg file the obg file of this penguin called"
76820,83380," panger his name is panger right to a format where we can actually display it through this library"
83380,93860," but this particular obg file contains way more than just vertices and faces it contains also textures and we"
93860,101460," do not really display them because we don't really know how to do that yet. So today's stream is going to be dedicated to"
102180,112100," you know making the textures appear on this obg file right so um i think i tried to open that obg file"
112100,117780," through blender and i couldn't see the actual materials and stuff like that so obg file itself"
117780,124900," right and obg is a format for like a 3d uh 3d models and stuff like that so it has vertices as you can see"
124900,131460," it has additional things for normals right so here are the normals and then there is a textures right texture"
131460,137540," coordinates and stuff like that and after that come the faces which are the triangles essentially right"
137540,144420," and here is just like indices that corresponds to vertices uh texture coordinates and the normals and"
144420,152820," stuff like that uh so and also this particular obg file refers to a material file mtl right so which"
152820,160900," describes the material of the panger itself right uh so and it refers to a texture right so which is"
160900,166500," basically put on top of the panger so this is the texture but i mean it looks like a nonsense right"
166500,173060," but uh essentially it's up to the you know the texture coordinates to actually put everything in"
173060,179940," place so it looks good right that's kind of the point uh if i understand correctly um right so it's"
179940,189860," going to be rather interesting so our goal for today is going to be to understand the vertex coordinates and map"
189860,196660," them correspondingly to the uh png file and just display it as a texture luckily uh luckily we already"
196660,203540," know how to display textures on 3d faces right so in these demos which you can find in the description i'm"
203540,208900," going to put the link to this demo in the description we have this demo that demonstrates how you can do"
208900,214820," that right so essentially we have two triangles and we just put some textures on these two triangles so since"
214820,220580," we know how to do that we can port that to that demo uh right so we have a couple of 3d things in here"
220580,227940," uh right and we'll be able to to have like a texture on this penguin so uh somebody on discord warned me that"
227940,238020," the opg model is rather peculiar in the sense that it has a transparent shell around it so"
238020,245940," we have to be careful with this kind of stuff all right so so that means even if we um start handling"
245940,253140," the textures and texture coordinates we we may won't be able uh to see the actual texture of the penguin"
253140,260980," because the of the outer shell and outer shell serves as sort of like a hack to make the penguin look"
260980,266660," cartoonish uh right so it kind of makes sense when you look at it through the blender but we couldn't"
266660,271620," look through the blender because i couldn't know how to properly export it so somebody told me uh i think"
271620,277460," on youtube that you have to enable like a material mode or something like that so it recognized my"
277460,285220," material material file but it just we were not in the right sort of like mode or something uh so let's"
285220,296340," actually see so let me uh maybe go ahead and delete this cube and i'm going to try to export uh actually"
296340,302340," import the waveform so i don't know if i have to be legacy or not legacy it doesn't really tell me"
302340,309460," like what exactly it has to be so i'm going to copy paste this entire path in here uh so then i can"
309460,317940," just grab the obg file uh right so here it is and i don't really remember how you enable the uh okay"
317940,325300," material preview okay oh it actually became very slow i hope it's not going to kill my entire stream"
325300,339940," because oof so wireframe render it we can try to see maybe rendered uh yeah it doesn't look like anything"
339940,350260," honestly so i don't see any material in here uh oh here's the material though um top right corner"
350260,352820," button for showing the material"
352820,368900," i i don't see it anti-meta penguin the orbs dude there's so many things in here of these ones okay"
369460,380820," viewport shading uh like somewhere in the right top corner there is a button dude dude like somewhere"
380820,390740," in the right top corner there is a button to do this thing i swear to god blender people oh my god"
396180,404820," this is so fucking funny okay so uh there's this thing it doesn't do anything right so it's it's useless"
404820,412340," um i see i see okay so it's a waste of time i see it's a waste of time don't say all right"
412340,420260," so fuck all of that uh let's actually just jump into all of this entire thing and start maybe uh parsing"
420260,429220," all of the necessary information that we will need to make the textures appear uh right so let me actually"
429220,440500," see tools uh obg to see so the thing is the thing is um if we take a look at the um you know at the faces"
440500,449380," specifically let's actually find the face uh there are three triples right so basically there's nine"
449380,456340," numbers in here it's three triples so and the first value in the triple is the index of the vertex right"
456340,463460," so because phase is a triangle is a triangle and each vertex of the triangle is actually indexed in a global"
463460,469940," array of vertices right so and the other thing here is for each vertex i think it's the coordinates right"
469940,475700," so maybe coordinates or maybe normals and stuff like that so what i'm saying is that as of right now we"
475700,482660," only parse the first index in the triple right it's only the first index in the triple and the other two"
482660,490180," are simply ignored so the first thing in actually making it work probably would be to parse all of the indices"
490180,497140," in here uh right so the code that is responsible for parsing all of that is located in obg to see"
497140,506660," uh right and when we encounter a face i think it's just f yeah there we go so when we encounter a face"
506660,511540," we just do the textual parsing and stuff like that nothing particularly special and then we make a face"
511540,519860," right so there is a function that makes a face um so what's interesting is that it's just a structure"
519860,528500," of uh vertex indices it's a vertex indices so we'll need to introduce uh the indices for the"
528500,535460," vertex textures and the indices for the vertex uh what is that normals right so i'm thinking how we're"
535460,543220," going to be going about that so these names are very um obscure right so i would like to maybe rename"
543220,552340," them to something like the a vb vc to indicate that they are uh essentially the vertices right so maybe"
552340,560580," it would be better to even call them v1 zulu uh v2 and v3 right so then later i could introduce things like"
560580,571860," vt1 v2 2 and v2 3 right so vt and then also vn uh all right so and here we're gonna have like nine numbers in"
571860,580180," here right so we're gonna have nine numbers so it's gonna be v1 zulu v2 and v3 and in here let's just go"
580180,591380," ahead and do uh v1 for now and this one is gonna be v1 so v2 v3 and we just simply return the entire thing"
591380,599060," so we use this function only in a single place and i feel like i need to do the renaming uh in here as well"
599060,607220," as well um so i'm gonna just rename v1 uh v2 and v3 so that will break in all of the places"
607220,611220," and we're gonna just go through the compilation errors and fix them so i'm gonna do tools"
611220,619780," please break in all of the necessary places okay so here is the v1 uh v2 uh v3 so what's the next place"
619780,624980," okay so these are all of the three places okay so these are all of the three places so a is a v1 uh"
624980,633460," right so this is a v1 uh-huh uh-huh uh-huh uh-huh and this one is v2 maybe i could have just used"
