start,end,text
720,7280," What's going to be the next feature that we implement for our language?"
7280,16080," Well, one of the interesting features that we will need for self-hosting is an ability"
16080,23680," to access command line arguments, right? Because compiler has one input, right? It's the file,"
23680,27840," the source code, and the second input of the compiler is all the command line arguments that"
27840,33280," you can give it. Right, in fact, if we take a look at the command line arguments of our language,"
33280,38640," right, so there's like a usage function, right, so this is going to be def usage,"
38640,45280," so we have a lot of stuff and all of that is provided via the command line arguments."
45280,53360," What's interesting is that we already discussed that in the past, we already have a support for"
53360,59200," command line arguments by accident, completely by accident. So I'm going to demonstrate that one"
59200,68960," more time. So let me do the following thing, full ports, right? So what you can do in language,"
68960,74720," you can push some numbers onto the stack, and then you can drop those numbers from the stack. So this"
74720,79520," is a completely useless program. It pushes two numbers in the stack, and it just drops them,"
79520,84480," right? And it will literally print nothing. If I try to simulate this program, right, so this is going"
84480,89760," to be full ports, it printed nothing. If I try to compile it and run it, it will also do nothing."
89760,97520," But if you try to drop something that is not on the stack, so the stack is empty, and you try to drop"
97520,102800," something from there, if you do that in the simulation, right, if you do that in the simulation,"
102800,108880," you will get a stack under flow and Python runtime will basically throw an exception. But what's"
108880,114320," interesting is that if you compile it, right, the port is unsafe language, by the way, so you can do a"
114320,121440," lot of nasty stuff in it. It will not fail, but it will actually print something. Well, instead of drop,"
121440,127760," you have to do print. Print is like drop, but on top of dropping thing, it also prints what it dropped."
127760,134000," So let's take a look at what's going to happen, right? It will print one, right? It will print one."
134000,140640," And if you try to print one more time, if you try to drop another frame, it will also print a very big"
140640,148000," number. It will also print a very big number. If you provide more arguments for the program, right,"
148960,160720," the first number will increase. So, and this is because we use the actual like x8664 stack. We actually"
160720,168000," use the call stack as the stack for our program. And here's the interesting thing about Linux and x8664."
168000,175360," The command line arguments, the argc and argv are passed by the stack. So what we're observing in here,"
175360,185040," we're observing argc and argv. So technically we already have a support for command line arguments,"
185040,192160," but it's undefined behavior. That's the problem with this thing. It's an undefined behavior. So what I was"
192160,199040," thinking is that let's actually go ahead and take this undefined behavior and make it defined. How about"
199040,206000," that? Does it sound cool? But to make it defined, we need to add support for this kind of thing for"
206000,214720," the simulation mode, right? So we want to be able to have that in the simulation mode as well. And only"
214720,222720," after that, it will become a defined behavior. So this is how we turn bugs into features. That's pretty cool."
222720,228160," Right. So we found the bug, but it turned out to be features. So yeah, that's what we're doing. That's"
228160,233760," what we're doing. All right. But the first thing I want to do, actually, I want to write a program that"
233760,239200," iterates through command line arguments, right? And just prints all of them, right?"
241920,252880," Is that portable though? A portable across what? Right now we support Linux and exit on x8664. So right now"
252880,260000," the compiler supports only one platform. And I would say that this is portable across all of the supported"
260000,269040," platforms. So yeah, so it was just like you support one platform and it's portable across all the supported"
269040,275520," platforms. That's easy. Okay. So, uh, we're going to do something like argv and porth, right?"
275520,283040," So let's actually write, um, a simple program, uh, that basically iterates through all of the arguments"
283040,291360," and just to print them. Uh, this could be a problem. I think, I think this could be a problem because the argv"
292160,299760," are null terminated. So, and we have no way to print null terminated strings, unfortunately."
299760,309920," Uh, to, to, to, to, uh, so I'm not even sure. So is there any easy way for us to do that?"
309920,317840," Uh, maybe we can have a macro. Um, that calculates the size of the new terminated string."
319120,322640," Yeah. Let's create a macro that calculates the size of the null terminated string."
322640,334720," So, uh, std dot porth, um, okay. So this is going to be a macro std len, right? And, uh, here, uh,"
334720,341680," the input of this macro is going to be the pointer, right? Um, this is going to be the pointer and, uh,"
341680,351680," we're going to have, uh, a counter in here. So we push zero and there we go. Uh, so maybe,"
351680,358800," maybe, maybe, maybe, maybe, uh, I'm going to do actually swap, right? So that means the counter"
358800,369120," is going to be somewhere here. Uh, and we're going to have a loop while dupe, uh, and then"
369120,376320," we're going to read the byte, right? So reading is actually, uh, a comma, right? We read the byte,"
376320,382880," uh, right? And we compare it with, uh, zero, right? While this entire thing is not zero,"
382880,388800," we're going to keep iterating, right? We're going to keep iterating. So, and what we have in here is"
388800,394720," essentially, uh, pointer, and I suppose we need to increment the pointer. So we need to swap and"
394720,403600," actually we need to do one plus. So that will increment this entire thing, uh, one plus, then we need to"
403600,412160," swap, uh, which will give us this thing. And then we have to do one plus one more time and then swap one"
412160,422560," more time. There we go. So, uh, that's pretty much it, uh, I think. So after that, uh, we just need to"
422560,430000," drop the pointer, right? We just need to drop this pointer and that way we essentially transformed, uh,"
430000,439840," we essentially transformed the pointer to the string to the size of the string. Not bad, I gotta say, uh, not bad."
441360,446880," It's not a std len, it's actually str len. So let's actually test this entire thing. So if we have a"
446880,454640," hello, uh, world and, uh, we also put, uh, like a zero in here, uh, here's an interesting thing. Uh, string literal"
454640,464720," puts, um, I think it puts the size of the string and the pointer. So if I do str len, uh, I'm gonna have,"
464720,472000," yeah. So if I print it two times, uh, first thing is going to be the calculated length. And the second"
472000,478720," thing is going to be the length of the whole thing, including the zero. Yes. Including the zero. So the"
478720,484640," first length is going to be, uh, this one, uh, 12 characters. And the second one is going to be 13"
484640,491760," characters. So this is what, what I would expect in here. So if I do porth, uh, simulate, uh, argv, uh,"
491760,495600," there we go, there we go. So this is precisely what I said. The first one is going to be 12 and"
495600,501280," the second one is going to be 13. So we have a macro for calculating the length of the new terminated"
501280,507200," strings. Now, isn't that cool? Uh, so it's actually so cool that I think I'm going to add"
507200,511600," this macro to the standard library, right? So this is how we develop a standard library,"
511600,516400," right? Every time we need something, we just implement that. And, uh, if it sounds useful"
516400,520320," enough, we're going to add it to the standard library. So we already have a couple of things"
520320,525280," in here and also syscalls and stuff like that. And the standard library is only growing."
526320,539840," It is only growing. Okay. So, uh, to, to, to, to, uh, to, to, to, to, to, to, to, to, so argv. Um, now,"
539840,552000," so the first thing on the stack, uh, is argv, right? So we know that for a fact, uh, the second thing,"
552000,559600," and, uh, argc, I'm sorry, argc. The second thing is argv, right? And, uh, we need to turn that into,"
559600,564800," uh, into something useful. Um,"
564800,574480," uh, so did we F, uh, I didn't see any FH to be fair. Everything seems to be okay. Okay. So let's"
574480,584400," do the following thing. Uh, duplicate like while dupe, uh, uh, greater than zero, right?"
584400,590640," A while argc is greater than zero. Uh, we're going to do this thing and how are we going to be doing all"
590640,598160," of that? Well, I think we need to swap this entire thing, right? And just extract the next stuff from it."
598160,603360," And I suppose we'll have to swap it back, but, uh, we'll see. Uh, okay. So we've swapped this."
603360,612640," Then I need to, I suppose I need to duplicate this argv, right? I want to duplicate it. And after that,"
612640,621120," I want to dereference it. Um, so it points at another pointer. That means I need to dereference"
621120,629520," it as a 64-bit number, right? There we go. So I got that. Uh, so after that, I need to compute the"
