start,end,text
0,12780," All right, looks like we're live. Hello everyone and welcome to another Azurzin session. How about"
12780,21580," that? How about that? I bet you didn't expect that shit to happen. So today let's do a little"
21580,28540," bit of an announcement first, right? So I'm going to bring up my Discord server and let's make the"
28540,39620," announcement. Red circle live on Twitch and the topic of today's stream is essentially I rise my"
39620,46980," TempleOS. That's right. So I'm going to show the current state of my TempleOS and after that we're"
46980,53960," going to do AOC and Holy See Day 7. Right, so I'm going to give the link to the channel, right, to the stream"
53960,59280," twitch.tv slash cording. And I'm going to ping everyone who's interested in being pinged. There"
59280,65160," we go. The stream has officially started. How about that? I bet you didn't expect that the stream is"
65160,73280," going to officially start today, right? But it in fact started nonetheless. Alrighty, already, already,"
73280,83120," already. So let's take a look at GitLab. So doing AOC 2021. So for the past like six days, I suppose we"
83120,89440," were struggling with a pretty horrible default theme of TempleOS. So let's take a look at it for the last"
89440,96680," time. I'm going to go to my AOC folder. Right, by the way, all of the source code, you can find in the"
96680,103780," description. So here is here it is. Here's the source code. And for anyone, for anyone who's watching on"
103780,112520," Twitch, I'm going to copy paste this thing. All right, so let me see. So this is the default look and feel of"
112520,120560," TempleOS. We're about to witness it. There we go. So this is how it looks by default, which is kind of"
120560,128020," difficult to use. And I've been struggling to use it for like six days already. Today's like a seventh day. And I"
128020,136280," always my head always hurts after using TempleOS like for an hour is just like holy fucking shit. It's unbearable. So"
136280,141520," what I did, I did a little bit of research. And I finally found a way to actually replace the default colors of"
141520,150420," TempleOS. Luckily, it was relatively simple. So let me finish the latest changes from a repo. So and the"
150420,156460," changes that I did to the to the theme are available in the in the same repo, right? So I committed the"
156460,163720," entire configuration of my TempleOS along with the advent of code solutions. So you get basically everything"
163720,170620," for free, for free, just like TempleOS. So and after that, I'm going to merge origin master, right? So I'm merging"
170620,178960," that. So as you can see, I added a theme dot hc. And I'm going to sync the entire stuff into the temple, right? So I'm"
178960,193700," syncing all of the configuration into the temple, right? And I'm going to run my temple one more time. And this is how it's going to look like from now on. So isn't that Pogue? I think it's pretty Pogue. So essentially,"
193720,203620," what I did, what I did, I took the colors of a Groovebox theme, right? Groovebox, because apparently, it's very popular, and it's all right, it looks all right."
203620,233020," So and I basically put them into the TempleOS. So I'm going to copy paste this link into into the chat for everyone to see. And also, I'm going to put the link to the Groovebox in the description. Groovebox theme, right? I suppose it's like, it's traditionally comes from Vim, right? So and if we take a look at some of the solutions, right? So here it is, right? So this is how the source code looks like with this theme."
