start,end,text
0,29980," Let's pray."
30000,59980," Let's pray."
60000,89980," Let's pray."
90000,119980," Let's pray."
120000,149980," Let's pray."
150000,179980," Let's pray."
180000,209980," Let's pray."
210000,239980," Let's pray."
240000,269980," Let's pray."
270000,299980," Let's pray."
300000,329980," Let's pray."
330000,359980," Let's pray."
360000,389980," Let's pray."
390000,419980," Let's pray."
420000,449980," Let's pray."
450000,479980," Let's pray."
479980,509960," Let's pray."
509980,539960," Let's pray."
539980,569960," Let's pray."
569960,599940," Let's pray."
599960,629940," Let's pray."
629960,659940," Let's pray."
659940,689920," Let's pray."
689920,719900," Let's pray."
719900,749880," Let's pray."
749900,779880," Let's pray."
779880,809860," Let's pray."
809880,839860," Let's pray."
839880,869860," Let's pray."
869880,899860," Let's pray."
899880,929860," Let's pray."
929860,959840," Let's pray."
959840,989820," Let's pray."
989840,1019820," Let's pray."
1019840,1049820," Let's pray."
1049840,1079820," Let's pray."
1079840,1109820," Let's pray."
1109840,1139820," Let's pray."
1139820,1169800," Let's pray."
1169820,1199800," Let's pray."
1199820,1229800," Let's pray."
1229820,1259800," Let's pray."
1259820,1289800," Let's pray."
1289820,1319800," Let's pray."
1319820,1349800," Let's pray."
1349820,1379800," Let's pray."
1379820,1409800," Golem."
1409820,1439800," Let's pray."
1439800,1469780," Let's pray."
1469780,1499760," Let's pray."
1499760,1529740," Let's pray."
1529740,1559720," Let's pray."
1559720,1589700," Let's pray."
1589700,1619680," Let's pray."
1619680,1649660," Let's pray."
1649660,1679640," Let's pray."
1679640,1709620," Let's pray."
1709620,1739600," Let's pray."
1739600,1769580," Let's pray."
1769600,1799580," Let's pray."
1799600,1829580," Let's pray."
1829600,1859580," Let's pray."
1859580,1889560," Let's pray."
1889580,1919560," Let's pray."
1919580,1949560," Let's pray."
1949580,1979560," Let's pray."
1979560,2009540," Let's pray."
2009560,2039540," Let's pray."
2039540,2069520," Let's pray."
2069540,2099520," Let's pray."
2099540,2129520," Let's pray."
2129520,2159500," Let's pray."
2159500,2189480," I don't understand."
2189480,2219460," Let's pray."
2219460,2249440," Let's pray."
2249440,2279420," Let's pray."
2279420,2309400," Let's pray."
2309420,2339400," Let's pray."
2339400,2369380," Let's pray."
2369400,2399380," Let's pray."
2399400,2429380," Let's pray."
2429400,2459380," Let's pray."
2459380,2489360," Let's pray."
2489360,2519340," Let's pray."
2519340,2549320," Let's pray."
2549320,2579300," Let's pray."
2579300,2609280," Let's pray."
2609280,2639260," Let's pray."
2639260,2669240," Let's pray."
2669240,2699220," Let's pray."
2699220,2729200," Let's pray."
2729200,2759180," Let's pray."
2759180,2789160," Let's pray."
2789160,2819140," Let's pray."
2819140,2849120," Let's pray."
2849120,2879100," Let's pray."
2879100,2909080," Let's pray."
2909080,2939060," Let's pray."
2939060,2969040," Let's pray."
2969040,2999020," Let's pray."
2999020,3029000," Let's pray."
3029020,3059000," Let's pray."
3059000,3088980," Let's pray."
3088980,3118960," Let's pray."
3118960,3148940," Let's pray."
3148940,3178920," Let's pray."
3178920,3208900," Let's pray."
3208920,3238900," Let's pray."
3238900,3268880," Let's pray."
3268880,3298860," Let's pray."
3298880,3328860," Let's pray."
3328880,3358860," Let's pray."
3358860,3388840," Let's pray."
3388860,3418840," Let's pray."
3418860,3448840," Let's pray."
3448860,3478840," Let's pray."
3478840,3508820," Let's pray."
3508820,3538800," Let's pray."
3538820,3568800," Let's pray."
3568800,3598780," Let's pray."
3598800,3628780," Let's pray."
3628780,3658760," Let's pray."
3658780,3688760," Let's pray."
3688760,3718740," Let's pray."
3718740,3748720," Let's pray."
3748720,3778700," Let's pray."
3778700,3808680," Let's pray."
3808680,3838660," Let's pray."
3838660,3868640," Let's pray."
3868640,3898620," Let's pray."
3898620,3928600," Let's pray."
3928600,3958580," Let's pray."
3958580,3988560," Let's pray."
3988560,4018540," Let's pray."
4018540,4048520," Let's pray."
4048520,4078500," Let's pray."
4078520,4108500," Let's pray."
4108500,4138480," So, okay."
4138480,4168460," Let's pray."
4168460,4198440," Let's pray."
4198440,4228420," Let's pray."
4228420,4258400," Let's pray."
4258400,4288380," Let's pray."
4288380,4318360," Let's pray."
4318360,4348340," Let's pray."
4348360,4378340," Let's pray."
4378340,4408320," Let's pray."
4408320,4438300," Let's pray."
4438300,4468280," Let's pray."
4468280,4498260," Let's pray."
4498260,4528240," Let's pray."
4528240,4558220," Let's pray."
4558220,4588200," Let's pray."
4588200,4618180," Let's pray."
4618180,4648160," Let's pray."
4648160,4678140," Let's pray."
4678140,4708120," Let's pray."
4708120,4738100," Let's pray."
4738100,4768080," Let's pray."
4768080,4798060," Let's pray."
4798060,4828040," Let's pray."
4828040,4858020," Let's pray."
4858020,4888000," Let's pray."
4888000,4917980," Let's pray."
4917980,4947960," Let's pray."
4947960,4977940," Let's pray."
4977940,5007920," Let's pray."
5007920,5037900," Let's pray."
5037900,5067880," Let's pray."
5067880,5097860," Let's pray."
5097860,5127840," Let's pray."
5127840,5157820," Let's pray."
5157820,5187800," Let's pray."
5187820,5217800," Let's pray."
5217800,5247780," Let's pray."
5247780,5277760," Let's pray."
5277780,5307760," Let's pray."
5307760,5337740," Let's pray."
5337740,5367720," Let's pray."
5367720,5397700," Let's pray."
5397700,5427680," Let's pray."
5427680,5457660," Let's pray."
5457660,5487640," Let's pray."
5487640,5517620," Let's pray."
5517620,5547600," Let's pray."
5547600,5577580," Let's pray."
5577580,5607560," Let's pray."
5607560,5637540," Let's pray."
5637540,5667520," Let's pray."
5667520,5697500," Let's pray."
5697500,5727480," Let's pray."
5727480,5757460," Let's pray."
5757460,5787440," Let's pray."
5787440,5817420," Let's pray."
5817420,5847400," Let's pray."
5847400,5877380," Let's pray."
5877380,5907360," Let's pray."
5907360,5937340," Let's pray."
5937340,5967320," Let's pray."
5967320,5997300," Let's pray."
5997300,6027280," Let's pray."
6027280,6057260," Let's pray."
6057260,6087240," Let's pray."
6087240,6117220," Let's pray."
6117220,6147200," Let's pray."
6147200,6177180," Let's pray."
6177180,6207160," Let's pray."
6207160,6237140," Let's pray."
6237140,6267120," Let's pray."
6267120,6297100," Let's pray."
6297100,6327080," Let's pray."
6327100,6357080," Let's pray."
6357080,6387060," Let's pray."
6387060,6417040," Let's pray."
6417040,6447020," Let's pray."
6447020,6477000," Let's pray."
6477000,6506980," Let's pray."
6506980,6536960," Let's pray."
6536960,6566940," Let's pray."
6566940,6596920," Let's pray."
6596920,6626900," Let's pray."
6626900,6656880," Let's pray."
6656880,6686860," Let's pray."
6686860,6716840," Let's pray."
6716840,6746820," Let's pray."
6746820,6776800," Let's pray."
6776800,6806780," Let's pray."
6806780,6836760," Let's pray."
6836760,6866740," Let's pray."
6866740,6896720," Let's pray."
6896720,6926700," Let's pray."
6926700,6956680," Let's pray."
6956680,6986660," Let's pray."
6986660,7016640," Let's pray."
7016640,7046620," Let's pray."
7046620,7076600," Let's pray."
7076600,7106580," Let's pray."
7106600,7136580," Let's pray."
7136580,7166560," Let's pray."
7166560,7196540," Let's pray."
7196540,7226520," Let's pray."
7226520,7256500," Let's pray."
7256500,7286480," Let's pray."
7286480,7316460," Let's pray."
7316460,7346440," Let's pray."
7346440,7376420," Let's pray."
7376420,7406400," Let's pray."
7406400,7436380," Let's pray."
7436380,7466360," Let's pray."
7466360,7496340," Let's pray."
7496340,7526320," Let's pray."
7526320,7556300," Let's pray."
7556300,7586280," Let's pray."
7586280,7616260," Let's pray."
7616260,7646240," Let's pray."
7646240,7676220," Let's pray."
7676220,7706200," Let's pray."
7706200,7736180," Let's pray."
7736180,7766160," Let's pray."
7766160,7796140," Let's pray."
7796140,7826120," Let's pray."
7826120,7856100," Let's pray."
7856100,7886080," Let's pray."
7886080,7916060," Let's pray."
7916060,7946040," Let's pray."
7946040,7976020," Let's pray."
7976020,8006000," Let's pray."
8006000,8035980," Let's pray."
8035980,8065960," Let's pray."
8065960,8095940," Let's pray."
8095940,8125920," Let's pray."
8125920,8155900," Let's pray."
8155900,8185880," Let's pray."
8185900,8215880," Let's pray."
8215880,8245860," Let's pray."
8245860,8275840," Let's pray."
8275840,8305820," Let's pray."
8305820,8335800," Let's pray."
8335800,8365780," Let's pray."
8365780,8395760," Let's pray."
8395760,8425740," Let's pray."
8425740,8455720," Let's pray."
8455720,8485700," Let's pray."
8485700,8515680," Let's pray."
8515680,8545660," Let's pray."
8545660,8575640," Let's pray."
8575640,8605620," Let's pray."
8605620,8635600," Let's pray."
8635600,8665580," Let's pray."
8665580,8695560," Let's pray."
8695560,8725540," Let's pray."
8725540,8755520," Let's pray."
8755520,8785500," Let's pray."
8785500,8815480," Let's pray."
8815480,8845460," Let's pray."
8845460,8875440," Let's pray."
8875440,8905420," Let's pray."
8905420,8935400," Let's pray."
8935400,8965380," Let's pray."
8965380,8995360," Let's pray."
8995360,9025340," Let's pray."
9025340,9055320," Let's pray."
9055320,9085300," Let's pray."
9085300,9115280," Let's pray."
9115280,9145260," Let's pray."
9145260,9175240," Let's pray."
9175240,9205220," Let's pray."
9205220,9235200," Let's pray."
9235200,9265180," Let's pray."
9265180,9295160," Let's pray."
9295160,9325140," Let's pray."
9325160,9355140," Let's pray."
9355140,9385120," Let's pray."
9385120,9415100," Let's pray."
9415100,9445080," Let's pray."
9445080,9475060," Let's pray."
9475060,9505040," Let's pray."
9505040,9535020," Let's pray."
9535020,9565000," Let's pray."
9565000,9594980," Let's pray."
9594980,9624960," Let's pray."
9624960,9654940," Let's pray."
9654940,9684920," Let's pray."
9684920,9714900," Let's pray."
9714900,9744880," Let's pray."
9744880,9774860," Let's pray."
9774860,9804840," Let's pray."
9804840,9834820," Let's pray."
9834820,9864800," Let's pray."
9864800,9894780," Let's pray."
9894780,9924760," Let's pray."
9924760,9954740," Let's pray."
9954740,9984720," Let's pray."
9984720,10014700," Let's pray."
10014700,10044680," Let's pray."
10044680,10074660," Let's pray."
10074660,10104640," Let's pray."
10104640,10134620," Let's pray."
10134620,10164600," Let's pray."
10164600,10194580," Let's pray."
10194580,10224560," Let's pray."
10224560,10254540," Let's pray."
10254540,10284520," Let's pray."
10284520,10314500," Let's pray."
10314520,10344500," Let's pray."
10344500,10374480," Let's pray."
10374480,10404460," Let's pray."
10404460,10434440," Let's pray."
10434440,10464420," Let's pray."
10464420,10494400," Let's pray."
10494400,10524380," Let's pray."
10524380,10554360," Let's pray."
10554360,10584340," Let's pray."
10584340,10614320," Let's pray."
10614320,10644300," Let's pray."
10644300,10674280," Let's pray."
10674280,10704260," Let's pray."
10704260,10734240," Let's pray."
10734240,10764220," Let's pray."
10764220,10794200," Let's pray."
10794200,10824180," Let's pray."
10824180,10854160," Let's pray."
10854160,10884140," Let's pray."
10884140,10914120," Let's pray."
10914120,10944100," Let's pray."
10944100,10974080," Let's pray."
10974080,11004060," Let's pray."
11004060,11034040," Let's pray."
11034040,11064020," Let's pray."
11064020,11094000," Let's pray."
11094000,11123980," Let's pray."
11123980,11153960," Let's pray."
11153960,11183940," Let's pray."
11183940,11213920," Let's pray."
11213920,11243900," Let's pray."
11243900,11273880," Let's pray."
11273880,11303860," Let's pray."
11303860,11333840," Let's pray."
11333840,11363820," Let's pray."
11363820,11393800," Let's pray."
11393800,11423780," Let's pray."
11423780,11453760," Let's pray."
11453760,11483740," Let's pray."
11483740,11513720," Let's pray."
11513720,11543700," Let's pray."
11543700,11573680," Let's pray."
11573680,11603660," Let's pray."
11603660,11633640," Let's pray."
11633640,11663620," Let's pray."
11663620,11693600," Let's pray."
11693600,11723580," Let's pray."
11723600,11753580," Let's pray."
11753580,11783560," Let's pray."
11783560,11813540," Let's pray."
11813540,11843520," Let's pray."
11843520,11873500," Let's pray."
11873500,11903480," Let's pray."
11903480,11933460," Let's pray."
11933460,11963440," Let's pray."
11963440,11993420," Let's pray."
11993420,12023400," Let's pray."
12023400,12053380," Let's pray."
12053380,12083360," Let's pray."
12083360,12113340," Let's pray."
12113340,12143320," Let's pray."
12143320,12173300," Let's pray."
12173300,12203280," Let's pray."
12203280,12233260," Let's pray."
12233260,12263240," Let's pray."
12263240,12293220," Let's pray."
12293220,12323200," Let's pray."
12323200,12353180," Let's pray."
