start,end,text
640,6000," Hello everyone and welcome to yet another recreational programming session."
6000,11520," How about that? So today we're going to continue working on NN.h which is a deep"
11520,15600," learning framework in C that we've been developing for quite some time. You can"
15600,20400," find the source code of this thing here in the description. And today I"
20400,26680," wanted to focus on something rather interesting. So in the third episode of"
26680,30560," machine learning in C which you can find in the description. So it's called the"
30560,34900," most important machine learning algorithm. It was brought to my attention that the"
34900,39340," way I do back propagation is not particularly traditional. It was brought"
39340,44920," to my attention by Francis Kim Johnson. I hope I ran your name correctly. Thank"
44920,51940," you so much for pointing that out. So essentially if we take a look at a very"
51940,57820," simple model which is basically a sequence of neurons. So we have M neurons"
57820,61960," and each of them is connected with a certain connection with a certain weight"
61960,67360," and each of them have a certain bias. And for the sake of simplicity let's"
67360,70300," actually say that we're not going to have too much data. Let's say we're going to"
70300,76360," have like one single sample of data so we don't have to do the sum and then take an"
76360,80500," average of it. So there will be no sigma sign and divided by n. So it's going to be"
80500,82240," super simple. Right."
82240,89200," So if you use my approach where I defined a sequence of cost functions for each"
89200,94420," individual layer you're going to end up with something like this. Right. But if you"
94420,100180," consider a cost function as a single entity and you literally just tank all of the"
100180,105460," math and compute each individual partial derivative manually, you will end up with"
105460,109360," something like this. And this is what was pointed out by this specific pull request."
109360,119140," Right. So this is pretty much the same thing except, right, we do not multiply by two on each"
119140,124600," individual layer. Right. So here we only multiply by two the first time for the"
124600,129820," derivative of the activation of the last layer. And then we continue just like"
129820,136220," multiplying by the corresponding derivatives of the current layer. Right. So there's no"
136220,141940," like constant multiplying by two. And my approach actually results in something very"
141940,147660," interesting. And it results in the parameters of the first layer being"
147660,154500," modified too quickly. Because as you progress towards the beginning of the neural network,"
154500,161660," you keep multiplying by two. So the parameters start to basically change faster and faster and"
161660,169200," faster. Right. So you can even see that effect in the simulations that we actually implemented"
169200,176400," specifically in image.nn. Right. So where we train the neural network to act like an image,"
176400,181700," actually like two images. So then we can interpolate between them. Right. So let me actually"
181700,185860," maybe rebuild this entire thing just in case, so we have a fresh build and stuff like that."
185860,200860," There we go. I'm gonna sip my tea while everything is building. And let's actually start the image to nn."
200860,205360," And let's provide two images that we want to interpolate. Right. So I have a little bit of a"
