start,end,text
0,8880," looks like we're live hello everyone and welcome to yet another azuzian session let's make a"
8880,16240," little announcement and officially start the stream in just a second so my discord is loaded"
16240,22240," up also it's recomputing the layout as usual um i suppose it's specifically the the chromium that"
22240,27600," we can you can recompute the layout the layout is so complex you need so much time to to recompute"
27600,34960," all of that am i right so uh let's do a red circle um and uh we're gonna say live on twitch and what"
34960,42640," are we doing today on twitch.a television so today we continue developing olive c which is the c graphics"
42640,46400," library that we've been developing for quite some time so today we're gonna just continue developing"
46400,54000," this thing uh so let me give the link to the twitch uh channel where we're doing all of that so twitch.tv"
54000,59200," slash sodding and i'm gonna ping everyone who's interested in and being pinked it's a basically a"
59200,64560," role uh right that you can assign you to yourself if you go to the roles channel right so you click"
64560,70720," corresponding the mode and you're getting pinked every time so i know that discord uh introduced"
70720,76560," like a special kind of channel called announcements and i think it has this kind of functionality but i'm"
76560,83520," a i'm a i'm a veteran discord user so i just like do things the old way and to be to be fair i just i'm"
83520,88880," just too lazy to research how to properly do all of that i just like i just couldn't be bothered so"
88880,97760," the current way works everything's fine so yeah let's continue so lego maggor thank you so much for two"
97760,102960," months of t1 subscription thank you thank you thank you and hello hello everyone uh really glad to see you all"
102960,107120," today so you can find the source code of the library that we're going to be continuing developing today"
107120,112320," in here i'm going to copy paste it in the chat and for people who are watching that on youtube i'm"
112320,118160," going to give the link in the description so you can find it in there uh so the library allows you"
118160,123840," to do this kind of stuff right so essentially it it's not really concerned with displaying things"
123840,128400," even though you can see some things but this is done not by the library but by additional code"
129040,135520," the library is only concerned with filling up the memory right so you give it a chunk of memory"
135520,141200," and you ask it to draw some primitives in there and it just renders all the primitives in into that chunk"
141200,146000," of memory then you take that chunk of memory and you do something with that chunk of memory maybe you"
146000,150880," display it on the window maybe you save it as an as an image file you can do whatever you want you can"
150880,158000," generate animations right so you basically ask it to draw primitives in a sequential manner and you get"
158000,165600," animations like this so it can generate like gradients for for the triangles uh semi-transparent circles"
165600,171600," uh you can do a little 3d so though this specific 3d is not done by the library we're just using a very"
171600,179200," simple formula to map a 3d point into the 2d screen but it's such a simple thing that i didn't put that"
179200,184000," in me uh in the library but maybe in the future i'm going to actually take all of the code that is related"
184000,190000," to 3d uh in the demos and stuff like that and make it part of the library as well so you can just have"
190000,195120," like a proper 3d and stuff like that and keep in mind we're not using opengl this is cpu only"
195840,202400," all of that is cpu only and memory pixel by pixel into the memory so that's kind of the point of the"
202400,209120," of the library because of that library is slow it is slower than you would use opengl but at the same"
