start,end,text
0,6800," Hello everyone and welcome to yet another recreational programming session with Mr. Zuzin."
6800,14080," So on the previous session we did a little bit of a web development in NativeAssembly."
14080,20880," You can find the link to that session here in the description, so I put the link for you."
20880,28640," I think that was very educational and that was very interesting, but as much as it was interesting"
28640,36000," and educational, it was basically a reiteration of the same idea I did for Porth series. Porth is,"
36000,40160," for those who don't know, is my own programming language that I developed a long time ago."
40160,45840," I paused that project because I think I achieved everything I wanted to achieve, so when I come up"
45840,51840," with something more interesting to work in that language, maybe I can go back to it. So essentially"
51840,58400," what I did in that language, I implemented a very simple web server and I did it literally the same"
58400,65520," way as I did the web development in Fuzzin. So essentially I just created a bunch of bindings"
65520,70160," for the Linux syscalls, I just opened the TCP server and I listened to it and I served the page,"
70160,75200," which is hardcoded. If you're interested in that session, it's also going to be available in the"
75200,82560," description. So I'm also going to put a link in the description. I don't really like to reiterate"
82560,89680," myself too often without at least introducing something new and interesting. It was still"
89680,95360," cool, don't get me wrong, because in the Porth session what we did, we looked at that through"
95360,101680," the lens of the Porth abstraction. In the previous session what we did, we actually stripped off that"
101680,108160," Porth abstraction and worked directly with machine instructions, so at least that provided the connection"
108160,114400," between these two languages. I actually recommend to watch both of the sessions just to see"
114400,119920," how whatever you do in the higher level language connects to what is going on actually"
119920,125280," on the lower level with machine instructions. I think it is actually educational because people tend to"
125280,130240," completely abstract themselves away from what is going on in the machine and I think keeping"
130880,136800," in mind what is actually going on on the actual hardware is very important because it gives you more"
136800,141920," insights into what kind of problems you may encounter and why things work the way they do."
141920,153600," And essentially I wanted to expand on that idea on basically serving the hardcoded page and what I did,"
153600,161520," I developed like a full web application in assembly like a to-do application, right? So you can find the"
161520,166720," source code here in the description as well and let's take a look at it, right? So let's actually"
166720,174240," take a look at it. I think it's rather interesting, it came out rather fun, right? So essentially it consists"
174240,180080," of like a single file, actually it consists of three files, right? linux inc, todoasm and utils inc,"
180080,187680," but to-doasm actually includes all of them, right? So everything that starts with the extension inc is"
187680,193040," supposed to be included and the main file is asm, so inc are some sort of like chunks that you're supposed"
193040,202000," to include. Right, so in essentially what you do, you just compile to-doasm like so and it produces four"
202000,209040," kilobyte executable, right? And you simply run it, you simply run that executable. I can't run it because it"
209040,215120," doesn't have any execution permissions because my fuzzm do be like that, though somebody in the comments"
215120,221200," told me that fuzzm for them actually adds the execution permission, but keep in mind that I'm"
221200,227760," using Debian, like maybe they fixed that in the latest version of fuzzm, right? So maybe in old versions it"
227760,233600," didn't do that, like I don't really know what is going on. Right, so let's actually try to run that and"
233600,237520," it started the web server as we did with the application that we developed in the previous"
237520,243280," session and what you're supposed to do, you're supposed to go to localhost 6969 and you've got a"
243280,250080," to-do application, an actual interactive to-do application. Right, so you can add some things in"
250080,260720," here like coffee, right, tea, milk. You can remove some of these things and furthermore I edit a button"
260720,267200," to shut down the server in case you're done with all of that stuff and if you refresh the page it's not"
267200,271920," working anymore and the application actually has finished. The application actually has finished."
272560,280480," You can restart it and you can visit that page again and it persists its own state. It remembered that you put"
280480,287280," coffee and milk in there and the way it does that, right, it stores the state on the file system, right?"
287280,293040," You cannot see that, but yeah, there we go. So it creates a separate file in this in the current working folder"
293040,299840," and it just stores its own state in there and it does that every time you modify something in there, so it just saves it."
300800,311040," That's the whole application and it's written entirely in assembly, in Linux x86-64 native assembly."
311040,315840," And it's not that difficult, it's not that complicated, I would even say. So, and on today's session what I"
315840,321920," want you to do, I want you to actually walk through the implementation of this to-do application. Actually,"
321920,328800," I implemented these things in a span of like four streams. I personally didn't like how the streams came out,"
329040,337280," so instead of publishing them, I decided to just like make a walkthrough of the final application and show the"
337280,343040," main ideas and how exactly I implement this entire thing. So it's sort of like a new format that we may"
343040,348560," try and see how it goes. So let me know if you like these kind of sessions where we just walk through"
348560,352960," that is already through the things that are already implemented rather than implementing them completely"
352960,358880," from scratch. Right, so maybe that is more interesting because everything is already ready, so you just like"
358880,366400," walk through the things that are already implemented. So anyway, let's take a look at how exactly it works."
366400,372720," So I think the easiest thing to do would be to take a look at the dev tools. Right, so let me actually maybe"
372720,378640," zoom out a little bit and let's try to add a new thing. For example, hello. What is going to happen? It"
378640,384960," performed a request. It performed the request. So what kind of request did it perform? It performed the post request."
384960,391440," That's very interesting. So it performed the post. And what did it post? It actually posted the following"
391440,400720," payload. Right, to do equals hello. Right, so what's interesting is that if I just reload the page, it performed"
400720,412000," a get request. So this entire thing supports different kind of methods, http methods. Right, and the kind of"
412000,418320," method that we have in http are get, post, put, delete, and so on and so forth. So I think there is"
418320,423040," also patch. I don't remember all of them, but yeah, basically these are different methods that have"
423040,431120," different sort of purposes. Right, gets the resource by the URL, post sort of adds a new resource by the"
431120,438080," URL, deletes the resource, and so on and so forth. So what's interesting about this application is that on"
438080,444080," the frontend we don't use any javascript. So because of that we are using forms to perform"
444080,453600," post requests. All right, there we go. So this entire thing is an old-school form. Right, so and I did that."
453600,459200," The reason why I didn't use any javascript, so I have an opportunity to claim that this application is"
459200,465840," written entirely in assembly. Entirely in assembly. So there is no reason to not use javascript on the"
465840,470160," frontend, to be fair, but I mean that ruins the clickability of the title. You know what I'm talking"
470160,475200," about? You know what I'm talking about? So sometimes as a content creator you have to make very stupid"
475200,480960," technical decisions just for the marketing purposes. And it's applicable not only to content creatorship,"
480960,488080," right? Actually it's applicable like anywhere, right? So sometimes just for the sake of marketing,"
488080,494320," for the sake of propaganda you need to make very stupid technical decisions, right? So good fucking"
494320,503280," doing. But anyway, so this is a form, right? And we use method post, right? So we use method post and"
503280,511360," essentially we have an input field for the button, right? So this is a plus button and the input field for"
511360,520400," where we put the title, right? It has the name to do. And that explains why in the payload, right? So in the"
520400,527360," payload we saw this specific thing, right? Which is to do world, because that's the name of the input field"
527360,535680," of the form. So that's basically how you retrieve the list of to-dos. I just refreshed the post again,"
