start,end,text
320,6240," Hello everyone, and welcome to yet another recreational programming session with Mr. Zozin."
6240,11680," So recently, not quite recently, but some time ago, I discovered this really interesting thing."
11680,18560," You probably saw me experimenting with C3. Right. And honestly, at the time when I was"
18560,23760," experimenting with this thing, I didn't know that there was a prequel to C3 apparently. So the real"
23760,32880," sequel to C is actually C2. Right. But for some reason, I only learned it after I learned about C3."
32880,40080," So I think it would be fair to look at C2 as well. Right. Because it's kind of like a similar idea."
40080,46720," And if I remember correctly, I think C3 was even sort of like a fork of C2, but I'm not 100% sure."
46720,55360," Don't quote me on that. What I know as well is that the creator of C3 was also a contributor to C2."
55360,59440," This is one of the things we can see in here actually. Right. So Lerner is here."
59440,63680," So he was also contributing to this project. And this project..."
63680,73440," The author actually modifying the language in real time as we streaming."
74800,80320," I wonder if they watch this. I don't know. So I didn't know what exactly happened that led to"
80320,86320," creation of C3. Maybe it's, you know, maybe Lerner was not satisfied with the direction the project"
86320,93200," going and stuff like that. I'm not going to go into that. My goal is to just look at this language"
93200,99440," in a similar way as I looked at C3 and see whether it's better or maybe I like it better or something"
99440,104480," like that. I just want to explore it. Right. So I'm not really interested in internal politics or"
104480,108320," anything like that. I'm interested in programming languages. Right. So because I'm programming"
108320,114640," programming nerds. Right. So anyway, let's take a look at this thing. So can I download? Apparently"
114640,121200," there is no downloading in here. Right. So and there's no releases. So I suppose you are expected to build it"
121200,127040," from the source code. Since we are nerds, we're not afraid of building things from source code. Right."
127040,135920," So let's go ahead and do that. Right. So what do we have? I'm going to go to prob. Maybe I'm going"
135920,142640," to go to third party because this is where I usually do things. Let's see how difficult or easy it is to"
142640,152000," just build this entire thing from scratch. There we go. So I hope there's not too many. 2000 commits."
152000,157040," Oh, it's already. It's already actually a clone. So everything's fine. So what do we have in here?"
157040,163200," We have install and I suppose. Oh, that's a lot of instructions. So you're supposed to do bin."
163200,171280," Basic installation. You do bin code. Oh, you're supposed to even install it manually. All right."
171280,178400," So to bootstrap install C2C, the following tools are needed. GCC and make, but there's also CMake."
178400,184000," No, no, there's no CMake. How do you build it exactly? Who?"
184000,195520," Wait, am I going crazy? So you create this thing and you just clone."
198160,209760," but this is the, I'm confused. Am I, am I going stupid? I don't see how to build. Where is the build Z?"
209760,220400," That would have been actually, yo, what the fuck? I wonder if anybody actually tried to submit like a build"
220400,227040," Z to C3 in a compiler, probably in the compiler. All right. So"
228000,240000," No, so you need to bootstrap it. Oh, and there's also bootstrap in here. Ah, oh, this is fascinating."
240000,248320," So yeah, so it's written in itself. Apparently, I guess, uh, what am I looking at? So the C2 programming"
248320,256320," language, uh, this is a written in C2 itself. Oh, it's written in itself. You have to literally bootstrap it."
256320,261840," But anyway, so has anybody tried to actually submit build.zeek? Holy shit."
261840,266320," Ow, somebody just mentioned build.zeek."
266320,276880," Bro, imagine like going to other competing languages and submitting build.zeek as an additional build."
276880,288640," Holy, this is like a peak annoying. Like you want to be like extra annoying. You go to the other languages and"
288640,295440," just submit it. Like go to Odin. Right. Go to Odin and submit build.zeek. Holy fucking shit."
297680,305520," Oh, that is so good. So anyway, so there are apparently several C2 compilers, right? So there"
305520,313040," is a C2 compiler, which is that and there is C2C native C2 compiler written in C2."
315360,320880," Okay. So apparently, I think I just have to read the documentation on how to do that. So installation."
320880,326960," So the bootstrap install, uh, C2C, the following tools are needed. GCC and make. I'm pretty sure I"
326960,333120," do have them. So here's GCC and here is the make. So I do have them. The fastest way to just use C2C"
333120,340400," up and running is just following the next steps. The explanation of what it does is below. I mean, I know how to read"
340400,347360," bash, right? So you do bin. Then inside of the code, right inside of the code, um,"
347360,360320," uh, so you have to go to bin. So that means you have to get C2C specifically. C2C, but I don't see this"
360320,370000," thing. There is no such thing in here. Uh, unfortunately there is no such thing. So you just link this thing."
370000,377280," Okay. That doesn't make sense. Okay. So then you create a code, just code, but do you see D in there?"
377280,384480," I don't know. Then you get clone C2 libraries and then C2 compiler you do in bar. Okay. So then you"
384480,390400," do like, why do you need to do these things, right? When the code doesn't exist or anything like that."
