start,end,text
880,7760," Hello everyone and welcome to yet another Zozing session. How about that? So today I want you to"
7760,13080," take a look at some interesting esoteric programming language. It's a concatenative"
13080,21520," programming language, right? So, and one of the probably widespread class of concatenative"
21520,28200," programming languages is a stack-based programming language. One of such languages is Porth. Porth"
28200,34760," is the language that we've been developing for quite some time. You can find this language"
34760,45080," on the GitHub, I'm pretty sure. So, let me actually give you the link. Gitlab.com/porth, right?"
45080,52280," I hope I spelled it correctly. So, here it is. You can find it in here. Porth. And there we go. So,"
52280,57000," and what's interesting about concatenative programming languages is that any operation in that language"
57000,63800," operates on the stack, right? So, stack is a data structure where you can push the elements on top"
63800,69000," of the stack and pop the elements from the top of the stack. But you cannot access the elements at the"
69000,75960," bottom of the stack, right? So, it sort of emulates the actual stack of things, like stack of plates."
75960,80600," For instance, when you have a stack of plates, you can only access the top plate, right? But you can't"
80600,85800," really access the bottom one unless you want to break everything. Right? So, if you've never heard about such"
85800,91880," data structure, just google up stack, data structure, and you'll find a lot of interesting information to"
91880,99800," learn from. Right? So, and in Porth, for instance, any operation operates on so-called data stack, right?"
99800,106360," So, a number, just a number in that language means that you push that number on top of the stack, right? So,"
106360,113960," and this, for example, pushes the number five on top of the stack. Then, if you put another number, that pushes"
113960,119480," another number on top of the stack. And if you do plus, it's an operation that pops two elements from"
119480,126280," the top of the stack, sums them up, and pushes the result back on top of the stack, right? And then you"
126280,132920," can do print. And what print does, it just pops the elements from the top of the stack, prints it. And"
132920,136680," that's it. I think it doesn't do anything else. Yeah. So, basically, it removes the elements from the stack."
137240,142920," So, for instance, this thing will print 11, right? So, because it will put five on top of the stack,"
142920,148440," then six, then we'll sum them up, and then we'll print the result, which is 11. Right? So, this is a"
148440,155240," stack-based programming language. So, the language that I want to take a look at today actually uses a"
155240,162440," different structure. Excuse me. It uses deck, right? And it's literally called a deck programming language."
162440,172680," So, let me actually put it in here. Deck. Right. And here's the idea. Deck is an ad-hoc example by"
172680,178120," Christopher Diggins. I don't know who that is, but maybe it's a famous person in concatenative programming"
178120,184920," language community. For concatenative language, that is not a stack language. It uses deck instead. To"
184920,190360," quote from his message to concatenative mailing list, allow me to present the deck language that I just"
190360,197560," made up. One exclamation mark pushes a one to the right of the deck. So, I presume, like, basically,"
197560,203400," the placement of the exclamation mark denotes to which side of the deck you're pushing. Right. For those"
203400,208680," who doesn't know, the deck is a data structure where you can access both of the ends. As I already said,"
208680,214360," in the stack, you can only access one end. Right. In the deck, you can access both of the ends. You can"
