start,end,text
280,9960," have you ever tried to learn react i think i tried uh because i was thinking maybe i need to take like"
9960,17380," a job for react like i used to do like um what was it called freelancing and i was considering"
17380,21860," taking like a maybe front-end react job but i didn't know react and i wanted to learn it and"
21860,26060," i opened it up and i just like i don't want to learn this shit and i just decided not to"
27120,30760," maybe the time has come to learn react i kind of know how it works though"
30760,34940," i kind of know how it works so maybe we should learn react"
34940,40120," so let's actually go ahead and learn react"
40120,54260," so learn um how to create so yeah okay so you create labatone you create labatone uh"
54260,62520," all right and then you use labatone in your application okay so and uh cool"
62520,70720," so that doesn't tell you how to start your application this is very bad tutorial by the way"
70720,78820," right uh so maybe the we have to start with the installation right how to start a new react project"
78820,86340," so um so next js but i don't want to do next js i know that next js is a thing on top of the"
86340,95460," uh of the stuff uh let's go ahead and probe uh make dear react uh yeah let's do react"
95460,103580," um there we go can i just do npm init right so we're gonna just do it but i mean i already called"
103580,114680," it react so i probably have to do react hello uh world right uh npm init right so let's just"
114680,115840," initialize this entire"
115840,126700," okay okay uh okay react hello world uh version one uh i don't want to do anything in here okay"
126700,136060," test command git repository keywords author mit and yes there you go so npm uh right install"
136060,142560," react can you just install react maybe i should have actually saved this entire thing let's do uh"
142560,150300," save all right so that will add that to uh you know package json right so we have a package json"
150300,158460," thingy so there you go uh so do we have react in here so and maybe in here we also have node modules"
158460,163960," so there is a react uh and everything in here i have no idea how you're supposed to use that you're"
163960,170760," supposed to i guess you're supposed to just include this index thingy in there right to use react and stuff"
170760,176860," like that so you probably have to like bundle this entire shit right so you probably have to bundle"
176860,187100," this entire shit so i don't think uh i don't think how it works so uh yusu yusu yusu describing the"
187100,196220," eye thinking in react so maybe a reference i want an old-fashioned react right i want an old-fashioned react"
196220,203960," without this next js bullshit like i don't don't really want that uh react hello so let's actually"
203960,210320," search for that uh create the react hello world app so for people who are asking like how to learn a new"
210320,218120," thing you just fuck around you just fuck around and then you find out uh then you find out so you have"
218120,225860," like a create react hello world maybe this is what should have done okay so let's actually try to do that then"
225860,232760," so it will probably create a new folder but we'll see so uh need to install the following package okay so yes"
232760,235220," there we go"
235220,246700," we probably need to i probably need to change the title by the way"
246700,258440," uh like learning react to get job at google so that's basically what i'm doing because google uses react"
258440,266680," right so google uses react i think uh i think it does so it's what is it downloading"
266680,271540," this like um why does it take so much time"
271540,280420," it's downloading the entire universe holy shit"
280420,288300," so the the snake in the loading is agonizing that's how bad it is it's fucking agonizing"
288300,291640," typescript it's downloading typescript why"
291640,298460," why why the fuck it is downloading typescript like why the fuck like"
298460,316120," what the fuck just happened"
316120,325300," is this normal for react people say yes okay"
325300,332420," okay i'm gonna bring you here so because this is hilarious"
332420,341940," okay so we're gonna go inside of hello world uh let's take a look at the size of the"
341940,363080," um so i think i lost the instructions okay so we can do npm start uh npm run build npm run eject"
363080,376480," okay um so let me take a look so we have src uh so i didn't want to do that i want to actually"
376480,382320," take a look at js uh and there we go finally something familiar finally i can see something"
382320,392580," familiar um report web vitals okay so and then you have an app right so basically have an app and i"
392580,399680," suppose app is uh located somewhere here so here is the app so we have a header uh image"
399680,408780," logo edit code src and save to reload uh learn react and let's replace it uh with your mom"
408780,415940," right so we want to do npm start right what was that start right so i remember there was start"
415940,423160," so development server right so we want to do start um yes so yes so yes so and uh it did already start"
423160,430100," uh it's probably trying to start and it opens my browser uh right so we're trying to open the local"
430100,437040," host one of the dependencies is importing the babel import blah blah blah it's not even fucking"
437040,452380," loading bro uh okay um yeah we did it we fucking did it so yeah so that's basically react isn't that a"
452380,459180," poggers isn't that a workers i think it's pretty freaking poggers um so let me see in terms of like"
459180,471820," dependencies so this is basically everything that we need uh when i do so just dome react testing libraries"
471820,482260," why why this is part of the testing this is so weird why it is not using like official react"
482260,494700," is it some did it get hacked or something i think i got hacked so react testing so oh it's like the latest"
494700,503180," one right isn't it uh i don't fucking understand mate i don't fucking understand this is so"
503180,510560," so bizarre so what's interesting is that uh react is just a library right so it's just a library we can"
510560,519480," try to take a look inside and like um uh this thing and see how it all works it's supposed to i think"
519480,528520," uh just yeah so it's a single bundle right so it's a simply single bundle you know what i like to have"
528520,537580," can i have react like you know just just like a regular bundle that i can put in script myself"
537580,538980," right and use"
538980,548040," that would have been cool i think i think that would have been cool and this is roughly what i was doing"
548040,557480," in here i suppose i think right so because i just did package json right uh and one of the dependencies"
557480,565480," here is react right so this is just a react um but is that the right react"
569960,575000," because i want to see um because i want to see more simple example so"
575000,578840," and"
578840,584120," is that a correct react because it's who's this"
584120,592200," it's a facebook react repository but the author that submitted it in here"
592760,595160," it's completely bogus like who the fuck is that"
595160,600840," gnof is that normal in npm"
600840,610360," this is a real react is this really real react or who's gnof though"
613560,623000," right so yeah it's so weird so did they reinstall the correct thing uh so the popularity"
623000,624600," because this one is a correct match"
624600,629080," i have it's so fucking scary to use this kind of thing right so"
629080,634040," oh you you can actually um yes you installed the correct thing somebody says"
635000,644120," uh maybe uh maybe and you never know it's it's so bizarre how you like kind of never know uh"
644120,651640," right because if you take a look at me is a javascript for creating using user interfaces"
652520,652840," um"
652840,661800," and that's probably why i decided not to learn react because that i guess"
661800,666520," right that so i'm not really sure"
666520,672680," and maybe i got hacked by installing all of these modules in here so i"
672680,680760," heard that there's a huge problem with like you know supply chain attacks in npm so yeah"
682520,687240," i'm gonna have to be able to do this in here and i'm not gonna have to be able to be able"
687240,688920," to do this and i'm not gonna have to be able to do this and i'm not gonna have to be able"
