start,end,text
880,7920," Looks like we're live. Hello everyone and welcome to yet another recreation programming session."
7920,14320," How about it? Let's make a little bit of an announcement and officially start the stream as"
14320,22480," usual. As usual. Hello, hello everyone. Welcome, welcome, welcome. So, Red Circle live on Twitch."
22480,29760," And what are we doing today on Twitch.tv website? Today we're doing music visualizing. That's"
29760,34480," right. So, I'm going to give the link to where we're doing all that. It's twitch.tv/starting and"
34480,38480," I'm going to ping everyone who's interested in being pinged. There we go. The stream has officially"
38480,44240," started. The stream has officially started. So, what I wanted to do today, I wanted to implement"
44240,51120," something that I've been wanting to implement for quite some time. But I didn't really have time,"
51120,57600," not a motivation to do that. Right. Hello, hello everyone. Welcome, welcome, welcome. So, essentially,"
57600,66320," what I wanted to implement today is a music visualizer. Right. So, an example of sort of like an equalizer"
66320,70880," music visualizer you can actually find in today command. Right. So, if you issue today command,"
70880,78560," there is a very old monster cat song. Right. So, this is basically what popped up in my head"
79680,86400," the first. Right. So, it's a very old song. Like, holy shit, it's nine years old. Right. So, something"
86400,92720," like this. Right. So, monster cat used to have like these kind of visualizations. And essentially,"
92720,99680," what they do in here, I think, is that they basically take the wave of the song and they split it into the"
99680,104640," frequencies and they just visualize the frequencies. Because that's like the most obvious thing you could do in"
104640,111840," here. And so, I wanted to try to do that. And that should give me an opportunity to actually, you know,"
111840,119680," explore Fourier transforms and stuff like that. So, I think that would be rather interesting. So, that's"
119680,128560," basically what we're going to be doing today. And so, essentially, let me let me take a look at the"
128560,140480," syntax. I think, yeah. I decided to call the project for music visualizer, Musualizer. I don't know."
140480,147920," This is just like whatever. Whatever. So, and I've got the permission from a very cool cheap tune artist"
148480,157360," by the name Null to use their songs for our experiments. Right. So, you can find all of the"
157360,164000," links to their socials and stuff like that by using the song comments. So, check them out. So,"
164000,170000," they're very cool cheap tune artists. For those who doesn't know, cheap tune is this kind of music that"
170000,177360," plays when you crack software with Cajuns. Right. So, if you were never familiar with the cheap tune, that's"
177360,184880," basically the easiest way to explain what it is. Right. So, we can actually maybe listen to one of"
184880,189840," the songs while we are going to be doing all of that. So, I wonder if I can just do DLC."
189840,198080," So, yeah, there we go. So, I need to make sure that it's not going to be super loud. So, this is one of their"
198080,205600," latest songs, I suppose. So, this is basically how it sounds. So, let me adjust the sound for myself."
205600,219200," So, and this is what we're going to be using for our experiments. So, let's actually get started,"
219200,224720," I suppose. I hope it's not too loud. Right. Let me see how we're going to do that. How we're going to"
224720,228560," organize all of that. So, essentially, what we're going to be using, we're going to be doing all of"
228560,236080," that in C, right? So, we're going to be using C programming language and for visualization, of course,"
236080,241840," and for working with the sound as well, by the way, we're going to be using Rayleap. So, let me actually"
241840,249360," show you. So, Rayleap is the library for making games and one of the things you want to be able"
249360,254320," to do with games is play sounds, right? So, you want to be able to play like different effects,"
254320,261200," different cues and also background sound. And because of that, Rayleap also capable of working with sound."
261200,266480," And this is what we're going to be exploiting today as well. Right. So, let me actually put that in"
266480,274640," description. So, this is Rayleap. Rayleap thingy. Ah, why didn't I actually..."
274640,286160," So, let's start working on Musializer, sponsored by Rayleap. Right. I'm actually not sponsored by"
286160,293040," Rayleap at all. That's how good of the library this is. Right. So, I'm very notorious for not using"
293040,299600," third-party dependencies. And I'm really skeptical of other people's libraries, like very, very much."
299600,306480," I rather prefer to implement my own thing. Imagine library being this good that I use it literally"
306480,313600," for everything. A person like me uses it for like everything. That says something about the quality of"
313600,325280," this library. So, yeah. That's pretty cool. That's pretty cool. Okay. So, let's actually start with the"
325280,335840," Hello World project. So, let's just like, you know, organize stuff. And let me try to do the usual thing."
337120,345600," And let's do the Hello World. All this entire stuff. Right. And I think it would make sense to"
345600,355280," maybe create a build script for this entire stuff. Ah! Man, like listening to chiptune right now kind of"
355280,361840," reminds me of old streams. Right. On my old streams, instead of like a lo-fi, I used to listen to like a"
361840,367200," random chiptune playlist. Ah! Then at some point, I stopped doing that. Right. Because I thought that"
367200,372320," maybe lo-fi is a little bit more calm and stuff like that. But it just kind of brings back those times."
372320,376720," I don't know how many people from those times we have in here. But I mean, you know what I'm talking"
