start,end,text
960,7100," looks like we're live hello everyone and welcome to yet another recreation programming session"
7100,14080," how about it uh so let's make a little bit of an announcement and officially start this stream"
14080,20480," as usual as usual hello hello welcome welcome welcome uh so what we're gonna do we're gonna do"
20480,27820," red circle live on twitch and what are we doing today on twitch.at television website"
27820,36240," today we're doing uh hot reloading in c how about that i think that's a very interesting topic at"
36240,40900," twitch.tv slash consulting this is the place where we're doing all that and i'm gonna ping everyone"
40900,47000," who's interested in being pinged and there we go the stream has officially started the stream has"
47000,54380," officially started hello hello welcome welcome welcome so in fact in fact today we're going to"
54380,61100," continue developing um the music visualizer that we started on the on the previous stream right so if"
61100,68460," you saw the previous stream you probably remember a thing like this so so essentially this is like a"
68460,74960," you know the basic um equalizer music visualizer at least an attempt at implementing that it looks"
74960,80620," horrendous i know right and this is because we're not mapping the frequencies properly we're gonna fix"
80620,87080," that uh probably today by the way we're gonna probably fix that today so the main thing that i wanted to"
87080,95800," have in this project i wanted to be able to quickly iterate on uh on the visuals right so right now if i want"
95800,102840," to change something i have to recompile the entire project and then run it again and since it's a musical"
102840,109220," application uh that means that the music is going to start over and over again and it's not particularly"
109220,115580," pleasant to watch or listen to so essentially what i want you to have i want to be able to modify"
115580,122300," something within the source code and restart so the free load the behavior without restarting the song"
122300,128440," so i want to be able to like develop the application while the song is playing"
128440,135200," right and i think it is possible i think it is possible the way you usually do that you basically"
135200,142060," hot reload the the implementation it's rather easy to do in dynamic languages right uh like python or"
142060,147640," javascript or even java right so java even though it's compiled language it's actually still dynamic"
147640,153140," because it uses uh some fancy virtual machine so and virtual that virtual machine actually allows"
153140,162100," you to uh reload the source code so but thing is um you can do the same thing in in c you can do the"
162100,170340," same thing in c so essentially um this is why um such mechanism as shared libraries or as it as people"
170340,177620," call them in windows dll's exist right so being able to dynamically load code is actually"
177640,184140," basic mechanism of any operating system so dll stands for dynamically loaded library"
184140,193280," the dll the the abbreviation dll itself actually describes you what it is right so being able to"
193280,200380," dynamically load the code is basic functionality of any modern operating system and this is what i"
200380,206100," wanted to utilize today what this is what i wanted to demonstrate today i wanted to demonstrate that you"
206100,212680," you don't really need uh you know these fancy dynamic languages these fancy virtual machines just to be"
212680,219940," able to hot reload the code right so this is the technology that existed since you know maybe 70s i"
219940,228460," don't know so it was just like yeah um so interestingly enough is that uh like there's nothing magical about"
228460,235740," that uh because the code it is stored in the memory so if you want to load the code dynamically you just load"
235740,242960," that code in memory and you just jump the execution there that's it so and this is something that"
242960,248720," existed for for ages right it's not some sort of like a magical technology uh on the level of like"
248720,255740," ai progress or whatever the fuck it is right so it's it's a very old old technology yet people still"
255740,263360," surprised by by by framework that hot reloads things like only fly and like holy fucking shit no it's it's"
263360,269800," all technology there's nothing there's nothing to be hyped about in here uh so yeah let's actually"
269800,276540," try to do that let's actually try to do that so uh first of all we probably want to create"
276540,285080," the um the dynamic library that we're going to be actually loading and stuff like that uh right so here"
285080,291300," we have mutualizer which is basically the entry point of this entire stuff uh and uh we probably"
291300,296260," want to create uh some sort of like a separate module which is going to be compiled to dynamic"
296260,301740," library that we're going to be loading uh into into the main program right so i want to call this"
301740,307680," something like um i don't know let's call it plug right so it's sort of like it's going to act like a"
307680,315460," plug-in right it's going to act like a plug-in so and i already created a header file uh so i'm also"
315460,322680," going to create the c um the c file as well so let's do the inclusion guards so the inclusion guards"
322680,329180," are needed so you do not accidentally include the header twice and let's create like some sort of like"
329180,337120," a test function uh some sort of a test function so let's say uh plug hello and what this thing is"
337120,343860," supposed to do it's supposed to say hello to to the to the caller of this function right so it's supposed"
343860,350640," to print hello to the standard output uh right so let's actually create plug.c right so you need to"
350640,357140," have header and c file because this is how c works uh you don't really have to but this is sort of like"
357140,363100," more of a convention right so it makes it easier to have like a list of all of the declarations and"
363100,368560," then separately in a separate file uh all the implementations of the declarations right so it's"
368560,373400," sort of like a convention that c developers develop it developed a long time ago but you don't really"
373400,380700," have to do that uh so anyway we're going to include uh plug.h and in here i suppose we probably also want"
380700,388880," to include something like stdio so we can actually print stuff in them and in here we're going to say"
388880,397300," something like hello from plugin like hello from plugin so we can go to mutualizer and maybe one of"
397300,404820," the things we can do uh we can basically call this function like right away plug hello i'm also going"
404820,414420," to include the header in here right so this is going to be plug.h and uh below um executes the main"
414420,419760," program right so it parses command line arguments it initializes relib and stuff like that we don't"
419760,425700," really need any of that stuff right now we don't really need any of this stuff right now uh so i'm"
425700,431420," going to just do return zero which means that it's going to only call uh plug hello and as soon as it goes"
431420,436320," here it will just exit but we don't remove that code because it's going to be useful in the future"
436320,441320," right so i just don't want to remove this code i want to disable it because i'm just experimenting"
441320,447220," with the plugin system and stuff like that um all right so let's try to rebuild this entire stuff"
447220,453360," uh so i'm going to do build.sh and there we go and we have undefined reference and this is because"
453360,462240," we do not link with the plugin right so we're supposed to make um you know dynamic library out of"
462240,468500," plug.c but before we do that let's actually just test that our entire thing works let's actually like"
468500,474680," statically link with that plugin and if it works while being statically linked then it would be easier"
474680,482940," to to make it work while it dynamically linked right so uh let's actually do src plug.c there we go we're literally"
