start,end,text
0,29980," Thank you for listening."
30000,59980," Thank you."
60000,89980," Thank you."
90000,119980," Thank you."
120000,149980," Thank you."
150000,179980," Thank you."
180000,209980," Thank you."
210000,239980," Thank you."
240000,269980," Thank you."
270000,299980," Thank you."
300000,329980," Thank you."
330000,359980," Thank you."
360000,389980," Thank you."
390000,419980," Thank you."
420000,449980," Thank you."
450000,479980," Thank you."
480000,509980," Thank you."
510000,539980," Thank you."
540000,569980," Thank you."
570000,599980," Thank you."
600000,629980," Thank you."
629980,659960," Thank you."
659960,689940," Thank you."
689960,719940," That will be a pretty good topic to stream."
719940,749920," Thank you."
749940,779920," In the form of a scientific paper."
779940,809920," Thank you."
809940,839920," Thank you."
839920,869900," Thank you."
869920,899900," So, what I was saying, so we're going to implement this library today on the stream."
899900,929880," Because nobody is going to do it, because nobody is going to show you."
929880,959860," Thank you."
959860,989840," I don't know."
989840,1019820," And we're going to do it, but we're going to do it, but we're going to do it."
1019820,1049800," I think we're going to do it, but we're going to do it."
1049800,1079780," We're going to do it, we're going to do it, but we're going to do it."
1079780,1109760," We're going to do it, but we're going to do it."
1109760,1118680," Today we are developing a super fast lightweight in the camel called Parcum."
1118680,1123160," Become Parcumer today."
1123160,1127580," So check the source code."
1127580,1131300," HTTPS GitHub.com."
1131300,1133520," It says in Parcum."
1133520,1135280," All right."
1135280,1136580," Become Parcum."
1137840,1149400," So maybe it also makes sense to put that in the title."
1149400,1151220," So I'm going to update the title."
1151220,1153420," Super quick."
1153420,1157240," So there we go."
1157240,1158280," All right."
1158280,1160580," So what's going to be the next step?"
1160580,1163360," The next step is going to be actually cloning this entire stuff."
1165920,1167920," And starting developing this thing."
1167920,1173500," All right."
1173500,1174280," Parcum."
1174280,1179300," I suppose this library is..."
1179300,1181740," I suppose this library is better because it doesn't exist."
1181740,1182980," Yeah, exactly."
1182980,1184500," That's exactly why it's so fast."
1184500,1186620," All right."
1186660,1189420," So I'm going to create an SSC folder."
1189420,1195020," And I think I'm going to also start Emacs from within the development environment."
1195020,1197160," But first we need to set up the development environment."
1197160,1198560," There's such thing called opam."
1198560,1200660," I'm not sure if I already showed that."
1200660,1207940," But opam is essentially a package manager and also a compiler version manager."
1208620,1211120," Parcum community library from scratch very epic."
1211120,1211960," Yes, it is."
1211960,1214980," So, you know, camel as well."
1214980,1217420," So camel is a pretty epic language."
1217420,1220840," I kind of like a camel a little bit more than Haskell."
1220840,1222620," I also like programming Haskell."
1222620,1226080," But I like a camel a little bit more because it's a little bit more programmatic."
1226080,1227660," Pokecam."
1228040,1231780," So I'm using opam, which is..."
1231780,1237120," You can think of an opam like a combination of npm and nvm, right?"
1237120,1243200," In JavaScript world, npm is a package manager and nvm is like a node version manager."
1243200,1248020," So basically in a camel world, we have a single tool for both of these things."
1248020,1253300," So and it can manage several versions of the compiler."
1254020,1260720," And, for example, if you want to set up the environment where a specific version of OCaml is available for you,"
1260720,1262640," you have to do opam environment."
1262640,1269500," And it gives you like a bash script that sets up environment variables and stuff like that."
1269500,1274500," And you just essentially take it and evaluate it in your environment."
1274500,1275460," And there you go."
1275460,1282080," If you take a look at the OCaml compiler, it's pointing to something that is installed in my home folder."
1282800,1285360," So you don't really have to do that manually."
1285360,1288300," You can just put that into your bash.rc."
1288300,1298160," But I prefer to do that manually just to stay aware of how environment is set up and where the executables come from."
1298160,1301420," I'm not sure if it makes sense, but for some reason, it's really important for me."
1301420,1303540," Otherwise, I forget how my system works."
1303540,1306540," So for me, it's really important to be aware of such small things."
1307180,1311900," And that's one of the reasons why I don't use Rust app for setting up Rust versions."
1311900,1315500," I just like to install them myself because I always need to be aware of the environment."
1315500,1317220," Otherwise, I forget how things work."
1317220,1318660," It's really weird."
1318660,1320220," I'm sorry, but I'm a weird individual."
1320220,1321440," Anyway."
1322620,1324900," So let's start Emacs."
1324900,1330260," And let's create parkoom.ml."
1330260,1331140," And there we go."
1331140,1336960," Here is the fresh canvas, like a blank canvas where we can do anything."
1337800,1342800," So this is where we're going to start painting our beautiful, beautiful library."
1342800,1345740," Alias, nixshell."
1345740,1346140," Yes."
1346140,1348580," So basically, I do remember that."
1348580,1351140," ML is as in machine learning."
1351140,1352960," No, ML is like in HTML."
1352960,1353900," Yes."
1353900,1358720," Hello, DROKAM87."
1358720,1362960," And HTML stands for hypertext machine learning."
1363800,1371560," So maybe we should actually put something in readme, parser commutator library."
1371560,1375380," I think I'm going to actually put whatever we have here."
1375380,1379420," Super fast and let's play it, parser commutator in the camel."
1379420,1381880," This is going to be the actual description."
1381880,1385460," I'm not sure if it copy pasted it properly."
1385460,1387260," So let me try to do that one more time there."
1387260,1387900," But go."
1390800,1393640," No dependencies, no dependencies."
1393640,1405680," You can just copy, paste, copy, paste it to your project, project and use it."
1405680,1407560," That's how lightweight I want it to be."
1407560,1408480," Right."
1408480,1413220," So no package managers, no dependencies or anything like that."
1413220,1415000," You just have a single file of the library."
1415000,1417300," Just copy, paste it to your project and just fucking use it."
1417340,1418860," And you have parser commutators."
