start,end,text
0,11360," all right looks like we're live hello everyone and welcome to another is there isn't such a"
11360,17520," how about that uh all right so let's make a little bit of an announcement and officially"
17520,25760," start the stream uh red circle this time live on twitch and what are we doing today and on"
26560,32880," twitch today we continue developing breakout clone nji but today specifically i wanted to work on a"
32880,38080," little bit of a particle effect right so we're going to talk about that in a minute so i'm going"
38080,45920," to give the link to the to the stream twitch.tv and i'm going to ping everyone who's interested in"
45920,51920," being pinned my computer is being extremely slow today for whatever reason i don't really know why"
53040,55520," uh let me see let me see"
55520,64000," let me see let me see so yeah there we go"
64000,71600," uh just a second all right so everything's fine with my computer so you can find the source code"
71600,75840," for the game i'm developing here if you are interested right so you can find it here hello"
75840,82080," hello everyone welcome welcome welcome so it's just a simple game to try out jai right so uh i'm using it"
82080,87680," as just basically a playground to learn about language um so let's take a look at how the game"
87680,93840," looks like right now so i probably will actually do tmux and i'm going to do jai break all right"
93840,103360," so op team jipin jilinux and uh we're going to try to build for some i just remember that i made the"
103360,110480," first executable so i can actually build the whole game by just running first and it doesn't work uh probably"
110480,117200," because it just points at the wrong uh at the wrong interpreter all right so let's take a look at this"
117200,124400," stuff gilinux and this is going to be first j right there we go and uh this is how the game looks like right"
124400,130400," so this is how it looks like it's pretty simple game it's just straight up like breakout clone or"
130400,137680," something right so uh on the previous stream to learn about uh metaprogramming we implemented our"
137680,144640," own uh hot config reloading even though like jai standard library if you can call it stand library"
144640,151760," uh has its own thing i still decided to implement the thing myself just to learn more about metaprogramming"
151760,157600," in in this language so and i think it was actually pretty good exercise so let's take a look at this"
157600,164400," thing so we have a couple of parameters like another couple of but quite a few parameters in here right"
164400,173280," so and this is basically a configuration file that is parsed by a special module uh params.j and it can be"
173280,180240," used uh either at compile time to sort of bake the values from the configuration file into the executable or it"
180240,186960," can be used at runtime to hot reload the thing right so just depending on the um on the mode that you"
186960,196560," build um it will basically uh bake the values or it will just hot reload them so if there is if there"
196560,202800," is the debug uh sign in the corner that means we're in debug mode and that means uh we hot reloading the"
202800,209920," values uh which means in turn that i can modify things for example i can take the background color"
209920,215600," and make it a little bit more greenish and reload as you can see i didn't have to restart the game"
215600,220880," uh or i can make it a little bit more greenish uh there we go so i can just like reload the thing"
220880,225920," so of course uh jay has its own thing for that but implemented my own one just to learn things right"
225920,234400," so which is actually pretty cool uh right so and to build the release build sort of speak that bakes the"
234400,242640," thing into the executable oh thank you so much john for uh for the rate 464 raiders i'm not really doing"
242640,248560," anything special so i'm actually gonna disable the followers mode just in case like people who don't"
248560,253280," want to follow me just want to say something uh right i'm not doing anything special i'm just learning"
253280,258880," the language i only recently got into better right i was invited by one of the keys thank you so much for"
258880,267120," inviting me uh and uh yeah so i just like implemented the simple breakout clone and uh yeah it's actually"
267120,271920," i really like the language so i've been having the blast like just using it i think it's it's pretty cool"
272960,283360," um sorry like like it so far so all right let's see let's see uh and the source code you can find"
283360,290480," the source code in here if anyone is interested um so it has its own um hot reloading or configuration"
290480,296720," thingy that doesn't use the thing that comes with jay and it is not because whatever comes with jay is"
296720,301360," bad it's just like i wanted to learn more about meta programming so i implemented my own thing"
301360,307360," and it's kind of it kind of sucks because i don't know much about uh meta programming in jay so i just"
307360,312000," like hacked something together just to get the the idea of how it works and maybe in the future i'm gonna"
312000,324400," improve it right so all right so okay what i wanted to do what i wanted to do i wanted to implement some"
324400,331600," sort of like um particle effects i suppose and the particle effects i wanna have is basically just"
331600,338480," something when the ball hits any of the surfaces right so essentially when the ball hits any of the"
338480,345680," surfaces we can you know emit a bunch of particles from that specific place and maybe it will look good"
345680,351440," i don't know i'm not a game developer so maybe it will look good i just want to try that and see how"
351440,362320," it goes okay so how can we detect a collision so if i take a look so we have a horizontal collision"
362320,367680," um okay so here are all the possible collisions that we can have we can have a bar collision"
368320,375600," uh bar collision is actually very interesting right it's a collision that prevents um the bar"
375600,382560," to penetrate the the ball right so and do we want to play anything in that"
382560,387600," um probably not so probably only care about horizontal and vertical collision"
389120,398000," so in horizontal and vertical collision uh so here we essentially hit either one of the sides right"
398000,406480," one of the horizontal sides or one or the bar uh and here we possibly um hit the target so in"
406480,410800," two of these places we'll have to play the the particle effect i suppose"
413360,420880," uh when are you going to do wordle clone the the thing is i don't really know how to play wordle so"
420880,429040," i'm really sorry i'm not american that's the thing uh i don't understand that meme"
429040,436000," and i was too lazy to actually learn about it so i'm really sorry"
442720,450160," so link in discord uh i it's too late to fix i'm sorry uh you found my stream anyway so that means"
450160,457760," the link is fine where are you from i'm from siberia it's like asian park or eurasian it's really really"
457760,468960," far away um geographically and culturally um sg pretty stable as the language at this point i couldn't break it"
468960,475920," so but i don't know i've been using it for like a week or so maybe maybe less uh maybe more i don't"
475920,485200," even know for how long i've been using but anyway all right so uh where we have the state of the game"
485200,489840," so here's the very simple state of the game so maybe we should introduce some sort of a particle"
489840,492800," right so let's actually introduce a structure which is going to be a particle"
492800,507120," so this is a structure and in here what we're going to have so what particle what a particle"
507120,512560," usually has right uh it usually has a position right so it's probably going to be something like"
513680,519840," x and y i should probably use vectors but for some reason already here for the for the targets right"
519840,524320," at the top i already use less separate variables so maybe i'm going to just follow this thing"
524320,536400," um okay so particle usually also has a velocity right so it's going to be dx float 32 right and dy"
537040,546320," so what else does it have it uh probably has a size because we probably want to play uh particles"
546320,551200," with different size so this is going to be a size and it's probably going to be something maybe from"
551200,557520," like so one is going to be the normal size right and uh less than one is going to be smaller and bigger"
557520,562480," than one it's going to be bigger all right so something like that so it's more of like a size multiplier"
563680,571360," um and probably some sort of a lifetime right for how long is it like it's been living uh maybe it's"
571360,576880," going to be some sort of a value in seconds that gets decreased uh on each frame by data time and as"
576880,582400," soon as it hits zero we're going to consider this particle dead something like that so that can be"
582400,592320," basically an idea uh all right so and since this is the state of the game uh we're gonna have an array of"
592320,599040," particles right so right now i'm not developing any sort of like a particle entity that manage everything"
599040,604720," i just throw everything in the global scope uh because it's easy for me to just like manage those"
604720,610240," things and uh at some point when the complexity grows too much i'm going to be grouping them into"
610240,615040," the structures and structuring everything properly right now i don't really care right so just put"
615040,627360," everything in the global state um how do you feel about jay jay is a programming language for developing"
627360,633920," software developing software is about engineering not about feelings okay"
636000,648160," got him um how do you get access to jay well i had to bribe a lot of people i'm joking so it wasn't right"
652160,655280," uh how do you engineering about jay that's a good question"
655280,667840," so the question is uh the array of particles what is it going to be is it going to be a resizable array"
667840,676320," or an array with a fixed size right so as we emit the particles right as we meet the particles we're gonna"
676320,686160," probably um simply uh append them right we're gonna append them to the array"
686160,694160," and when they die we want to be able to reuse some of the some of the particles right"
695760,706240," i want to reuse some of them so maybe if we had uh sort of like a limited capacity of the particles"
706240,714320," um it would be actually super easy to allocate a new particle by just iterating it like iterating this"
714320,720080," array like thousand thousand of particles is just like not too much so maybe iterating it is not that difficult"
724640,734960," it's being snarky required of course of course it is required"
734960,738960," all right"
738960,744480," uh yeah i think that's the easiest thing to do right now"
744480,747520," yeah that's actually pretty cool"
747520,753520," uh because every time if i want to allocate the particle i just like find the one with the"
753520,758800," lifetime less than zero and i just allocate that particle right so that's going to be the easiest"
758800,764160," thing to do okay that is fine so right now i suppose they're going to be all filled with zero"
764160,769840," it's a really damn approach okay right but we are making like a very simple game so it should be fine"
769840,778000," i think i think it should be fine hopefully um so here we reset the state of the game and do i want"
778000,783760," to do anything with the particles probably not i probably don't care uh anyways so let's"
783760,793360," um do something right let's do something so rendering we need to find the function that renders"
793360,801200," things uh so here we set the shader for the core then we render the projectile then the bar then the"
801200,806880," targets and then we probably want to render the particles so let's do particles right so this is the"
806880,812160," particles and we're going to render each individual particle in here so how we're going to be doing all"
812160,817680," of that um so we probably need to construct some sort of rectangle right so because we have function"
817680,829040," fill rectangle uh right uh so let's call this particle erect particle rect and this one let's call it"
829040,845600," particle color right so what's gonna be the particle color i don't really know we can well by the way"
845600,852480," what if we have particles of different colors i think that's a cool idea right so depending on what"
852480,858240," you hit um it's going to play different um it's going to emit i think it's called the meat right"
858240,862560," so it's going to meet the particles of different colors so i think because of that we want to do"
862560,870640," something like color uh vector vector four right so you have a position you have a velocity size lifetime"
870640,874000," and the color right so i think i think that's actually pretty cool"
874000,886000," so random so because of that we take the color from here right so now i need to construct the particle"
886000,895760," rectangle rectangle right particle rect so in every rectangle if i remember correctly it's just x y uh"
895760,907520," all right uh particle erect so the position is going to be probably the position of this thing but i want"
907520,914000," the position of the particle to represent the center of the rectangle that we're you know drawing so that"
914000,920960," means i need to figure out the size right so initially i have a some sort of a size right so it's it um"
920960,928000," its size but its size is just a multiplier right so we need to have something like a particle size"
928000,936000," right it's a base size maybe we should call it like a base size right it's a base size and i'm going to put"
936000,941760," that into the configuration right away and it's going to be a float and the size is going to be let's say"
941760,949200," maybe 10 right so it's going to be roughly 10 uh and this is going to be the actual size that we use"
949200,954000," so if the position of the particle is going to be the center that means we need to subtract half of the"
954000,961680," size right so we're subtracting half of the size from x and then half of the size from y and then particle uh"
961680,967600," w becomes size and particle h becomes size and there you go we can render the particle"
967600,975600," interestingly enough can i do something very cool and put a using in here and just get rid of these"
975600,981360," things i think i should be able to do that i think that's pretty cool right so basically you import all"
