start,end,text
0,29980," Let's get started."
30000,59980," Let's get started."
60000,89980," Let's get started."
90000,119980," Let's get started."
120000,149980," Let's get started."
150000,179980," Let's get started."
179980,209960," Let's get started."
209960,239940," Let's get started."
239940,269920," Let's get started."
269920,299900," Let's get started."
299900,329880," Let's get started."
329880,359860," Let's get started."
359860,389840," Let's get started."
389840,419820," Let's get started."
419820,449800," Let's get started."
449800,479780," Let's get started."
479780,509760," Let's get started."
509760,539740," Let's get started."
539740,569720," Let's get started."
569720,599700," Let's get started."
599700,629680," Let's get started."
629680,659660," Let's get started."
659660,689640," Let's get started."
689660,719640," Let's get started."
719660,749640," Let's get started."
749640,779620," Let's get started."
779620,809600," Let's get started."
809600,839580," Let's get started."
839580,869560," Let's get started."
869560,899540," Let's get started."
899540,929520," Let's get started."
929520,959500," Let's get started."
959500,989480," Let's get started."
989480,1019460," Let's get started."
1019460,1049440," Let's get started."
1049440,1079420," Let's get started."
1079420,1109400," Let's get started."
1109400,1139380," Let's get started."
1139380,1169360," Let's get started."
1169360,1199340," Let's get started."
1199340,1229320," Let's get started."
1229320,1259300," Let's get started."
1259300,1289280," Let's get started."
1289280,1319260," Let's get started."
1319260,1349240," Let's get started."
1349240,1379220," Let's get started."
1379220,1409200," Let's get started."
1409200,1439180," Let's get started."
1439180,1469160," Let's get started."
1469160,1499140," Let's get started."
1499140,1529120," Let's get started."
1529120,1559100," Let's get started."
1559100,1589080," Let's get started."
1589080,1619060," Let's get started."
1619060,1649040," Let's get started."
1649040,1679020," Let's get started."
1679020,1709000," Let's get started."
1709000,1738980," Let's get started."
1738980,1768960," Let's get started."
1768960,1798940," Let's get started."
1798940,1828920," Let's get started."
1828920,1858900," Let's get started."
1858900,1888880," Let's get started."
1888880,1918860," Let's get started."
1918860,1948840," Let's get started."
1948840,1978820," Let's get started."
1978820,2008800," Let's get started."
2008800,2038780," Let's get started."
2038780,2068760," Let's get started."
2068760,2098740," Let's get started."
2098740,2128720," Let's get started."
2128720,2158700," Let's get started."
2158700,2188680," Let's get started."
2188680,2218660," Let's get started."
2218660,2248640," Let's get started."
2248640,2278620," Let's get started."
2278620,2308600," Let's get started."
2308600,2338580," Let's get started."
2338580,2368560," Let's get started."
2368560,2398540," Let's get started."
2398540,2428520," Let's get started."
2428520,2458500," Let's get started."
2458500,2488480," Let's get started."
2488480,2518460," Let's get started."
2518460,2548440," Let's get started."
2548440,2578420," Let's get started."
2578420,2608400," Let's get started."
2608400,2638380," Let's get started."
2638380,2668360," Let's get started."
2668360,2698340," Let's get started."
2698340,2728320," Let's get started."
2728320,2758300," Let's get started."
2758300,2788280," Let's get started."
2788280,2818260," Let's get started."
2818260,2848240," Let's get started."
2848240,2878220," Let's get started."
2878220,2908200," let's get started."
2908200,2938180," Let's get started."
2938180,2968160," let's get started."
2968160,2998140," Let's get started."
2998140,3028120," Let's get started."
3028120,3058100," Let's get started."
3058100,3088080," Let's get started."
3088080,3118060," Let's get started."
3118060,3148040," Let's get started."
3148040,3178020," Let's get started."
3178020,3208000," Let's get started."
3208000,3237980," Let's get started."
3237980,3267960," Let's get started."
3267960,3297940," Let's get started."
3297940,3327920," Let's get started."
3327920,3357900," Let's get started."
3357900,3387880," Let's get started."
3387880,3417860," Let's get started."
3417860,3447840," Let's construct."
3447840,3477820," Let's get started."
3477820,3507800," Let's get started."
3507800,3537780," Let's get started."
3537780,3567760," Let's get started."
3567760,3597740," Let's run, let's get started."
3597740,3627720," Let's get started."
3627720,3657700," Let's get started."
3657700,3687680," Let's get started."
3687680,3717660," Let's get started."
3717660,3747640," Let's get started."
3747640,3777620," Let's get started."
3777620,3807600," Let's get started."
3807600,3837580," Let's get started."
3837580,3867560," Let's get started."
3867560,3897540," Let's get started."
3897540,3927520," Let's get started."
3927520,3957500," Let's get started."
3957500,3987480," Let's get started."
3987480,4017460," Let's get started."
4017460,4047440," Let's get started."
4047440,4077420," Let's get started."
4077420,4107400," Let's get started."
4107400,4137380," Let's get started."
4137380,4167360," Let's get started."
4167360,4197340," Let's get started."
4197340,4227320," Let's get started."
4227320,4257300," Let's get started."
4257300,4287280," Let's get started."
4287280,4317260," Let's get started."
4317260,4347240," Let's get started."
4347240,4377220," Let's get started."
4377220,4407200," Let's get started."
4407200,4437180," Let's get started."
4437180,4467160," Let's get started."
4467160,4497140," Let's get started."
4497140,4527120," Let's get started."
4527120,4557100," Let's get started."
4557100,4587080," Let's get started."
4587080,4617060," Let's get started."
4617060,4647040," Let's get started."
4647040,4677020," Let's get started."
4677020,4707000," Let's get started."
4707000,4736980," Let's get started."
4736980,4766960," Let's get started."
4766960,4796940," Let's get started."
4796940,4826920," Let's get started."
4826920,4856900," Let's get started."
4856900,4886880," Let's get started."
4886880,4916860," Let's get started."
4916860,4946840," Let's get started."
4946840,4976820," Let's get started."
4976820,5006800," Let's get started."
5006800,5036780," Let's get started."
5036780,5066760," Let's get started."
5066760,5096740," Let's get started."
5096740,5126720," Let's get started."
5126720,5156700," Let's get started."
5156700,5186680," Let's get started."
5186680,5216660," Let's get started."
5216660,5246640," Let's get started."
5246640,5276620," Let's get started."
5276620,5306600," Let's get started."
5306600,5336580," Let's get started."
5336580,5366560," Let's get started."
5366560,5396540," Let's get started."
5396540,5426520," Let's get started."
5426520,5456500," Let's get started."
5456500,5486480," Let's get started."
5486480,5516460," Let's get started."
5516460,5546440," Let's get started."
5546440,5576420," Let's get started."
5576420,5606400," Let's get started."
5606400,5636380," Let's get started."
5636380,5666360," Let's get started."
5666360,5696340," Let's get started."
5696340,5726320," Let's get started."
5726320,5756300," Let's get started."
5756300,5786280," Let's get started."
5786280,5816260," Let's get started."
5816260,5846240," Let's get started."
5846240,5876220," Let's get started."
5876220,5906200," Let's get started."
5906200,5936180," Let's get started."
5936180,5966160," Let's get started."
5966160,5996140," Let's get started."
5996140,6026120," Let's get started."
6026120,6056100," Let's get started."
6056100,6086080," Let's get started."
6086080,6116060," Let's get started."
6116060,6146040," Let's get started."
6146040,6176020," Let's get started."
6176020,6206000," Let's get started."
6206000,6235980," Let's get started."
6235980,6265960," Let's get started."
6265960,6295940," Let's get started."
6295940,6325920," Let's get started."
6325920,6355900," Let's get started."
6355900,6385880," Let's get started."
6385880,6415860," Let's get started."
6415860,6445840," Let's get started."
6445840,6475820," Let's get started."
6475820,6505800," Let's get started."
6505800,6535780," Let's get started."
6535780,6565760," Let's get started."
6565760,6595740," Let's get started."
6595740,6625720," Let's get started."
6625720,6655700," Let's get started."
6655700,6685680," Let's get started."
6685680,6715660," Let's get started."
6715660,6745640," Let's get started."
6745640,6775620," Let's get started."
6775620,6805600," Let's get started."
6805600,6835580," Let's get started."
6835580,6865560," Let's get started."
6865560,6895540," Let's get started."
6895540,6925520," Let's get started."
6925520,6955500," Let's get started."
6955500,6985480," Let's get started."
6985480,7015460," Let's get started."
7015460,7045440," Let's get started."
7045440,7075420," Let's get started."
7075420,7105400," Let's get started."
7105400,7135380," Let's get started."
7135380,7165360," Let's get started."
7165360,7195340," Let's get started."
7195340,7225320," Let's get started."
7225320,7255300," Let's get started."
7255300,7285280," Let's get started."
7285280,7315260," Let's get started."
7315260,7345240," Let's get started."
7345240,7375220," Let's get started."
7375220,7405200," Let's get started."
7405200,7435180," Let's get started."
7435180,7465160," Let's get started."
7465160,7495140," Let's get started."
7495140,7525120," Let's get started."
7525120,7555100," Let's get started."
7555100,7585080," Let's get started."
7585080,7615060," Let's get started."
7615060,7645040," Let's get started."
7645040,7675020," Let's get started."
7675020,7705000," Let's get started."
7705000,7734980," Let's get started."
7734980,7764960," Let's get started."
7764960,7794940," Let's get started."
7794940,7824920," Let's get started."
7824920,7854900," Let's get started."
7854900,7884880," Let's go, let's get started."
7884880,7914860," Let's get started."
7914860,7944840," Let's get started."
7944840,7974820," Let's get started."
7974820,8004800," Let's get started."
8004800,8034780," Let's get started."
8034780,8064760," Let's get started."
8064760,8094740," Let's get started."
8094740,8124720," Let's get started."
8124720,8154700," Let's get started."
8154700,8184680," Let's get started."
8184680,8214660," Let's get started."
8214660,8244640," Let's get started."
8244640,8274620," Let's get started."
8274620,8304600," Let's get started."
8304600,8334580," Let's get started."
8334580,8364560," Let's get started."
8364560,8394540," Let's get started."
8394540,8424520," Let's get started."
8424520,8454500," Let's get started."
8454500,8484480," Let's get started."
8484480,8514460," Let's get started."
8514460,8544440," Let's get started."
8544440,8574420," Let's get started."
8574420,8604400," Let's get started."
8604400,8634380," Let's get started."
8634380,8664360," Let's get started."
8664360,8694340," Let's get started."
8694340,8724320," Let's get started."
8724320,8754300," Let's get started."
8754300,8784280," Let's get started."
8784280,8814260," Let's get started."
8814260,8844240," Let's get started."
8844240,8874220," Let's get started."
8874220,8904200," Let's get started."
8904200,8934180," Let's get started."
8934180,8964160," Let's get started."
8964160,8994140," Let's get started."
8994140,9024120," Let's get started."
9024120,9054100," Let's get started."
9054100,9084080," Let's get started."
9084080,9114060," Let's get started."
9114060,9144040," Let's get started."
9144040,9174020," Let's get started."
9174020,9204000," Let's get started."
9204000,9233980," Let's get started."
9233980,9263960," Let's get started."
9263960,9293940," Let's get started."
9293940,9323920," Let's get started."
9323920,9353900," Let's get started."
9353900,9383880," Let's get started."
9383880,9413860," Let's get started."
9413860,9443840," Let's get started."
9443840,9473820," Let's get started."
9473820,9503800," Let's get started."
9503800,9533780," Let's get started."
9533780,9563760," Let's get started."
9563760,9593740," Let's get started."
9593740,9623720," Let's get started."
9623720,9653700," Let's get started."
9653700,9683680," Let's get started."
9683680,9713660," Let's get started."
9713660,9743640," Let's get started."
9743640,9773620," Let's get started."
9773620,9803600," Let's get started."
9803600,9833580," Let's get started."
9833580,9863560," Let's get started."
9863560,9893540," Let's get started."
9893540,9923520," Let's get started."
9923520,9953500," Let's get started."
9953500,9983480," Let's get started."
9983480,10013460," Let's get started."
10013460,10043440," Let's get started."
10043440,10073420," Let's get started."
10073420,10103400," Let's get started."
10103400,10133380," Let's get started."
10133380,10163360," Let's get started."
10163360,10193340," Let's get started."
10193340,10223320," Let's get started."
10223320,10253300," Let's get started."
10253300,10283280," Let's get started."
10283280,10313260," Let's get started."
10313260,10343240," Let's get started."
10343240,10373220," Let's get started."
10373220,10403200," Let's get started."
10403200,10433180," Let's get started."
10433180,10463160," Let's get started."
10463160,10493140," Let's get started."
10493140,10523120," Let's get started."
10523120,10553100," Let's get started."
10553100,10583080," Let's get started."
10583080,10613060," Let's get started."
10613060,10643040," Let's get started."
10643040,10673020," Let's get started."
10673020,10703000," Let's get started."
10703000,10732980," Let's get started."
10732980,10762960," Let's get started."
10762960,10792940," Let's get started."
10792940,10822920," Let's get started."
10822920,10852900," Let's get started."
10852900,10882880," Let's get started."
10882880,10912860," Let's get started."
10912860,10942840," Let's get started."
10942840,10972820," Let's get started."
10972820,11002800," Let's get started."
11002800,11032780," Let's get started."
11032780,11062760," Let's get started."
11062760,11092740," Let's get started."
11092740,11122720," Let's get started."
11122720,11152700," Let's get started."
11152700,11182680," Let's get started."
11182680,11212660," Let's get started."
11212660,11242640," Let's get started."
11242640,11272620," Let's get started."
11272620,11302600," Let's get started."
11302600,11332580," Let's get started."
11332580,11362560," Let's get started."
11362560,11392540," Let's get started."
11392540,11422520," Let's build."
11422520,11452500," Let's get started."
11452500,11482480," Let's get started."
11482480,11512460," Let's get started."
11512460,11542440," Let's get started."
11542440,11572420," Let's get started."
11572420,11602400," Let's get started."
11602400,11632380," Let's get started."
11632380,11662360," Let's get started."
11662360,11692340," Let's get started."
11692340,11722320," Let's get started."
11722320,11752300," Let's get started."
11752300,11782280," Let's get started."
11782280,11812260," Let's get started."
11812260,11842240," Let's get started."
11842240,11872220," Let's get started."
11872220,11902200," Let's get started."
11902200,11932180," Let's get started."
11932180,11962160," Let's get started."
11962160,11992140," Let's get started."
11992140,12022120," Let's get started."
12022120,12052100," Let's get started."
12052100,12082080," Let's get started."
12082080,12112060," Let's get started."
12112060,12142040," Let's get started."
12142040,12172020," Let's get started."
12172020,12202000," Let's get started."
12202000,12231980," Let's get started."
12231980,12261960," Let's get started."
12261960,12291940," Let's get started."
12291940,12321920," Let's get started."
12321920,12351900," Let's get started."
12351900,12381880," Let's get started."
12381880,12411860," Let's get started."
12411860,12441840," Let's get started."
12441840,12471820," Let's get started."
12471820,12501800," Let's get started."
12501800,12531780," Let's get started."
12531780,12561760," Let's get started."
12561760,12591740," Let's get started."
12591740,12621720," Let's get started."
12621720,12651700," Let's get started."
12651700,12681680," Let's get started."
12681680,12711660," Let's go ahead."
12711660,12741640," Let's get started."
12741640,12771620," Let's get started."
12771620,12801600," Let's get started."
12801600,12831580," Let's get started."
12831580,12861560," Let's get started."
12861560,12891540," Let's get started."
12891540,12921520," Let's get started."
12921520,12951500," Let's go, let's get started."
12951500,12981480," Let's get started."
12981480,13011460," Let's get started."
13011460,13041440," Let's get started."
13041440,13071420," Let's get started."
13071420,13101400," Let's get started."
13101400,13131380," Let's get started."
13131380,13161360," Let's get started."
13161360,13191340," Let's get started."
13191340,13221320," Let's get started."
13221320,13251300," Let's get started."
13251300,13281280," Let's get started."
13281280,13311260," Let's get started."
13311260,13341240," Let's get started."
13341240,13371220," Let's get started."
13371220,13401200," Let's get started."
13401200,13431180," Let's get started."
13431180,13461160," Let's get started."
13461160,13491140," Let's get started."
13491140,13521120," Let's get started."
13521120,13551100," Let's get started."
13551100,13581080," Let's get started."
13581080,13611060," Let's get started."
13611060,13641040," Let's get started."
13641040,13671020," Let's get started."
13671020,13701000," Let's get started."
13701000,13730980," Let's get started."
13730980,13760960," Let's get started."
13760960,13790940," Let's get started."
13790940,13820920," let's get started."
13820920,13850900," Let's get started."
13850900,13880880," Let's get started."
13880880,13910860," Let's get started."
13910860,13940840," Let's get started."
13940840,13970820," Let's get started."
13970820,14000800," Let's get started."
14000800,14030780," Let's get started."
14030780,14060760," Let's move."
14060760,14090740," Let's get started."
14090740,14120720," let's get started."
14120720,14150700," Let's get started."
14150700,14180680," Let's get started."
14180680,14210660," Let's get started."
14210660,14240640," Let's get started."
14240640,14270620," Let's get started."
14270620,14300600," Let's get started."
14300600,14330580," Let's get started."
14330580,14360560," Let's get started."
14360560,14390540," Let's get started."
14390540,14420520," Let's get started."
14420520,14450500," Let's get started."
14450500,14480480," Let's get started."
14480480,14510460," Let's get started."
14510460,14540440," Let's get started."
14540440,14570420," Let's get started."
14570420,14600400," Let's get started."
14600400,14630380," Let's get started."
14630380,14660360," Let's get started."
14660360,14690340," Let's get started."
14690340,14720320," Let's get started."
14720320,14750300," Let's get started."
14750300,14780280," Let's get started."
14780280,14810260," Let's get started."
14810260,14840240," Let's get started."
14840240,14870220," Let's get started."
14870220,14900200," Let's get started."
14900200,14930180," Let's get started."
14930180,14960160," back to here."
14960160,14990140," Let's get started."
14990140,15020120," Let's get started."
15020120,15050100," Let's get started."
15050100,15080080," Let's get started."
15080080,15110060," Let's get started."
15110060,15140040," Let's get started."
15140040,15170020," Let's get started."
15170020,15200000," Let's get started."
15200000,15229980," Let's get started."
