start,end,text
880,6320," Looks like we're live. Hello everyone and welcome to yet another recreational programming session"
6320,11600," with Mr. Zodin. Let's make a little bit of an announcement and officially start the string"
11600,18240," RedCircle live on Twitch. And what are we doing today on twitch.a.tv website?"
18240,23920," Today, let me open my notes, we are doing Tula programming language. Yes,"
23920,29120," we continue developing the thing that we did yesterday. I have no idea what happened. I was"
29120,34560," just trying to put a space like Discord. Are you okay? Right, so I'm going to give the link to where"
34560,42560," we're doing all of that. HTTPS Twitch.tv. It's so freaking slow. It's insane. And I'm going to ping"
42560,47120," everyone who's interested in being pinged. And there we go. The stream has officially started."
47120,50800," The stream has officially started. Hello, hello everyone. Welcome, welcome, welcome. So"
50800,57920," Tula programming language, right? So essentially Tula stands for Turing language, right? It's based on a"
57920,63520," Turing machine. Right, and a Turing machine, if you never heard about Turing machine, I really recommend"
63520,68320," you to Google it up, Turing machine. Right, we already looked into what it is on previous streams."
68320,73600," And there's a lot of extra information about what is a Turing machine online, especially on YouTube,"
73600,81360," computer file and stuff like that, right? So you can check out those. Right, so in the main sort of like a"
81360,89120," program of a Turing machine is a table, right? So which consists of five elements, right? So your current"
89120,96400," state, whatever you're reading on the head of the Turing machine, right, on the head of the Turing machine,"
96400,102080," right, because it consists of the infinite tape and the head that reads and writes into the tape. So the"
102080,108480," second element here is what you read from the tape. And then the third element is what you have to write"
111360,117840," this state and you read this symbol, right? The next thing is where you have to move the head"
117840,125600," afterwards, right or left. And the next thing is what state you have to switch to, right? So that's"
125600,132320," basically a single row of the Turing machine table. And a program for a Turing machine consists of sequence"
132320,139040," of such rows, right? So here we have a very simple program for a Turing machine that increments a binary"
139040,143600," number. So we can take a look at the examples of the binary numbers, right? So this is how they look"
143600,150000," like. They consist of bits, zeros and ones. And in here we choose the format of a least significant bit."
150000,154960," So the least significant bit is located at the beginning and it grows towards the right, right?"
154960,158560," So that way it is easier for the Turing machine to sort of process this kind of thing."
158560,164560," Right, and essentially this particular program increments such binary number by one, right?"
164560,170240," So essentially if you are in increment state and you see zero, it's actually pretty straightforward"
170240,173600," and pretty easy to increment such number. You just replace it with one and you halt."
173600,179360," Since we never actually defined anything for the state halt, it's a halting state. If you encounter one,"
179360,184400," if you encounter one, you basically replace it with zero, you move to the right and you continue replacing ones with"
184400,190000," zeros until you encounter zero and then you change it to one and that's how you increment the number."
190000,194320," We can actually take a look at this entire thing. So the entire language, the entire interpreter,"
194320,200000," this is rather interpreter rather than compiler, though I have a couple of ideas on actually making"
200000,205760," this language compilable to the actual x86-64 machine code, right? So I'm not really sure if I'll be"
205760,211040," able to pull that off, but I have a couple of ideas on that, right? So the entire language is written in Rust."
211040,214800," So here it is, the interpreter and stuff like that. So let's actually rebuild it just in case."
214800,222960," Rustc, Tula, RS. There we go. And what you have to do when you run this interpreter, you have to"
222960,229440," provide the program, right? And then the tape, the data for the Turing machine, right? So let's provide"
229440,235280," the increment Tula and let's provide the thing even bits. And as you can see here, it is going to basically"
235280,240720," trace the state of the Turing machine, right? So this is the initial state of the tape. And to increment"
240720,245520," such number, we just replace it with like the first zero with one and we halt. Nothing particularly"
245520,251680," special, nothing particularly interesting. So here, if we take a look at the odd bits, right? So this one"
251680,257280," is going to be a little bit more interesting actually. So let's feed the odd bits into this entire thing."
257280,262080," And as you can see, the process became a little bit more involved, right? It was basically going"
262080,266640," through all of the ones until it encountered the first zero and then it replaced that first zero with"
266640,272240," one and there you go, it declared to be incremented. Very simple, very straightforward. What's interesting"
