start,end,text
960,4960," looks like we're live hello everyone and welcome to yet another"
4960,11520," allusion session allusion session let's make a little bit of an announcement and officially start"
11520,21440," the stream so let me pull out my discord server uh okay so let's do a red circle live on twitch"
21440,28720," and what are we doing today on twitch.a television website today we are implementing a c compiler"
28720,35280," in php help out that so i'm gonna give the link to twitch.tv starting the place where we do all of"
35280,40000," that i'm gonna ping everyone who's interested in being pinged and there we go the stream has"
40000,48960," officially started so since today is april fools uh i'm obligated to do something quirky and weird"
48960,56560," so and because of that i decided to just do something quirky and weird and what could be more"
56560,64240," quirky and weird than implementing a literally a c compiler in php so that's what we're doing today"
64240,69200," that's what we're doing today hello hello everyone welcome welcome welcome"
69200,77520," uh so thank you so much uh fabio hbf for uh tier one subscription thank you thank you thank you"
77520,84080," uh with the message codyng cool codyng cool indeed because what we're doing today is in fact very very"
84080,91840," cool uh so let's go uh i'm gonna start team yux and let's go to uh codyng and uh let's create a"
91840,99040," folder uh let's call it uh c.php i think it's a it's a good name for for this entire thing for for the"
99040,105680," project right so uh what we're going to be doing right so i want to implement like literally a php"
105680,113440," script that accepts a c code and compiles it down to uh to assembly right so that's what we're going"
113440,120400," to be doing today we're going to write a php script that processes c code and generates assembly out of the"
120400,127360," c code of course we're not going to implement like a fully standing compliance c uh what i uh plan for"
127360,133920," today is to just go ahead and since today is april fools i suppose to do something weird and quirky"
133920,142560," so let's use vim uh for for the entirety of the stream right so uh yeah there we go i can't zoom in"
142560,150000," i can't can't zoom in on this goddamn editor uh maybe i can just like make the uh the font a little"
150000,156880," bit bigger i forgot how to do that so there's a use of 20 maybe how about 22 i think that will be that"
156880,166480," will be a little bit weird better um okay so um essentially my idea is that uh we're gonna implement"
166480,176720," a like a small subset uh of of c right in php so enough to to compile down a hello world right so let's"
176720,182160," actually go ahead and just create such hello world i'm gonna create hello c so what we want to support"
182160,189840," is i suppose including uh some um some standard headers so i think for now i'm gonna just basically"
189840,194640," ignore all of the pre-processed directives and stuff like that so this one is probably not going to have"
194640,200560," any effect so we want to be able to define like simple functions that returns integers right so we want"
200560,207440," to be able to also have uh return a number from such functions right so and then we probably want to"
207440,213920," support printf to some extent to just print hello world maybe it's not going to be a full support of"
213920,221040," printf but um i have an idea of making printf an intrinsic for now meaning that the compiler will see"
221040,226640," this function call uh and it's not going to call an actual function it's going to replace it with like"
230560,238160," like that so essentially uh i want to implement enough of the c compiler in php to compile this"
238160,243760," program to a native executable right that's the basically the idea for today's stream and i think"
243760,250000," this is kind of doable uh in like for like in two hours maybe maybe a little bit more we'll see it just"
250000,255520," depends on on the mood and stuff like that on how it goes i think that's a pretty good challenge i think"
256160,263360," uh right sounds sounds like fun i don't know so uh let's go ahead and freaking do that i already"
263360,270720," created a c.php file i already started this entire thing with open triangle bracket question mark php"
270720,276000," you're supposed to actually end it with a question mark closing this entire thing but as far as you know"
276000,281360," professional php developers just simply don't do that they never close this entire tag and this is"
281360,286800," totally fine in php so let's actually write hello world i don't remember anything from php to be"
286800,292960," fair i haven't programmed seriously in this language ever uh and i programmed unseriously in this language"
292960,298320," some time ago and i like i don't remember what was what was in this language but i remember that it had"
298320,305040," like a hello uh hello function that just brings stuff to the standard output so let's actually say hello"
305760,314640," uh world right so hello world and i suppose what you're supposed to do is just uh just this so uh"
314640,322400," unexpected on the file expecting um comma or semicolon so is it supposed to be ended uh with semicolon yeah"
322400,327120," okay so that's true it doesn't have a new line in here so that means we also have to put some sort"
327120,334560," of a new line in here and there we go we wrote a hello world in php i think this is already a great start"
334560,341360," this is a very very good start so we've got some subs and beats and stuff like that uh so let's"
341360,346560," actually acknowledge them zwony codes uh thank you so much for tier one subscription with the message"
346560,354240," okay so uh thank you lapis on the moon for uh twitch prime submission thank you thank you thank you"
354240,359360," uh enumerate uh with that 100 beats thank you so much for 100 beats with the message"
359360,366480," sodding weird happy tomfoolery day happy tomfoolery day to you too thank you thank you so much uh peter"
366480,370400," nah uh i hope i pronounced your nickname correctly thank you so much for tier one subscription with the"
370400,375760," message giving money to basis because i still forgot to cancel it yeah that's basically how it works"
375760,381840," that's basically how subscription works essentially you just subscribe once and you forget about it"
381840,388080," and you keep becoming poorer and poorer and poorer uh john x slayer thank you so much for twitch prime uh"
388080,392720," with the message php the one true programming language it is true that's the only true programming"
392720,399040," language the other languages are just like uh derivatives of php basically right so it all started"
399040,405040," with php uh cena basil thank you so much for five community gifted subs thank you thank you thank you"
405040,412480," all right so that's pretty cool we already know how to write a hello world so i'm not even sure if this"
412480,417440," is a correct c program that we wrote in here all right so let's actually try to compile it with an"
417440,423520," actual c compiler just to make sure that you know uh it is an actual c it is an actual c problem would"
423520,428240," you look at that okay let's remove that uh okay so i suppose the first thing we want to be able to"
428240,434240," do we want to do we want to be able to read a goddamn file how can we read a goddamn file in this goddamn"
434240,440480," language uh i don't have no idea so uh let me actually google that php read file"
440480,456880," who would have thought literally php read file how about that cool uh outputs file and this is not really"
456880,463440," what i wanted uh so let's actually give it a try so what if i do read the file and i'm gonna say okay"
463440,472880," hello dot c cool uh and then if i run this entire thing php uh c dot php and there is a syntax error"
472880,479120," because again i forgot the semicolon imagine requiring semicolons in 2023 and it just prints it it acts like a"
479120,486000," cat uh we implemented cat uh we implemented cat right so we implemented hello world and the next second we"
