start,end,text
720,6800," all right we're live hello everyone and welcome to yet another as we're in session hello hello"
6800,12720," welcome welcome welcome let's make a little bit of an announcement and officially start the stream"
12720,21200," so uh we're gonna do live um i mean red circle yeah i forgot uh live on twitch and what are we"
21200,28480," doing today on twitch today we're doing 3d in c yet again and i'm gonna give the link to the twitch"
28480,35600," chat where we're doing all of that and i'm gonna pink everyone who's interested in being pinked"
35600,41360," there we go the stream has been officially started so what we're doing today we continue developing"
41360,46720," uh olivets which is the graphical library that we've been developing for quite some time i think"
46720,52400," like three or four months already uh you can find the source code in here if you're interested i'm"
52400,57920," gonna put that thing in the uh in the description as well so here you go so it's a very simple"
57920,64000," graphical library that is uh rendering everything into the memory right it is not concerned with"
64000,70080," how to display what it's rendering it just fills up the memory that you allocated right so you allocate"
70080,75040," the memory you give the library that memory you ask the library to draw something in there and it draws"
75040,80000," something there and then you do whatever you want with that uh with that drawing so that's basically the"
80000,85920," library and you can do all sorts of things there is a demo there is a demo website on the github page"
85920,90960," and this is kind of things you can render with this thing you can render rainbowish triangles circles"
90960,96080," semi-transparent circles as you can see it have gradients it supports uh transparency and stuff like"
96080,103520," that so we have a little demo that uh you know draws some dots in a 3d space and projects them onto the"
103520,111840," screen and you have this little nice cube right so we also have some sort of a texture resizing with"
111840,117920," bilinear interpolation as you can see there is a smooth uh smooth interpolation no pixelation whatsoever"
117920,124560," right uh so we have a little bit of a 3d right so with shading and stuff like that so the library allows"
124560,131280," you to do very sending coordinates which you can use to decide to actually calculate the depth of your"
131280,137360," of your object so you can actually shade it in a particular way uh you can also rotate textures you"
137360,143440," can actually put textures in here uh and so on and so forth we have a lot of examples and all of that"
143440,151520," is rendered on cpu pixel by pixel into memory without any opengl without any vulcan without anything it's"
151520,157680," just pixel by pixel on cpu right so this library is concerned with portability it's concerned with"
157680,165680," simplicity it doesn't go for speed right so it goes for portability and simplicity right so even and even"
165680,174320," though it doesn't really go for speed uh this is rendered on cpu and this has like six thousand uh"
174320,179440," triangles or i don't remember i think i think it has like six thousand triangles and it's it's not running"
179440,185440," with a one fps which is really kind of cool i think uh on a 10 years old laptop from which i'm also"
185440,192400," streaming right so keep that in mind so considering all of the weird and questionable decision technical"
192400,199280," decisions that we made about this library this should not work like at all this should not work"
199280,205760," like it shouldn't even show anything should be so goddamn slow it's impossible to use yet it is doing"
205760,212320," things which means that computers are much faster than we think they are you just need to remove a lot"
212320,218720," of crap right if you remove a lot of crap and you just like strip it down to bare bones they actually"
218720,227440," surprisingly fast without you doing much which is weird isn't it right so um anyway so what i wanted"
227440,235840," to do today uh so we needed to implement uh near and far clipping plane right so we do a little bit of a"
235840,242880," projection right in 3d space and z is actually going from one to two okay so i i think i need to actually"
242880,251920," uh start my paint and actually bust out my tablet uh okay so we can actually show what exactly what"
251920,260480," exactly we're doing uh so all right so imagine so we're looking from the side right we're looking from"
260480,266000," the side that means z is going to the right in here right let's imagine that z is going to the right so"
266000,276000," this is z and uh here we have y right so this is y uh our eye when we are projecting everything our eye"
276000,282160," is located at zero right at z zero so this is our eye i wish i could actually spell it a little bit more"
282160,290400," nicely so this screen is located at position one of z so if you put it like that this is a screen"
292560,299920," uh so and then we have uh like a limitation to two in here and our object is usually located in here"
299920,305840," and what we effectively do when we're projecting that object onto the screen we just basically draw"
305840,312320," uh these two lines right and now we know the boundaries of this object we projected the points"
312320,316160," of this object onto the screen and this is what we are actually draw on the screen so this is how"
316160,324640," basically projection works right and essentially um we want to keep our objects inside of this specific"
324640,332560," range right we want it to be inside of this specific range if the object goes somewhere uh for example"
332560,339920," like that maybe i actually want to make it a little bit brighter and something like this right so we want"
339920,347360," this part to be cut out so this is what's usually done in open gl there is so called uh near clipping"
347360,354480," plane right so we can say that this specific screen is not only uh a screen but it's also sort of like a"
354480,364080," near uh near clipping play near clip right and uh we can also say that this is going to be far clipping"
364080,373200," plane right uh and everything that falls behind any of these clipping planes uh it should be eliminated"
373200,381200," it should be not drawn right so any question is what if you have a big scene uh right that is much bigger"
381200,388960," than one right you have to basically uh you know take the your scene and project it so it's within this"
388960,393760," boundary so this is how it's usually done i'm not sure how exactly pangelo works maybe it's"
393760,398560," actually configurable so you can actually decide where those planes are located maybe we can do"
398560,404480," that as well but just for the sake of simplicity of the math it's just easier to to do it like that"
404480,409280," right so this is one of the things we want to we want to have and the reason why we want to have that is"
409280,417680," because if your objects like these objects are too big so big that for example a handle starts to poke"
417680,424560," out of the screen right we're starting to have a lot of weird behavior right so to avoid that weird"
424560,430880," behavior we want to kind of like cut everything that goes behind the screen and you know just for"
430880,436320," the symmetry we also want to do the far clipping plane that cuts everything that goes too far because"
436320,442480," why not maybe maybe like far clipping plane plane in our case is not particularly necessary but the the"
442480,446320," nearest one is very important because i'm going to show you what's going to happen if you don't do that"
446320,449760," all right so let me take a look"
449760,459760," so i'm going to open all of that and uh so i think i want to rebuild i think i already"
459760,463760," rebuilt all of the demos so i don't need to do another rebuild so this is the demos"
463760,469040," and let's take a look at the teapot sdl so here is the sdl version this is the native version without"
469040,475440," any web bullshit uh right so it works without browser uh imagine like an application working"
475440,480800," without a browser in 2022 it's unimaginable these days right it's a lost technology nobody's doing it"
480800,488880," like that so and uh let's actually open the build script so we have a function that builds the assets"
489440,496160," right and within the assets we basically take the object file right that you the teapot so here is"
496160,503600," the thing and we're converting it into a c code so we can include this object into our c program so it"
503600,509040," gets baked into the executable so you don't have to think about how to load this object and if you're on"
509040,514080," the web you don't have to think how to query that object over http it's baked into the executable you don't"
514080,519680," have to worry about that so we basically bake everything it's pretty convenient but the utility"
519680,525760," that we use to bake the 3d objects into the executable it has a very interesting flag it allows"
525760,532160," you to scale uh to scale the object right so because the object too big it doesn't really fit in into the"
532160,536560," range from one to two we want to scale it down a little bit so it fits there and doesn't produce weird"
536560,543920," result so if we make it a little bit bigger if in fact we can pick the original scale right one so"
543920,549120," what was the original size of the of the object so let's try to rebuild that specific demo so i'm"
549120,553520," going to rebuild demos and specifically i'm going to rebuild i think i need to rebuild like all of them"
553520,557760," because i need to rebuild the assets right so let's rebuild the assets the assets has been rebuilt so"
557760,563360," look how much time it takes to rebuild the assets right this is just so fast look at that"
563360,570560," right it's less than a less than 100 milliseconds we took all of the all of the images all of the png"
570560,575600," images and all of the object files and we generate it c code out of them so we can bake them into our"
575600,582080," programs and it was just like super fast it's kind of funny anyway so let's actually now rebuild the demo"
582080,587440," the demo that i want to rebuild is a teapot 3d and i want to rebuild it for sdl specifically so i'm"
587440,592560," going to actually be very specific so we don't waste too much time uh all right and let's do build"
593680,602160," demo teapot 3d sdl and uh so as you can see it starts to lag a lot and we are inside of the"
602160,609520," work yeah this is actually kind of cool uh as you can see so there is a lot of weird behavior if you"
609520,619120," don't cut uh you cut your um polygons to to the clipping planes so it gets even more weird uh i"
619120,624560," suppose if we just make it a little bit smaller so you can see the moment when it gets really weird"
624560,631600," uh all right so let's actually rebuild the entire thing uh i wonder if we can just do assets right and"
631600,642640," then just no build demos teapot uh 3d sdl and then run build demos teapot uh sdl you probably can't see"
642640,649280," everything well you can see something which is which is nice okay sure so as soon as it sort of hits the"
649280,658000," handle it gets really weird and it gets also super slow um yeah as you can see that's that's basically"
658000,666720," what's happening right yes yes yes actually it's not that bad if you think about it so i mean visually"
666720,675200," visually speaking visually speaking so if i make it slightly like 60 i wonder how it's gonna behave"
675200,682560," okay so it works nice and as soon as the handle sort of hits the camera we're starting to get like"
682560,688320," all of this weird behavior that is actually it is some of the uh some of the things look at that look"
688320,693440," at that some of them are starting to even cross through these things so it's definitely not correct"
693440,700960," some of the math doesn't work out you see we're starting to get these huge things and i wonder"
700960,707040," like where exactly all that's that's happening right so this is basically the problems uh that we have and"
707040,713040," it's also super slow so maybe there's some sort of like a none um in the coordinates somewhere but but"
713040,718000," this is exactly what we want to explore today right so this is precisely what we want to explore today"
718000,724800," so that's the topic of today's stream okay we got some subs uh thank you so much and shay for um"
724800,730320," for two months of tier one subscription thank you thank you thank you really appreciate it hello hello everyone"
730320,736640," uh welcome welcome welcome welcome how are you guys doing all right so yeah that's basically the the"
736640,743680," plan for today so i accidentally saved the the compilation thing i don't know why okay and the same"
743680,750800," thing uh we kind of have with the cup all right so we have a demo that demonstrates a cup so let's take"
750800,758000," a look so this is a cap 3d sdl uh it works fine if it doesn't clip but if you make it clip it's gonna get"
758000,763200," really weird so let's take a look at the source code of the demo right so here is the cup 3d this"
763200,769600," is for the cup and we also have a teapot 3d so the implementations of these two demos is rather"
769600,774880," interesting so if we take a look at the implementation of teapot 3d it looks like this it's literally three"
774880,785200," lines right and if we take a look at the implementation of the cup 3d it's two lines so these two demos"
785840,793920," uh right these two demos if we go in here uh their implementations are like three and two lines so we"
793920,802000," just include a bunch of files in here and here is an interesting thing so the main uh demo is model 3d"
802000,810480," and model 3d when it renders its model right when it runs its model it looks for global variable vertices"
810480,818880," and faces and those global variables are uh generated by the asset generator uh right so if you take a"
818880,826560," look at for instance um cup right cup low poly i think that's what we need yeah there we go so here's"
826560,835360," the vertices and down there we have faces right so essentially model 3d doesn't care about specific model"
835360,842320," it's rendering it's just expects to have a global variable vertices and a global variable faces"
842320,847920," that's it right so it finds those and it just renders whatever in those global variables right and"
847920,854800," those global variables are defined in different files so if you want to have a demo with a specific object"
854800,863680," model right so in this uh in this case what do we do so cap 3d we just include the cup model right which"
863680,869040," imports the vertices and faces and then we include this thing which also includes the entry points and"
869040,874080," stuff like that and there we go we're good to go you want a different uh different demo you just include"
874080,882080," a different uh different object in here and it's going to be the same code right look at the reusability"
882080,890240," of this code look at the reusability of this code we're not using any fancy abstract factory bin"
890240,894960," visitors pattern or anything like that this is literally a concatenation of two files"
894960,902880," and look how much flexibility you can achieve through just concatenation of two files without"
902880,912640," any ideological oop fp bullshit just by concatenating two files isn't that amazing i think it's freaking amazing"
912640,931200," people spend years studying different patterns reading and writing shetton of books on op op i'm sorry for"
931200,941120," my for my french accent for an op and shit like that just to end up with somebody who programs and see to beat them up in the level of flexibility"
941120,947600," it's just like yeah i just include like i can just substitute like can your dependency injection"
947600,950960," do that without thousands of lines of x"
953360,957760," well it's it's it's kind of like a dependency injection basically anyway whatever"
957760,967040," all right so let's go"
967040,977520," uh anyway so this is basically i was explaining how exactly these 3d demos work right so basically cup 3d and"
977520,983920," teapot 3d are literally the same code so this is kind of important uh for for our case because we're"
983920,988880," going to be fixing both of these things simultaneously right so i'm not working on the code of any of these"
988880,994080," specific demo they share the same code right they share the same code"
994080,1005200," all right so model 3d game okay so how do we do all of that how do we do all that so we iterate through"
1005200,1012240," all of the faces right then face is just the index within the vertex uh vertex array right we get the"
1012240,1019200," corresponding vertices and we take their points in 3d right we take their points in 3d one of the things"
1019200,1028160," we do we add to the z value of all these points 1.5 who knows why why do we need to add 1.5"
1030080,1035840," remember that we're projecting the things that are between these values 1 and 2 it doesn't really"
1035840,1041440," necessarily have to be between 1 and 2 it's just like we set up the math so we kind of expect them"
1041440,1047760," in this specific place to be between 1 and 2. you can set up math in different ways and it's going"
1047760,1052000," to be different values it doesn't really matter it's just the details right it's just look we set up the"
1052000,1057840," math so we have to put these things between 1 and 2. right the next thing we do then we project"
1057840,1064960," this thing onto 2d screen and as you can see we have three points but 2d we had three points in 3d"
1064960,1071360," and now we have three points in 2d we destructurize them so we can have separate variables because it's"
1071360,1077920," easier to to put them into the olivettes and then we normalize the triangle normalizing the triangle"
1077920,1085520," is essentially finding its boundaries finding the rectangle on the screen that surrounds the entire"
1085520,1091120," triangle so we can iterate through each individual pixel and then we have a way to check whether the"
1091120,1096960," pixel that we're iterating is within the triangle or outside the triangle right we we use barycentric"
1096960,1105120," barycentric coordinates to determine that right so and um through the barycentric coordinates we can"
1105120,1111200," actually take the z values of each individual point and interpolate them to know the z value of the pixel of the"
