start,end,text
160,5600," Hello everyone and welcome to yet another recreational programming session with Ahu"
5600,11840," Mr. Zodin. So on one of the previous streams, I'm going to put the stream in the description,"
11840,20640," we looked at Quick Modern C11 compiler. And one of the things that this compiler uses, it uses a"
20640,28000," very fascinating build system, build.lua, which generates ninja files. And I found it kind of"
28000,33600," weird at the time, but then I thought about it and we had a little bit of discussion on Discord, right?"
33600,43440," As Spiritman said, Ninja is actually extremely simple, extremely simple build system that had a"
43440,52800," bad rep because usually it is associated with such things as CMake and Mason or another like, you know,"
52800,59040," complicated build system. But here in this project, we're having a simple Lua script that generates"
59040,65680," Ninja, right? And I kind of vaguely remember a long time ago that Ninja prided itself as like a super"
65680,72880," simple make file. So here's the thing that kind of happened to me. Like I think I learned how to use"
72880,80480," make files before Ninja even existed. Right. And because of that, for me, Ninja feels like this like"
80480,85520," shiny new tool that is kind of irrelevant and stuff like that. But I mean, it becomes more and more"
85520,91120," relevant. Everybody's using it. Like when Ninja came out, actually. So let's take a look at Wikipedia."
92000,101120," When it came out. So, and I kind of never, well, okay. Ninja build, and I kind of never really learned it."
101120,109920," Build tool, right? A build system, right? So this is a build system when it came out. Okay. So it's 2012."
109920,113440," Sounds about right. Sounds about right. Because I started programming in 2006."
114000,121440," I think I already learned make files by the 2010 or something like that. So I remember the news"
121440,127920," about this tool coming out and everyone was being super hyped about it because it was made by Google."
127920,133680," Right. And the justification of like making that tool was really fascinating, right? So"
133680,142720," the Google came out and said, we have such a big projects that you're a peasant make files can't"
142720,151120," fucking handle it. So we being motherfucking Google, we are developed our own make file system that can"
151120,157680," actually build it fast. And since we're generous, we're open sourcing it for you plebs. So I kind of"
157680,167840," remember it like that. So, but kind of, I never got an opportunity to really learn it. Because all again,"
167840,175680," it's also hidden behind like a higher level build systems. So, and looking into this project, into this"
175680,181680," quick project, I realized that it has a little bit of a blank in my knowledge, right? So, which I never"
181680,188080," really filled in. So what I want to do in today's stream, I want to look into this ninja system. And"
188880,195680," so what also caught my curiosity is that it is supposed to be extremely basic and rudimentary."
195680,204560," And it is designed for being generated by other build system. It's not really a build system of its own."
204560,209440," It's a low level. Yeah, yeah. So they even say that in the in the description in here."
209440,214720," So it is designed to have its input files generated by a higher level build system. And it's designed to run"
214720,221360," builds as fast as possible. Right. So if you can use ninja without that over bloated"
221360,228240," shit like CMake and Manson, that sounds kind of interesting. I think it's like worth looking into,"
228240,234400," right? Because I feel like people rarely look like and work with ninja directly, right? Unless you're"
234400,239760," creator of Quick, right? But Quick, creator of Quick is actually a really special person. I really like"
239760,244880," them. I think they're super young, right? And they do a lot of cool shit, right? So for example,"
244880,251520," they made a snake in assembly, right? So it looks like this. So there's some, yeah,"
251520,259280," so there's some demo that demonstrate and look, it's on Windows. It's on Windows, but it is implemented"
259280,268400," in GNU assembly in GNU assembly. Who programs in GNU assembly for Windows? Holy fucking shit."
268400,275760," Man, the creator of Quick is such a fascinating person. I love him. I just..."
275760,281200," This is so freaking cool. Okay, I'm gonna give it a star, honestly."
281200,289520," I'm gonna give it a star. So fucking basic. Implementing a game for Windows in freaking GNU"
289520,297040," assembly. Holy shit. Anyways, so let's take a look at Ninja. Right. So Ninja is a small build"
297040,303520," system with a focus on speed, violence, my binge. It differs from other build systems in two major"
303520,309120," aspects. It is designed to have its input files generated by high-level build system, blah, blah, blah."
309120,318240," Okay. Why yet another build system? Where other build systems are high-level language, Ninja aims to be an"
318240,326240," assembler. So sounds about right, right? So we're doing a lot of assembly in our streams, so we're doing"
326240,334800," assembler build system. Ninja build files are human readable, but not especially convenient to write by hand."
335440,341840," Right. So c-generated build file used to build Ninja itself. Okay. So these constrained build files allow"
341840,348400," Ninja to evaluate incremental builds quickly. And so having incremental builds, kind of the whole point"
348400,355280," of things like make files and I suppose Ninja. Right. So incremental build files is basically when"
355280,361840," you have a program that consists of several files. Right. So, and then you modified one file and you don't want to"
361840,369280," rebuild the entirety of the thing. Right. So the build system usually can track and understand what files needs to be"
369280,374960," built. We can even take a look at some example. Right. So, let's actually go and maybe create"
