start,end,text
720,2100," Looks like we're live."
2100,10280," Hello everyone and welcome to yet another recreational programming session with Azuzin."
10280,11300," How about that?"
11300,12180," How about that?"
12180,14200," So let's make a little bit of an announcement."
14200,18220," Red Circle live on Twitch."
18220,22720," And what are we doing today on Twitch.at television website?"
22720,28820," Today we are improving UI, UX of Mutualizer."
29380,33100," And I'm going to provide the link where we're doing all that."
33100,35740," Twitch.tv slash sorting."
35740,38180," And I'm going to ping everyone who's interested in being pink."
38180,38840," And there we go."
38840,41260," The stream has officially started."
41260,42540," The stream has officially started."
42540,48420," So today we continue working on Mutualizer, which is music visualizer that we started to"
48420,49400," work on some time ago."
49400,51680," You can find the source code here."
51680,55520," I'm going to copy paste it in the chat for people on Twitch and for people on YouTube."
55520,57640," It's going to be in the description and stuff like that."
58240,63880," And the goal of this project is to basically be able to create beautiful music visualization"
63880,67140," and render them into high quality videos."
67140,73120," So then you can basically share them on the social media and show off how cool you are."
73120,73440," Right."
73440,77260," So that's basically the goal of this entire thing."
77260,79440," So let's take a look at it."
79440,79680," Right."
79680,81020," So it's pretty straightforward so far."
81020,82620," So Mutualizer."
82620,86060," I think I already built it from scratch, but I'm going to rebuild it just in case."
86420,86820," Right."
86820,88460," So we're going to run Mutualizer."
88460,90460," There we go."
90460,92340," And this is how it looks like."
92340,92940," Right."
92940,95500," So you're supposed to drag and drop some music in there."
95500,100020," So let's grab some music."
100020,103980," I'm going to start the file manager so I can grab the actual music."
105060,111020," So here is the folder and maybe let's actually take a look at this kind of thing."
111020,113820," So this is how it looks like."
113820,115400," Right."
115400,121900," So and then you can press F and it will start rendering an actual video, high quality video"
121900,124720," of that visualization for that specific music."
125820,126260," Right."
126260,129060," So and it's going to be, I think it's going to be full HD."
129060,136780," And the bit rate is around 2,000 KB or something, maybe 3,000 KB."
136780,137860," Right."
137860,141440," It takes some time, right, because it needs to process all of these bits and stuff like that."
141440,142620," Right."
142620,148580," But eventually, eventually somewhere in the current folder."
148580,151200," So it's actually rendering in the current working folder."
151200,153880," It's going to create output.mp4."
153880,157460," and that's going to be literally the video of that specific visualization."
157460,159840," Right."
159840,161600," And the video is done."
161600,163080," So right now it's finalizing."
163080,166640," So it needs to like to take some time to finalize and everything."
166640,167120," And there we go."
167120,169380," So here is the actual video."
169380,171000," Right."
171000,172600," And that you can actually post somewhere."
172600,173160," Right."
173160,175300," So and you can do that for any music."
175300,177600," So right now we only have one kind of visualization."
177600,180220," In the future, we're going to have several of them."
180220,189780," And also each visualization is probably going to have like different parameters that you can customize before rendering and everything."
189780,195640," One of the cool features that we implemented recently is basically capturing the sound from a microphone."
195640,196960," Right."
197360,203520," So you can't really visualize like a final video from a captured sound in a microphone."
203520,207900," But you can just see how your sound, how your voice is going to look like when it's visualized."
207900,209580," Right."
209580,212060," So yeah, this thing reacts to my voice."
216380,221640," So, and this is basically what I wanted to focus on today, honestly."
221640,233420," This is because it's unclear how we're supposed to handle this microphone recording feature from the UX point of view."
233420,237560," Right now, you're supposed to press M to switch to this mode."
237760,240240," And that's basically everything you can do in that mode."
240240,245140," Just see your voice visualized or anything that is picked up by the microphone."
245140,246560," Right."
246560,250640," But then you switch to the mode where you're supposed to drag and drop the music."
250640,254600," So how do you integrate these two features together?"
254600,256900," Visualization of the music."
256900,257300," Right."
257380,259460," So let me actually put some music in there."
259460,260760," Visualization."
260760,262820," Rendering of the music."
262820,264260," And also capturing mic."
264260,265280," Right."
265280,269560," I can switch from previewing the song to mic and back."
269560,272200," But like, it just looks weird."
272200,275420," How am I supposed to integrate and tie everything together?"
275420,277640," Like, you see what I'm talking about?"
277640,279340," It doesn't make any freaking sense."
279340,285520," Like, so on top of that, in the future, we're going to have a similar mode to microphone."
285960,290400," But the one that picks up the sounds from the speakers or from the system, rather."
290400,291020," Right."
291020,295620," So essentially, I won't be able to allow the user to, for example, open YouTube."
295620,296180," Right."
296180,298680," And just play something on YouTube."
298680,305860," And this program is supposed to pick that up and visualize whatever, you know, is playing currently or something like that."
305860,307000," So that's basically the idea."
307000,310500," And it's kind of similar to how, you know, microphone picking up works."
310500,314440," So, yeah, people say compression is crazy."
314440,315380," I'm really sorry about that."
315960,319040," So, essentially, I came up with the following idea."
319040,326720," What if we allow people to work with several files simultaneously?"
329200,333480," So, as of right now, you can only drag and drop a single file."
333480,336580," And you sort of like focus on working with that specific file."
336580,337340," And that is it."
337340,340820," What if we allow the user to work with several files?"
340820,344540," So, essentially, maybe we're going to have some sort of a panel at the bottom,"
344540,348420," which is the least of all of the drag and dropped files in there."
349080,353720," And you should be able to basically click on them and switch between them."
353720,354680," Right."
354680,358560," And depending on the current file, you can render that file and stuff like that."
358560,369380," And then when you press M or some sort of a button, I believe it has to be some sort of a button because each action should have like a visible UI button."
369460,371540," So, the users know what kind of features are available."
371540,372540," So, they don't have to guess."
372540,374240," But we'll get to that a little bit later."
