start,end,text
240,6400," looks like we're live hello everyone and welcome to yet another recreational programming session"
6400,12640," with a mr azuzi now let's make a little bit of an announcement and officially study stream as usual"
12640,21040," so uh we're gonna say red circle live on twitch and what are we doing today on twitch.tv"
21040,29280," television website today we are doing a custom immediate ui system for music visualizing that"
29280,34800," would be developing for quite some time uh so i would partially copy pasted it so i'm going to give"
34800,40080," the link to where we're doing all of that uh twitch.tv/todding and i'm going to ping everyone"
40080,44880," who's interested in being pinged and there we go the stream has officially started the stream has"
44880,49920," officially started so as already mentioned we're going to continue developing our mutualizer music"
49920,55520," visualizer i'm going to give the link to uh this thing in the chat and for people who's watching"
55520,60320," on youtube it's going to be in the description as usual all right so let's take a look at this and"
60320,66640," i think uh it looks pretty cool i really like how it looks like uh so let me let me actually start it"
66640,73040," up so i really like this sort of like tutorial-ish uh um first experience right when you open up there"
73040,78400," is no interface right it just tells you uh drag and drop some music in there and you know exactly what"
78400,84400," to do you know what exactly what to do you just need to drag and drop some music um all right so uh"
84400,93040," let's grab some music and um maybe i'm gonna put something in here there we go so this is how it"
93040,98800," looks like and there is a little bit of interface right so you can select the files in there and there"
98800,104080," are a couple of buttons you can do a full screen if you want to use this thing as a backdrop and stuff"
104080,109120," like that uh there's a volume control right so if you play any music you can actually make it you know"
109120,114800," quieter or louder or you can mute it and stuff like that uh there's a timeline so as you can see there is"
114800,124160," a little bit of a ui and this kind of ui is actually immediate ui right but everyone knows what that"
124160,130560," really means right so how many of you know what is like immediate ui and what is opposite of immediate"
130560,138720," ui which is retained ui did you even know that that there is such separation as immediate and retained ui"
138720,147200," so essentially that separation was first coined by casey moratori as far as i know right so actually"
147760,155200," casey moratori um invented the term immediate ui right so and to understand more about like"
155200,162000," immediate ui historically not from the point of view of imgui i can see people in the chat"
162000,168880," saying imgui and stuff like that it's kind of funny how immediate ui got associated specifically"
168880,175440," with imgui which is a specific library so we can actually google it up imgui uh github"
176000,181680," right it's it's funny how it got associated with just one library when in reality it's not"
181680,190560," one library it's actually an entire approach to uh to ui in general and it's actually such a simple"
190560,196640," approach that you can implement it uh yourself and that's exactly what we did in mutualizer right"
196640,205440," so we invented our own immediate ui and it was not that hard it's not a library per se it is not a"
205440,212800," library it's just an approach and in fact if i remember correctly casey actually meant that it's"
212800,219840," not the kind of the whole point of immediate why immediate ui that there is no library right kind of the"
219840,225360," whole point of immediate ui that there is no library it's such a simple approach that you can"
225360,232000," just take whatever rendering method you have in your current engine in your current system and just slap"
232000,237200," immediate ui approach on it and it will just work without any special library that's kind of the point"
237200,242560," uh that's kind of the point so uh but when we're talking about immediate ui people usually mean this"
242560,248560," thing um you know so i'm gonna give the link here in the chat and also for people in the description"
248560,254080," we're not going to be using that right because we're developing our own system uh so here is the"
254080,260320," immediate ui i'm gui but for historical reasons for educational reasons i really recommend to check out"
260320,268560," the casey mortuary talk on immediate ui where he described uh this entire thing casey moratory in me"
269440,276320," did mode gui right so let's actually take a look at that this one so there's also quite a few things"
276320,286400," in here by myself uh right so i'm gonna copy paste it here and casey young casey 2005 but it was seven"
286400,295200," years ago actually right so but it was recorded i suppose in 2005 um so casey didn't know how to shave back"
295200,306560," that i'm joking by the way i love casey uh right so yeah and essentially uh the uh terminology comes"
306560,313920," from basically opengl right so the terminology comes from opengl so if you take a look at opengl"
313920,320320," 1.0 do you guys remember how you're supposed to um render stuff in opengl 1.0"
321840,329840," so you're supposed to do gl begin right gl triangles right so you you want to render some"
329840,338880," triangles then uh you do a bunch of vertices like gl vertex 3f i don't remember the specifics right so"
338880,344960," essentially uh maybe we're gonna do 2f because we're rendering on the 2d surface right so and we're"
344960,349200," gonna do minus half right so we're gonna assume that we have normalized device coordinates from minus"
349200,354720," one to one minus one to one right so we're gonna start with minus half and uh then minus half in"
354720,360560," here so this is the first point this is the left leg of the triangle then we're gonna do the right leg"
360560,367920," of the triangle and then we're gonna do the vertex at the middle which in x is zero but in uh y it's gonna"
367920,374560," be the positive y and then you say okay gl end and that thing is supposed to render you a triangle"
375280,382720," right so and you can also associate a color with each individual triangle you can do gl color 3f right"
382720,388960," so you can say that this one is a red one uh right so this one is red one this one is going to be the"
388960,397520," green one and this one is going to be uh the blue one right so essentially you um you basically declare"
397520,405200," okay i'm rendering triangles right and then you immediately provide each individual vertex of the"
405200,414320," triangle and then you sort of close the block and it immediately renders the triangle so as you go"
414320,424000," through the calls it does everything immediately so it is called immediate mode rendering immediate mode rendering"
424720,432240," so and then uh open gel 2 came along and uh instead of doing things like that you are supposed to first"
432240,440800," pre-allocate buffers where you put all of your vertices in and then you upload that buffers to the gpu"
440800,450880," and then you perform uh the draw call to render the triangles to render the vertices so it's called retained"
450880,460240," mode mode rendering so you basically don't render the things immediately you retain them does it make sense"
460240,467760," right so first we had immediate mode rendering right so as we provide the things immediately and then came"
467760,478000," along uh retained mode rendering so essentially casey uh sort of provided a parallel between ui and the rendering"
478000,487440," so majority of the ui that you're dealing with uh day to day right in web uh in mobile like any framework qt"
487440,496480," doesn't matter it's sort of like a retained mode ui essentially what you're doing is first building up"
496480,506160," the tree of the ui have you noticed that first you building up a tree some sort of a tree then you assign"
506160,512480," some sort of a listener to the events to the nodes and only then you give that tree to the system and say"
512480,520640," run it render it right so you don't do that immediately you first building up the tree"
520640,529760," and only then you can kind of work with that so that's why this kind of style of ui is retained mode ui"
529760,539680," it's kind of weird to even um describe this kind of ui because um this is what people got used to"
539680,547440," this is how you do ui like why do you even need to describe such an obvious that's how you do ui is"
547440,554080," there some sort of an alternative to do that right wait a second you're telling me that there is a way to do ui"
