start,end,text
880,7280," looks like we're live hello everyone and welcome to yet another recreational programming session"
7280,13680," how about it let's make a little bit of an announcement and officially start the stream"
13680,20880," hello hello everyone welcome welcome welcome so uh we're gonna do the usual red circle live on"
20880,29200," twitch and what are we doing today on twitch.tv website today we are compressing images"
29760,36480," with neural networks right so that's what we're doing today i'm going to give the link uh to twitch.tv"
36480,41200," slash sodding the place where we're doing all of that and i'm going to ping everyone uh who's"
41200,47520," interested in being pinged and there we go the stream has officially started so uh what are we"
47520,53760," doing today today we continue working on nm.h which is a simple header on the library for neural networks"
55120,60960," that we've been developing for the past several streams right so and uh yeah i'm gonna give the"
60960,65440," link to this library here in the chat and for people who watching that on youtube and i'm gonna"
65440,71520," give it in the in the description right so we were uh doing very simple things with this library right"
71520,78000," so the usual stuff like azor networks and maybe adder and stuff like that so on the previous stream we even"
78000,84160," implemented like sort of like a ui for uh for training these neural networks so it's called gym"
84160,89840," right so this is how well i mean you have to supply the uh the description of your neural network right so"
89840,96240," it's actually start with a simple adder uh right so here this description consists of a series of numbers"
96240,102960," it's the sizes of the layers right so the first layer is eight neurons the hidden layer is 16 neurons and"
102960,111840," the output layer is five neurons so this is essentially adder that adds uh four bit numbers right so and then"
111840,118400," it outputs the sum uh in four bits and then uh it has additional bit for indicating an overflow this is"
118400,124400," basically how it works so we're going to supply the architecture of this neural network to the gym to the"
124400,130960," ui uh application that we developed on the previous stream and uh we're going to supply the uh data for"
130960,137120," training right so it's basically a matrix uh of inputs and outputs uh stored in a binary format in"
137120,142000," the file right so and this is how it looks like and as you can see it start training and start updating"
142000,148400," and stuff like that so this is actually an old version of the gym so recently i updated it i'm pretty"
148400,152400," sure so do i have some changes so let's actually fetch the latest changes"
154000,159280," uh hello hello everyone welcome welcome welcome welcome uh right so merge origin"
159280,165520," master right so and let me rebuild literally everything so to rebuild everything i actually"
165520,171200," need to give the information about raylib raylib is the library that we're using for visualizing and"
171200,176880," stuff like that right so you can find this kind of thing in here uh right it's actually a pretty cool"
176880,183600," library i kind of like it better than uh sdl to be fair i think i'm gonna start using it instead of sdl"
183600,192880," right so it's actually way more simple and way more powerful right so uh the lib we use for"
192880,199840," visualization so that's basically what it is right so it's a raylib uh right so i'm gonna give the"
199840,207040," environment uh right because i uh built made a custom build of that specific library uh right so and i'm"
207040,208800," i'm gonna just rebuild this one more time"
208800,219440," and let me start the gym let me start the gym so there you go so now yeah i made a little bit of a"
219440,224320," changes like i made uh you know this entire thing a little bit smaller and stuff like that added like a"
224320,230240," bar in here and as you can see it doesn't really start training right uh from the start right so you have"
230240,236160," to press space to actually uh initiate the training and it will start training and stuff like that so i"
236160,240880," also made it so that you can pause the training at any moment right so you basically do the space"
240880,247120," uh right so and it keeps training and it's fully trained so now this is an adder uh there's no"
247120,253600," unfortunately like a way to verify that it works but trust me it works right so you can hear also restart"
253600,258800," at any point right so this is a very convenient ui that also shows you the state of the weights and"
258800,265520," biases of the neurons right uh so and it trains this entire thing which is actually kind of cool it's a"
265520,272880," pretty cool uh visualization right so um all that is toy examples and stuff like that so today i decided"
272880,281200," that the time has come to try to do something more serious right the time has come to uh do something more"
281200,288240," serious and i want you to try to do something that i think we discussed a little bit on our discord server"
288240,296160," right so uh we started the discussion with can you make a function and two variable function right so"
296160,303680," let's actually start uh with the following thing so maybe i need to stop my start up my pain so i can draw"
303680,310000," and stuff like that right so let's actually see so we have some sort of a function and it's a function of"
310000,318560," two arguments and x and y right and it gives you the uh like a value z of some sort can you craft a"
318560,325840," function that acts like a certain image right so essentially uh if you basically try to plot it"
325840,333680," right and you use z as sort of like a maybe uh like a height or like a brightness uh will that function"
333680,340080," result in some sort of image or can you like encode an arbitrary image and stuff like that and what's"
340080,346240," interesting is that this is what you can use neural networks for right you can basically craft a neural"
346240,352720," network right with two inputs right so you can say okay so this is the x input and this is the y input"
352720,358320," then here you can have some sort of like a hidden layers right something in here doesn't uh we don't know"
358320,363120," what it is so you you're supposed to put some sort of like a sparkles in here right so you're supposed"
363120,370160," to put sparkles so recently sparkles kind of like a sparkles emoji became an official symbol of ai"
372240,380720," uh ui designers uh ui designers every time they make a button that enables ai they put like a sparkles"
380720,389360," emoji in there so sparkles is basically an official symbol of ai right this is actually kind of funny"
392240,400320," so you put x and y in here right so you put x and y and as an output you can uh have the z right and"
400320,408320," essentially you can take any image right you can take in any image and use that image as a training data"
408320,414240," for that neural network right so essentially you can basically take a pixel right you can take x and y"
414240,420880," of uh that specific pixel right x and y of that specific pixel and set the brightness in here and you"
420880,426400," can use as a training set and train neural network to behave like that specific image"
426400,434080," so what will effectively happen theoretically is that uh it will take the image and it will store"
434080,442000," that image inside of that neural network somehow right it will store it somehow and what's interesting"
442000,450320," is that we can try to give it like way less neurons um than we have pixel in an image and so"
450320,458000," if that will work what will effectively happen is neural network compressing the image into itself"
458000,467440," this is actually very interesting right so if it's going to be like a you know less weights and biases"
467440,474400," than the pixels in the image what it will have no way but compress this entire thing into itself"
474960,483520," but what's interesting is that x and y are continuous they are continuous so that means uh you can even"
483520,490480," look for the values for the values of this brightness uh between the pixels and the neural network will"
490480,497520," probably approximate it so you can not only compress uh the image into the neural network right theoretically we"
497520,504320," don't know that yet uh but you can also upscale it right you can also upscale it you you can even uh"
504320,510240," basically take all of the coordinates like uh of this thing and normalize them uh from zero to one"
510240,516960," right you can normalize them from zero to one and train it on uh zero one uh right so this is going to be zero"
516960,524080," one and then that way you can basically reshape it however you want right with any size and it will just sort of"
524080,531600," approximate uh and stuff like that so uh you can even like probably do uh colorful images right so instead"
531600,540080," of like brightness you you may try to return rgb right like this uh but i don't want to go into colorful"
540080,545760," images yet right so because i'm afraid of maybe like too too many complications i really want to start with"
545760,552800," something simple so we're going to have like a gray scale images right so this makes sense um it actually"
552800,555920," sounds like a very interesting idea um let's go ahead and do that right so"
555920,563760," we're going to work with uh grayscale images right so and i not only want to do grayscale images i"
563760,568640," also want to start with very small images right so we're going to start with a very simple example"
568640,574560," a very small grayscale image right so where can we find an interesting grayscale"
574560,579840," small image right so we can just use mni's database right so mni's database"
581440,591040," uh and uh it has a lot of the uh these hand uh handwritten digits and they're basically 28 by 28"
591040,599920," right there you go uh 28 by 28 um grayscale images right so uh let's actually try to find it for some"
599920,604960," reason it's is that the official website i'm pretty sure yeah okay so let's actually go ahead and try to do"
604960,611760," that so there's some images in here right so let's download them so they split it into sets right the"
611760,617920," first was set for the training and the second set for validation we don't really need the whole set we"
617920,625200," just need one single image uh from that right so let's actually go to uh nm.h and let's just like try"
625200,632800," to download that and see uh like how is this going to go open game art but we can also try to use open"
632800,641760," game art at some point uh right so this doesn't look like a tarpol wait wait is that literally like a"
641760,650320," single file zipped or something like okay so can i just emacs recognize that yeah it's literally single 45."
652400,657440," okay so okay they probably took all the images and compressed them into a single file so we'll have"
657440,664560," to extract that stuff somehow uh yeah it's just like literally data um maybe there is a version"
664560,670080," uh with png and i wouldn't really see that is there something like minced png because i don't really want"
670080,677520," to spend time extracting all of that uh scheiße uh kegel actually has something okay so let's take a look at that"
679920,689120," so can we get something from here uh okay so there is a couple of folders in here so here is the training"
689120,697200," uh and oh they split it into like digits in here so which digits should we pick i kind of like eight"
697200,705040," right so because it has like these two loops uh this one is actually kind of cool yeah this one kind of cool"
705040,712640," can i can i can i get that so this is open png now i wanna you see how small it is it's literally 28 by 28"
712640,719440," right so we're gonna try to train a very small simple neural network that should behave like this eight"
719440,725200," right and we'll see if it's if it's gonna work or not i think it's kind of interesting uh right so can i um"
725200,730800," i can't press a right click because of that stupid bug of chromium or something where i have to open a"
730800,737920," separate application click right click so it shows the pop-up and uh then i can yeah finally do that"
737920,743520," like it still persists for some reason i don't know why this happened it's so weird uh okay so we're gonna"
743520,752640," copy image address uh right so i'm going to double get yeah can i just save it though uh save image as"
752640,760400," all right so let's save this thing and maybe i'm going to go to the download folder and find this"
760400,770640," entire thing in here uh so here is the image you can see how small it is uh all right so that's the simple"
770640,777280," image uh right so i think i didn't acknowledge the like subs and stuff like that and also we have some"
777280,782480," beats uh so let me quickly acknowledge that so there's a couple of things in here uh right so there"
782480,792400," are people subscribing off screen 21 looks a boring bike shatter yes xyz uh i always see uh thank you so"
792400,797680," much uh for all of the subs and conventional coding thank you so much for tier one subscription and thank you"
797680,803920," for 100 bits with the message i enjoy watching your videos while unironically coding php i mean there's"
803920,811200," nothing wrong with php like to be fair um i programmed in php recently right so i wrote like a jokingly"
811200,818720," a compiler for c in php and i didn't really hate that language that much i i do hate all the languages"
818720,824320," equally but i didn't hate php that much and i could see myself actually programming in that language for"
824320,831280," money so that wouldn't bother me so i see nothing wrong with programming in php honestly right to me"
831280,837200," it felt like yeah yet another scripting language i've seen dozens of them throughout my career or"
