start,end,text
0,9880," Hello and welcome to another Zozi session. How about that? How about that? I bet you didn't"
9880,16820," expect that shit to happen. So on the previous stream we explored a simple video format"
16820,25280," and we came to the conclusion that it's not really suitable for my needs, but I still didn't"
25280,30460," have enough time to actually explore everything that I wanted to explore with this format."
30460,37000," So, and I really didn't want to make the second session on this topic because usually the second"
37000,42600," episode of any series nobody gives a shit about them, right? So everyone just only watches the first"
42600,47160," episode and the rest of the series are just like, you know, nobody gives a shit about that. But still"
47160,53420," I wanted to do that at least for myself, right? At least for myself I wanted to explore the, you know,"
53420,58020," the other things we can do in here. Specifically, I wanted to generate more than just like a solid"
58020,66120," color. So, and yeah, let's just go ahead and do that. So let me switch to a different scene,"
66120,72700," right? Switch to a different scene. And so we have a bit of stuff, right? So we have a bit of stuff that"
72700,79760," can generate a particular video. So first thing I probably would like to do is maybe write some sort"
79760,86300," of like indication of the progress because it takes some time to generate a video, right? So, and yeah,"
86300,92420," so if you take a look at the video itself, so here is just a solid color. Like I would like to have"
92420,98180," something more than a solid color, maybe animation of a rectangle that is moving around in the video or"
98180,104780," something like that. And furthermore, I would like to try to even generate a sound for the video,"
104780,109940," right? Even though I think this format does not really support the sound, right? It doesn't really"
109940,116780," support the sound. I still want to do that like in a separate file, right? I'm going to be using the PCM"
116780,123220," format, the one that I used in my, you know, music with Haskell video. So you can find that thing in"
123220,129140," the description. So just a second, I need to load up all of my applications. So then I'm going to go to"
129140,135780," the description. So, and also in the description, I'm going to give the link to the previous episode,"
135780,141420," right? Previous episode. So the previous episode is not out yet. So it's going to be available after"
141420,148500," the stream. So I'm going to put TBD in here, just a reminder for myself and touring music in Haskell,"
148500,156400," music in Haskell. So I think that's the thing that I wanted to give you, right? So that's the link,"
156400,165600," music in Haskell video. There we go. So you can find it in here. So for those people who's in the chat,"
166500,173820," you can, you can find this thing in here. All right. So yeah. And let's go ahead and just try"
173820,179100," to do something, right? I'm going to just restart Emacs from within my development environment and"
179100,185320," let's see, let's see. So things I want to do right now, just let's actually start the to-do."
185320,193640," Upload the code to GitHub, right? So because I never uploaded this code to GitHub, so it's not"
193640,203020," available to anyone. Right. So another thing I want to be able to do, indicate, indicate the progress of"
203020,209500," the rendering, right? Because it's not really convenient when the program just stalls for a"
209500,215380," couple of seconds and maybe potentially even minutes, right? Without any indication that something is"
215380,222440," happening, right? So it would be nice to have some sort of this thing like that. So indicate the progress"
222440,228760," of the rendering and another thing would be to like animate something, right? Animate something,"
228760,236880," something like a rectangle or square or something like that. Uh, and, um, generate, uh, generate sound,"
236880,250760," um, in PCM format in a, in a separate file, in a separate file. Maybe even try to merge it with the video file"
250760,258680," using FFm pack, something like that, right? So, uh, let's see if we can even do that. So after that,"
258680,265360," do I want to have anything else? Um, I think that's basically the whole agenda for today's stream,"
265360,270360," right? So upload all of that to GitHub, uh, indicate the progress of the rendering and you made something,"
270360,283000," like a square bouncing off of the, which one bouncing off of the, uh, walls of the screen or something like"
283000,289080," that, right? So, and generate sound in PCM format. So maybe, uh, the sound is going to be like generated,"
290680,296200," when, uh, the square like bounces off of the wall, right? So it's just, we'll make some sort of like"
296200,301960," a quick sine wave beep or something like that. Um, and we'll, we'll see how it goes. We'll see how it"
301960,306520," goes. So that's going to be basically the idea. So I want to do all of these exercises. It's more of a,"
306520,314600," like exercises to get the gist of the format. Um, and just like, you know, see this format in more use cases,"
314600,320200," cases, right? So, uh, this is something that I wanted to do yesterday, but I just didn't have"
320200,328280," enough time, uh, for various reasons. Uh, so, okay. So what do we have in here? So this is the formula."
328280,335080," I already coded that formula into the, um, into the source code itself. It's a formula that converts,"
335080,342920," uh, I think RGB to YCRCB. So it's already coded in here. So I probably don't need this image anyway,"
342920,347720," right? So fuck this image. So here's the main executable in here. So I think we can straight"
347720,353960," up get to ignore that executable. So this executable is not going to be committed whatsoever. So here's"
353960,359000," the main source code. We're going to be using a single file, a single rust file. And since we're"
359000,365400," not using any dependencies, I don't see any need for cargo. So I think you need complicated build system"
365400,371240," and package management. Uh, if you, if your project is basically a duck, a bunch of duct tape"
371240,374840," dependencies, right. But if you're developing something from scratch that is self-contained,"
374840,381560," there is not much need for any complicated process or any complicated package management or anything"
381560,387080," like that, right? If you're just making it, just writing the code that does a thing, uh,"
387080,391480," you don't really need anything. You just need a compiler that translates that code to the machine"
391480,395640," instructions. So you can run this thing on the CPU, right? So it just makes sense."
396520,400200," Uh, so pure programming, as I like to call it a pure programming."
400200,407320," Okay. So another thing we have in here is a PDF file, which is like a weird documentation from where"
407320,414040," I stole the, uh, the formula. So I'm going to just straight up remove that. So we have a bunch of"
414040,422680," samples in here, and these are the samples, uh, from, um, the website where we found the description,"
422680,427560," uh, of the, um, of the format, right from the app site where we found the description of this format."
427560,431160," And I don't know, do I want to include the samples in the original repo?"
431160,438120," Uh, do I want to include them? I'm not, I'm not quite sure because I'm not sure if they're that useful,"
438120,441480," right? I'm not sure that they're useful. So maybe I'm not going to include them,"
441480,446360," but at the same time, I don't want to remove them either because they're kind of useful. To be fair,"
446360,450680," they're not really that useful. Right. So let's actually go ahead and remove that because we"
450680,454600," explored everything we wanted to explore with the samples. So we don't really need any samples because"
454600,459720," we're generating everything ourselves. Right. So there is a couple of garbage in here. So this is"
459720,466280," just a, uh, you know, leftovers from PPM generation. And, uh, here is the video file that we generated."
466280,471640," And I think we're going to just basically get to ignore this file, uh, Y4M and there we go. So,"
471640,478040," so far we have only two files that we really want to commit in here. It's, uh, a main dot RS and dot"
478040,481640," key to ignore. I don't want, I don't want to commit to do because it's just like a local file that I'm"
481640,485960," going to keep around and I'm going to remove, uh, at the end of the stream. So, uh, I'm going to create"
485960,491400," a read me, uh, first of all, we need to release this entire thing, uh, under a particular license. I"
491400,498200," like to prefer, uh, to use MIT license. So then we're going to do read me and here we're going to, uh,"
498200,504120," put the name of the project, right? So it's going to be to impact for you, right? So that's basically"
504120,515240," the name of the project, the project. Uh, so simple playground project to explore, uh, explore the, um,"
517080,525320," you for MPEG two, um, what was the name of the project? Like simple, um, simple, simple,"
525320,536280," simple video format, simple video format, uh, simple video format. And so you for impact to,"
536280,543320," okay. So, uh, you before into impact. So I'm going to give the link to this format here in the description,"
543320,551720," right? So we're going to have a quick start, uh, quick start, uh, install the rust compiler,"
551720,558840," right? So we're going to give the link to the rust. So you can find it in here. And, uh,"
558840,564920," so I'm going to just copy paste this thing in here. And here is the console. We're going to do rust"
564920,575080," C main dot RS. Then you just run, uh, main, and then you open the output file in, uh, using, um,"
575080,582280," you know, M player, right? So yeah, it's actually maybe any player that supports this kind of format."
582280,586680," Oh, I wonder how many players support this kind of thing. So does VLC support this stuff?"
586680,592360," I wonder. So let's try to open it with VLC. VLC support that, but it's actually different color."
592360,597800," And if I open that stuff in M player."
611080,625400," Um, is it possible to upload this file to, for instance, discord?"
625400,636760," It's probably too big. Yeah. It's probably not going to be recognized as, as a file,"
638600,642200," as a video file. So it's processing it."
642200,650040," Nah, it didn't recognize it properly. Okay. So maybe you, you, you know how there is like"
650040,655000," all of these memes about, Oh, this video file crashes discord. I thought maybe you can, you can"
655000,659800," do something similar in here, but it's actually really funny. So we discovered something new. So"
659800,668120," depending on the, uh, video player, you can actually, yeah, the video player will display differently."
668600,672920," This is so, this is so funny. Okay. So what if I open it in the chromium?"
672920,678840," That's a very sad Russian noises, I suppose. Uh, okay."
681000,687320," So do you have something like some other things like MPV? I think I do have it. So let's actually open it in MPV."
687320,699960," Uh, all right. So at least two out of three video players displayed as red and only M player displayed as blue."
701560,707800," Uh, which is kind of sus. Not going to lie, but interesting nonetheless. It is in fact interesting."
707800,713160," Nonetheless, maybe we, maybe this is something that we can explore at some point. Uh, all right."
713160,720120," So let me, uh, create a repo, get in it. Right. And let's do a committee committee and maybe even push a push."
720120,735160," And maybe even push a push. Maybe even push a push. Ready, set, go. And where this, this shit. Okay. So, um."
735160,752680," Um, oh, you, you already managed to download this file. Okay. It's kind of interesting. So I'm going to be uploading the, uh, the repo soon. So anyone could generate it."
753800,766200," Uh, two MPEG for you. Uh, all right. It's two MPEG for you. Uh, and I'm going to just do public."
766200,774680," Uh, okay. And, uh, I'm going to just do, um,"
776840,782360," and add origin and just do this kind of thing and push."
782360,792840," Okay. So it's taking some time. I hope it's going to be working. I hope it's going to be twerking."
792840,806120," So, uh, okay. So yeah, the source code, uh, from the yesterday stream is available in here. So go grab it"
806120,811640," if you want to. So here is the source code. And, uh, I'm going to also add this entire thing in the"
811640,823880," description, right? So, uh, the source code, uh, of two MPEG for you. There we go. Two MPEG for you. Uh,"
823880,830840," so main.rs. Yeah, there we go. So here's the source code. So as you can see, it's a pretty readable source"
830840,837640," code. Anyone, uh, can modify it. Uh, it's really, really approachable. Um, very cool. Really"
837640,844680," recommended. So I'm not even sure if we need anything related, related to PPM, as you can see, right? So"
844680,848760," it's kind of, it's kind of strange, but anyway,"
