start,end,text
0,29980," Thank you."
30000,59980," Thank you."
60000,89980," Thank you."
90000,119980," Thank you."
120000,149980," Thank you."
150000,179980," Thank you."
180000,209980," Thank you."
210000,239980," Thank you."
240000,269980," Thank you."
270000,299980," Thank you."
300000,329980," Thank you."
330000,359980," Thank you."
360000,389980," Thank you."
390000,419980," Thank you."
420000,449980," Thank you."
450000,479980," Thank you."
480000,509980," Thank you."
510000,539980," Thank you."
540000,569980," Thank you."
570000,599980," Thank you."
600000,629980," Thank you."
629980,659960," Thank you."
659960,689940," Thank you."
689960,719940," Thank you."
719960,749940," Thank you."
749960,779940," Thank you."
779960,809940," Thank you."
809940,839920," Thank you."
839920,869900," Thank you."
869920,899900," Thank you."
899920,929900," Thank you."
929920,959900," Thank you."
959920,989900," Thank you."
989920,1019900," Thank you."
1019920,1049900," Thank you."
1049920,1079900," Thank you."
1079920,1109900," Thank you."
1109900,1139880," Thank you."
1139900,1169880," Thank you."
1169900,1199880," Thank you."
1199880,1229860," Thank you."
1229860,1259840," Thank you."
1259840,1289820," Thank you."
1289820,1319800," Thank you."
1319800,1349780," Thank you."
1349780,1379760," Thank you."
1379760,1409740," Thank you."
1409740,1439720," Thank you."
1439720,1469700," Thank you."
1469720,1499700," Thank you."
1499700,1529680," Thank you."
1529700,1559680," Thank you."
1559680,1589660," Thank you."
1589660,1619640," Thank you."
1619640,1649620," Thank you."
1649640,1679620," Thank you."
1679620,1709600," Thank you."
1709620,1739600," Thank you."
1739620,1769600," Thank you."
1769600,1799580," Thank you."
1799600,1829580," Thank you."
1829580,1859560," Thank you."
1859560,1889540," Thank you."
1889540,1919520," Thank you."
1919520,1949500," Thank you."
1949500,1979480," Thank you."
1979480,2009460," Thank you."
2009460,2039440," Thank you."
2039440,2069420," All right."
2069420,2099400," Thank you."
2099400,2129380," Thank you."
2129380,2159360," Thank you."
2159360,2189340," Thank you."
2189340,2219320," Thank you."
2219320,2249300," Thank you."
2249320,2279300," Thank you."
2279300,2309280," Thank you."
2309280,2339260," Thank you."
2339260,2369240," Thank you."
2369240,2399220," Thank you."
2399220,2429200," Thank you."
2429200,2459180," Thank you."
2459180,2489160," Thank you."
2489160,2519140," Thank you."
2519140,2549120," Thank you."
2549120,2579100," Thank you."
2579100,2609080," Thank you."
2609080,2639060," Thank you."
2639060,2669040," Thank you."
2669040,2699020," Thank you."
2699020,2729000," Thank you."
2729000,2758980," Thank you."
2758980,2788960," Thank you."
2788960,2818940," Thank you."
2818940,2848920," Thank you."
2848940,2878920," Thank you."
2878920,2908900," Thank you."
2908920,2938900," Thank you."
2938900,2968880," Thank you."
2968900,2998880," Thank you."
2998880,3028860," Thank you."
3028860,3058840," Thank you."
3058840,3088820," Thank you."
3088820,3118800," Thank you."
3118800,3148780," Thank you."
3148800,3178780," Thank you."
3178780,3208760," Thank you."
3208760,3238740," Thank you."
3238740,3268720," Thank you."
3268720,3298700," Thank you."
3298700,3328680," Thank you."
3328680,3358660," Thank you."
3358660,3388640," Thank you."
3388640,3418620," Thank you."
3418620,3448600," Thank you."
3448600,3478580," Thank you."
3478580,3508560," Thank you."
3508560,3538540," Thank you."
3538540,3568520," Thank you."
3568540,3598520," Thank you."
3598520,3628500," Thank you."
3628500,3658480," Thank you."
3658480,3688460," Thank you."
3688460,3718440," Thank you."
3718440,3748420," Thank you."
3748420,3778400," Thank you."
3778400,3808380," Thank you."
3808380,3838360," Thank you."
3838360,3868340," Thank you."
3868340,3898320," Thank you."
3898320,3928300," Thank you."
3928300,3958280," Thank you."
3958280,3988260," Thank you."
3988260,4018240," Thank you."
4018240,4048220," Thank you."
4048220,4078200," Thank you."
4078200,4108180," Thank you."
4108180,4138160," Thank you."
4138160,4168140," Thank you."
4168140,4198120," Thank you."
4198120,4228100," Thank you."
4228100,4258080," Thank you."
4258080,4288060," Thank you."
4288080,4318060," Thank you."
4318080,4348060," Thank you."
4348060,4378040," Thank you."
4378040,4408020," Thank you."
4408040,4438020," Thank you."
4438020,4468000," Thank you."
4468020,4498000," Thank you."
4498000,4527980," Thank you."
4527980,4557960," Thank you."
4557960,4587940," Thank you."
4587940,4617920," Thank you."
4617920,4647900," Thank you."
4647900,4677880," Thank you."
4677880,4707860," Thank you."
4707860,4737840," Thank you."
4737840,4767820," Thank you."
4767840,4797820," Thank you."
4797820,4827800," Thank you."
4827800,4857780," Thank you."
4857780,4887760," Thank you."
4887760,4917740," Thank you."
4917740,4947720," Thank you."
4947720,4977700," Thank you."
4977700,5007680," Thank you."
5007680,5037660," Thank you."
5037660,5067640," Thank you."
5067640,5097620," Thank you."
5097620,5127600," Thank you."
5127600,5157580," Thank you."
5157580,5187560," Thank you."
5187560,5217540," Thank you."
5217540,5247520," Thank you."
5247520,5277500," Thank you."
5277500,5307480," Thank you."
5307480,5337460," Thank you."
5337460,5367440," Thank you."
5367440,5397420," Thank you."
