start,end,text
480,6800," looks like we're freaking live hello everyone and welcome to yet another recreational programming"
6800,15920," session with a loser let's make a little bit of announcement on our discog server and uh yeah red"
15920,22960," circle live on a twitch and what are we doing today on twitch dot a television website today"
22960,29760," we are parsing uh see that's what we're doing today i'm gonna give the link to twitch.tv"
29760,33520," slash starting and i'm gonna ping everyone who's interested in being pinged i don't know how many"
33520,39680," people are interested in being pinged but there you go you guys are pinged now it is inevitable"
39680,46080," you are pinged hello hello everyone welcome welcome welcome really glad to see you all today how you"
46080,52000," guys doing welcome welcome welcome so you know do you guys remember i used to program in haskell"
52000,59520," do you guys remember it was like a long time ago but i used to program in haskell so and haskell has like"
59520,65600," this killer feature actually it's it's freaking amazing i i used to use it all the time uh so it's"
65600,70880," called hugo if you never heard about hugo i really recommend you to google it uh just like literally"
70880,78960," google uh the hugo and of course duck dog go is being the duck dog go right so yeah so okay you can"
78960,84960," actually find that so uh i'm gonna copy paste that in the chat for anyone who's interested and uh of course"
84960,91200," i'm gonna put it in reference just in case so this is google it's basically a google for haskell"
91200,97280," so the cool thing is that you can just put uh signatures in there like you don't know the name"
97280,104480," of the function but you roughly know what function is doing right so you know that that particular function"
104480,112000," accepts other function that transforms a to b and then it accepts a list of a's and returns your list"
112000,118320," of b's but i just don't know what that function calls i kind of know the general shape of the function so"
118320,124160," i put the type of this function in here and what do i get oh it's it's map right and there's also"
124160,130800," different kinds of maps and it also actually matches these functions like very fuzzily right it does not"
130800,137040," necessarily like you know strictly match this so as you can see here uh it accepts uh lists and return"
137040,142480," lists but it also matched a thing that accepts functors and returns other functions because these"
142480,149600," are also functors as as you know right as any c developer knows that least is a functor right so"
149600,155680," every c developer know that uh right and essentially it just ranks it uh according to how close they are"
155680,161280," to this signature and it is extremely convenient like you won't freaking believe how uh because"
161280,166160," like you just roughly know what kind of functions you need like you know what it accepts some of the"
166160,172400," things you know what it returns like why not just like sort by that and that's what it does right so and"
172400,178480," it's it's a great tool for exploring haskell right especially like if you just need something you"
178480,183440," don't have you don't want to implement it yourself you just ask the knowledge database do you have"
183440,188320," already something like that and quite often it does have that uh so i want to have something like"
188320,196080," that for c right so um for instance like quite often actually um like i know roughly what i want"
196080,202240," from ray leap for instance right so from from ray deep and i would go to ray deep and i would start"
202240,209280," searching for for that thing uh like by doing ctrl f right it would be kind of nice if i had some sort of"
209280,218480," of interface where i would say okay so i need a function that accepts a color and a float and i know"
218480,224880," that the function returns a color so because i basically want to modify the alpha of the color"
224880,229440," and i want this entire system tell me oh okay so you're probably looking for one of the functions that"
229440,234480," are called color alpha right as you can see it accepts the color and uh accepts the float and"
234480,239520," returns the core on top of that you probably meant maybe call a color contrast it also accepts the"
239520,246960," color and a float and and you know like basically one of those functions right so that would have been"
246960,253280," kind of convenient right so i i want to have that like you won't be like one of the things like haskell"
253280,260800," developers did right is hoogle like hoogle is freaking genius like to these days i cannot find like an"
260800,266320," equivalent thing in any of the language like whatever comes with rust is not even comparable to hoogle"
266320,274880," uh right partly hoogle is maybe possible because of how syntactically you describe the the types of"
274880,281440," functions it's just like very natural uh right it's super supernatural to describe things like that uh for"
281440,287120," instance like uh something like this is instantly const it's just like very convenient i don't know if it"
287120,293040," is possible to do something like that and see but who knows who knows who knows who knows right"
293040,301440," so and the first step in implementing something like hoogle for for c would be to parse c and apparently it is"
301440,307680," kind of a kind of an unsolved computer science problem right so there's some things um there's"
307680,315280," probably we could probably use leap clang uh but like anything related to clang and llvm is an instant"
315280,322960," pain in the ass right like every time i have to deal with like clang or llvm i like instantly feel that"
322960,330640," fucking pain it's just like don't want to deal with with like any part of that project at all like i don't"
330640,339280," want to deal it's just like over bloated very complicated just so annoying uh right so let me try"
339280,347840," to uh see like i want something like ideally it would be kind of cool if uh it was like a c library"
347840,359920," like a simple c library so for instance nothings uh nothings has um c lexor which is um like you know"
359920,370640," single header uh library and it is a lexor it's a self-contained freaking lexor um right so yeah you"
370640,376960," can find it in here right so i'm gonna put it in here why there's nothing like that but pasta maybe"
376960,385440," on top of that lexor as well like how complicated uh parsing c could be like how complicated could it be"
385440,392640," like i don't freaking know uh right so i want something simple like it doesn't have to be super"
392640,398320," complicated it doesn't have to depend on too many things it's just like simple like this um"
398320,405520," of course nobody's gonna implement simple things because the people who implement simple things"
405520,411040," don't feel smart right to feel smart you need over complicated over engineered solutions the"
411040,415600," solutions that nobody except you can understand even you sometimes cannot understand it if you"
415600,421600," can't understand your solution that's good you feel so smart uh right it cannot be simple it's just like"
421600,426800," cannot be simple otherwise you're a failure you failed as a computer scientist you failed as a"
426800,433040," mathematician you're a freaking failure if it is easy to understand your work it is easy to criticize it"
433040,440240," and if it's easy to criticize well you're instant failure you're instant failure that's it your career is"
440240,444080," done done done it cannot be simple"
449760,460240," so somebody said interesting so after lexion isn't it basically parsed"
460240,468800," no because you need the like to build the tree uh right you need to make a sense out of the tokens"
468800,474880," after lex and you just have a sequence of tokens uh you still don't have a general structure of the"
474880,480480," program uh lexion is definitely not enough uh lexion is definitely not enough you need to parse it a"
480480,489120," little bit uh maybe you don't even need a parser that builds an ast it could have been a parser in a"
489120,496720," sort of like a sax style have you guys heard about sax style parsers like for xml specifically uh"
496720,504320," right so sax parser so let's take a look i think i already mentioned them uh sim yeah simple api for"
504320,513520," xml so essentially uh there is a dome parsers for xml and they uh build an ast so you give them a string"
513520,519520," and they give you ast you traverse the ast itself sax parsers actually go the other route they don't build"
519520,526560," the dome they don't build the ast what they do they ask you give me some callbacks right give me a"
526560,533280," callback on when the tag is opened give me a call back when the tag is closed and so on and so forth"
533280,538800," and you give it a bunch of these callbacks and it's just traversing the uh the xml and as soon as one of"
538800,544800," these events happen uh the tag is open or maybe an attribute is encountered and stuff like that your"
544800,552560," callback is called so if you want to build a dome you can do that within those callbacks but if you want"
552560,558240," to just like traverse it and find a very specific place and you don't really need a dome you don't"
558240,569360," have to build it so um i would be fine with a header only c library that parses c in a sax style you know"
569360,578480," what i mean in a sax style you know what's funny you know what's funny the um this is how you interact"
578480,588000," with jai compiler this is literally how you interact almost almost so in jai there is a very interesting"
588000,595920," thing uh so i wonder if we can find that so let's actually go to jai and maybe some uh some examples so"
595920,604240," there is a meta basic meta program right so basic meta program and essentially uh you have a program"
604240,612000," a build program and within the build program you can start um you can start the compilation process"
612000,620080," and then you can organize an event loop right so essentially your event loop is running in parallel"
620080,626880," with the compilation process within the same process you sort of inject some code into compiler and you"
626880,632800," have an event loop that is running along with the compiler and essentially the compiler sends you"
632800,639920," messages it's like erlang holy fucking it's it's an actor model do you guys know about erlang and actor"
639920,647680," models and like that erlang actor model it is like that it is like that right so the you you have two"
647680,654160," actors you're building script is an actor in the compiler is an actor and as the compiler builds"
654160,662160," things it sends you messages like erlang holy fucking and anyway so and you basically uh wait for the"
662160,668320," messages like there is literally a function compiler wait for wait for messages and then you have different"
668320,674960," messages like message kind file import uh type checked so the most interesting one is type checked so that"
674960,680800," means some chunk of code uh has been type checked and you can do something on that and there's a lot of"
680800,688080," things that can be type checked for example functions so something like google is actually very easy to"
688080,694720," implement for jai it is actually very easy to implement for jai because it's going to be this meta program"
694720,701760," this simple meta program that just waits for type checked functions and collects the signatures of type"
701760,706960," checked functions and then you have the list of these type checked functions and you just do the search on"
706960,713600," them and then you can quite precisely give the locations within the source code uh on these functions so"
713600,722320," something like that in jai is actually freaking straightforward right uh so it would be kind of cool if"
722320,729440," there was a simple c parser that was like that like sax or like actor model to be fair this is basically"
729440,736000," like sax except given the callbacks directly you do the switch case but i mean this is basically the"
736000,741280," bodies of the callback right you just move these things into the bodies of the callback and there you"
741280,747840," go you basically have the sax things right does it make sense does it make sense hopefully hopefully that"
747840,752880," makes sense i don't freaking know people are people are actually not saying anything anymore right the"
752880,759120," chat has stopped i suppose i scared everyone away with all this uh sex makes"
759120,764080," sex makes not only sense it makes a lot of different things"
764080,773840," uh so we got some subs by the way uh so uh thank you so much uh everyone who subscribed before and uh"
773840,779680," surprised say thank you so much for tier one you are the first subscriber of the uh of the stream"
779680,787040," congratulations you are the first one who subscribed uh nobody else wanted to subscribe to me right because"
787040,792240," i'm not really trustworthy why would you give money to me well i mean if you even if you subscribe you"
792240,802240," won't give me money um you wrote a cpre processor that works like that enough to implement defer for"
802240,806960," instance oh that's actually pretty cool uh no that's that's that's really nice"
806960,814880," so back l1 uh with the message first i'm i'm sorry you're not first your second first was uh"
814880,821920," suppressing so you're too late you're too late but i appreciate you anyway i do appreciate you anyway"
821920,830320," uh you get money from two of course not why would i give why would i get any money from twitch are you insane"
830320,842400," like why um i can't sub but i did recommend you on reddit in the our learning programming sub someone"
842400,849120," was asking how to uh watch for advanced pro level program thank you thank you for recommending me um"
849120,853920," in russia we don't have any money yeah because we have communism"
854560,857200," it's like when you have communism you don't have any money"
857200,861040," so yeah"
861040,866800," anyway"
866800,879280," so i will we need to find a way to parse c all right so let's actually try to google uh some shy so first of"
879280,888960," all i would like to maybe uh right put some um you know references in here um so we we're talking"
888960,898880," about uh stbc lexa dot h so this is the lexa i was talking about it is by nothings right so it is by"
