start,end,text
0,11120," well it looks like we're live hello everyone and welcome to another recreational programming"
11120,16240," session so let's make a little bit of an announcement and officially start the"
16240,24640," stream as usual as we usually do i just need to bring my uh discord server and let me do"
24640,33360," right circle live on twitch and what are we doing today on twitch.television let me see today we are"
33360,39600," exploring a very interesting technique in gi specifically not only in jail uh called relative"
39600,44560," pointers right so if you've been following the development of gi you probably heard about these"
44560,51040," things and i would like today explore them a little bit closer so that's what we're going to be doing"
51040,62800," today uh hello hello everyone welcome welcome welcome so it's just honking outside so uh to be"
62800,71760," fair i've been using a form of relative pointers um for quite some time already in my c c++ programs"
71760,78880," primarily c uh right because i don't really program in c++ very often unless it's absolutely necessary"
79680,87200," so let me go and create maybe a folder where we're going to do all of our experimentations"
87200,97280," right so relative pointers right so and let me open like a c program of some sort all right"
102480,110800," so quite often instead of using pointers i would use um indices to a particular array right so let's"
110800,117280," imagine that i want to build a binary tree so i'm going to define a node right and the node is going"
117280,122080," to contain some sort of a text right so it's going to contain some sort of text let's say it's going to"
122080,128960," be 32 characters right it's not going to be very big text some sort of a label and it is going to store a"
128960,134480," point to the left subtree and the right subtree and that definition is not going to work"
134480,140960," right because uh we're referring to node before it was actually properly defined because it's c so what"
140960,150000," we have to do instead we actually have to move this thing like that right and then define uh something like"
150000,155840," this right so we predefined this struct and only then we'll be able to uh you know"
155840,162720," to forward uh refer to that i don't remember so we have to forward declare this entire thing"
162720,169280," all right so uh this is how you can define a binary tree but quite often what i would do i would actually"
169280,178560," have some sort of a pool of the nodes right so node pool and um i'm going to have a certain capacity of that"
178560,183200," node pool right so let's actually define something like this and let's say that we're going to have"
183200,192240," uh 1024 of such things and instead of referring to left and right as an absolute pointer in the memory"
192240,199040," i would use some sort of index within that array so effectively uh what's interesting in here is that"
200160,208400," this becomes a relative pointer it refers relative to the beginning of that array and every time you"
208400,212800," want to access the left subtree you would have to literally just do that right so we have a node you"
212800,220640," have a root and then to get the left subtree you'll have to denote uh pull root left and there you go you"
220640,228480," got the left subtree right and the advantages of this uh sort of approach is actually quite cool um one of"
228480,234720," them is you can make the pointers way smaller than they are because on the modern 64-bit architectures"
234720,241520," the pointers is actually 64 bits but here since it's just an index relative to some absolute uh absolute"
241520,248560," address i can make it as big as i want or as small as i want those if i have a lot of nodes i could compress uh"
250640,257440," this is one of the things i can do another cool thing i can do is serializability right essentially"
257440,264560," if i do not refer to the memory in absolute values i can just dump this entire array to file uh right i"
264560,269120," can dump it to file and then load it up and it's going to be the same because uh like every time you run"
269120,274400," the program position of this thing may be actually different you never know where exactly it is located"
274400,280080," in the memory and you don't have to if you're operating um in terms of relative values right"
280640,286240," so this is kind of things you can do i've been doing the version of that in my c c++ programs for"
286240,294640," quite often for quite some time i'm sorry and uh yeah so apparently ji has a similar thing built into"
294640,303920," the language but it's rather interesting so ji is using a different point relative to which it is computing"
303920,312560," the point right so the way it works it's actually storing the relative pointer store stores the offset"
312560,321840," relative to the place where this variable is located right so this variable is located somewhere in the"
321840,330480," memory and within itself it stores an offset to the left or to the right on how you have to move so"
330480,337440," essentially if you have some sort of a node right and you want to go to the left subtree what you will"
337440,345600," have to do right essentially you will have to take the left variable take a pointer of that thing you take"
345600,351680," an absolute pointer to that specific variable and you convert it to a pointer to a character so we can"
351680,360160," do all of the pointer arithmetics and bytes and then you offset by the value stored within that"
360160,369600," variable so of course you can address less memory to the left to the right but you also uh take up less"
369600,378000," space to to store that so this is actually pretty cool because you don't even have to know the uh the"
378000,385760," beginning of your sort of pool array the variable itself is the center right and you can go left and right"
385760,392080," so this is how jay handles relative pointers but it actually handles that a little bit more smart"
392080,400400," because it uses a special encoding uh right and this is precisely what i would want to explore today"
400400,407760," and i think the best way to explore uh jay relative pointers is actually to implement them"
408320,415920," in c because in c we'll have to work work with them explicitly uh so jay when you work with the jive uh"
415920,422480," relative pointers like there's a lot of stuff that jay does implicitly like all of this stuff uh like"
422480,427520," taking the absolute value then upsetting all of that is going to be completely implicit and generated by the"
427520,435280," compiler so to actually expose all of that to make it more explicit and visible i would like to implement all"
435280,443520," of those ideas in c and maybe come up with some sort of macros and stuff like that right so um and then"
443520,451360," once we you know explore that and see we can reimplement the same code in jay to sort of compare"
451360,456160," how it would look like how it looks like when we don't have that built in into the language and how it"
456160,461520," looks like uh how it's built into the language does it actually saves you on the boilerplate and stuff like"
461520,466880," that does it make it uh you know more robust and less error porn you know what i'm looking about"
466880,475600," so yeah that's actually a pretty good idea and when you use the uh you know the variable itself the"
475600,482640," address of the variable itself as the uh you know the beginning of the relative point relative to which"
482640,488320," you're you know competing everything you still have the same advantages right so you still have a pretty"
489280,497440," you know pretty good uh reset serial serializability pretty good serializability and also you save up on"
497440,504720," on space as well reverse engineering giant compiler i'm not really reverse engineering giant compiler i'm"
504720,510320," actually going off uh from the description that is given in the documentation for gi in the documentation"
510320,517440," of for gi there is a how-to on how relative pointers works and they even explain how exactly they work"
517440,522080," like what kind of like bit operations they apply there and stuff like that we're gonna explore all of that"
522080,522400," today"
