start,end,text
400,6000," looks like we're live hello everyone and welcome to yet another recreation programming session with"
6000,10000," a mr zozin let's make a little bit of an announcement and officially start the stream"
10000,20080," uh so red freaking circle live on twitch and what are we doing today on twitch.tv"
20080,25600," at television website today we're working on the next video project in rust i'm going to give the"
25600,31920," link to where we're doing all that widget.tv/tsodding and i'm going to of course ping everyone who's"
31920,36800," interested to be in being pinged and there we go the stream has officially started the stream has"
36800,43680," officially started so uh recently i finally released my video about ePERS game development"
43680,50160," right so it is on the main channel which is uh @tsodding and i really recommend you to subscribe"
50160,55040," to this channel because i'm going to be releasing more videos there soon right so i'm trying to revive"
55040,60640," this channel so there i'm going to be posting high quality uh edited videos right so i'm going to"
60640,66160," post it in the chat and for people on youtube daily youtube daily is the channel where i post"
66160,72160," votes by the way uh for people on youtube daily i recommend to subscribe to this channel and uh the"
72160,77680," video about ePERS game development is this one which is called will either replace c and slash c plus plus"
77680,83680," uh right i really recommend to watch it even though it's relatively long 44 minutes it's actually highly"
83680,89280," edited so people said that it's easy to watch because of that right so there is no uh dead"
89280,94080," air or anything like that it's like all straight to the point it's actually very informationally dense"
94080,98000," so i really recommend to check it out it's like i'm actually super proud of this video"
98000,106640," i think this is the best uh quality of the content i've done so far right i think uh right and i wanna"
109040,113600," and i want to make more of such videos honestly right i really want to make more of such videos"
113600,118880," and that's exactly what we're gonna do today right so i i'm trying to explore this format where i'm just"
118880,127040," like working on a project on uh on twitch and then uploading to you know studying daily and once i'm done"
127040,132960," i'm doing sort of like a summary of what i've done on the main channel highly edited uh with a lot of"
132960,137920," in-depth explanations and stuff like that i think it's a good format i think it's a good format because"
137920,144800," it enables me to work on like this long deep projects something that i could allow myself to do"
144800,150640," right because people would not really watch the whole process now i don't really have to worry about people"
150640,157520," watching the whole process because the final product is the thing that i'm striving for right so um yeah"
157520,162560," so what we're going to be doing today uh i i'm going to be implementing the project that i want you to"
162560,169280," start for i think already two times so this is going to be the third time right so i want to implement"
169280,174080," a programming language more of like more like esoteric programming language i don't think it's going to"
174080,179520," be a real useful production programming language you know experimental programming language that is based"
179520,186240," on turing machine right so some of you probably know what i'm talking about right so i already tried"
186240,191520," to start this project several times and because of how i produce the content i couldn't really integrate"
191520,196560," it into my content flow sort of speak if that makes any sense right so let's actually see what"
196560,206560," is a turing machine turing machine uh right it's a very simple um computational model created by alan alan"
206560,217040," turing so uh here it is so essentially a turing machine by itself is a very simple mechanism right so"
217040,225760," it has an infinite um tape right with the cells right and cells can store uh some sort of a value some sort"
225760,234000," of a symbol right and then the turing machine has a head uh and the head have a position within the tape"
234000,240640," it can read a symbol from the tape it can write the symbol to the tape it can it can move left and right"
240640,248800," and stuff like that right so and the program that you write is actually uh a table a table like sort of"
248800,257360," like a state table of the of the turing machine so uh yeah so let's actually go in here uh where"
257360,264080," it is uh i think this is something there okay so let me let me try to do the following thing um"
264080,271680," right so uh the program as i already said is going to be a table right so in the first column of the table"
271680,279200," is some sort of a state what state the turing machine is currently in right so it's a state"
279200,288800," then uh the next column of that table is going to be a read column uh which means um what is the current"
288800,296720," symbol at the machine's head right what's the current symbol at the machine head and uh the next table is"
296720,303120," going to be right which denotes the symbol that you need to write into the current cell uh if the"
303120,311920," machine is in this state and it reads this symbol currently at its head so then uh you have to denote"
311920,318320," a direction in which you have to step in either left or right so after you read the symbol and made this"
318320,326480," decision what to write uh you have to move the head either to the left or right uh and that's basically"
326480,334320," the fourth column and the last fifth column is what's going to be the next state right so that's"
334320,341760," basically the table of the turing machine and sequence of the rows sequence of these uh five"
341760,348320," elements is the program in turing machine terms if i understand how turing machine works correctly"
348320,354160," there are some different modifications for the turing machines um that may alter the specific columns of"
354160,359520," the table for example the variants of the turing machine that have two heads uh i suppose in that"
359520,365680," uh case you would have to have two reads two writes two steps but but the next state is probably going to"
365680,370800," be the same right so the the next state is going probably going to be the same and depending on the"
370800,375520," architecture of the machine this sort of like a program for the turing machine might be different"
376080,380960," uh wouldn't you need two next states for branching not really you actually don't need that"
380960,386800," right so um essentially let's actually try to write sort of like a very simple program"
386800,394400," uh right so which increments a binary number right so this is already classical example that"
394400,399600," already demonstrated in on one of my previous turing machine streams but i want to repeat it because"
399600,408480," it's a very good example i think uh we can imagine that our sort of tape initially consists of basically"
408480,416960," bits right so here's the thing the um the turing machine doesn't really have to be uh zeros and ones"
416960,424320," the the cells don't have to be bits they can contain any number of symbols and different kinds of"
424320,430240," symbols and the set of symbols that the tape can contain i think it's called basically dictionary"
430240,435920," right so different turing machines that you design may have different sort of like vocabulary rather not"
435920,441760," really dictionary but different vocabulary so um if we want to increment a binary number we may want"
441760,447600," to pick a vocabulary that consists of zeros and ones right so in that case this particular turing"
447600,452480," machine is going to be a binary turing machine but depending on the problem on the domain you're"
452480,457360," working with you can actually use whatever symbols and i would actually encourage use whatever symbols"
457360,463760," because not everything is easily described in binary everything pretty much everything is"
463760,469040," describable in binary but not everything is easily describable in binary and you will see that in a"
469040,474960," minute and not even a minute but in like a little bit later in industry so essentially uh we have a"
474960,480880," tape that contains bits and that tape uh stores a number so let's actually say that the least"
480880,485760," significant bit starts from the left that way it's it's going to be like easier for us to"
485760,491680," sort of increment that number how would you write a program that increments this number by one"
491680,502960," all right so essentially uh let's denote the entry state as inc because it's increment right so the name of the"
502960,509280," state can be any symbol actually right whatever symbol that you want right so and this is going to be the"
509280,516640," initial entry state of the turing machine so what's going to be the read in case of zero we want to"
516640,522800," actually write one it doesn't really matter where we're going to be moving left or right so let's"
522800,529920," actually move to the right and that's about it right so if the first the least significant bit is zero the"
529920,534880," only thing you have to do you have to replace it with one and it's basically halt and that's about it"
535920,541920," that is literally it so the the most interesting thing comes when you are in the increment state"
541920,544240," and you encounter one what do you do in that case"
544240,551680," you have to switch it to zero right move to the right"
551680,563760," and continue being in the ink state right and that actually implements the increment right so essentially you"
563760,568720," have this kind of situation you are in an increment state you see zero you replace it with one you"
568720,575040," halt there you go you incremented uh the value by one uh if you have this kind of value right how it is"
575040,580320," going to work you are in an increment state you encounter one you replace it with zero you go to the"
580320,585680," right you are still in an increment state you encounter one you replace it with zero you go to the right"
586240,591920," you do that thing yet again you go to the right and you encounter zero for the first time you get this"
591920,598960," situation you write one and you hold so there you go you just incremented the binary number by one"
598960,606080," so that's how you program in uh in this kind of turing machine and this is essentially the the language"
606080,613840," that i want to implement it's kind of a very simple language uh right and there's nothing particularly"
613840,620160," special about it like i can probably implement this variant of the language uh within a single stream"
620160,626720," but i want to go a little bit further i want to go a little bit further i want to implement sort of"
626720,634080," like a pre-processor on top of this base language so this is going to be the base language this is going"
634080,639360," to be the base language on top of it there will be kind of like a meta language that allows you to"
639360,649280," generate rules in a more generic sense in a more generic sense and essentially the language is going"
649280,653200," to look like this i made a screenshot i was experimenting with the syntax and stuff like that but"
653200,660080," the syntax the language is going to look like this essentially so there's additional like things like"
660080,666480," for loops that allow you to pre-generate the different rules and also define sets of symbols"
666480,672400," and iterate on those sets of symbols to generate more different rules so that way you can actually"
672400,677360," write a pretty complicated programs in turing machine for example this is the limitation of a rule"
677360,685520," 1-1-1-0 in turing in that imaginary turing machine language and because of this uh additional meta"
685520,693120," language on top of the turing machine i will argue i will argue that it will make it super easy to"
693120,698400," implement a universal turing machine do you guys know what is a fucking universal turing machine"
698400,703920," do you guys know what is a universal turing machine uh it's a turing machine"
704880,715120," that is an interpreter of a turing machine so uh turing alan turing himself demonstrated that it is"
715120,722320," possible to implement a turing machine interpreter using turing machine and he called that interpreter"
722320,728640," a universal turing machine right so i think there is a mentioning of universal turing machine in here"
728640,734800," universal universal yeah universal turing machine it's a turing machine that interprets another turing machine"
734800,742480," and he actually used the notion of a universal turing machine to basically demonstrate uh that halting"
742480,752800," problem is in unresolvable right because it relies on notion of sort of like a program that acts like other"
752800,760560," program it it relies on that so and whatever syntax i just discovered that makes it easy to generate"
760560,765440," this kind of rules i feel like i haven't actually demonstrated that for myself i haven't implemented"
765440,770880," a universal turing machine but i feel like it will make it easy to actually implement a universal turing"
770880,777840," machine uh and it's gonna be actually super cool so um yeah and that's what we're gonna be working on"
777840,784640," today and that's what we're gonna be working on in like several future streams as well right uh so i"
784640,788880," didn't really know how much time it will take to implement this kind of language but uh once we"
788880,794720," implement it i think it will make a pretty cool video because i already have a couple of interesting"
794720,801280," examples of programs uh that you can implement in this language i only implemented them on the piece of"
801280,807840," uh on uh on a piece of paper uh right so essentially i was literally interpreting programs written like"
807840,815360," that uh with a pen and paper just to check if this entire idea kind of works and it kind of works uh"
815360,819520," right and you can implement a lot of complicated things in here for example it's very easy to implement"
819520,825120," the program that checks whether the parentheses are balanced if you for example um if you have a"
825120,830800," vocabulary of symbols that contain uh you know parentheses and stuff like that you may think"
830800,837200," that turing machine is basically a turing tarpid right so have you guys heard about the turing tarpid"
837200,844480," turing tarpid so essentially turing tarpid is a language that is technically turing complete"
844480,852080," that is technically turing complete but it's so like low level that it's practically useless one of the"
852080,858160," examples of a turing tarpid is for example uh brain fog it is technically turing complete but it's"
858160,863120," useless in majority of the cases right it's not practical to even program in such language and you"
863120,869280," may think that such language also going to be um uh turing tarpid but because of this additional"
869280,875360," preprocessor it actually makes it way uh way easier to implement complex programming it so it doesn't"
875360,880960," really feel like a turing tarpid anymore so that's what's cool about it that's what's cool about it"
880960,887760," uh right so and of course i think it makes sense to actually put uh all of these things in the"
887760,893200," description for people on youtube of course all right so this is universal turing machine and this"
893200,899440," is a turing tarpid the notion of the turing tarpid so this is basically what we have all right so that's"
899440,905280," the plan for today that's the intro my new friend that's the intro my new friend let's take a look at the"
905280,912720," subs who give me money who give me money so thank you so much dot chris 1111 for everyone subscription"
912720,919840," stay uh thank you so much for twitch prime with the message yes uh yes indeed uh tcp stream thank you so"
919840,927120," much for tier one with a message happy anniversary daddy's i'm not your dad i'm not your dad i did the dna"
927120,933200," test we're not related but thank you so much for tier one subscription uh hey you're here thank you"
933200,939360," so much for tier one with the message yo mr zozin you rock uh thank you thank you thank you thank"
941040,947120," uh all right so let me sip my tea i'm gonna i suppose start"
947120,956000," and we're going to be using rust by the way to implement this into i think right if you if you if"
956000,958960," you're curious like what kind of language we're going to be using today we're going to be using rust"
958960,965280," because it will make it easier for me to to manage it right i don't feel like managing memory today and"
965280,970800," see for some reason right we'll see how it goes so i was thinking how to call this language i think i'm"
970800,978480," going to literally call it a turing language right so turing uh language right so and i'm going to just"
978480,985040," take the first two letters of this thing and i'm going to call it tula uh right so i think i think"
985040,991040," it's a pretty good name for the for the language tula turing language so an extension obviously is going"
991040,998640," to be tula we'll see how it goes we'll see how it goes uh right so and by the way uh for this specific"
998640,1006320," language right i used javascript highlighting because it has all these keywords right it's it's kind of"
1006320,1013200," convenient right so it has uh like a for in case is basically a single rule right so let allows it to"
1013200,1017920," define uh sets of symbols and stuff like that so uh yeah"
1020640,1026640," tula is dick in some variants of spanish that makes it even better now i'm 100 sure that it's going to"
1026640,1034640," be called tula um which is freaking funny because tula is also a russian city isn't it oh yeah it is"
1034640,1041360," yeah of course okay it's spanish people spanish spanish speaking people did you guys know that in"
1041360,1049760," russia there is a city literally called tula yes look it up google it up there is such city you're welcome"
1052320,1053920," you're welcome cheers"
1053920,1059360," um the dick city"
1059360,1069200," northern argentina but i know in other countries it's dick yes oh it's it's one of these sort of like"
1069200,1076000," dialects if you understand correct um so yeah uh let's go i suppose we're gonna call it tula rs"
1077360,1084240," and uh so let's create an entry point how about that look at that look at that entry point are you"
1084240,1091200," impressed by my entry point to the program so i'm gonna be rust c main actually tula rs"
1091200,1096320," freaking m script and me up yet again so"
1096320,1106720," this kind of show okay so i i do have rust c in here but i don't have it in emacs and that"
1107280,1114160," happened after i installed m scripting some freaking time ago and i only used them scripting once just"
1114160,1119920," to check something and i don't use it anymore and it just up permanently my environment in this specific"
1119920,1125760," account thank you so much m scripting that's why i don't like it by the way that's that's literally why"
1125760,1132240," i don't like it because like that happens so that's the the price what that you pay with over complicated"
1132240,1137120," software right so because like nobody knows how it works and what it's doing it can up something"
1137200,1143360," in an environment nobody knows why because it's that complicated anyways so uh let's go here uh"
1143360,1148000," right so and maybe what i want to do i want to actually restart my emacs too from this specific"
1148000,1158080," environment where i do in fact have the rust compiler so uh let me let me try to do this kind of thing"
1158080,1163520," rust c to rs rs rs"
1163520,1168000," compiling it's cooking"
1168000,1177920," okay so it cooked finally so now we should be able to run tula and it says hello world isn't that a poggers"
1177920,1184640," mind it for me isn't it so uh let's go ahead and maybe you you know load some files right so i don't"
1184640,1190160," really remember how to load files can you do something like rust up maybe even rust up doc"
1190160,1198960," uh like so will you open um chromium for me hopefully so it's taking some time"
1206000,1212160," i suppose it's not gonna open chromium for me"
1212160,1222960," all right uh so as far as i know um something is permanently broken uh rust up door help"
1222960,1230720," do you have a path oh okay so there is a flag i do remember that there is a flag to print the path to"
1230720,1235680," documentation so you can actually do path and it just gives you the full path to documentation"
1235680,1242000," locally and you can just open it up in here there we go easy peasy lemon squeezy let's go uh so let's"
1242000,1251760," just open it up there we go so uh let me find uh fs read i think it was a read to string if i'm not"
1251760,1257280," mistaken yeah yeah it was read to string this is precisely function that we need in here that's pretty"
1257280,1263600," poggers minor point there uh so let's actually introduce something like um source path so what's"
1263600,1269280," going to be our source path so this is a main tool let's actually call it ink tooler uh right i'm going"
1269280,1277840," to try to maybe load this specific uh source code and see how it goes um all right so this is going to be ink"
1277840,1292480," tooler uh and then um so we need to use fs fs read to string is going to be source path and obviously"
1292480,1299360," this entire thing returns results so i usually like to handle the errors like right away like so and the way"
1299360,1308640," i handle them it's just like i print the error like so uh error uh could not read file source path"
1308640,1314640," because of this stupid reason and after that i like to just do it like that so and in here uh what i have"
1314640,1319760," to do i have to just like return the result which returns nothing essentially so that's what we're gonna"
1319760,1327600," have in here to be fair um i would like to maybe even have like a my own custom result uh right so it"
1327600,1333680," accepts the value but it doesn't have an error i already explained why i like to handle errors like"
1333680,1338160," that so i think i'm not going to go into the explanation yet again so this is going to be"
1338160,1344880," something like this and in here at the bottom we're going to say something like this all right"
1344880,1351280," so let's try to rebuild this and i think tula rs i'm not using cargo yet uh because i don't feel like"
1351280,1356480," it's justified right now because i don't plan to use any dependencies in here honestly right when i'm"
1356480,1361760," doing like a rust project that doesn't have any dependencies i just simply do not use cargo"
1361760,1367120," like at all like what's the point of using it if i don't have any dependencies unless i want to publish"
1367120,1375680," it on uh on crates uh but i mean no i don't want to publish it on crates uh it's just like i mean it's"
1375680,1379920," just like a single file you can download it and build it yourself it's just that simple let's not"
1379920,1384560," over complicate things okay we already have enough over complicated chatting software development let's"
1384560,1390800," not over complicate things uh so uh yes so cargo run instead of two commands"
1390800,1403040," one command do you even bash my friends looks like you don't bash looks like you don't bash one command"
1403040,1410800," easy peasy damn the squeeze it anyways so um let's actually do the source right so and let's just go"
1410800,1416640," ahead and try to print this entire thing and see how it goes so this is going to be the source the source"
1416640,1422880," one command yet again uh and there we go so we actually print the source so the next thing i want"
1422880,1426800," to do i want to actually split this shit by space i don't remember how to do that so"
1427440,1434800," split uh do you have split anywhere so you have uh okay so there's a slice split maybe i should have"
1434800,1446320," actually used str split uh can i switch to the search please thank you so much str split str split"
1446320,1454880," str split come on you can you can do it so and you just use the pattern okay so we can just split"
1454880,1461840," everything by space because i mean who needs a proper lexor am i right who needs a proper lexor so uh let's"
1461840,1467280," do the split and i'm going to split everything by the space and let's just call it uh tokens i don't"
1467280,1473440," freaking know uh and let's bring those tokens uh and see how they look like do they look nice do they look"
1473440,1491200," gucci did they look tamaguchi um okay freaking freaking rust the killer of c by the way uh okay so um yep"
1494080,1495520," yeah there we go so now we have"
1495520,1506000," hola senor troyd and hola amigo did they did i say it correctly is it amigo like i don't really speak"
1506000,1512480," spanish or like in fact latin languages at all so i'm not kind of a century so i apologize in advance um"
1514160,1519120," i kind of want to learn like one of the latin languages either spanish or or portuguese"
1519120,1528480," i think spanish would make sense actually right because there's more probably more speakers in"
