start,end,text
160,6800," Hello everyone and welcome to yet another recreation programming session with Ahu Amista Azudin."
6800,14560," So we're developing this game, a raycasting game in TypeScript and I started this game as a sort of"
14560,21120," like an exercise in doing raycasting and raycasting is a basically old-school rendering technique"
21120,26880," that it was employed in Doom and just generally old games from 80s and 90s right because they"
26880,33520," couldn't do like a proper 3D so they had to kind of fake 3D and what's interesting is that it kind of"
33520,40160," evolved into full-blown multiplayer game and because of that i need to come up with a good"
40160,47280," name for this game but unfortunately nothing comes to my head yet like i just like can't come up with"
47280,55680," a good name for this game and so what they decided to do is to freaking generate it randomly i think"
55680,62000," this is something i already did some time ago right so the idea that i have is basically"
62000,71200," write like a generator of random words and just pick the ones that uh that i like right so i also have an"
71200,78400," interesting idea of mutating words that i like to produce more interesting words uh right so and i"
78400,84240," decided to make a stream out of that it's not going to be very long stream uh but i don't really plan to"
84240,91920," stream for very long because i recently been sick so i'm kind of like um out of out of the shape uh for"
91920,97280," for streaming so i probably won't be able to stream for very long so i decided to pick a very simple uh a"
97280,104000," very simple topic today so uh it also means that i have a good opportunity to program in c3 right so"
104000,112080," c3 is this uh you know sql to c right uh that we discovered some time ago and i actually want you want"
112080,118560," to rewrite this game from javascript actually typescript but i mean it's javascript to c3 right so because it"
118560,125840," allows compilation to web assembly right so into accommodate myself into myself into using c3 i"
125840,132960," i thought let's just go ahead and you know write a random words generator in c3 sounds good sounds"
132960,139280," gucci sounds what a tamaguchi let's go i should probably add c3 to the description uh so let's actually"
139280,143760," put it in here i'm pretty sure i already did something like that in a different language but i"
143760,148480," already forgot how it was called so i don't know so let's actually do that one more time"
148560,158160," uh right so name oh we do have a name generator yeah in python jesus fucking christ okay so here"
158160,169200," it is uh i found it and it's it's lame it's fucking lame nah it's it's like it's only generate"
169200,175360," nah we're not going to be using this right so right so fuck that shit fuck this a shy so let's"
175360,182080," actually do main c3 let's go so uh how do you program in c3 right so you program in c3 just like"
182080,190160," in c but better right not c plus plus kind of better but actually better right so let's do uh main uh i"
190160,196960," don't know if you have to emacs why did you intend it like that this is disgusting my friend so i think you"
196960,209280," also have to do something like a import std io io io right so and you just do uh io print f uh hello world"
209280,216480," like so uh and do we have c3 compile a main c3"
216480,223600," all right so we need it as far as i know i can actually run it right away after the compilation"
223600,231120," and it says hello world look at that look at that chat is an ad poggers can your zeke do that i don't"
231120,236400," fucking think so i'm sorry uh so"
236400,245920," um now so the idea of generating i think i'm going to be generating basically a sequence of syllables"
246640,255520," right so and so the word is going to be just like a syllable uh syllable syllable and a single syllable"
255520,266480," can be i suppose of basically like a consonant and vowel right so it's actually called wow and"
266480,272080," consonant right so essentially if you think about a syllable like a consonant and vowel you can generate"
272080,276320," quite quite a lot of different funny words and i think this is exactly what we did in that python script"
276320,282960," but there is way more different kinds of syllables you you have for instance closed syllables"
282960,289200," it's just basically consonant uh vowel and consonant and sometimes a closed syllable may not"
289200,294640," have uh a first consonant in here right so this is basically the kind of consonants you have"
294640,300480," maybe you can introduce like a consonant uh that is just like syllable that is just vowel"
300480,306800," um right so you have a lot of freedom in how exactly you can generate all of that stuff uh yeah"
306800,312800," so this is yes the chat already says that uh where is my boomer boomer doesn't work wait a second"
312800,320080," i'd have a go so or just well exactly exactly exactly uh so grammar for words yeah that's kind of funny"
320080,326720," this is basically bnf for words isn't it i never thought about it actually it's literally bnf words"
328800,333040," so you can say word and then you can do something like this"
333040,343760," brub brub brub brub uh so anyway let's actually go ahead and try to generate that so we need to"
343760,351920," generate all the vowels and all of these uh constants but i don't really remember like okay so let's"
351920,358560," actually just generate a bunch of uh characters right can we just do something like a equal to z plus"
358560,364080," plus plus x and simply just print all of the characters in here so i'm pretty sure we can do"
364080,373760," something like this uh can we do something like this uh it didn't freaking work ah that is funny"
373760,381840," because it is basically buffered so and we didn't flush the buffer that's that's really funny actually"
381840,385120," so what if i what if i do something like this"
385120,397680," uh uh it didn't wait a second it didn't tell me that it didn't provide an argument"
397680,405600," how is that better than c i forgot to provide x in here and i didn't say that"
405600,418880," how are we supposed to compete with zagooners with this language"
418880,428000," i'm i'm like how we're supposed to like i'm i'm really fucking disappointed pr time to be fair"
428640,432320," like how would you even implement that uh right so"
