start,end,text
400,3440," uh so think aids in thinking about series"
3440,14640," waiting around so people have told me that two minutes compiles aren't really that bad so i"
14640,20880," figured that we should give them the freedom to waste their time wait so essentially it's just"
20880,26240," it's just waiting it's literally waiting right now right so it's literally waiting so it gives x"
26240,36400," oh yeah yeah bro it's spinning up my freaking cpu right now oh my god freaking it is really"
36400,44480," spinning on one of my freaking cores you"
44480,54000," all right chat wake up the time has come to do yet another low effort slope uh so um recently i"
54000,61760," actually found this very interesting thing um which is an alternative to llvm and i found it by"
61760,69680," actually exploring c3 source code right so at some point uh i looked into c3 and i noticed that"
69680,76880," it has an alternative back end right so originally it uses llvm as its back end uh right and then i"
76880,82800," noticed like an alternative back end i wonder if i can actually find it um so i think the back end is"
82800,92480," called tb or something like that um i wonder if i can find it so there's a code gen um but maybe i have"
92480,99040," to fetch the latest changes okay so let's actually fetch the latest thing just in case tuberculosis is"
99040,110000," that what it stands for right probably i don't know uh so and maybe we can grab uh back end i already don't quite"
110000,118640," uh okay so there's a code gen uh right so there's a ssc compiler and there is a code gen um so where is the"
118640,129520," code gen so there is a c code gen and there is a asm code gen and there was i think um tilda"
130640,138240," i i hope learner didn't actually remove that it could be actually the case that learner removed it but it"
138240,143440," was there trust me so maybe he experimented with something or maybe he created a separate branch i"
143440,152400," don't quite remember um so c branch additional code gen i think that's what it is i think that's what it is"
152400,159040," it's just this specific branch uh i wish i could just switch to it um so additional code gen"
159040,170080," uh-huh uh-huh so yeah there we go so backend tb i started looking into that and and found this thing"
170080,177280," right so uh apparently it is related to that so let's actually read about it uh tilde my llvm alternative"
177280,183520," i'm jason and i've i hope i pronounced name correctly so i'm sorry um if i didn't and i've made my uh made"
183520,188880," it my mission to produce an alternative to llvm the current king of compiler backends library of the"
188880,196080," current king of compiler backend libraries i'm calling it tilde or tb uh for tilde backend and the reasons are"
196080,202800," pretty simple i believe it's far too slow at compiling and far too big to be fixed uh from the"
202800,209600," inside it is true right so nobody at this point really compiles lvm themselves right so uh even"
209600,216080," when i needed to build c3 uh i think i just like downloaded lvm from the official website or on void i"
216080,221760," just installed it from from the repos right it's kind of like a very heavy dependency it is insanely heavy"
221760,228880," dependency so it's been 20 years and craft uh has built up time for a redo as a test case a roller"
228880,234640," c compiler and early tests show the preprocessor to be around two uh two times faster than clanks uh"
234640,242960," clanks along preprocessor isn't preprocessor right uh not related to the back end it's just like a very"
242960,249760," much front end thing but anyway so um it's uh two times faster than clanks along with being able to"
249760,255520," parse multi okay so parse multiple translation news in the same uh process without threading issues and"
255520,262960," out of the other declarations um so to clarify my project isn't some api compatible replacement to lvm"
262960,270160," is just another backend that believes in a similar vision to early lvm uh so and here is apparently"
270160,277200," the vision of the early lvm the world needs better compiler tools uh tools which are built as libraries"
277200,284240," this design point allows reuse of the tools in new and novel ways however building the tools as libraries"
284240,290560," isn't enough they must have clear apis i've just instantly remembered the clip of jonathan blow looking"
290560,298720," at the uh the documentation doxygen generated the documentation of the lvm this is like they must have"
298720,307920," clear apis it's a mess anyway uh as a decoupled from each other as possible"
309600,315920," and easy to modify extent this requires clean layering decent design and avoiding tying the"
315920,324000," libraries to a specific use oh yeah did i mention that we want um a resultant libraries to be as fast"
324000,333440," as possible well yeah chris lanter 2007 right so where's my 2007 so apparently yeah i agree with that if"
333440,342000," this was a regional vision of lvm it diverse quite a bit from it honestly like like by looking at this"
342000,348320," vision you you wouldn't think about lvm like would you think about it this is not that lvm what the"
348320,354800," are you even talking about that's like uh right so that's pretty cool that's pretty cool to go back to"
354800,363200," original vision of lvm i really respect that uh so key features c of nodes ir opposite to llvm or"
