start,end,text
0,9840," All right, looks like we're live. Hello everyone and welcome to yet another"
9840,15600," Zuzin session. How about that? It's fantastic to happen. Let's make a little bit of an announcement"
15600,24960," and officially start the stream. So let's do a red circle, right? Red circle live on Twitch."
24960,34400," And what are we doing today on Twitch? So today we are developing a Java virtual machine in Python."
34400,41120," Oh, let me give a link to where we're doing all that and also ping everyone who's interested"
41120,46160," in being pinged. And there we go. The stream has been officially started. So today's stream is going"
46160,53520," to be a logical continuation of the previous stream where we developed the parser for the jvm byte code"
53520,59200," files, the so-called class files. You can find the source code in here. I'm going to copy paste it in"
59200,64720," the chat. And of course, if you're watching on YouTube, you'll be able to find this thing in the"
64720,70720," description. Right. So I don't really want to spend too much time on this project. I just wanted to,"
70720,78080," you know, have some fun, develop something relatively simple and interesting. And on the previous stream,"
78080,86160," we managed to actually write a simple parser that can parse the compiled hello world in Java,"
86160,91680," right? So it can parse it. It can show all the like sections and stuff like that, all of the constants"
91680,95920," and everything. So let's actually take a look at that. Let's actually take a look at it. I think"
95920,104000," it's going to be a rather interesting, right? So I'm going to go to Python. I don't know why I called it"
104000,110880," like that, but it's called Python. So here is the script. It's actually relatively small. It's only 153"
110880,119360," lines of Python code. And it can already do a lot, not a lot, but enough. So here is the compiled file,"
119360,125360," right? So here is the source code. It has like a couple of things in here just to test stuff out,"
125360,133120," but ultimately it's a hello world in Java. You can compile that hello world. I think I still don't"
133120,140400," have a compiler in my path file, right? But in that case, I just have a class file already compiled for me."
140400,150640," So here it is. So if you run the script, what it does, it actually parses the JVM file and shows"
150640,157040," you all of the constants in here. Also, it shows you all of the methods, what kind of classes they belong"
157040,163920," to, the attributes and stuff like that, right? So it can actually parse all of that. And the next logical"
163920,173360," step would be to try to interpret the bytecode of that file and sort of actually execute it in a sense"
173360,182560," that, right, find a simple like writing interpreter for the instructions that are already in that file"
182560,192320," and interpret all on them, right? So I want to try to implement a very limited JVM that can only interpret"
192320,198800," like hello world or something simple as hello world because then you sort of have the base to"
198800,204480," extrapolate it and maybe implement full virtual machine eventually, like for educational purposes."
204480,214240," You know what I mean, right? So yeah, that's basically the idea for today. So let's go ahead and do that."
214240,220480," So let me take a look. Let me take a look. So for some reason, it tried to"
221200,226000," save the compilation file. So I'm going to actually kill it in here. So first of all,"
226000,234800," the first thing I want to do, I want to set up the environment for my, so I can have the Java compiler"
234800,242400," just in case. So I'm going to do source, opt, Java environment. There we go. I should have"
242400,248720," the Java compile in my path. There you go. It takes some time to actually load up, but it is what it is."
249920,254720," So what else do we have in here. So I have to go, what is it called, the Jison. I keep,"
254720,260880," I keep forgetting the name of the project. Right. So I want to recompile this entire thing. And there you go."
263600,279600," So let me see. So if we print the class, right, if we straight up print the class,"
279600,289280," here are all of the methods, right, of that specific class. So what I want to do, I want to find the main"
289280,294080," method, right? So I'm going to try to interpret the main method. So I already have a function implemented"
294080,302800," in here. Find methods by name. So here I can supply the class and then I can provide the name main."
302800,308400," So because of the function overloading, because of the function overloading, this thing can return several"
308400,314800," methods. So we're going to sort of like assert that we are expecting only one in here. Right. So if I"
314800,321920," try to run this entire thing, here is the main method, right? So it has a bunch of attributes. And in fact,"
321920,328960," it has only one attribute and that attribute is attribute 23, right? And 23, 23rd one, if I remember"
328960,337200," correctly, is a code. It's actually a name index. That means we'll have to find that in the constants."
337200,343840," Uh, so step sister trap. Thank you so much for three months of tier one subscription."
343840,350880," code wars, queue might plus at sorting stream. This is truly a great day. Uh, I don't know what you're"
350880,356000," talking about. It's, is this some sort of a code wars event? Uh, I'm not really familiar with what"
356000,363360," code wars does, but I'm glad that you're happy. I'm glad that you're happy. Um, anyway, so, uh, what I"
363360,369440," want to do now, I want to find the attributes by name as well, right? So I want to find the code attribute."
370000,375520," So corporate case, thank you so much for 38 months of tier one subscription. That's, that's a long time."
375520,383920," Thank you. Thank you for supporting. Uh, and, uh, Igor, Ip, Igor, Ip, thank you so much for which"
383920,389280," prime. I hope I pronounced your name correctly. I'm really sorry if I, if I didn't. So, um, okay. So I want"
389280,398480," to take the code of that main method, right? So what I need to do, I need to take the main and its attributes,"
398480,404000," right? So here are the attributes and then among the attributes, I want to find, uh, the attribute"
404000,410720," with the name code, uh, Donald Batman. Thank you so much for tier one subscription. So, and here we have"
410720,419840," the code, right? So here is the code. Uh, and there you go. So this is the byte code, right? And in fact,"
419840,428320," the byte code is located in the info array, there we go. So this is the byte code. Um,"
428320,436000," but it's not particularly byte code. It's a code attribute. The actual byte code is located within,"
436000,442240," uh, these things. So you have to actually, we didn't sort of like, we didn't finish parsing,"
443040,448720," uh, code attribute, right? So the code attribute is actually this structure. So as you can see,"
448720,455200," it's actually like, there's way more to the code attribute than just like array of bytes. An actual"
455200,466160," code is located in here somewhere. Uh, right. So let me write a method, uh, that would do, um,"
466960,476800," that will extract the instructions out of the code, like extract, uh, extract code from code attributes,"
476800,484720," right? Um, yeah, or maybe, you know what? I think I'm going to call it something like parse code"
484720,492160," attribute. Uh, it's going to accept info as the bytes and it will return a dictionary, but I don't"
492160,496560," remember how you say dictionary in the typed Python. So I'm going to just like call it like that."
496960,506240," Um, hello, hello everyone. Welcome, welcome, welcome. So how are you guys doing?"
506240,519520," All right. So essentially now I need to extract all of that stuff from, uh, from the bytes."
519520,526720," So to do that, I need to open the bytes as the file. So I think on the previous stream, we actually"
526960,535440," figured out that you have to use something like bytes IO, right? If I do Python three and import IO,"
535440,541360," there's this thing called, uh, bytes IO. There you go. It basically allows you to"
541360,550160," interpret it, to treat bytes as file. So it maintains the cursor and stuff like that. It's pretty convenient."
550800,558240," Uh, and this is exactly what I want to do. So do I have IO? Yeah, I already have IO, I O bytes, uh, IO,"
558240,564640," and, uh, just provide the info and I'm pretty sure I can do something like as F, right? So, and after"
564640,572240," that I can, for instance, parse, uh, so what's the first attribute of this thing? It's U2, right? Parse U2 from F."
573120,582240," Uh, and this is attribute name index. Oh yeah. So I remember that, um, I should actually ignore. So the"
582240,589040," first thing should be max stack, right? So it's, uh, max stack. And in fact, I can actually do something"
589040,594320," like this. So code is going to be a dictionary, right? So this is the dictionary. This is the code,"
594320,601920," max stack. And there you go. We're going to just assign it like that. Right. So the next attribute"
601920,609760," in here is the max locals, uh, max locals. Uh, and you know what? I'm going to actually copy paste this"
609760,615760," entire thing. So I'm going to have to switch between the, between the pages all the time. Uh, and I'm"
615760,626720," going to comment it out. Of course, uh, boom, boom, boom, boom. I want you in my room. So, uh,"
626720,641600," so max stack, max locals, it has to be parse U2 F, uh, parse U2 F, uh, and then we have to do the code"
641600,658800," length, code length, uh, parse U4. And then I'm going to do code, code, um, equal to F read the code"
658800,664640," length, right? So this thing sort of like contains the, the size of like the amount of bytes of the"
664640,670080," bytecode. So of course, after that, we have some sort of exception table and the attributes count like"
670080,675040," additional attributes or something like that. And I'm not really sure if I care about those,"
675040,681840," right? So you, you may have attributes within attributes. It's actually very interesting way."
681840,688000," That's, that's so weird. So the attributes are indicated in the name of attributes of code attributes"
688000,698880," and those attributes are. So within the code, you can get code attributes, but what if the"
700080,707120," code attribute of code is another code? So can you have like a nested infinite code attributes?"
707120,713040," Why? Why attributes are tree? What the hell?"
717040,723200," this is so weird. Like, yeah, they're, the attributes are tree in Java."
723200,734000," That's so weird. It's so bizarre. Um, Java attributes tree. If I understand correctly,"
734000,740000," you can have the attributes, you can add your own custom attributes in, in Java. If you do things like,"
740000,748080," uh, like my attribute or something like that. I think this stuff should also appear within the class file,"
748080,753680," right? And because of that, the external tools can extract those attributes from the files and whatnot."
754160,764640," Um, so, but apparently they are trees. Um, uh, and of course I just put Java and tree in the query and"
764640,773600," the Google thought that I'm learning data structures in Java. Of course. Yes. It thinks like I'm a CS grad"
773600,778640," who learns like data structures and okay. So Google's useless anyway. I'm sorry."
780480,788000," So it's, it's, it's pretty interesting. Um, so maybe it would be kind of cool to try to learn that."
788000,796400," So we have exception table length. Um, and I'm kind of curious, like, okay, so let me,"
796400,809440," let me see. Uh, so here's the code. Um, so this is info. Um, so parse code attribute,"
810240,819120," parse code. It's called parse code info. Yeah. Parse code info. I think that will make a little bit more"
819120,824320," sense. Okay. If I try to parse this entire thing, so this is the code that we got. This is the amount"
824320,830480," of locals we have and the max stack. Uh, I'm not really sure what max stack means. So I probably need"
830480,840000," to, need to read about that. Um, max stack, uh, gives the maximum depth of the operand stack for this"
840000,846400," method at any point during the execution of the method. Oh yeah. So essentially I do understand."
846400,852880," So the JVM is a stack based machine, right? It is a stack based machine and it is known sort of at"
852880,860560," compile time, how deep it's going to go, like how many elements and you can sort of pre-allocate, uh,"
861120,867680," so this amount of elements on the stack to do all of your dirty stuff. Okay. Okay. That makes sense."
867680,875520," I suppose that makes sense. So, but I also want to see what's the exception table."
878240,889360," exception table length, uh, exception table length and the length is u2 parts, uh, u2 f, right? And I also"
889360,898240," want to print, uh, the exception table, uh, the exception table, exception table. There we go."
898240,905200," So let's just try to run that. And, uh, we have zero in the exception table. This is actually perfect,"
905200,910480," uh, which means I can do the following thing in exception, uh, length and something like range."
910480,921120," And I can say assert false, uh, parsing exception table is not implemented. And I don't have to"
921120,926400," implement it right now because it's not even used. What's the point of implementing something that you're"
926400,933680," not going to use. Uh, okay. So in here we have attributes count, right? So this is the attributes"
933680,942720," count, uh, parse u2 f and we already have a function parse attributes that allows you to parse attributes."
942720,948880," Right. So that means we're going a little bit recursive in here. That's actually very interesting."
949840,959040," Uh, so code attributes. Uh, so parse attributes and this is the attributes count."
959040,966880," There we go. So let me see what we're going to have. So, and it does in fact have attributes,"
966880,973760," right? It does in fact have attributes, but the attribute name index is 24. Uh, all right."
975840,983920," So let me, let me see. Can I assign this to code attribute, right? So this is the code attribute."
983920,996320," Code attribute. Uh, there we go. And within code attribute, I can go even further, uh, with attributes,"
996320,1001760," right? So I want to take a look at the attributes and then within the attributes, I want to take a look at"
1001760,1012720," attribute attribute name index, right? It's name index, right? So here is the, what? Excuse me."
