start,end,text
0,8140," the next thing I want to do is actually implement a very simple function, right, so as you can see"
8140,15240," we have a circle, right, so we know how to draw circles, but do you know how to draw an ellipse,"
15240,23620," right, so essentially drawing a circle is a rather simple thing, right, so imagine that you have a"
23620,28760," center, right, so this is the center, this is where the center is located, and you have a radius,"
29180,36380," right, you have a radius, how do you draw a circle, well, you can just iterate the boundary box of the"
36380,46980," circle, right, so you can do 4x in basically cx minus r until cx plus r, right, so this is sort of like"
46980,51680," the first, you know, dimension that you iterate, but maybe it would be better to actually iterate it by"
51680,58360," rows, right, in the order of how the pixels stored in the memory, right, so the next thing you iterate"
58360,65860," is x, right, maybe I'm going to actually enable this thing, so for, you know, let's enable pascal mode,"
65860,71860," or maybe all pascal mode, ah, it doesn't work, which one, let's enable rust, yeah, there we go, so in rust"
71860,78360," you also have in, so here you're going to have x and x, right, so essentially you're iterating this boundary"
78360,86360," box, right, so and then, um, what you want to do, you want to find the distance of the current point"
86360,94120," to the center, how can you do that, right, so you can basically do dx is going to be equal to x minus cx,"
94120,101600," right, so this is like the distance to the center by x, uh, and this one is by y, right, so replace x, y,"
101820,108400," there you go, and then you want to find the distance, so in the distances, basically the dx squared"
108400,117100," plus dy squared, and you take a square t of that, and if it's less or equal to the radius, right, if this"
117100,123760," entire thing is equal to the radius, uh, it indents kind of weirdly, uh, so what you essentially do, you put"
123760,133420," pixel at x and y with a certain color, so that's how you render a circle, right, but you can go even"
133420,139180," further since you only need to compare these things, you don't need the absolute, well, you need relative"
139180,144620," ones, you can actually get rid of this security, uh, and just like do it like that, right, so you can"
144620,150320," actually rise both of the sides to the, to the power of two, and it's still going to work because you only"
150320,157580," compare them, right, so this is how you draw a circle, but how can you draw an ellipse, that's a"
157580,166500," very interesting question, right, so in an ellipse, you have actually two radii, right, so the sort of"
166500,171360," like horizontal radius and the vertical one, right, so, uh, let's say it's going to be a radius one and"
171360,178540," radius two, so essentially in case of an ellipse, you are not iterating the square, the bounding square,"
179100,184600," you're effectively iterating the rectangle, right, you're effectively iterating the rectangle, so maybe"
184600,194860," we should call them rx and ry, uh, rx and ry, so here we have uh, ry, uh, right, and ry, this is rx, and this"
194860,202560," is rx, so, and here's an interesting thing, throughout the development of this library, we used this trick"
