start,end,text
920,29400," I found a pretty funny extension for Emacs. It's called fix me with double E. So I think I have to Google it like with Emacs because Google is not that smart enough, even though it has a lot of data about me. Right. So basically, the idea of this mode is that it collects to do's in your buffers, right, and can basically form like a report, like a list of all of the to do's and you can"
30000,59280," jump between them and stuff like that. The coolest thing here is how it manages the urgency, right? As you can see, there is an urgency tab. And the urgency is determined by the amount of leading characters at the end of the keyword, right? In case of a to do, it's how many O's is at the end of the of the keyword. In case we fix me, it's how many E's you have in here, right? So the higher the amount of leading characters, the higher the urgency."
59440,88880," So I find it actually kind of funny and clever. So and it is clever, because if you want to bump up the urgency of a particular do, you just have to add a character. It's super easy from the from the point of view of user experience. And if you want to bump it down, you just remove it. As an opposite, if the urgency was some sort of a number, right? So you if you have something like 100, right, and you want to reduce the urgency, you would have to reduce"
88880,118860," use, you would have to remove the entire number and type it again, because you have to modify all the digits. So it's it's way more convenient to just like, you know, add character or remove the character. So I think it's really, really clever. Anyway, so I just want to share that doesn't really matter. I will leave the link to this extension in the description for anyone who's interested."
118880,136880," I will leave the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link to the link. So this is not that, but it's the latest video on the link."
136880,160880," So let me quickly find it. I hope YouTube is gonna recommend that thing for me. So this is not that but it's the latest video on the YouTube channel. Here it is. So and the cool thing about this data structure is that it can be used for autocompletion. I didn't think it's the best data structure for autocompletion, but it could be useful autocompletion."
160880,189880," Alright, so let me put this thing in the description as well, right? The start of the tree project, right? And tree is an alternative name for a prefix tree, right? So I didn't even know how they came up with that name. Maybe they explain that in the Wikipedia page. But yeah, usually prefix tree is called like tree. Right. And I didn't want to do anything with this project anymore. Like I explored the idea."
189880,218880," The idea on that stream. And there is nothing much for me to do. I just outline some of the things I would like to do, right? But I didn't plan to do them on the stream because I don't think it's that interesting. Right? I was planning to do that like in my spare time as a recreational activity. And yes, I do program as a recreational activity. This entire channel is essentially me sharing my recreational experience, right? Not all of my recreational experience is actually"
218880,244880," watchable, right? But I try to curate what I stream about so people can enjoy it as well. So one of the things one of the small things I wanted to do is basically make the project call graph Vs as an external process, right? So what it's all about. So you can find the source code of this project in the description, let me actually put it in the description. So it's available somewhere here. Right? So let me go."
244880,262880," Where is my description file. So tree source code, right? So we can grab the source code in here. What do we get? What do we got? Perfect stream implementation in C."
262880,289880," So yeah, the way you build this project, you just call the build dot sh script, right? Let's take a look at that script. Build dot sh. So in this script, we just build a single C file, right? And then we called a dot subcommand of the final executable. And that thing basically dumps the entire tree."
289880,297880," the entire tree as the graph Vs dot format, right? So let's actually try to reproduce that. So I'm going to just call this entire thing like so."
297880,314880," Right? So here is executable. Executable expects two subcommands. And if you call it with dot, it just dumps the graph Vs data, right? So and then we save it to tree to tree dot dot, right?"
