start,end,text
960,7760," Hello everyone and welcome to yet another recreation programming session. In PORTH, the"
7760,13600," concatenative programming language that I'm developing, I introduced recently a new control"
13600,19120," flow construction. And that control flow construction is basically an early return"
19120,26880," from a procedure. So let's take a look at it. So let's open a new file, right? So let's"
26880,34960," include the standard library. And let's introduce an entry point, right? So let's write something,"
34960,45440," something like hello world. And let's actually print that on the screen and compile this entire stuff."
45440,53760," There we go. So as you can see, it says hello world, right? So early return is basically initiated"
53760,59040," by a keyword return. It's no different than in any other imperative programming language, right? So"
59040,65440," you basically hit return and you instantly return from the procedure. Right? So let's assume that here"
65440,71440," we're going to have something like before return, right? And here we're going to have after return,"
71440,77760," right? And if everything works correctly, we will see before return, but we'll never see after return,"
77760,83200," because we return from the procedure at this particular point, right? So if I try to run this"
83200,88800," entire thing, as you can see, it says before return, but it never says after return. So if I move return"
88800,96480," here, it says before return and after return, right? Exactly as you would expect. And what's cool about"
96480,102480," this entire thing is that the type checking still works as you would expect. Everything is still type"
102480,112000," checked. For instance, if I probably like move it to full. Let's do proc main in. And let's assume that"
112000,120160," foo is supposed to return a couple of integers, right? So and if you return them like this, a 69 for 20,"
120160,127760," it will, it will actually work, right? So it will actually compile. But if you return before"
128320,133920," these two integers, it will not work because you don't have enough integers on the top of the stack"
133920,139280," to actually return from this function. So that will not compile. So it will say insufficient data on the"
139280,146000," stack. So and these are the integers that are expected in here. So in complaints about this precise"
146000,152320," thing. So people were asking why I made the type checking of port is so complicated. I personally don't"
152320,158960," think that it is complicated. But people were asking why it is so sophisticated. And this is basically the"
158960,166480," answer, right? So it is general, it works with any control flow construction, I can modify existing control"
166480,171680," flow constructions, I can add whatever I want, everything is still going to be properly tab checked,"
171680,178000," because our type checking just follows all of the possible control flows. And if it finds any discrepancies,"
178000,183200," it just fails and tells you that there is a discrepancy, please fix that. So the type checking"
183200,189840," does not care about any control flow, I can just introduce like labels and gotos, and they're also"
189840,195600," going to be properly type checked, right? Because we follow all of the possible control flow and checking"
195600,202160," everything. So that's the beauty of this, I think. So yeah, now we have an early return. It was relatively easy"
202160,207360," to introduce because we already had an intermediate representation instruction to return from a"
207360,213600," function. I just had to wire it up into a keyword. And that's basically it. And also a little bit of,"
213600,219920," you know, work on delegating the memory, you know, cleaning up the stack and stuff like that. But that's"
219920,227280," just like a minor thing. So to get the gist of the usefulness of the feature, let's actually use it for"
227280,234240," something in the compiler, right? Let's introduce maybe hexadecimal literals, right? So for quite some"
234240,242480," time, yeah, I actually didn't implement that. I don't know why, right? Maybe I was waiting for early"
242480,248560," return, who knows. And every time I need a hexadecimal literal, I would just like convert it to a decimal"
248560,254480," literal and just use it like this, which is kind of weird, right? Because as far as you know, this thing"
254480,260800," should look a little bit prettier. So let's actually go to Python 3. And I'm going to say please convert"
260800,268240," that to hexadecimal literal. And as you can see, it's supposed to look much nicer, right? So and yeah,"
268240,274880," actually, early return makes it kind of easy to implement like the converter from, you know, basically"
274880,280960," parser of hexadecimal literal. And let me actually demonstrate you. So let's go ahead and do that. So to"
280960,288080," implement the hexadecimal parser, first, we need to know how to parse a single hexadecimal digit."
288080,294880," Right? So let's introduce something like hex digit. And this thing is going to take a single character,"
294880,300560," we don't have a character type. So but we do have character literals, right? So if you have something"
300560,307440," like this, it will be converted to ASCII code of that specific character, right? So but the type of"
307440,314480," this thing is still going to be integer. And this thing will return the value of that hexadecimal digit."
314480,321840," So but we also need to take into account situations when something is not a hexadecimal digit. So I think"
321840,327600," we're going to return a boolean indicating that whether we successfully parsed a single hexadecimal"
327600,334320," digit or not, right? If it's true, that means whatever we have behind that boolean is a correct"
334320,339360," integer. If it's false, this thing is going to be undefined. And this is basically an indication that"
339920,350480," the digit was incorrect. Okay. So let's take a look. Let's bind the digit to a variable d, right? And"
350480,356800," first check, is that a decimal digit, right? So if it is a decimal digit, it has to be between 0 and 9."
356800,364640," Right? So it's going to be d, it's going to be greater or equal to 0. And it should be less or equal"
364640,374560," than 9. Right? And if it is, we can quite easily just return d minus 0 and true and just return like"
374560,382720," that. Okay. So the next thing we need to check whether it's a character from a to f. And if it is,"
382720,389040," I'll have to convert it to a number and then add 10. So maybe I also want to align this entire thing like"
389040,396240," so. And we also want to take into account the capital letters, like so. So as you can see,"
