start,end,text
320,6960," looks like we're live hello everyone and welcome to yet another recreational programming session"
6960,12800," with a mr azuzin let's make a little bit of an announcement and officially start the stream as"
12800,20960," usual as usual so let me switch to announcement right uh red circle uh live on twitch and what"
20960,28000," are we doing today on twitch dot television website so today we're doing a real software"
28000,32080," engineering how about that i bet you don't expect that to happen so i'm going to give the link to"
32080,36720," where we're doing all that twitch.tv and i'm going to ping everyone who's interested in"
36720,41440," being pinged and there you go the stream has officially started the stream has officially"
41440,51680," started so uh i've been developing my own animation framework similar to the one that 3d3d3blue1brown uses"
51680,57840," right so 3blue1brown uses the engine that is called manim which is mathematical animation engine"
58000,62400," my engine is called programming animation engine right so it's for programming videos"
62400,67600," uh right so i developed it in c for visualization i'm using ray leap nothing particularly special"
67600,74640," and um recently while discussing on uh on discord i came to the conclusion that i would like to have"
74640,81840," sounds right even though i can add sounds sort of like in the post-production right i can add sounds in"
81840,89200," the post-production but if the animation is complicated and procedural it would be better"
89200,94960," if the uh animation itself actually decided when to play sounds uh let me demonstrate you"
94960,100480," uh right so essentially let me rebuild everything just in case i'm gonna start the animation right so"
100480,107200," recently i did the following thing where you have to actually supply your animation which is a dynamic"
107200,113600," library as a parameter to the engine right so uh essentially you can have several different"
113600,120480," animations as a pluggable things as plugins right so and that animation engine is responsible for"
120480,126240," previewing your animation for playing stopping and stuff like that and also for rendering final video"
126240,131840," through ffm pack right so the only thing you have to do you have to actually uh develop the dynamic"
131840,137760," library right so uh let's go ahead and just try to do that so the thing that i developed in here is"
137760,142320," called lip plug that is so nothing but you can special so this is the animation and as you can see"
142320,148240," it already plays the sound right so it just simulates it assimilates very simple uh tuning machines"
148240,154320," it's a little bit too bright for my liking honestly so let's actually try to fix that one of the things we"
154320,163600," can do in here uh is essentially go to the uh plug.c and maybe switch the theme right so let's actually"
163600,167760," go ahead and switch the theme uh i'm going to quickly do something like this there we go and"
167760,172800," i'm going to reload the entire thing and continue playing the animation so the point of this framework"
172800,178640," is that everything is like hot reloadable and dynamic and so on and so forth so you can actually tweak"
178640,183920," and adjust like little details of your animation it is very important for the creative process in my"
183920,189120," opinion and it was actually demonstrated to be important when i was developing mutualizer right so"
189120,195760," a lot of technology technology for this specific animation framework was taken from mutualizer right"
195760,201440," so another project that i've made uh you can find it in here so i'm going to actually paste it in here"
201440,207520," so probably it probably makes sense to add it to the description for uh people on youtube if it ever"
207520,212640," gonna be uploaded to youtube right so you can probably hear the sounds i'm not sure if you"
212640,216640," heard them so let me actually make them a little bit louder so let's replay the animation yet again"
216640,221920," yeah you can hear them so they're actually kind of cool i really like the sounds in here so they're"
221920,223680," very very much satisfying"
223680,231760," very cool so and after that what you can do what you can do you can go ahead and try to render this"
231760,237360," entire thing so there's no indication of rendering but you can take a look at the at the logs essentially"
237360,242000," right so they go in the logs you have a back and it's rendering its thing it's trying to render the"
242000,245280," whole animation right i don't know for how long it's going to be maybe it's going to be like"
245280,252480," for like 20 seconds or so we'll see we'll see so while we're waiting i can see people are subscribing so"
252480,255680," let me actually acknowledge the subs uh let me actually acknowledge the subs uh let me actually"
255680,260400," acknowledge the subs so thank you everyone uh for subscribing duality for you thank you so much"
260400,268320," for giving me the message hi hello welcome so valini thank you so much for doing a pug at sodium a pug"
268320,275280," indeed uh so we've already rendered 11 12 seconds right so it's actually really slow right it's not"
275280,280800," rendering in real time right because it takes time to encode stuff and everything and uh as you can see"
280800,286560," right so it rendered the final thing if you take a look at the final thing that it rendered you will notice"
286560,294480," something interesting it doesn't play the sounds right it doesn't play the sounds and this is because"
294480,299920," the sounds are not baked by ffm pack there's a little bit of a weird problem with uh offsetting"
299920,304720," stuff in here but i mean we can fix it a little bit later all right so we can fix all of that a little"
304720,311520," bit later and essentially the reason is how do we even play the sounds how do we even play the sounds"
311520,319360," somewhere in the uh in the state of the plugin in the state of the animation we loaded up the sound"
319360,325600," right so here is the sound uh which is like you know writing a thing into the cell and then somewhere"
325600,330480," along the way when the time is right when the time is right so we're specifically looking for a"
330480,338480," particular position in the animation uh we just issue play sound and it plays the sound through uh through"
338480,344240," ray leap that's what it does it just plays the sound through a relief but the problem is if you are"
344240,351120," rendering the ffm pack just playing it through ray leap is not gonna automagically bake it into ffm pack"
351120,359760," it is not going to do that like at all uh right you have to somehow feed that sound into ffm pack"
359760,365760," uh right so you may think about oh let's just take the audio device and redirect it to the ffm pack and"
365760,373120," stuff like that but like how are you supposed to synchronize it with the frames right because we're"
373120,380160," not rendering the frames at actual uh speed that we're gonna play them we're rendering them as soon"
380160,387280," as we can right and we're just feeding them into ffm pack and we're telling the ffm pack uh right like"
387280,395920," make a video that plays those specific frames that we slowly generated at 60 fps like just capturing"
395920,400720," the audio from the system is not going to be synchronized with that because we're not encoding"
400720,406880," the frames at 60 fps it doesn't make any fucking sense what we need to be doing we need to be also"
406880,414400," feeding feeding feeding the sound feeding that sound into the input ffm pack at the same speed as we're"
414400,419440," feeding the frames so they're synchronizing stuff you know what i'm talking about you know what i'm"
419440,426160," talking about so essentially the way we're doing all of that the way we're doing all of that is when"
426160,431280," we're starting ffm pack we're starting it as a separate process as a child process and we're telling it"
431280,438400," bro uh use your standard inputs use your standard input as a source of the frames as the source of"
438400,446720," the video and expect raw video rgba frames and we're literally generating like a raw uh you know frames and"
446720,454880," just sending them in there we need to do the same with audio we need to tell it okay here is your first"
454880,461360," input your second input from somewhere i don't really know where is going to be raw audio"
461360,469120," expect raw pcm pulse uh you know signal module modulation thingy uh and we're going to be sending"
469120,473440," those things and we're going to be sending those things at the same speed as we send in the frames"
473440,479520," right so essentially we manage to render a frame and then we look okay within this that specific frame"
479520,485280," what kind of uh sound we're going to play and we put also chunk of that sound so we're sending the"
485280,489920," image to the standard input and the chunk of sound for that specific frame we're going to be sending"
489920,496160," into the input for the audio and that's how we're going to synchronize all of that so that's the idea"
496160,503600," so fifa type maybe a fifa time that sounds like a cool idea right so for mutualizer i didn't use this"
503600,509200," kind of stuff because it's a platform specific thing right so but here i don't really care about"
509200,514000," niche operating system for video games right so i'm making a thing for myself and i'm using a real"
514000,520960," operating system for real work so because of that i can use the mechanisms of a real operating system"
520960,527600," right so i think it's totally fine for me to use make fifo in here right so and photoscope doesn't know"
527600,531920," make fifo is actually a pretty cool thing i don't remember if i used that before but we'll see we'll see"
532480,540080," so essentially it creates a special file right so it's it creates like a you know pipe file and uh"
540080,548000," basically your process may create such file and start writing some stuff into that file and then"
548000,554400," you can tell ffmpeg okay read stuff from that file and through that special file our process is going"
554400,561360," to be sending later to ffmpeg and ffmpeg being the dummy it is uh it will think oh it's just a sound file"
561360,567120," but no it's not a sound file it's actually secretly a pipe through which we're sending"
567120,574240," the raw data you know you know you know so that that's basically the idea right so ffmpeg is not"
574240,581360," really dummy right it's a good uh smart software software i think uh right i'm just you know joking around"
581360,588000," so i'm saying that i'm obligated to say that to not get cancelled by ffmpeg twitter okay so"
588000,597680," on the modern internet you are not allowed to joke or say anything but bad about ffmpeg because ffmpeg"
597680,604320," twitter is gonna cancel the out of you for doing so because of that i was joking ffmpeg is a really"
604320,609600," good piece of software it's extremely smart so yeah like i really love it thank you so"
609600,615920," much for providing such a you know important piece of software to me for free i really really appreciate"
615920,626240," that so uh thank you thank you thank you anyways uh so yeah that's pretty cool but here's the interesting"
626240,633360," thing here's an interesting thing uh how does like our plugin system work how are this plugin system"
633360,640400," works so essentially we we split the whole engine into sort of like two things maybe i can draw that"
640400,650720," chat by the way maybe i can actually draw that uh you see this one freaking this one so um where is my thingy"
653360,659520," uh-huh i want to make it a little bit brighter and then um so we have a panium right so this is"
659520,664400," what we have we have a panium which is just an executable right it's simply an executable"
664400,675360," and what it does it works with our animation which is a lib plug plug dot so as so stands for shared object"
675360,681600," so that means it's a dynamic library right so it's an analog of dll right so on windows you have dlls"
681600,687760," um i think on mac os you have dean lib or something like that on linux you have so which is a shared"
687760,692640," object it's shared between several executables and stuff like that so your animation is actually"
