start,end,text
0,19000," Okay. I'm starting recording. Say hi to YouTube."
30000,58000," It's going to be super awkward if nobody actually said it."
58000,67000," Oh, Lonzo said something. Nice. Thank you."
67000,73000," So I'm not completely dead streamer. So yeah."
73000,80000," At least one person actually responded to that. So I'm not completely dead."
80000,89000," So today according to the schedule. Hello, Ron, by the way. Hello, everyone. I'm making tea."
89000,100000," So yeah. Before I start, I want to acknowledge the donations and subs I received while being offline."
100000,109000," Actually, I received so far only one donation from Anonymous. $10, my God. Thanks for the streams, Zosie."
109000,113000," Well, you're welcome. Thank you for watching them. And thank you so much for the $10 donations."
113000,120000," A very, very generous donation. So yeah. Thank you. Thank you so much. Really appreciate it."
120000,130000," So today is what? Today is Sunday, the day of the sun. And today, according to the schedule, we're supposed to be doing a game development."
130000,143000," But today, when I woke up after breakfast, I tried to play with an idea that I wanted to implement for quite some time."
143000,152000," And I actually got hooked up to playing with that idea that I don't know, I kind of want to, I kind of want to work on it on the stream."
152000,164000," And maybe I'm going to move the game development to tomorrow. So today, I'm going to be doing something related to a thing called Emote Jam. Emote Jam."
164000,175000," Right. It's an old project. Well, not old project. It's actually a relatively recent project of mine. So let me put a link to this thing in the description."
175000,184000," Right. And of course, it's completely open source as all of my projects, all of my projects are so far open source."
184000,193000," I'm not completely fed up with open source ideas. So I'm still publishing my source code regardless of anything."
193000,222000," Right. So, yeah, I think my tea is ready. I'm going to quickly pour myself a cup of water and then bring it back."
222000,223000," I'm going to quickly pour myself a cup of water. I'm going to quickly pour myself a cup of water."
223000,224000," I'm going to quickly pour myself a cup of water. I'm going to quickly pour myself a cup of water."
224000,225000," I'm going to quickly pour myself a cup of water. I'm going to quickly pour myself a cup of water."
225000,228000," I'm going to quickly pour myself a cup of water. I'm going to quickly pour myself a cup of water."
228000,229000," I'm going to quickly pour myself a cup of water. I'm going to quickly pour myself a cup of water."
229000,233000," I'm going to quickly pour myself a cup of water. I'm going to quickly pour myself a cup of water."
233000,234000," I'm going to quickly pour myself a cup of water. I'm going to quickly pour myself a cup of water."
234000,235000," I'm going to quickly pour myself a cup of water. I'll quickly pour myself a cup of water."
235000,237000," I'm going to quickly pour myself a cup of water."
252000,258000," I'm going to quickly pour myself a cup of water. I'm going to quickly pour myself a cup of water."
258000,264000," I'm going to quickly pour myself a cup of water. I'm going to quickly pour myself a cup of water."
264000,269000," I'm going to quickly pour myself a cup of water. I'm going to quickly pour myself a cup of water."
269000,273000," You can easily download. And then you can do whatever you want with this GIF."
273000,278000," You can use it in a Discord maybe, or maybe upload it to BTTV."
278000,284000," But primary goal was to actually make them uploadable to BTTV, which is like an extension for Twitch"
284000,289000," that adds animated emotes and stuff like that. It actually adds a lot of different things."
289000,292000," Nobody gives a shit about them. Everybody uses BTTV for emotes."
292000,298000," I'm joking. I'm joking. Of course. It has a lot of useful features."
298000,306000," So, and I allocated a slot for development of Emote Jam on Monday, right?"
306000,310000," But unfortunately, I kind of want to develop this thing today."
310000,314000," So, I think I'm going to swap the slots."
314000,318000," So, today is going to be Emote Jam and tomorrow we're going to continue doing the game development."
318000,325000," So, I have a lot of ideas to extend this website and add more different functionality."
325000,333000," And for that functionality, we'll need to use some sort of a UI framework, like a frontend JavaScript UI framework."
333000,340000," And I really want to keep this entire thing lightweight and sort of like blood-free."
340000,348000," And I was thinking, what about we implement our own UI framework?"
348000,350000," Like it's a very simple one, right?"
350000,356000," So, I'm not suggesting to implement like a whole React or like whole Angular or anything like that."
356000,363000," Because these frameworks are designed to be used in so many like ranges of applications, right?"
363000,366000," They have to be very complicated and very generic."
366000,371000," We need a framework that needs to be used in only our website."
371000,374000," Can we create such a small, simple framework?"
374000,380000," And to be fair, like what UI frameworks like frontend JavaScript frameworks do, right?"
380000,381000," What do they do?"
381000,383000," They just transform DOM, right?"
383000,385000," And DOM is a tree."
385000,391000," So, that means transforming a DOM is as easy as reverting a binary tree."
391000,393000," And anyone can revert a binary tree."
393000,394000," It's a very simple problem, right?"
394000,401000," It's just like, yeah, implementing a frontend framework is as easy as inverting a binary tree."
401000,402000," So, we can do that."
402000,404000," Let's just do that."
404000,405000," So, yeah."
405000,408000," Let's just do that."
408000,411000," And actually, kind of done a similar thing before."
411000,414000," I have a schedule page that is completely useless now."
414000,417000," Well, it says that I'm live now."
417000,421000," Yeah, because I'm still following my schedule, even though on my vacation, right?"
421000,426000," I'm still following my schedule, but I'm doing offline streams instead."
426000,428000," What a pathetic person I am anyway."
428000,434000," So, this schedule actually has a lot of vulnerabilities, as you can see."
434000,441000," But on top of vulnerabilities, it also has like a small, simple framework implemented inside of it,"
441000,444000," which is based like on simple components."
444000,446000," Like for example, we have a countdown."
446000,449000," And countdown implements a UI component."
449000,454000," And yeah, you just basically construct a DOM inside of it."
454000,460000," And it's almost feels like some sort of like, I don't know, not React, because React has a preprocessor."
460000,464000," But, you know, UI framework."
464000,467000," So, can we implement something like that, but for Emote Jam?"
467000,470000," I could have just taken this thing."
470000,474000," I could have just taken this thing and moved it and reused it for Emote Jam."
474000,483000," But I think even this small framework that I developed for my schedule is still a little bit more complicated than it should have been."
483000,487000," I think I can get this kind of thing even simpler."
487000,491000," So, and that's what I want to try to do today."
491000,493000," We're going to just do the entire stream."
493000,497000," It's going to be just UI.js, UI framework experimentation."
497000,498000," Sounds great."
498000,499000," Sounds good."
499000,500000," Sounds Gucci."
500000,502000," Sounds Tamaguchi."
502000,503000," All right."
503000,505000," So, let me put salt into my tea."
505000,509000," And we're going to start."
509000,510000," We're going to start."
510000,511000," We're going to start."
511000,512000," We're going to start."
512000,513000," We're going to start."
513000,518000," All right."
518000,527000," So, support links is, of course, is a thing."
527000,529000," Oh, more people said hello."
529000,531000," You see, I'm not completely dead."
531000,532000," Yes, not a single person."
532000,533000," Actually, two people."
533000,535000," I just needed to give them a little bit more time."
535000,536000," Yes."
536000,537000," Okay."
537000,538000," I see."
538000,539000," Thank you."
539000,540000," Thank you so much for saying hello."
540000,541000," All right."
541000,543000," So, what we're going to call our framework."
543000,547000," To be fair, I don't really know what to call it."
547000,554000," So, maybe the name for this framework will sort of appear later."
554000,557000," Usually, when you don't know how to call something,"
557000,560000," that means you don't have enough information about that thing."
560000,565000," And that means we don't have enough information about our UI framework, right?"
565000,568000," So, to gather more information about our UI framework,"
568000,570000," we need to implement it first, right?"
570000,574000," Once we implement something that works to some extent,"
574000,578000," maybe then we'll have enough information to know how we want to call it."
578000,580000," Well, sounds good to me."
580000,582000," Sounds good to me."
582000,584000," Let's go."
584000,586000," Let's create something like"
586000,589000," JS, UI JS framework, right?"
589000,599000," So, this is going to be the folder in which we're going to do our experimentations, right?"
599000,603000," So, let me actually start Emacs from within this thing."
603000,605000," I'm going to start Emacs from within this thing."
605000,609000," And let's actually start with just an HTML file."
609000,612000," Emacs, why don't you open an HTML file?"
612000,613000," Thank you so much."
613000,614000," Okay."
614000,617000," So, I probably need to switch to HTML mode."
617000,622000," And let's just create a simple HTML document, right?"
622000,627000," So, it has to be something like a doc type HTML."
627000,628000," Right."
628000,630000," So, it's going to be title."
630000,633000," It's not a title, it's head, as far as I know, right?"
633000,635000," It consists of a head and a body."
635000,636000," Right."
636000,639000," So, it's going to be head and a body."
639000,642000," And here, we're going to have a maybe title."
642000,650000," So, the title is going to be JavaScript UI framework."
650000,652000," JavaScript UI framework."
652000,658000," And so, let's actually define some sort of entry point, right?"
658000,662000," At which our UI framework will build itself."
662000,663000," Right."
663000,665000," So, basically, you have a div entry."
665000,669000," So, our UI framework is supposed to like find this thing."
669000,673000," And build its UI inside of that div."
673000,674000," That's going to be the idea in here."
674000,676000," So, this is going to be an entry."
676000,680000," So, and let's actually include that UI framework."
680000,683000," So, it's going to be SRC."
683000,685000," Let's call it UIJS."
685000,686000," Right."
686000,687000," So, it's going to be UIJS."
687000,691000," Yeah, that's a very smart snippet."
691000,692000," What can I say?"
692000,694000," I have a very smart snippet."
694000,696000," So, here is the UIJS."
696000,699000," Let me open it up."
699000,700000," Okay."
700000,706000," So, I suppose we're going to go window on load."
706000,708000," Window on load."
708000,714000," And in here, we're going to try to find the entry point."
714000,718000," For some reason, there's something really wrong with my Emacs."
718000,724000," It doesn't automatically switch to the corresponding mode when I open the corresponding file."
724000,725000," Something broke."
725000,726000," Now it does that."
726000,727000," Okay."
727000,728000," Now it does that."
728000,729000," So, let's actually find the entry point."
729000,730000," And the entry point."
730000,735000," So, it's going to be document get element by ID."
735000,737000," I think this is how it's called."
737000,740000," So, and in our case, it's going to be just entry."
740000,744000," And I think just because this thing has a name entry."
744000,745000," right."
745000,746000," Has a name entry."
746000,752000," It's already available inside of the scope of the JavaScript, if I remember correctly."
752000,757000," We can try to see if it's true or not."
757000,762000," So, let me open this thing up to the two."
762000,763000," What I want you to do."
763000,764000," I want you to take a look at the elements."
764000,765000," So, here's an entry."
765000,769000," And as far as I know, if I try to do something like entry, does it automatically create it?"
769000,770000," Entry."
770000,771000," Yeah, it does."
771000,773000," So, you can automatically refer to this thing."
773000,774000," Okay."
774000,777000," So, all right."
777000,778000," Maybe we don't even have to do that."
778000,784000," So, I can do something like console entry to indicate that we have this entire thing."
784000,788000," And of course, I need to include the script in here."
788000,789000," There we go."
789000,792000," So, here is the entry."
792000,793000," Isn't that amazing?"
793000,798000," So, the entire idea that I have for my framework revolves around a simple function."
798000,802000," So, it's not going to be one of these frameworks that has a lot of classes and stuff like that."
802000,803000," Everything is going to be a function."
803000,805000," It's like a functional programming framework."
805000,806000," Yes."
806000,807000," Yes."
807000,813000," How can you claim that you're doing a functional programming if you're using classes?"
