start,end,text
0,15600," Oh my god, I can see myself, hello everyone and welcome to yet another Zuzian session I hope the"
15600,22240," mic is not too loud and let's make a little bit of an announcement let's make a little bit of an"
22240,33680," announcement on our discord server so this is going to be actually a red circle live on twitch"
33680,43120," and what we're doing today is we're adding support for the string literals for our compiler okay so it's"
43120,54080," going to be https twitch twitch.tv/zodin and it's going to be pinged there we go so that's what we're"
54080,62000," doing today and we continue to develop our language which is called port which is basically forth but"
62000,69120," implemented in python it's not really forth it's more of a like inspired by forth but it's implemented"
69120,77760," in python nonetheless um so uh you can find the source code of this language in the description"
77760,85200," if you're watching on youtube or if you're watching on twitch you can find uh this thing in the in the"
85200,92080," chat so all right let's take a look at this entire thing in the previous stream uh we added uh we actually"
92080,99840," sort of uh proved and confirmed that the language is uh tiering complete by implementing rule 110"
99840,107120," right so this is how rule 110 looks like in a in this language and let's take a look if it works or not"
107120,113680," hello everyone hello uh bitstream supini knuffly i could do hello hello welcome welcome everyone"
113680,120720," so uh let me take a look so this is going to be port and i think i already fetched the latest changes"
120720,129840," uh so i'll just do fetch from origin uh to to the two and uh yeah so if i try to compile and"
129840,137600," simultaneously run uh rule 110 uh there you go it actually prints the uh you know very famous rule"
137600,144240," 110 pattern so i also realized that i forgot to put something behind my camera so i usually do the"
144240,150960," following thing where i just uh get the floating window and put it behind my camera so every time"
150960,156800," there's something behind my camera it's not visible not only for you but also for me so i know how to"
156800,163360," adjust everything on my screen uh linda braga thank you so much for thank you so much for 10 months of"
163360,169360," twitch prime substitution thank you thank you thank you and welcome to our epic rule 110 club all right"
169360,175920," so our language is actually very powerful uh it is turing complete that means you can do whatever you"
175920,181360," can uh in other languages right so it's not particularly convenient but you can do a lot of"
181360,188000," things in it right so and we're going into a phase of developing like more quality of life features"
188960,196080," and uh one of the things that we're missing in our language is uh string literals there's literally"
196080,202560," no string literals and if you want to write something like hello world uh in this language you'll have to"
202560,211360," do it like this uh right so uh you literally have to like character by character copy the hello world message"
211360,216880," into the memory and then call the right syscall and as you can see here we're just character by character"
216880,225120," copying uh you know the the message and it is not really uh convenient right so i think the time has"
225120,232800," has finally come to implement some sort of a support for string literals right so the question is how"
232800,238880," string literals are going to be implemented in this specific language this is actually a very good question"
238880,245520," this is a stack based language just like uh fourth and fourth does also support string literals but it"
245520,253600," supports them in a really weird way so there is like a separate word dot quote uh that sort of starts"
253600,259920," um you know parsing of this string or something like that i never understood how like string literals work"
259920,265920," in fourth and i don't i don't know i don't want to implement them like this uh what i want to have is"
265920,273680," essentially you just put a string literal like this uh like you would do in any other language and that"
273680,280320," essentially pushes the address of the beginning of that string to the stack so basically doing something"
280320,285760," like this is similar to doing something like this right when you put a number it pushes that number"
285760,292800," to the stack but and when i put a string in here it will put the um the address of that shrink on the"
292800,298640," stack as well right so and the string itself is going to be located somewhere in the in the static memory"
298640,302720," right so every time you write something like this it will reserve a little bit of space and static"
302720,307280," memory and we'll just put it there and this is going to be the command to put the address uh onto the"
307280,311840," stack so you can do i don't know like write operation on the center i think if you know what i'm talking"
311840,319520," about uh hello monosome hello thrash five supinic for and sell four 12 step hello hello everyone how are you"
319520,329440," guys doing so um yeah but here is an interesting thing uh quite often we not only need to know the um"
329440,336320," the address of the beginning of the string but we also need to know the size of the string so we need"
336320,342320," some sort of a way to know the size of the string and primarily we need that for write sys calls right"
342320,348800," if you take a look at the write sys call uh in linux specifically or in posix generally i would say"
348800,354160," uh it accepts three arguments it accepts the file descriptor basically where you want to"
354160,360480," print that string then the beginning of the string and then the size of the string right so to be able to"
360480,367440," write uh strings with the right sys call we need to know its size right and i was thinking how can we"
367440,376640," implement that um so and uh i came to a conclusion that maybe when you provide the string literal it not"
376640,384800," just pushes the address on uh onto the stack it will first push the size of the string right so it's"
384800,390880," going to be the size of the string and then the address so a single operation pushes two things"
390880,396720," onto the stack simultaneously the size of the address and the address of the cell not the size"
396720,403760," of the address the size of the string and the address itself right that way uh then you can provide the"
403760,412400," stdin um and uh then the number of the syscall and then you can perform the syscall uh to syscall right"
412400,418560," right and the entire hello world is going to look like this right so um because the first thing that"
418560,424000," you have to put on the stack is the size of the string then uh the string itself then the standard"
424000,429280," input so essentially like this but in reversed order because it's a stack-based language right so"
429280,434560," because uh of course is this like based the first thing has to be this and then this and then this"
435520,442480," so to achieve this sort of look look and feel uh of the right syscall i think uh we're gonna make"
442480,448880," string literals to actually push two things on the stack instead of one does it make sense um right i"
448880,454560," think i think it's a relatively good solution right so you simultaneously get the size of the string and"
454560,460800," the string itself and if you don't need it um i don't know maybe you can do something like swap uh which"
460800,466800," will swap the size of the string in that dress and then just drop this entire thing and you get only"
466800,471840," uh only the string but uh you don't know its size quite often you would need the size of the string"
471840,478080," so to you know to do boundary checks um yeah it's actually a good point like quite often you do need"
478080,485520," the size of the size of the string so it makes sense to actually you know have it in here uh does it make"
485520,494560," sense um is forth a low level language it's pretty low level as far as i know"
499360,509040," um okay so let's go ahead and implement this entire thing i suppose um unfortunately uh we'll have to do"
509040,518320," um a lot of refactoring not a lot of refactoring but uh enough refactoring to the way we parse"
518320,526320," everything because our lexor is not really designed to uh work to support string literals at all"
527120,532880," so and one of the interesting problems that we have right now is that we don't have a separation"
