start,end,text
0,5000," Hello everyone and welcome to yet another recreational programming session with Mr."
5000,11420," Zozin. So the topic of today's stream is Newton's method. Have you heard about that one? Right,"
11420,18320," so specifically we're talking about Newton Raphson method, right? So because in a pre-stream,"
18320,23060," in a pre-stream time, we actually had people who are not sure what kind of methods I'm talking"
23060,28600," about, but since I'm a dumb person, dumb, uneducated, ignorant person, the only Newton"
28600,34360," method I know is this one, right? And it's actually a pretty cool method, I gotta tell you, it's"
34360,41080," actually a pretty cool method. So because it's kind of reminiscent of gradient descent, it's kind of"
41080,46660," like a gradient descent, the famous algorithm that actually powers the artificial intelligence in"
46660,53640," machine learning. And it was invented, I think, in the 70th century, I think it was. Where is the"
53640,62780," history of this shit? Yeah, it's basic, it's 17th century. Was Newton doing AI in 17th century? Holy"
62780,70960," fucking shit! Okay, so, but anyway, so this algorithm is actually very useful for finding roots of"
70960,78480," functions. Do you guys know what the fuck are roots of functions? Do you guys know what the fuck are"
78480,83600," roots of functions? So let's actually take a look at that. So essentially, if you have function f,"
83600,90080," f of x, right? So the root of function, people say yes, mods ban everyone, they're going to be"
90080,99600," spoiling them, I'm joking. So the root of a function f is such, I suppose, xr for which the function is equal"
99600,108700," equal to zero. That is the root of the function, right? And how do you use Newton's method to actually"
108700,120080," find such, like, x of r, right, xr, that actually turns f into zero? So you start with some sort of"
120080,125820," approximation, let's actually call it x zero, right? So this is some sort of approximation. And then"
125820,134120," you iteratively, you iteratively update that approximation with this formula, right? You"
134120,142000," subtract f of x zero divided by f prime x zero, which is derivative of the function. So you need to"
142000,146980," find the derivative of this function, right? So we can actually write it. So x of one is going to be x"
146980,156600," 0. Subtract f of x of zero divided by derivative of this entity, I think. And you get x1. And then you"
156600,162860," repeat that to get the next approximation, replacing x zero with x1, and so on and so forth, right? So"
162860,171520," essentially, you can do that limited amount of iterations, right? So a finite amount of iteration"
171520,179720," until you get f to maybe some sort of epsilon, right? So you have some sort of like it iteration."
179720,187840," And you can keep doing that. You can keep doing that until x of i is less or equal some sort of"
187840,193320," epsilon e, right? So maybe let's call it APS. And we can pick something like, I don't know, maybe,"
193320,199060," you know, 10 to the power of minus three or something like that. It doesn't really matter. Depending on"
199060,204960," on your application, you can do different kind of things. So and like, what is it useful for? For"
204960,213760," instance, it's a very common algorithm of computing square roots, right? So how can you compute a square"
213760,224640," root? What is a square root, right? So security x, right? What is security x? So let's go ahead and"
224640,233880," just assign that as security x to some sort of value a. So it is such a value a that if you rise it to the"
233880,240020," power of two, it is going to be equal to x. Did I get it correctly? Right? So did I get it correctly?"
240020,245720," So if you rise square root of x to the power of two, right, by the definition of square root,"
245720,251860," right, by the definition of square root, you get x back, right? So that's basically the definition of"
251860,261100," this entire thing. So, and essentially, you can turn this into function, into such function for which"
261100,270540," a is going to be a root, a.k.a. the value of that thing is going to be equal to zero, right? So how can"
270540,280740," you do that? Let's imagine that you have a function f of a, right? So an a squared minus x is such"
280740,292520," function. It is such function, right? So if you put f security x in here, you're going to end up, you're going"
