start,end,text
0,29980," We'll see you next time."
30000,59980," We'll see you next time."
60000,89980," We'll see you next time."
90000,119980," We'll see you next time."
120000,149980," We'll see you next time."
150000,179980," We'll see you next time."
179980,209960," We'll see you next time."
209960,239940," We'll see you next time."
239940,269920," We'll see you next time."
269920,299900," We'll see you next time."
299900,329880," We'll see you next time."
329880,359860," We'll see you next time."
359880,389860," We'll see you next time."
389860,419840," We'll see you next time."
419840,449820," We'll see you next time."
449820,479800," We'll see you next time."
479820,509800," We'll see you next time."
509820,539800," We'll see you next time."
539820,569800," We'll see you next time."
569800,599780," We'll see you next time."
599780,629760," We'll see you next time."
629760,659740," We'll see you next time."
659740,689720," We'll see you next time."
689720,719700," We'll see you next time."
719700,749680," We'll see you next time."
749680,779660," We'll see you next time."
779660,809640," We'll see you next time."
809640,839620," We'll see you next time."
839620,869600," We'll see you next time."
869600,899580," We'll see you next time."
899580,929560," We'll see you next time."
929560,959540," We'll see you next time."
959540,989520," We'll see you next time."
989520,1019500," We'll see you next time."
1019500,1049480," We'll see you next time."
1049500,1079480," We'll see you next time."
1079480,1109460," We'll see you next time."
1109460,1139440," We'll see you next time."
1139440,1169420," We'll see you next time."
1169420,1199400," We'll see you next time."
1199400,1229380," We'll see you next time."
1229380,1259360," We'll see you next time."
1259360,1289340," We'll see you next time."
1289340,1319320," We'll see you next time."
1319320,1349300," We'll see you next time."
1349300,1379280," We'll see you next time."
1379280,1409260," We'll see you next time."
1409260,1439240," We'll see you next time."
1439240,1469220," We'll see you next time."
1469220,1499200," We'll see you next time."
1499200,1529180," We'll see you next time."
1529180,1559160," We'll see you next time."
1559160,1589140," We'll see you next time."
1589140,1619120," We'll see you next time."
1619120,1649100," We'll see you next time."
1649100,1679080," We'll see you next time."
1679080,1709060," We'll see you next time."
1709060,1739040," We'll see you next time."
1739060,1769040," We'll see you next time."
1769040,1799020," We'll see you next time."
1799020,1829000," We'll see you next time."
1829000,1858980," We'll see you next time."
1858980,1888960," We'll see you next time."
1888960,1918940," We'll see you next time."
1918940,1948920," We'll see you next time."
1948920,1978900," We'll see you next time."
1978900,2008880," We'll see you next time."
2008880,2038860," We'll see you next time."
2038860,2068840," We'll see you next time."
2068840,2098820," We'll see you next time."
2098820,2128800," We'll see you next time."
2128800,2158780," We'll see you next time."
2158780,2188760," We'll see you next time."
2188760,2218740," We'll see you next time."
2218740,2248720," We'll see you next time."
2248720,2278700," We'll see you next time."
2278700,2308680," We'll see you next time."
2308680,2338660," We'll see you next time."
2338660,2368640," We'll see you next time."
2368640,2398620," We'll see you next time."
2398620,2428600," We'll see you next time."
2428600,2458580," We'll see you next time."
2458580,2488560," We'll see you next time."
2488560,2518540," We'll see you next time."
2518540,2548520," We'll see you next time."
2548520,2578500," We'll see you next time."
2578500,2608480," We'll see you next time."
2608480,2638460," We'll see you next time."
2638460,2668440," We'll see you next time."
2668440,2698420," We'll see you next time."
2698420,2728400," We'll see you next time."
2728400,2758380," We'll see you next time."
2758380,2788360," We'll see you next time."
2788360,2818340," We'll see you next time."
2818340,2848320," We'll see you next time."
2848320,2878300," We'll see you next time."
2878300,2908280," We'll see you next time."
2908280,2938260," We'll see you next time."
2938260,2968240," We'll see you next time."
2968240,2998220," We'll see you next time."
2998220,3028200," We'll see you next time."
3028200,3058180," We'll see you next time."
3058180,3088160," We'll see you next time."
3088160,3118140," We'll see you next time."
3118140,3148120," We'll see you next time."
3148120,3178100," We'll see you next time."
3178100,3208080," We'll see you next time."
3208080,3238060," We'll see you next time."
3238060,3268040," We'll see you next time."
3268040,3298020," We'll see you next time."
3298020,3328000," We'll see you next time."
3328000,3357980," We'll see you next time."
3357980,3387960," We'll see you next time."
3387960,3417940," We'll see you next time."
3417940,3447920," We'll see you next time."
3447920,3477900," We'll see you next time."
3477900,3507880," We'll see you next time."
3507880,3537860," We'll see you next time."
3537860,3567840," We'll see you next time."
3567840,3597820," We'll see you next time."
3597820,3627800," We'll see you next time."
3627800,3657780," We'll see you next time."
3657780,3687760," We'll see you next time."
3687760,3717740," We'll see you next time."
3717740,3747720," We'll see you next time."
3747720,3777700," We'll see you next time."
3777700,3807680," We'll see you next time."
3807680,3837660," We'll see you next time."
3837660,3867640," We'll see you next time."
3867640,3897620," We'll see you next time."
3897620,3927600," We'll see you next time."
3927600,3957580," We'll see you next time."
3957580,3987560," We'll see you next time."
3987560,4017540," We'll see you next time."
4017540,4047520," We'll see you next time."
4047520,4077500," We'll see you next time."
4077500,4107480," We'll see you next time."
4107480,4137460," We'll see you next time."
4137460,4167440," We'll see you next time."
4167440,4197420," We'll see you next time."
4197420,4227400," We'll see you next time."
4227400,4257380," We'll see you next time."
4257380,4287360," We'll see you next time."
4287360,4317340," We'll see you next time."
4317340,4347320," We'll see you next time."
4347320,4377300," We'll see you next time."
4377300,4407280," We'll see you next time."
4407280,4437260," We'll see you next time."
4437260,4467240," We'll see you next time."
4467240,4497220," We'll see you next time."
4497220,4527200," We'll see you next time."
4527200,4557180," We'll see you next time."
4557180,4587160," We'll see you next time."
4587160,4617140," We'll see you next time."
4617140,4647120," We'll see you next time."
4647120,4677100," We'll see you next time."
4677100,4707080," We'll see you next time."
4707080,4737060," We'll see you next time."
4737060,4767040," We'll see you next time."
4767040,4797020," We'll see you next time."
4797020,4827000," We'll see you next time."
4827000,4856980," We'll see you next time."
4856980,4886960," We'll see you next time."
4886960,4916940," We'll see you next time."
4916940,4946920," We'll see you next time."
4946920,4976900," We'll see you next time."
4976900,5006880," We'll see you next time."
5006880,5036860," We'll see you next time."
5036860,5066840," We'll see you next time."
5066840,5096820," We'll see you next time."
5096820,5126800," We'll see you next time."
5126800,5156780," We'll see you next time."
5156780,5186760," We'll see you next time."
5186760,5216740," We'll see you next time."
5216740,5246720," We'll see you next time."
5246720,5276700," So, we'll see you next time."
5276700,5306680," We'll see you next time."
5306680,5336660," We'll see you next time."
5336660,5366640," We'll see you next time."
5366640,5396620," So, we'll see you next time."
5396620,5426600," We'll see you next time."
5426600,5456580," We'll see you next time."
5456580,5486560," We'll see you next time."
5486560,5516540," We'll see you next time."
5516540,5546520," We'll see you next time."
5546520,5576500," We'll see you next time."
5576500,5606480," We'll see you next time."
5606480,5636460," So, we'll see you next time."
5636460,5666440," We'll see you next time."
5666440,5696420," We'll see you next time."
5696420,5726400," We'll see you next time."
5726400,5756380," We'll see you next time."
5756380,5786360," We'll see you next time."
5786360,5816340," We'll see you next time."
5816340,5846320," We'll see you next time."
5846320,5876300," We'll see you next time."
5876300,5906280," We'll see you next time."
5906280,5936260," We'll see you next time."
5936260,5966240," We'll see you next time."
5966240,5996220," We'll see you next time."
5996220,6026200," We'll see you next time."
6026200,6056180," We'll see you next time."
6056180,6086160," We'll see you next time."
6086160,6116140," We'll see you next time."
6116140,6146120," We'll see you next time."
6146120,6176100," We'll see you next time."
6176100,6206080," We'll see you next time."
6206080,6236060," We'll see you next time."
6236060,6266040," We'll see you next time."
6266040,6296020," We'll see you next time."
6296020,6326000," We'll see you next time."
6326000,6355980," We'll see you next time."
6355980,6385960," We'll see you next time."
6385960,6415940," We'll see you next time."
6415940,6445920," We'll see you next time."
6445920,6475900," We'll see you next time."
6475900,6505880," We'll see you next time."
6505880,6535860," We'll see you next time."
6535860,6565840," We'll see you next time."
6565840,6595820," We'll see you next time."
6595820,6625800," We'll see you next time."
6625800,6655780," We'll see you next time."
6655780,6685760," We'll see you next time."
6685760,6715740," We'll see you next time."
6715740,6745720," We'll see you next time."
6745720,6775700," We'll see you next time."
6775700,6805680," We'll see you next time."
6805680,6835660," We'll see you next time."
6835660,6865640," We'll see you next time."
6865640,6895620," We'll see you next time."
6895620,6925600," We'll see you next time."
6925600,6955580," We'll see you next time."
6955580,6985560," We'll see you next time."
6985560,7015540," We'll see you next time."
7015540,7045520," We'll see you next time."
7045520,7075500," We'll see you next time."
7075500,7105480," We'll see you next time."
7105480,7135460," We'll see you next time."
7135460,7165440," We'll see you next time."
7165440,7195420," We'll see you next time."
7195420,7225400," We'll see you next time."
7225400,7255380," We'll see you next time."
7255380,7285360," We'll see you next time."
7285360,7315340," We'll see you next time."
7315340,7345320," We'll see you next time."
7345320,7375300," We'll see you next time."
7375300,7405280," We'll see you next time."
7405280,7435260," We'll see you next time."
7435260,7465240," We'll see you next time."
7465240,7495220," We'll see you next time."
7495220,7525200," We'll see you next time."
7525200,7555180," We'll see you next time."
7555180,7585160," We'll see you next time."
7585160,7615140," We'll see you next time."
7615140,7645120," We'll see you next time."
7645120,7675100," We'll see you next time."
7675100,7705080," We'll see you next time."
7705080,7735060," We'll see you next time."
7735060,7765040," We'll see you next time."
7765040,7795020," We'll see you next time."
7795020,7825000," We'll see you next time."
7825000,7854980," We'll see you next time."
7854980,7884960," We'll see you next time."
7884960,7914940," We'll see you next time."
7914940,7944920," We'll see you next time."
7944920,7974900," We'll see you next time."
7974900,8004880," We'll see you next time."
8004880,8034860," We'll see you next time."
8034860,8064840," We'll see you next time."
8064840,8094820," We'll see you next time."
8094820,8124800," We'll see you next time."
