start,end,text
880,5920," looks like we're live uh hello everyone and welcome to yet another azuzin session"
5920,12160," i hope you can hear me well so i'm probably too a little bit far away from my mic"
12160,15920," uh let's let's make a little bit of an announcement and officially start the stream"
15920,29440," uh so of course discord um okay that's cool uh red circle live on twitch and what are we doing"
29440,37840," today on twitch.television uh we're doing uh graphics and see on linux without opengl isn't"
37840,43760," that exciting i hope it sounds exciting exciting enough that you will click on that stream and watch"
43760,52560," an epic software development with zozin uh didn't pink anyway so i just wanted to ping everyone who's"
52560,58880," interested in being pinged and there we go the stream has been officially started has been officially"
58880,65360," forwarded so today uh we're going to continue developing olivets which is um a graphics"
65360,69520," library that we've been developing for quite some time i think like three or four months already"
69520,74480," uh right so you can find this thing in here and i'm going to also put that in the description i"
74480,80720," think i forgot to prepare my description file for today's stream yeah i did in fact forget to do that"
80720,92480," so zero seven uh 12 2022 right so this is references and uh this is the source code right and also"
92480,100240," usually put some sort of a title in here so i can later go back and recall uh what stream this thing"
100240,108800," belongs to there we go all right so uh yesterday we were working on bilinear interpolation uh that's"
108800,115280," right so if we take a look at one of the examples right so let me rebuild demos specifically squish"
115280,123440," demo for sdl right so i'm building very specific demo and if i run this specific demo uh like so"
123440,131680," uh you will notice right so that we have this pixelated situation going on even though uh it kind"
131680,138800," of sort of anti-aliased but it's anti-aliased with huge pixels this is because in reality it's not anti-aliased"
138800,145200," and anti-aliasing comes from the image itself it's the image itself that provides anti-aliasing but"
145200,151600," it's not enough when you actually stretch it so it still looks a bit pixelated uh on the previous"
151600,158560," stream we explored how to do so-called bilinear interpolation that allows you to um you know smooth"
158560,163360," it out smooth the pixels out so let's actually see how it's going to look like if we enable the"
163360,170560," bilinear interpolation so if we take a look at demo and uh take a look at the squish and here we just do"
170560,178800," blend uh but if we do copy bilinear i think this is how i do that and then i rebuild this specific"
178800,185760," example super quick and then just run the specific example uh you will notice that it's not uh like"
185760,191920," it's much smoother now right all of the lines are sort of like interpolated and stuff right so you can"
191920,200160," see how smooth it is now right and uh we did that specifically for rectangular textures right"
200160,207200," specifically for rectangular textures but uh what's interesting is that um when i was when i'm"
207200,214880," developing this library there's two kinds of functions that start to emerge during developing this library"
214880,221520," rectangular functions that work with specifically access aligned boundary box right rectangles that are not"
221520,228560," rotated right so they're uh their uh boundaries are access aligned right and another kind of functions"
228560,235520," the ones that work with triangles right and they kind of like have a lot of symmetry between them"
235520,242480," right they have a lot of symmetry like one stuff that is implemented for rectangular functions it's also"
242480,250080," have like a analog in the triangular ones and this is one of those situations right this is one of the"
250080,257120," the situation we implemented by linear interpolation only for the aabbs uh but now uh we also have"
257120,264480," triangles that also can do the textures for instance if i do triangle tech um i think triangle tech 3d i think"
264480,273360," something like this um don't quite remember so i think uh i don't have everything built at 3d tech"
274000,282560," right it's called 3d tech sdl right as you can see uh here we have a textured triangle right so a texture"
282560,289440," triangle but you can see that uh it is not properly interpolated it's actually kind of cool since it's in 3d"
289440,298080," space um their pixels are sort of distorted you can see that their pixels are sort of like these diamonds uh"
