start,end,text
0,5920," Hello everyone and welcome to yet another recreational programming session with Mr. Azuzin."
5920,12760," So we're developing this 3D engine, right? Old school 3D engine. And recently we implemented"
12760,19580," walls and ceiling and floor and stuff like that. It's pretty cool. Off screen I added a little bit"
19580,25540," of a fog so it looks a little bit creepy. Look, there's something like in a distance. Imagine it's"
25540,32480," just like jump scares into you. But I'm not really a big fan of jump scary games, jump scary horror"
32480,39260," games. I actually kind of prefer atmospheric horror games but without jump scares. I think they're more"
39260,44960," scary in that sense. So the ones that sort of build up the pressure but never actually sort of release"
44960,49060," it in the form of a jump scare leaving you blue balled if you know what I'm talking about. So I kind"
49060,55500," of like this kind of stuff. I like the games that blue ball you. So yeah and as you can notice it's"
55500,60960," like a dog shed slow engine honestly. It's a dog shed slow engine and this is going to be the topic"
60960,67020," of today's stream. We're going to try to optimize it a little bit. So it's completely written in"
67020,72460," JavaScript. In fact it's written in TypeScript but TypeScript is just a linter so effectively it is"
72460,78900," written in JavaScript. So the easiest way to optimize this entire thing would be to implement it in a"
78900,85400," proper programming language like for example C and compile it to WebAssembly. But there is a reason"
85460,92020," why I don't really want to go into C right now. I'm going to leave it as a plan B if none of my"
92020,98120," optimizations will work. I will consider rewriting it in C. But the reason why I don't want to do that"
98120,107820," is because it's going to overcomplicate the project. So look right now the entirety of the project is"
107820,113400," written in a single language. Well technically it is written in two languages JavaScript and TypeScript"
113400,119160," but TypeScript is actually very thin you know linter on top of JavaScript so I cannot consider them like a"
119160,125060," single language. So the whole setup is very simple right. So you can install it very easily on any"
125060,130000," operating system. It's going to work on Linux. It's going to work on Windows, on Mac OS right. So some"
130000,134760," people already tried to set up this entire thing on Windows. It worked fine. It had a little bit of"
134760,141960," problems but we figured out what was the problem. We fixed it. So if I write like a performance critical part"
141960,150680," in C and compile to WebAssembly that means to the entirety of the setup I need to add clang and I"
150680,157160," also need to create a build system that is going to first compile the WebAssembly right. So then I need"
157160,162680," to write a little bit of a glue code that connects the JavaScript part and the C part and I think about"
162680,167880," WebAssembly if you're using WebAssembly in the browser you can never get rid of JavaScript. WebAssembly"
167880,175560," does not replace JavaScript. It just doesn't right. So there is some sort of hope that in the future"
175560,180280," right it's somehow magic is going to replace JavaScript but we had that hope since the"
180280,184680," beginning of the WebAssembly and WebAssembly exists for how many years like it never materialized and"
184680,189400," we don't see when it's going to materialize so it's probably never going to happen so you're always"
189400,195400," probably going to have like some sort of JavaScript to just like tie together the native part and the"
195400,204280," JavaScript. All right so adding C just over complicates things. It would be way cooler if I could achieve a"
204280,212200," performance boost without adding additional moving parts to the project and this is exactly what I want to"
212200,219400," try to do today. Luckily as of right now there is a few low-hanging fruits in terms of performance in"
219400,225960," this particular project. The thing is that I was trying to get something working so I was implementing"
