start,end,text
640,6640," looks like we're live hello everyone and welcome to yet another recreation programming session with"
6640,11280," mr zozin so let's make a little bit of announcement and officially start the stream so red circle"
11280,18000," uh live on twitch and what are we doing today on twitch.at television website"
18000,24400," today we're checking out a thing called uxn right i don't know i don't really know what it is but uh"
24400,29520," this is something that been on my to-do list for quite some time because people talked about it so"
29520,32720," that's what we're going to be checking out today i'm going to give the link to where we're doing all"
32720,37040," that which.tv/studying and i'm going to ping everyone who's interested in being pinged and there we go this"
37040,43440," stream has officially started the stream has officially studied so today we're checking out uh"
43440,52400," the uxn uh var vara ecosystem um for like a personal computer thing so uh yeah it's a personal computing"
52400,58320," stack based on a small virtual machine that lies at the heart of our software and that allows us to run"
58320,63680," the same application on a variety of systems so somebody suggested this to check this thing out"
63680,69680," quite some time ago and then after that uh several people as well mentioned this thing so it must be"
69680,75440," something interesting uh i'm going to leave the link here in the chat and of course for people on"
75440,79200," youtube i'm going to put it in the description so i think i forgot to prepare the description so let me"
79200,89600," quickly do that uh uxn and a uxn so it's a small virtual machine right so it's quite quite interesting"
89600,95440," uh it's designed with implementation first mindset uh so the link goes into some sort of like a"
95440,101840," article or whatnot uh it is tailored to a specific need for hosting graphical applications but it's entirely"
101840,109600," open and welcome anyone to adapt as a release target uxn is programmable in its own unique language uh right"
109600,118080," uxn tall uh so what's that tall is a programming language for uxn virtual machine uh uxn programs"
118080,127200," uh are written in a stack based ah i see what okay people i guess this thing was suggested around the time i was"
127200,133200," making port right so people saw me doing a like a stack based virtual machine oh you might be interested"
133200,140000," in this another thing okay okay i see i see what's going on and it's literally fourth okay okay okay okay"
140000,146560," okay i see i see it's it's it's okay that's very interesting all right all right uh so and the"
146560,155040," distribution of uxn programs is akin to sharing game roms for classical console emulators oh and that is"
155040,160960," already fucking interesting so it kind of reminds me of pico 8 i think uh so there was a thing like a"
160960,167440," pico 8 uh which is also like that but it's like a fantasy console yeah it's a fantasy console and on"
167440,174480," top of that it's actually paid software you have to buy this uh to use this thing i suppose is free and"
174480,181520," open source right so i think i even did pico 8 stream i think i even still have a license since the"
181520,186000," times i was able to pay for this kind of so maybe we're gonna do another pico 8 stream at some point"
186000,192160," so i think i think i need to uh make a reminder to do another pico 8 stream because the the the previous"
192160,198400," one was actually kind of cool uh right so let me actually put that in here so yeah sort of like a"
198400,204800," pico 8 but in pico 8 you program in lua so essentially you're using lua virtual machine technically"
205360,212560," uh right and the roms are distributed through png files pico 8 is kind of weird in that sense right"
212560,220320," i don't do not fully understand it but it is what it is um so um so console emulator learn blah blah blah"
220320,226080," so desktop version so you have to run uxn programs you will need an emulator that works on your system"
226080,232320," below are links to emulators for major operating systems and for more obscure environments uh okay so"
232320,238800," we have a linux uh linux emulator so let me actually download it all right let's go let's go my new"
238800,244480," friend we're uh onto an adventure we're going onto an adventure so i'm going to just like w get this"
244480,251680," i hope it's not that very big so it's 101 kilobytes so let's do the unboxing right so what's the unboxing"
251680,256480," experience that was fast right so that's actually pretty fast so we have a bunch of roms"
257120,266000," uh and sims and those are binary files and i suppose these are executable files you have uxn"
266000,275280," awesome uxn uh cli uxn emulator so i suppose this is an emulator right so uxn i want to type unix right"
275280,281920," so this is the first reflex i have uh uxn emo it's actually executable right so if you take a look at the"
281920,289920," elf uh right so in terms of dependencies what does it depend on holy shit okay okay okay"
289920,297280," so it's a full-fledged sdl2 application all right all right all right all right okay so let's actually"
297280,303040," see so you're supposed to provide the rom what kind of rom can we provide in here so is there some okay so"
303040,321360," there's a calculator so there's a there's a tiny tiny little cursor in here how can i make it bigger"
321360,325840," how can i make it bigger okay what's that um"
329120,337760," so there is some sort of a sound right so there is some sort of a sound why is it constantly going"
337760,342400," uh all right"
342400,345680," it's kind of weird"
350320,359200," i i have no idea what that is but that is so bizarre that is so bizarre um"
359200,369760," so uh what are the things we uh we have in here uh so we probably have orca all right so what the"
369760,379760," what the fuck is orca what am i looking at"
379760,382080," well"
382080,384800," uh"
384800,394640," so there's menus and shits what the fuck is this what the fuck how do i write shit for this"
396240,403920," uh is this some sort of a game uh this might be a game um so"
403920,408880," cat clock so there's a cat clock"
408880,410080," uh"
410080,416080," yo look at that look at that"
416080,423760," can your stinky javascript with react do that i don't fucking think so"
424560,427040," eat that react people eat that"
427040,438240," um so yeah that's pretty cool um how can we okay so that's cool you have virtual machine you have roms"
438240,443520," how can i write for this thing so this this is the really interesting question so"
443520,450720," oh it comes from the this is a windows xp isn't it so it's an old project"
451600,455040," so it's a straight up old project from like windows xp times"
455040,465680," what the fuck what an actual fuck all right so uxian guide uh the same uxian room can be used on"
465680,469520," variety of desktop computers on tiny this is actually a pretty cool idea honestly"
470400,475840," this is actually a pretty cool idea right so you have like a small virtual machine and you can distribute"
475840,480960," i mean it's a basically like jvm at that point but it's a sort of like a recreational machine"
480960,487760," and do i understand correctly that they oh my god so they have like a headway implementations of this thing"
487760,495680," don't they uxian can also run on classic consoles and on all electronics okay currently there are ports uh not all are complete"
496240,504160," so but so the the emulator is small enough to run on like old consoles and that is very interesting"
504160,510000," actually that is very interesting but is it possible to like make an actual hardware of that virtual machine"
510000,517520," so right the thing about pico 8 is that it's a fantasy console but you can't really implement like a"
517520,521680," hardware version of this thing right because it's a pretty complex thing by itself"
522320,530000," um right maybe uxian is such a small simple machine that you can literally implement it on hardware"
530000,534320," without emulator but i don't really know so maybe i just need to read some documentation and stuff"
534320,542960," um so doublet the microcontrollers they least don't include fpga chips oh okay so that's that's very"
542960,546720," interesting so you already you guys are already looking into this thing right you're already looking"
546720,554640," into this thing i'm interested in like a programming part of this stuff uh uxian guide so uxian guide our"
554640,561040," general purpose so this is how you build this thing maybe we should look into the programming language"
561040,568240," right so there's some sort of a book uh right some sort of a book uh you can see a stack-based flavor"
569120,575280," of assembly designed specifically for this virtual machine tal files are human readable source files"
575280,581360," rom files are uxian compatible binary program files applications that transform tile files into rom files"
