start,end,text
0,29980," Thank you."
30000,59980," Thank you."
60000,89980," Thank you."
90000,119980," Thank you."
120000,149980," Thank you."
150000,179980," Thank you."
180000,209980," Thank you."
210000,239980," Thank you."
240000,269980," Thank you."
270000,299980," Thank you."
300000,329980," Thank you."
330000,359980," Thank you."
360000,389980," Thank you."
390000,419980," Thank you."
420000,449980," Thank you."
450000,479980," Thank you."
480000,509980," Thank you."
510000,539980," Thank you."
540000,569980," Thank you."
570000,599980," Thank you."
600000,629980," Thank you."
630000,659960," Thank you."
659960,689940," You can find the source code there."
689940,719920," Thank you."
719920,749900," Thank you."
749920,779900," Thank you."
779920,809900," Thank you."
809900,839880," Thank you."
839900,869880," Thank you."
869900,899880," Thank you."
899900,929880," Thank you."
929900,959880," Thank you."
959900,989880," Thank you."
989900,1019880," Thank you."
1019880,1049860," Let's find out."
1049880,1079860," Thank you."
1079880,1109860," Thank you."
1109880,1139860," Thank you."
1139880,1169860," Thank you."
1169880,1199860," Save my files."
1199880,1229860," Thank you."
1229860,1259840," Thank you."
1259860,1289840," Thank you."
1289860,1319840," Thank you."
1319860,1349840," Thank you."
1349840,1379820," Thank you."
1379820,1409800," We need to go ahead."
1409800,1439780," Thank you."
1439780,1469760," Thank you."
1469760,1499740," Thank you."
1499740,1529720," Thank you."
1529740,1559720," Thank you."
1559720,1589700," Thank you."
1589700,1619680," Thank you."
1619680,1649660," Thank you."
1649660,1679640," Thank you."
1679640,1709620," Thank you."
1709620,1739600," Thank you."
1739600,1769580," Thank you."
1769580,1799560," Thank you."
1799560,1829540," Thank you."
1829540,1859520," Thank you."
1859520,1889500," Thank you."
1889500,1919480," Thank you."
1919480,1949460," Thank you."
1949460,1979440," Thank you."
1979440,2009420," Thank you."
2009440,2039420," Thank you."
2039440,2069420," Thank you."
2069440,2099420," Thank you."
2099440,2129420," Thank you."
2129420,2159400," Thank you."
2159420,2189400," Thank you."
2189400,2219380," Thank you."
2219400,2249380," Thank you."
2249380,2279360," Thank you."
2279380,2309360," Thank you."
2309380,2339360," Thank you."
2339380,2369360," Thank you."
2369380,2399360," Thank you."
2399360,2429340," Thank you."
2429340,2459320," Thank you."
2459340,2489320," Thank you."
2489320,2519300," Thank you."
2519300,2549280," Thank you."
2549280,2579260," Thank you."
2579260,2609240," Thank you."
2609240,2639220," Thank you."
2639220,2669200," Thank you."
2669200,2699180," Thank you."
2699180,2729160," Thank you."
2729160,2759140," Thank you."
2759140,2789120," Thank you."
2789120,2819100," Thank you."
2819100,2849080," Thank you."
2849080,2879060," Thank you."
2879060,2909040," Thank you."
2909040,2939020," Thank you."
2939020,2969000," Thank you."
2969000,2998980," Thank you."
2998980,3028960," Thank you."
3028960,3058940," Thank you."
3058940,3088920," Thank you."
3088920,3118900," Thank you."
3118920,3148900," Thank you."
3148920,3178900," Thank you."
3178920,3208900," Thank you."
3208920,3238900," Thank you."
3238920,3268900," Thank you."
3268920,3298900," Thank you."
3298920,3328900," Thank you."
3328920,3358900," Thank you."
3358920,3388900," Thank you."
3388920,3418900," Thank you."
3418920,3448900," Thank you."
3448900,3478880," Thank you."
3478900,3508880," Thank you."
3508900,3538880," Thank you."
3538880,3568860," Thank you."
3568860,3598840," Thank you."
3598840,3628820," Thank you."
3628820,3658800," Thank you."
3658800,3688780," Thank you."
3688780,3718760," Thank you."
3718760,3748740," We can move it."
3748740,3778720," Thank you."
3778720,3808700," Thank you."
3808700,3838680," Thank you."
3838680,3868660," Thank you."
3868660,3898640," Thank you."
3898640,3928620," Thank you."
3928620,3958600," We can steal the code."
3958600,3988580," Thank you."
3988580,4018560," Thank you."
4018560,4048540," Thank you."
4048540,4078520," Thank you."
4078520,4108500," Thank you."
4108500,4138480," Thank you."
4138480,4168460," Thank you."
4168460,4198440," Thank you."
4198440,4228420," Thank you."
4228420,4258400," Thank you."
4258400,4288380," Thank you."
4288380,4318360," Thank you."
4318360,4348340," Thank you."
4348340,4378320," Thank you."
4378340,4408320," Thank you."
4408320,4438300," Thank you."
4438300,4468280," Thank you."
4468280,4498260," Thank you."
4498260,4528240," Thank you."
4528240,4558220," Thank you."
4558240,4588220," Thank you."
4588220,4618200," Thank you."
4618200,4648180," Thank you."
4648180,4678160," Thank you."
4678160,4708140," All right."
4708160,4738140," Thank you."
4738140,4768120," Thank you."
4768120,4798100," Thank you."
4798100,4828080," Thank you."
4828080,4858060," Thank you."
4858080,4888060," Thank you."
4888060,4918040," Thank you."
4918040,4948020," Thank you."
4948020,4978000," Thank you."
4978000,5007980," Thank you."
5007980,5037960," Thank you."
5037960,5067940," Thank you."
5067940,5097920," Thank you."
5097920,5127900," Thank you."
5127900,5157880," Thank you."
5157880,5187860," Thank you."
5187860,5217840," Thank you."
5217840,5247820," Thank you."
5247820,5277800," Thank you."
5277800,5307780," Thank you."
5307780,5337760," Thank you."
5337760,5367740," Thank you."
