start,end,text
400,6000," Looks like we're live. Hello everyone and welcome to yet another recreational programming session"
6000,10880," with Amista Azulsen. Let's make a little bit of an announcement and it's an officially"
10880,17360," started stream as usual. So it's the red circle live on Twitch. And what are we doing today on"
17360,24400," twitch.at television website? Today we are doing something special. Today we're hiding data inside"
24400,28720," of executable files. That's what we're doing today. I'm gonna give the link to where we're doing all"
28720,33680," that. Twitch.tv/cerning and I'm gonna ping everyone who's interested in being pinged."
33680,38320," And there we go. The stream has officially started. The stream has officially started. So"
38320,44960," today is a Musualizer stream in fact. So Musualizer is a music visualizer that we've been working for"
44960,51680," quite some time. And recently I did a second alpha release of Musualizer, right? So let's take a look"
51680,58320," at how it looks like now. Right, so it's starting to take a shape of like an actual GUI application,"
58320,63360," which is kind of cool in my opinion, right? So which is in fact kind of cool. So let's actually"
63360,68320," try to run it. So this is how it looks like. Nothing really changed from the tutorial perspective"
68320,73520," since the first release, right? So it just greets you with this. And you're supposed to drag and drop a"
73520,80640," file in there. So let's actually start the file manager. Super quick. Just a second. Right, so"
82000,89600," now I'm going to just drag and drop some music in here. So this is how it looks like now. So I hope"
89600,96560," it's not too loud. Right, so as you can see, there's like an actual UI. So I think like making these"
96560,100960," buttons, I didn't really stream that because I didn't think it was that important or interesting to"
100960,106880," watch it. I was just messing with UI. So now it looks like actually like a video player, right? It's not"
106880,112880," really a video player. It's supposed to render videos like it's an opposite of the video player,"
112880,118320," right? It doesn't really play the videos. It produces the videos, right? So this is how it looks like now."
118320,123760," Each action in the application has its own button, which is I think it's kind of cool, right? Because"
123760,129440," if UI can explain what application is capable of doing, you never really have to document anything,"
129440,136480," right? So you just look at the documentation, look at the UI, and here are the buttons. And that's basically all of the things that you can"
136480,142080," do with the application, right? So it's pretty straightforward. So this is how it looks like. There is a side panel."
142080,146720," You can actually put more things in here, right? So you can have several files. You can switch between them"
146720,152640," and stuff like that, right? So there is a play. So you can start rendering the video out of that. You can"
152640,159440," control the volume. You can also do the full screen if you want to use this as a backdrop, right? So without any UI."
159440,163680," And that's basically the second release, right? That's basically the second release."
163680,170320," So today I want you to work on a very annoying problem that Mutualizer has."
170320,176880," So essentially, you notice that it uses icons, it uses different fonts and stuff like that."
176880,181600," Right. But where does it get all of those icons and fonts from?"
182240,187760," It gets them from the resource folder, right? So here is the resource folder and there we go. We have"
187760,191920," fonts, right? Right now we only have one font. Maybe in the future we're going to have several of them."
191920,197760," So here are the icons. They're basically like, you know, spritesheets, right? So this is basically full"
197760,204720," screen button. Here we have a play button, right? With play and pause. So here we have just a render button"
205440,211040," and here's the volume button, right? So for different stages. So muted, less than half of the volume and"
211040,216880," more than half of the volume, like all of that. So, and also we have like a shaders in here, right?"
216880,222880," Different shaders. And essentially, the application takes all of the resources from this folder,"
222880,229520," which means that if you run the executable from a place that doesn't have that folder, none of that is"
229520,233920," going to work. The application is basically going to be broken. So as far as I know, it's not really going"
233920,240000," to crash, but it's going to be broken, right? So let's actually create a test folder, right? And"
240000,245760," let's actually run the application from that test folder. In that test folder, as you can see, we"
245760,253360," don't have any resources. And so, yeah, there's another problem is that it also wants RayLib DLL,"
253360,258320," and this is because we compiled it with hot reloading. So let me actually quickly recompile this entire thing"
258320,262560," and disable hot reloading, right? So that's another problem in here, right? So"
263360,268640," it's kind of a similar problem, to be fair, right? That's what you get when your application has too"
268640,274560," many moving parts, right? So, and that's why I always advocate for simplicity of things, right? So let's"
274560,280000," actually try to run this entire thing from here, right? And this is not how we do that. So this is"
280000,288080," how it looks like now. This is so freaking funny, right? So it couldn't load the font, so it used the default"
288080,294800," RayLib font. So we can go even further, right? So let's actually try to load some of the music and"
294800,301280," see how it's going to look like. Right, so I'm going to just quickly put some stuff in here. Right,"
301280,307360," so the shaders are broken. So all of these balls, right, they are supposed to be rendered with shaders."
307360,316240," Right, and the buttons, like you can't see icons or anything like that, right? It's so"
316240,322160," freaking funny. It's also funny that it doesn't crash the application, right? So, right, it's just"
322160,328160," like it couldn't load the resources. So this is basically how it looks like now. So, and essentially,"
328880,337280," what I wanted to do, I wanted to solve that problem permanently. So, and one way to solve that problem"
337280,344480," permanently is to actually take all of the resources and bake them into the executable. So no matter where"
344480,352400," you run the executable, the resources are going to be with the application. So this has a downside. For"
352400,357920," example, now you won't be able to customize the shaders, right? So, but it's not a particularly"
357920,363200," currently a use case to have custom shaders for this application. In fact, in the future, we're going to"
363200,370160," have a plugin system which will allow you to customize the logic of the visualization and also have a custom"
370160,375200," script. But that's going to be a completely separate mechanism. It's going to be a completely separate"
375200,381440," mechanism and it's outside of the scope of what we're doing right now. So, right, so what we're going to"
