start,end,text
0,5640," Hello, everyone, and welcome to yet another recreational programming session with Ahu,"
5640,13260," Mr. Azudin. So, today I decided to stream how I develop one of the tools that I actually use"
13260,20320," daily. Right. So, I developed some time ago this tool, which is called Tor, which stands for Total"
20320,28160," Recall. Right. And it's basically a reminder app. It's a very simple reminder app. So, the way I"
28160,34900," actually come up with the idea of Tor is that there is things that I need to do sometimes. Right. So,"
34900,41440," sometimes I need to do things daily or sometimes I need to do them weekly, monthly, annually, and so"
41440,47520," on and so forth. And I need some sort of automatic reminders to not forget about the things I need to"
47520,55580," do. So, I tried different things. Right. So, none of them really work for me because the services and"
55580,62200," the applications usually go out of maintenance eventually. And I kind of have to once in a while"
62200,68200," like frantically move to something else, export the data, convert the data, and put it... Like,"
68200,74980," it's usually a freaking mess. So, it has to be something that I control fully, something that I"
74980,81980," developed myself from scratch. Right. So, and also, I don't want it to be super complicated. So,"
81980,90980," it's difficult to maintain. So, I once sat down and thought, okay, so, what kind of thing I usually do"
90980,98360," daily? Right. So, like, daily I use email. Actually, I don't use email that often. Right. So, I could send"
98360,104200," myself emails. Right. But then that requires setting up all of that infrastructure and everything is usually"
104200,109880," pain in the ass. Right. So, then, like, I thought, like, I use Discord daily. But Discord is kind of"
109880,115600," unreliable in Russia specifically. Right. So, because it's banned, I can only access it over VPN. And the"
115600,121360," techniques that I use for bypassing the restrictions, they kind of have to change once in a while because"
121360,126400," the government also keeps up. Right. They also update their techniques of restricting the website. So,"
126480,132160," sort of like a tag war between people like me in Russia and the government. Right. So,"
132160,137200," they try to restrict the website. We come up with better ways to bypass the restriction. They also"
137200,142880," close that and so on and so forth. Right. So, at some point, whatever I'm doing may stop working."
142880,148480," Right. So, and I end up with, like, frantically trying to come up with something else. So, it has to be more"
148480,154360," reliable. Like, what do I use every day? Like, I use browser every day. Maybe I can come up with some sort of"
154360,159880," an extension for an extension for the browser. But browsers are just like a running fad. Right. So,"
159880,165480," they come and go. Right. So, in the changing. So, how do I maintain this extension and stuff like"
165480,167300," that? And then I realized something interesting."
