start,end,text
20,7360," so anyways let's try to rerun rebuild this entire thing telnet holy shit all right so can i connect"
7360,15120," another one telnet boom and look at that zero percent cpu single threat zero percent cpu"
15120,20580," asynchronously handling several lines look at that everything is fucking working i can even close them"
20580,25540," they're closed automatically everything is fucking working how about that are you happy now are you"
25540,30500," happy now people been hating me for you know you're spinning you're doing it incorrectly now i did it"
30500,36280," correctly now i did it fucking correctly so our asynchronous future library is working exactly as"
36280,43780," intended it's efficient it's fast we're gonna win over tokyo who needs tokyo when you have kokio"
43780,54900," so listen chat so the problem is this i start my asynchronous echo server right"
54900,62220," not echo server but the with the h right i don't know how to speak english i'm sorry so if i take a"
62220,67080," look at the utilization of the cores uh right so that you will find something very interesting"
67080,75800," you will find that one of the cores actually two of them are like utilizing 50 but they're like very"
75800,83340," much you know active right and this is because i'm busy looping when i'm pulling the sockets right that's"
83340,90460," what i do and i did that because i wanted to focus on the design of the api of the library of my futurist"
90460,99380," library in c3 uh rather than the exact implementation right and funnily enough some of you uh my finest"
99380,107660," time is started to work because of that by the way some of you reacted i would even say overreacted to that"
107660,117260," right so uh some of you were like shocked like holy shit you are polling you are busy looping"
117260,124620," asynchronous stuff in 2024 it's 2025 by the way so happy new year uh in 2024"
124620,133500," that was their reaction that was their reaction it's almost like they saw me using go to or something"
133500,141340," right and because the extra famously said that go to is bad everyone is having a seizure every time they"
141340,149820," fucking see a go to you guys are like babies i think you just need to grow up already right so essentially"
149820,161420," it is okay to write bad code if it is not finished because that's the process of making a project right"
161420,169740," in in between the code is bad right and that's the point you're taking bad code and you're slowly moving"
169740,176780," it towards the place where you want it to be that's how it fucking works so yeah so today we're gonna look"
176780,183660," into uh what is going on in here why does it actually consume the 100 cpu and let's see how we can fix that"
183660,191180," sounds good sounds gucci sounds atamaguchi let's fucking go so uh right so if you take a look at how"
191180,197180," exactly this thing is implemented there's this nasty nasty loop right so while true and we just iterate"
197180,204140," through all of the futures that we have in here and we just roly-poll them within those futures within the"
204140,211340," futures uh we have read and write operations into the circuits right so for example read once and"
211340,217900," essentially when we actually perform the read call on the socket uh since it is marked as non-blocking"
217900,224300," it returns an error would block in case if it would block right and in that case we just return the future"
224300,230780," to be pending right so and essentially what we end up doing is that we end up spinning on this thing and"
230780,234860," checking like would you block would you block would you block would you block would you block and then"
234860,241020," when it unblocks we get the data and do stuff like that so essentially cpu is doing a bunch of nothing"
241020,249020," essentially uh so how are you supposed to like circumvent that so in posix uh and linux"
249020,256220," specifically there's mechanisms such mechanisms as a select poll right as far as i know select is not"
256220,261980," recommended to use on linux all right so we can take a look at the select uh right so here it is"
261980,267580," it's a pretty big function right it accepts like a uh pointer to a file descriptors and stuff like that"
267580,274220," right but it is very much not recommended to use right so because as the computation says uh select can"
274220,282300," monitor only file descriptor numbers that are less than fd set size which is 1024 and a reasonably low limit for"
282300,287740," many modern applications right so it's basically not recommended to be used and you're supposed to use"
287740,293500," a poll mechanism instead okay so let's actually use pollen set uh right let's take a look at it"
293500,298940," so there's also a poll there is also i think are you urine or something like that there's a lot of"
298940,304780," mechanisms like that and all of them they just like give you more and more and more control over like"
304780,310700," what you can do and what not so what's the point of paul uh paul waits for some events on the file"
310700,326540," descriptor so essentially instead of spinning in user space it just goes into the kernel space and just"
326540,344860," uh are we back are we back this time it was not kgb it was not kgb uh it was my laptop charge my laptop"
344860,353100," is actually configured to go to sleep at 25 i forgot to plug in the charger so but i mean luckily it didn't"
353100,360140," discharge completely so i didn't have to like a hard reset uh you know my entire laptop uh so yeah"
360140,371420," um all right so essentially we didn't have a kgb attack the stream that means it may actually happen"
371420,378620," right so usually like these days when i'm streaming uh there's usually a kgb attack and i have to disable"
378620,385100," my vpn to dodge it right so that didn't happen yet so that means we can go down one more time on the day"
385100,393500," stream uh so anyways so we were talking about the poll um you know the the poll function right so what it"
393500,400700," does it just like you give it uh an array of file descriptors right and you also describe what kind of"
400700,406780," events do you expect from like uh to happen on this file descriptors and then it just goes to sleep"
406780,414700," right and when one of the events one of the desired events happened on one of the file descriptors the"
414700,421900," kernel wakes you up and tells you go check those file descriptors right that way you don't spin yourself"
421900,426060," constantly checking would you block would you block would you block it doesn't matter right so i'm saying"
426060,433820," okay from these file descriptors i expect these events wake me up when that happens right and just go"
433820,441420," just just go to sleep and that usually that's usually how it is implemented right so that's how we usually"
441420,447900," implement it um right so already like uh refreshed how to use this kind of thing before i used it in the"
447900,453820," past long time ago then i forgot uh right on stream i tried to refresh it so i kind of now remember how to"
453820,459420," use it uh should we look into how it works a standalone on the stream right or should we just jump into"
459420,462940," implementing that in the library i think it would make sense to actually take a look at it standalone"
462940,468780," like how you use it by itself uh like outside of the context of like future library or something like"
468780,474860," that so we can go go ahead and try to do that so i think it's good it could be interesting um so"
474860,481900," let's actually go to c3 foot and here maybe i'm gonna do something like a poll try right underscore"
481900,490940," try so this is going to be c3 i didn't want to create a folder okay full try c3 let's go uh let's"
490940,498700," import some scheisse um stdio all right so and i'm gonna do void fn it's actually the other way around"
498700,506380," uh and what we're gonna say in here io print uh fn so what we want to do when i kind of get the gist of"
506380,514140," how to use this library so here's the hello world and uh we have to add this kind of thing to the project"
514140,523420," so let me maybe quickly do that so i'm going to do c3 project add target poll try uh it's going to be"
523420,529980," actually executable and the source code is a poll try c3 all right it's a poll try c3 so we can also"
529980,537820," try to build poll try uh right as you can see the program is linked so we can now try to even run it"
537820,546620," and it says hello world okay so let's actually start with maybe i'm creating loose sockets all right so"
547500,552300," um let's create this server circuit right so since we were working with the echo server and echo server"
552300,557020," if you don't remember is basically a server that listens to incoming connections the client connects"
557020,562460," the client sends some data and the server has to send it back right that's the echo server it's sort"
562460,569020," of like a hello world of of networking essentially right so um i think we need to do something like net"
569020,575660," tcp right so this is where all of the cool tcp obstructions in c3 are located we can even take a"
575660,583580," look at them uh std net tcp uh right so and the thing we are interested in is a listen function right"
583580,591900," so it creates a server socket uh server le socket so here is the server the socket so we're gonna assign it"
591900,598860," like that tcp listen uh i suppose we're gonna unwrap this error right away uh like so right so it"
598860,604780," will crash if it doesn't work okay so host uh we're gonna listen on localhost let's not listen"
604780,612940," to any out uh you know incoming connection any outside connections so the port obviously is 6969"
612940,618860," that's the port uh the backlog let's actually hard code it to 69 and so we also need to set"
618860,625900," some options i think i'm gonna set reuse address uh and that's about it right so that essentially creates"
625900,632860," the socket uh we can now even try to run and compile the sentencing just to see that it prints okay so"
632860,637420," that's pretty cool so now you can listen to connections right so you can do something like"
637420,643340," accept actually it's a standalone function it's not a method of the tcp socket right so something like this"
643340,650620," and this should give us just less sockets uh obviously we want to sort of crash and uh now if i try to run"
650620,658060," this and i think it blocks right it straight up blocks it straight up blocks so and it will only"
658060,664460," a block unblock if you try to connect to port 6969 as you can see we connected to the port and it unblocks"
664460,672620," right so that's how x uh accept works but it is in a blocking um you know in a blocking state right in the"
