start,end,text
320,6560," looks like we're live hello everyone and welcome to yet another recreational programming session"
6560,11200," with azuzin of course of course let's make a little bit of an announcement and officially"
11200,15520," start the stream hello hello everyone welcome welcome welcome i can see you guys in chat"
15520,24320," so let's do the usual red circle live on twitch and what are we doing today on twitch.a television"
24320,31920," website today we are doing a better c building tool how about that so let's do http at which the"
31920,39600," tv so the place where we do all that and i'm going to ping everyone who's interested in getting pinged"
39600,48480," i suppose everyone who's interested is actually pinged all right so um what i wanted to do today"
48480,55600," uh i wanted to work on my build tool for for c right so some of you can remember especially all"
55600,62480," viewers this kind of project right so the idea of this project is to actually use c to build c projects"
62480,69040," right you should not need uh anything but a c compiler to build a c project and i think that main"
69040,76000," idea kind of makes sense right so things like make c make shell cmd powershell like other building tools"
76000,82000," they are separate things right so you already have in your possession a tuning complete programming"
82000,87360," language a system one that can interface can interface with operating system and since since"
87360,94080," it can interface with operating system it can do anything that operating system can offer right so"
94080,101120," it is as powerful as any building tool right so it's a little bit verbose but anyway uh it can do anything"
101120,107920," so and why do you need all these complicated separate third party things to build a c project if you"
107920,115280," already have a c compiler right so since you have a c compiler you should be able to build everything so"
115280,121200," that's where this idea like basically stems from so we basically implemented a simple library with"
121200,128720," which you're writing um you know building recipes you bootstrap it once and you call this uh sort of building"
128720,133920," recipe and it builds the rest of the project right small program you just bootstrap it with a single"
133920,140800," compiler call and then call it and it builds everything um right so that's the idea the problem"
140800,145760," with this project it really like i've been developing and using it for quite some time like three years"
145760,153200," so right so it was three years ago and pretty long time ago relatively and it feels like it's going nowhere"
154080,158400," it feels like it's going nowhere and i think i recently figured out why i think i recently figured out why"
158400,165600," i think i recently figured out why it's not going anywhere uh because i'm doing something with this"
165600,175920," project that i don't really want to do uh i decided that i want to focus on a syntax of the library"
176480,184960," and make it syntactically as close to shell as possible right and i wanted to do that is because"
184960,194320," i wanted to appeal to a slightly less experienced c users right so because doing this kind of stuff"
194320,199920," is kind of a crazy idea at least three years ago it was kind of a crazy idea these days like a lot of"
199920,205360," people realizing that oh it's it's actually a pretty good idea to do it like that uh right not everyone"
205360,211520," but way more than it was three years ago all right but but back then three years ago it wasn't like a"
211520,219280," kind of a crazy idea and then not having like a syntactically nice thing i felt like it's gonna sound even"
219280,226960," more crazy than it already is and i was really insecure about that and i thought like at least let's make it"
226960,235760," look like something familiar with people for for people uh right and after all of the mental struggles"
235760,243440," that i went through for the past two or three years there was a lot of stuff uh right um i finally realize"
243440,250960," i don't give a shit about anybody anyone's opinion if you don't like the c way of programming"
251520,256480," fucking skill issue don't use this shit go use gradle or maven why do i"
256480,262320," fucking care why should i fucking care i fucking shouldn't fuck you"
262320,272400," so essentially i want to kind of uh abolish this idea of like making c look like shell"
275600,281680," and just make it look like a c program right just make it look like a c program so let me let me"
281680,288560," demonstrate you what i mean so essentially uh i want to have uh i want to use no beautiful mutualizer"
288560,296320," right so and essentially how would i write it if i were not afraid to scare away less experienced c"
296320,300480," users who don't want to program in c anyway i don't fucking know why i care about that but anyway"
300960,309120," uh how would i do that uh so essentially let's just basically confabulate uh you know hallucinate"
309120,314480," like a gpt model like what kind of library do we want i think it's a pretty cool technique that ai"
314480,320240," actually recently taught us just make up like a crazy and then implement that"
320240,321120," so"
322960,328960," i think that's a good idea i really like that idea so essentially uh in in old no build how would"
328960,339200," you do that you would create like cmd and then you do clang uh w all uh w extra and then you realize"
339200,345520," like there will be a lot of flags in here it would be nice to maybe you know move them away somewhere"
345520,351520," so i would create some sort of a macro c flags uh right that looks like this so i can then later"
351520,360320," just do c flags uh then i would do all uh then mutualizer um mutualizer and stuff like that then"
360320,364800," i'm gonna have some sorts codes in here and stuff like that and it's gonna be a huge thing that is"
364800,371200," very difficult to manage so some of the things i would probably collapse into into macros right as i"
371200,376960," did with the c flags uh but some of them are not particularly collapsible because they're not known at"
376960,382960," compile time they may not not be known at compile time at all right for example the only uh reason"
382960,388640," why i managed to put away c flags is because it's a compile time known value but what if it's not known"
388640,395440," at compile time so this kind of approach like kind of looks nice for very simple things but it falls apart"
395440,401920," when you're trying to do anything complicated right so a proper way of doing that would be to just have a"
401920,408560," uh cmd abstraction right so basically you have a cmd object uh right and essentially you have um"
408560,414800," a function cmd append and you're sort of appending things into that cmd you're just like pushing things"
