start,end,text
0,6180," Hello everyone and welcome to yet another recreation programming session with Amista Azuzin."
6180,11200," So here we have a game that we've been developing for some time, I think a month, maybe a little bit"
11200,16460," more than a month. And this is a classical ray casting game, like in a Doom style and stuff like"
16460,20960," that. And it's running completely in the browser. It's written in Vanilla JS. I mean, it's pre-processed"
20960,26740," with TypeScript, but it's still Vanilla JS. And recently we added multiplayer capabilities to this"
26740,32340," game, right? So essentially, if you open this address, right? So it's currently serving on a"
32340,38180," local host. But if I open this address on another tab, that actually creates another player. And you"
38180,44200," can walk around, right? As you can see, so we have two screens. This is two players. And I can close"
44200,48620," one of the tabs and one of the players disappears. So it's a multiplayer game. So you can actually"
48620,56340," deploy it somewhere and let people open the address, right? So and every tab that opens that address is"
56340,63040," a separate player. So that's how it works. So it's a multiplayer game. So we only recently decided to"
63040,69120," make it multiplayer. Originally, I didn't plan to make it multiplayer. And before I decided that it is"
69120,73880," going to be multiplayer, I added a couple of mechanisms to the game, specifically throwing"
73880,79740," bombs that can actually explode with particles and shit. Look at that. Isn't that poggers? I think"
79740,85400," that's pretty cool. Poggers. And also you can have items, right? So but since I didn't really plan this"
85400,93880," thing to be multiplayer, all of those mechanisms are not really developed for multiplayer games. In fact,"
93880,100080," right, so let me actually refresh and open in a second tab, right? So let's actually have two players"
100080,105960," in here. So this is one player and this is another one. So on the second player, let's actually maybe do"
105960,111060," something like this. Maybe I'm going to actually rotate this player. Yeah, we can see each other."
111060,119940," So if I throw a bomb, the second player doesn't see the bombs at all, right? And if I collect these keys,"
119940,126400," as you can see, right? So I'm collecting these keys. On the second player, they're collected. But on the first"
126400,135120," one, they are not collected. This is because each player have their own copy of the state of the items and the"
135120,140660," state of the bombs. And they're not shared through the server. They're not synchronized through the server."
140660,147460," Again, because those mechanisms were added before we added network capabilities. And we did not plan to have"
147460,154380," network capabilities, right? So we kind of added that as an afterthought. And what's interesting is that a lot"
154380,159440," of professional game developers actually say that if you want to make a network game, you have to make it"
159440,166880," a network game right away, right? You can't just make a game and slap networking capabilities as an"
166880,173500," afterthought. The entire game has to be architectured around networking. And now I understand why."
173500,181720," Now I understand why. Luckily, we didn't have that many mechanisms in the game. So the only mechanism that"
181720,191520," we have to kind of port to networking is items and bombs. In the future, as we add more different"
191520,197240," mechanisms, we're going to be adding them with the networking in mind, right? So that's how it's going"
197240,203940," to go, right? So I intentionally actually decided to start migrating to multiplayer as early as possible,"
203940,209680," as soon as I got this idea, right? So then I don't really have that many things to port to the"
209680,215560," networking architecture, if that makes any sense, right? So the goal for today, the goal for today"
215560,224640," is going to be just, you know, enable, you know, state of the items and state of the bombs on the"
224640,230260," server side, right? To make the server keep track of who collected items and who threw bombs and"
230260,234580," synchronize between the players and stuff like that. So players can actually throw bombs at each other and"
234580,239580," stuff like that. They don't deal any damage yet, but they will, right? So that's basically the"
239580,245860," plan for the day. Sounds good. Sounds Gucci? Sounds what? Tomoguchi? Let's go. All right."
245860,253920," So let me see. So let me actually disable the serving of the server and let's maybe go into"
253920,263340," the client MTS. So as of right now, I actually brought the source code of the game into the state"
263340,271700," of only three files, right? So we have client MTS, MGS and MGS map are generated, right? So we don't"
271700,277360," usually directly edit them, right? So the only files that matter are MTS files, MGS, MGS map, all that is"
277360,286820," generated. So the main important files are client MTS, common MTS and the server MTS, right? So and as you can"
286820,295900," guess, client MTS is whatever is actually run on the client in a browser, the server MTS is whatever run"
295900,304240," on the server in Node.js, right? So it's specifically Node.js code. And a common MTS is whatever is shared"
304240,312040," between client and server, right? Because essentially, the problem in multiplayer game is actually synchronizing"
312040,318620," the state between client and the server. And because of that, they use the same code for evolving the"
318620,324380," universe, right? So because the players, they have position, they have velocity, and each frame, each tick,"
324380,329700," you have to compute the next position based on the velocity. And the logic, the code that is doing that"
329700,335580," is literally the same code between client and the server. So they don't have to synchronize too much"
335580,340420," information, right? So essentially, they have the state, client and server, they have the state,"
340420,347060," and they evolve the state over time in a similar manner, and only occasionally just synchronize"
347060,350980," between each other, just asking, is it correct? Is it roughly correct? Okay, it's correct. And we"
350980,355460," continue synchronizing. So and because of that, it reduces the amount of information that you need to"
355460,360780," pass between the client and server, it reduces the amount of, you know, lag and stuff like that. So"
360780,364840," that's basically what we have in here, right? That's basically what we have in here. So in the"
364840,369120," architecture, really simple, I really want to keep it only three files, honestly, even though they"
369120,374800," could probably can become big, I think client is already over 1000 lines of code. Yeah, it's 1086 lines"
374800,380900," of code. I really want to keep it like just three files, right? So the client part that is only run"
380900,385700," on the client, the server part that is only run on the server, and the common part, or maybe I should"
385700,390220," call it shared part, maybe at some point, I'm going to rename it to shared. So and essentially,"
390220,397100," because of this architecture, porting, like basically making the state of the items"
397100,405340," shareable between all the clients is a matter of taking item related code, item related code,"
405340,412800," and moving it from client MTS to common MTS. And also a little bit, adding a little bit of logic to"
412800,418160," the server, right? So as of right now, everything related to items is located only within the client"
418160,428160," MTS, right? So our goal is to move that items code to common, and then start using that in the server"
428160,435620," from the common, right? So that's basically the goal for now. But it's only for items, we also will have to"
435620,441340," do the same thing for the bombs. So we'll get some subs that they probably want to acknowledge. So let me"
441340,446580," actually take a look. So Brooklyn Dev, thanks so much for the time with the message. Thanks for the great content."
446580,451620," As always, you're welcome. Thank you. A matter of wilding. Thank you so much for the time with the message."
451620,460980," Erexim, a mixer. Exactly, exactly, exactly, exactly. All right. So let me see what we've got. Dexas TTP,"
460980,467300," thank you so much for tier one subscription. So we have the state of the game. Where is the state of"
467300,479060," the game? It's not in comments. It's in the client. So interface game. And we have items in here. Yeah,"
479060,485740," so we even have a to-do, make items part of the service state. So essentially, everything that we"
485740,494100," have in a game is a client-side state of the game. The state of the game that is shared is actually"
494100,501580," located within a structure called the level. I recently sort of factored it out. Right. So it's a state of"
501580,508640," the game that is shared between client and a server. And both client and server has their own things that are"
508640,513360," related to the state of the game, but they are not shared. Right. So sometimes it's just things like"
513360,519580," camera. Right. So the server doesn't really care how exactly you control the camera or anything like"
519580,526300," that. It's just like your own thing. Right. So and bombs as well. Right. So we're going to move them"
526300,532920," into the shared part. So we need to actually move the items. The items are right into the level."
532920,540020," So to actually share between the client and the server. Right. So I think I'm going to do the"
540020,545120," following thing. I'm going to go into the common MTS. I'm going to find the interface level. And as of"
545120,552440," right now. Right. So as you can see, level contains only the scene, which is just an array of walls."
552440,558400," Right. So it's basically the walls that you can see in here. So this is basically the part of the"
558400,562600," state of the game that is shared between the client and server and constantly synced over the network."
562600,568440," Right. So exactly. I want you to emphasize that. Right. So essentially both client and the server have"
568440,575200," a copy of their own level. I'm not sure if level is a good name for this kind of thing. Right. So but I"
575200,579240," just couldn't come up with anything else. Right. I could have called game. But I mean, we already have"
579240,589060," an interface game in a client module. So I don't know. So but maybe because this type is always prefixed"
589060,594320," with common, it's kind of obvious that it's a common part of the game. Right. So for instance,"
594320,600320," maybe in the future, we're going to have like client, right, client game, which is a client state"
600320,607220," server game, which is a server state and a common game, which is a shared between client and server"
607220,613100," and both client and server sort of like inherit. That's an interesting thing, actually, like to use"
613100,618680," a little bit of inheritance or extension. Right. Because the interface can extend other interfaces."
618680,623680," Right. You can always do extend common game or something like that. But this is just like a"
623680,628980," hypothesis. I don't know how it's going to go. Right. I'm just like, you know, fantasizing about"
628980,636160," refactoring. Right. Is it that is it only me or other people also when they're developing some things"
636160,642300," they don't do refactoring, but kind of fantasizing. Like if I had time and the resources, I would"
642300,647220," refactor it like that. And just like, you know, you know, ponder a little bit of the code. Yeah, that"
647220,652520," would be great to actually factor with that. Too bad I don't have time and resources to do that. But that"
652520,661180," would be kind of cool. Each day at work. Yeah, exactly. That's every day. You look at this"
661180,665340," message. It would be kind of cool to actually restructure it like that. But I don't fucking"
665340,684760," have time. But yeah. So yeah. All right. All right. All right. My mouse is dead, brother. All right."
