start,end,text
800,6400," looks like we're live hello everyone and welcome to yet another recreation programming session"
6400,11760," how about that i bet you didn't expect that so let's make a little bit of an announcement"
11760,18480," and officially start the stream uh right so we're gonna do a usual red circle live on twitch and"
18480,26960," what are we doing today on twitch.i television website today we are doing a small ai image"
26960,32720," model in c how about that i'm going to give the link to twitch.i the place where we do know that"
32720,38000," and i'm going to ping everyone who's interested in being pinged there we go the stream has officially"
38000,46480," started so today we continue developing uh our deep learning framework in prc that we started to develop"
46480,52800," like a couple of streams ago uh you can find the uh link to this framework in here if you're interested"
52800,57280," i'm copy pasted in the chat and for people who's watching on youtube it's going to be in the"
57280,64800," description so what we did in the previous stream uh we implemented uh very interesting well it's not"
64800,70080," that interesting i'm pretty sure a lot of people uh before me done that before but basically a"
70080,77680," compression algorithm for images so what we did we created a neural network that uh behaves like a"
77680,85360," certain image right so essentially we got uh the um uh the image from the nice database uh let's actually"
85360,93440," go uh here uh so here's the news database and training and let's actually take the uh the digit eight"
93440,101600," uh all right so this is gonna be black and go here is the image so we started with like a very small images"
101600,107680," and we're trying to train a neural network that behaves like that specific image right so uh let's"
107680,114800," actually start that specific application that will perform the training so it's called image to nm uh"
114800,121600," right so i'm going to provide nist uh training eight and i'm going to provide the image so and it started"
121600,127840," the ui where we can do the training so essentially this is the target image this is the neural network the uh"
127840,132960," the architecture of the neural network that we're using to imitate the image and the way we imitate"
132960,139760," the image is basically we have two inputs and one output right so and essentially inputs are the"
139760,145120," coordinates of the pixels and the output is the brightness of the pixel and we're using this image"
145120,151920," as the training set to train this neural network to behave like that specific image uh right so here on"
151920,158240," the top we uh we have the actual output the current output to the neural network it's currently here"
158240,162880," so it's randomized as you can see it doesn't really produce any interesting results it's just like a"
162880,168800," white noise right so nothing particularly special so but look what happens when we start actually"
168800,175040," training it right uh so it looks like the cost function doesn't do anything it's just flattened out"
175040,181920," but eventually it starts to uh you know go down and it starts to learn the shape of the image like it"
181920,187600," roughly learns the shape of the image and the more it learns the more it figure out different features"
187600,194160," of the image uh right so essentially at some point it will try to figure out the the holes right so as"
194160,199280," you can see it starts to like place a hole somewhere here we just need to give it a little bit more time"
199840,207840," uh right and at some point eventually if we have enough copium it will learn how to behave like eight"
207840,212880," uh right as you can see it's it's actually figured out that you need to start like putting a hole in here"
212880,217440," uh right and it's slowly putting a hole and it actually climbs down it sometimes it just starts to"
217440,222800," like wiggle around because it's kind of like a very difficult thing to to figure out but eventually it will"
222800,231200," behave like uh an image eight right and essentially if the amount of memory taken by the weights and"
231200,237360," biases is smaller than the amount of bytes taken by the raster image effectively what you did you compressed"
237360,244320," uh you know the digit eight right you effectively compressed this entire thing and uh the coordinates"
244320,251120," that we put into the inputs are actually normalized these are the inputs uh from zero to one so that means"
251120,256240," you can remap them to any coordinate systems you want and you can even upscale right because the"
256240,262160," neural network is a uh basically interpolator over of a particular function you can upscale it and make"
262160,267280," this entire image sort of smooth and this is what our application does when we actually close it it"
267280,273280," creates an image called upscale png and we can take a look at how it looks like so this is basically an"
273280,279920," upscaled version of this of this neural network that behaves like this image right it's kind of an"
279920,286160," interesting thing to experiment with right so i don't think there is any particular like a practical"
286160,291360," practical application to this in tesla but it's kind of interesting to just play with right just make a"
291360,298960," neural network that behaves like uh like an image right so that's actually kind of cool so and i was"
298960,308080," actually thinking like can we make it behave like two images and how would you even encode that like what does it"
308080,318320," mean for a neural network uh to have to behave uh like two images how can you even do that so and i think"
318320,324320," the answer is rather straightforward right so let's actually restart the entire application as you can see"
324320,333680," we have two inputs in here right so it's a x and y what if we go ahead and introduce another input into the"
333680,340480," mix right so what if we introduce another input i wonder if we can in this specific case just uh go ahead"
340480,348160," and update the architecture so let me find image2nn.c uh right so where is the architecture the architecture is"
348160,353120," located somewhere here so what if we have three inputs in here so let me actually try to rebuild"
353120,360880," this entire thing so this is going to be ready environment uh built uh so i probably have to put"
360880,366800," at atom here right there we go so it's going to rebuild everything uh it's going to take some time"
366800,373360," because we're streaming so a lot of resources of my 10 years old laptop are consumed by uh actually"
373360,379280," encoding this stuff and let's actually restart so you you can't do that you can't easily do that because"
379280,385600," uh this entire thing sort of assumes uh a certain amount of inputs uh but i wonder if we can uh"
385600,390880," uh basically say something like okay so here's the original thing we're going to say that we have four"
390880,395440," columns in here and in terms of amount of inputs and outputs so we're going to have something like"
395440,403520," this i wonder if it's going to just work right if we just allow this entire thing to uh slide off like"
403520,405760," so right hopefully it will work"
411360,417840," so let me let me see i think it should work yeah there we go so instead of two inputs now we have"
417840,425840," the third one right so and as usual the first two are x and y the coordinates uh of the of the pixel"
425840,432240," but what's going to be the third one the third one is going to be a basically an index of an image"
432240,439360," so essentially we're going to train it to behave like one image when this neuron is zero right when"
439360,444160," this neuron is zero it's going to behave like eight uh right when this neuron is one we're going to"
444160,451040," learn it to behave like a different image so that way we can basically flip-flop between the images"
451040,457440," right so on the on zero it's one image and on one it's a different image but here is the catch"
457440,461840," all of the inputs in this goddamn neural network are continuous"
463840,470000," what if we train this mother flipper to behave like one image on zero and like another image on one"
470000,476000," and then we're going to try to render it with this thing set to half what is it going to do"
476000,484560," is it going to render something in between them like i i don't know like i like i generally don't"
484560,490480," have any idea what it is going to do right so we can just train it on two images and can we just like"
490480,496080," render something in between will it render something in between is there something there i don't know i"
496080,504560," think that's actually kind of cool uh right and what effectively it creates i suppose it creates like a"
504560,511280," simple image model right very simple image model with just two images and you can basically slide one"
511280,518000," one parameter around uh saying that this image should be more like the first one or more like the second"
518000,525200," one right so it would be kind of cool to also in terms of ui to implement like a like a scroll where"
525200,529600," you could just like scroll left and right and switch between these two images and see how it behaves"
529600,537200," that would have been cool i think right that would be cool so let's actually try to to implement this"
537200,544560," and i think uh so unfortunately we're starting to get uh a lot of like um training data well a lot of"
544560,549680," i mean i have a 10 years old laptop i'm sorry i don't have a billion dollars for microsoft and azure"
549680,555440," services and shit like that i'm sorry uh i was born in a third world country with just like a shitty laptop"
555440,560880," and stuff like that right so i don't have a lot of resources so we're starting to have uh a lot of"
560880,567600," training data right so essentially here here we have 28 by 28 pixel image so and what that means"
567600,574560," right so if we uh do something like 28 by 28 uh so this is basically how many training samples we have"
574560,581600," right so it's uh almost 800 uh training samples and if we are going to have like the second image uh we're"
581600,589760," going to have uh basically over a thousand right and here is the interesting thing um so the cost function"
589760,596000," the computation of the cost function requires you to uh have all of these samples it requires"
596000,602560," you to iterate through all of the samples so essentially the uh more data you have the longer"
602560,610080," it takes to to just compute uh the cost function right so and eventually what if we're going to train on"
610080,616640," several images right so maybe on 10 images right so essentially this is basically how many training samples"
616640,624560," we're going to have uh right and it's already kind of slow with just 800 samples it is already kind of"
624560,630720," slow we can we can actually test it out let me let me show you so let me especially when i'm streaming"
630720,636960," so when i'm streaming it's like all that is extra slow it is kind of sluggish to be fair not gonna lie"
636960,644160," oh okay so i need to i do need to actually you know rebuild everything because i've made these changes"
644160,646960," uh so let me actually put a little bit of this entire stuff"
646960,656560," so maybe i should disable building some things that are not related to what i'm doing right now like"
656560,663200," uh compiling the adder and the gym and xor and stuff like that okay i'm going to disable that so it's"
663200,667280," already a little bit sluggish so you can you can kind of see every time you restart it's just like"
667280,674880," steps a little bit so it's not really super smooth it's not as smooth as if you for example were trying"
674880,680560," to train a xor model right so in xor model you literally have like a four samples uh and this is"
680560,688160," how quickly it just like learns like it's just like yeah it's it's done during right so sometimes it gets"
688160,693840," stuck in the middle like like here like i don't know why exactly it gets stuck and especially uh"
693840,699840," this specific value gets stuck uh right but quite often it just like it actually learns properly so"
699840,704560," here it's very smooth it's very fast but when it comes to image to neural network it's very slow because"
704560,710960," we have too many samples right and the more samples we have uh the uh worse the situation is going to"
710960,716880," become so how can we overcome this kind of stuff uh we can overcome them uh that by introducing"
716880,723120," something that is called stochastic gradient descent so currently we're using just the gradient descent"
723120,729920," but we can introduce a stochastic gradient descent so uh what is a stochastic gradient descent so let's"
729920,736240," actually take a look at this i'm going to explain how i understand uh what is stochastic gradient descent"
736240,742800," this is how we understood it by watching through blue and brown videos right so essentially uh you have uh"
742800,749360," your training set right so you have your training set uh and it consists of samples and it's a lot of"
749360,755280," samples it's so many samples you don't really want to compute a cost function or backprop on all of the"
755280,762800," samples it's just like gonna take too much time essentially what you do you split your entire data"
762800,770160," into small batches like in this case let's say batches of three right so batches of three and then you"
770160,776640," shuffle those batches around randomly right so you just shuffle them around and essentially on each"
776640,785520," iteration instead of training on the whole data set you're training on one single batch and then on the"
785520,791520," next batch and then on the next batch on the next batch and so on and so forth uh right so essentially"
791520,797600," if you had uh some sort of like a gradient descent right so essentially here is like your cost function"
797600,804160," uh right so there is a local uh optima somewhere here in case of like the actual gradient descent you"
804160,812320," would smoothly actually descend into the local uh minimum but if you actually step with uh one single"
812320,822000," batch right one single batch you're gonna go off somewhere um just a second you will go somewhere"
822000,828160," but then if you go uh and a step with a different batch you will go somewhere here and you will be"
828160,833040," going around like in like random directions all the time but here's the interesting thing since you go"
833040,839600," through all of the batches in theory on average you're gonna convert still to a local minimum instead of"
839600,845440," going straight into the local minimum you're gonna be just like waving around and just like going some places"
845440,848560," but on average you're gonna kind of converge there"
848560,855680," right but it's actually less computation in intensive right because you don't have to compute on all of the data"
855680,860320," right does make sense so that's basically the idea uh of the"
860320,866400," stochastic gradient descent as i understand it i might be a little bit wrong uh but this is something"
866400,873760," that we can try to employ to combat the um you know degraded performance right because we're going"
873760,878960," to have more and more data and i have 10 years old laptop so we have to do something about that at least"
878960,884880," we should try so and this is something that we're going to try to do first right so this is something"
