start,end,text
640,6960," looks like we're live hello everyone and welcome to yet another recreational programming session"
6960,13840," with a mr azuzin let's make a little bit of an announcement and officially start the stream as"
13840,22080," usual as usual so uh a red circle uh live on twitch and what are we doing today on twitch"
22080,29920," a dot a television website today we are doing a memcached coding interview question right that's"
29920,35120," right so i'm going to give the link to twitch.tv and i'm going to ping everyone who's interested in"
35120,40640," being pinged and there we go the stream has officially started the stream has officially"
40640,47200," started so today i would like to take a look at the blog post that i saw some time ago right"
48160,56400," so interestingly enough uh right so it dated uh as 20 uh 2022 but i feel like i remember"
56400,62080," seeing this post way before that i don't know what's up with the date maybe i'm remembering that"
62080,68240," incorrectly i'm going to put this blog post in here in the chat for for people who's chatting right now"
68240,72960," on twitch i can't really copy paste it there we go and for people who's potentially watching on youtube"
72960,77440," it's going to be in the description right so the blog post is called the best engineering interview"
77440,85680," question i've ever gotten right excuse me the idea is that you take the memcached source code"
85680,93920," right um you take the memcached source code and you add a new operation to it like you literally modify"
93920,99600," the source code of memcached and you add a new operation so for those who doesn't know memcached is"
99600,105840," an in-memory database it's like a or in-memory key value storage right so this is basically what the"
105840,113520," the blog post says it's an in-memory key value storage uh so and also the first thing the blog post"
113520,120240," does it actually goes through the process of setting up memcached and uh shows the basic usage of this"
120240,125200," in-memory key value storage so i suppose this is something that we want to do as well right this is"
125200,130400," something that we want to do as well so we're gonna download the same version as it as used in the in the"
130400,137600," blog post i think it's from 2013 uh right so because obviously the source code um has moved on since then"
137600,143440," so it's not the same anymore so for the authenticity it makes sense to probably use the same version as"
143440,152000," in here so let's go ahead and do that uh i'm gonna go ahead and just create maybe a folder uh mem uh"
152000,157120," memcached uh memcached challenge right so this is going to be the folder and i'm going to straight"
157120,162720," up download this entire thing um we can use curl right so why not let's just go ahead and use curl"
162720,168000," uh we're downloading so we already downloaded this entire thing okay so it's pretty small"
168000,174880," so let's un unpack this entire stuff and there you go we've got the classical uh you know out"
174880,181600," auto tools uh project right so that we can build with just configure and make i suppose right so one of the"
181600,187040," things we can do we can take a look at the configure help uh right so configure help what kind of stuff"
187040,193360," do we have in here we don't even have that many things right so it's a very small project it's a"
193360,201520," relatively small project so let's do maybe clock uh and see how big it is uh right so it's it doesn't"
201520,210080," even have 100 000 lines of code it's 27 000 lines of code and uh the amount of c is actually not even 10."
210080,216880," it's a very small project actually honestly i've had personal projects that are bigger than that i"
216880,223440," think i had personal project of 10 000 lines of code of c so it's it's smaller than that actually"
223440,230640," surprisingly surprisingly it's smaller than that uh anyway so sure so the first thing we have to"
230640,235280," do we have to configure uh the entire thing uh right let's see it's probably not going to take too"
235280,240960," much time i really like how emacs automatically detects that we're running the config and it"
240960,246720," just highlights all of these things or maybe it's not emacs maybe it's no it's using emacs theme colors"
246720,253280," so that means it's not from the uh from the output right it's something something with emacs and uh the"
253280,257040," next thing we want to do we want to build this into i think i'm going to give it three threads and there you"
257040,262480," go let's wait until it builds itself uh let's wait until it builds itself uh let's wait until it builds"
262480,269120," itself so it seems to be built and uh we should have a mem cached executable there we go so here"
269120,275760," is the executable uh elf 64 blah blah blah so uh do we have any dependencies it doesn't even have any"
275760,280160," dependencies it doesn't really have that many dependencies it's a very simple application to be"
280160,287680," fair in all fairness mem cached is a very simple application uh we can try to run it uh mem cached"
287680,294400," right so i'm going to just run it and is it even doing anything i'm not even quite sure so uh one and"
294400,302160," what you can do you can actually connect uh to this mem cached server via telnet it's just listening to a"
302160,308880," tcp connections right it's it's that simple so and uh let's actually open uh the separate terminal right"
308880,313760," so i'm going to just do something like this and go to the telnet and there you go so you basically"
313760,318800," connected to this entire thing it doesn't even log anything right if we put this thing side by side i"
318800,324880," don't see i don't really see any logging i don't see any movement uh right so and one of the things"
