start,end,text
880,6400," The following is a very special recreation programming session where I presented a"
6400,11920," language that I worked on for four months specifically for April Fool's. This language"
11920,17840," uses Cyrillic script instead of Latin and Russian instead of English and because of that the entire"
17840,23680," session was in Russian. So if you don't understand Russian, if you can't speak Russian, I really"
23680,29760," apologize for that. More English videos are coming soon. For the past 20 days I was working"
29760,36160," on a game in Ada. You probably saw the trailer in the Insodium Daily channel. So I'm planning to make"
36160,44320," a relatively detailed video that summarizes my experience with Ada and basically shares what"
44320,50560," I've learned about game development and you know delivering the projects. So you may want to watch"
50560,55440," out for that video. In the meantime, if you speak Russian, enjoy this silly session."
59520,65120," Yeah, that's it, my dear dear, that's it. As you can see, we have a new stream. Let's"
65120,69920," announce a little bit. Let's start a little bit. So, what do we have to write?"
69920,80320," live on Twitch. What do we do on Twitch? That's it, today we are"
80320,95920," изучating язык программирования будущего. Let's see, let's see, at Twitch.tv on Twitch.tv/sodium. And as always, I'm"
95920,99520," talking to everyone who's interested to be ""zapinguished""."
99520,106320," Hi, hi, hi, hi. I apologize in advance for people who do not speak Russian, but today we are speaking"
106320,109520," entirely in Russian because that's kind of the joke. So, that's kind of the joke."
109520,115120," So, what's the joke. What's the joke? What's the joke? What's the joke? What's the joke?"
115120,120720," Привет, привет, привет. Вы слыхали про такого чувака интересного?"
120720,133520," Его зовут Андрей Юршов. Андрей Юршов. Это известный советский ученый, компьютерный ученый,"
133520,141520," компьютер сайентист. Очень крутой мужик был, на самом деле. Он работал здесь, в Новосибирске, в Новосибирском"
141520,151120," государственном университете. И он был вообще ученым на уровне кнута. Да. То есть, он не просто был на уровне кнута,"
151120,159520," они были лично знакомы. Насколько я знаю, ходили слухи, что он приезжал в Новосибирск, кнут приезжал в советское время в"
159520,169660," Новосибирске, они лично встречались с Юршовым. И также, если вы почитаете книгу Фредерика Брукса ""Мифический"
169660,177820," человек и месяц"", там в вступлении упоминается Андрей Юршов. То есть, он при написании ""Мифического"
