start,end,text
0,3000," okay"
3000,14880," surprisingly enough i cannot hear shit and"
14880,19920," is that because can you hear me by the way"
19920,26480," okay there we go so there's something wrong with them"
30000,47280," the music is still sort of lagging i'm not sure if we can hear it but it's just lagging a little bit"
47280,49840," at least for me"
49840,57520," maybe just needs i don't know what the is going on with me can you hear that the music lagging or is"
57520,62080," it only me could you hear at least because i actually stopped it"
62080,68240," okay whatever"
68240,76960," uh so here's an interesting thing uh here is an interesting thing"
76960,80480," so"
83120,86960," i forgot the name of the project that i had to go to it's it's called a tomato"
86960,92160," so let's take a look at what killed my entire fucking machine"
92160,94160," um"
103600,111280," i don't see the square this killed my entire machine i have no idea how"
111280,115680," this killed my entire machine"
118000,120240," okay okay sure it's an infinite loop"
120240,127200," uh-huh this is probably"
127200,133040," yeah i think i kind of know how that could killed my machine if sdl"
133040,138640," is the music too annoying please tell me i need the feedback because i don't know what's going on"
138640,141520," is the music too annoying can i just uh leave it in"
141520,149040," it is lagging like crazy uh everything is goddamn broken on my machine"
149680,160000," um all right so i'm gonna i'm gonna turn all the music then like uh holy shit um"
161760,169920," oh"
169920,183120," if it uses some sort of like a bachelor and batch batch renderer right if it uses some sort of a batch"
183120,189760," renderer uh it probably maintains the list of the things that it needs to render on the next frame"
189760,196880," right so it probably doesn't render things right away it renders them later right and if you start"
196880,204640," so to do that it probably maintains a list of the things right so basically you uh draw a line"
204640,209440," but what it in fact does it just uh you know schedules to draw a line and put it into list of"
209440,215680," lines to render and then probably it uh creates a shader with all the lines available and draws that in"
215680,222560," a shader so at least this is how i would do that right uh this is how i would do that uh and if you"
222560,228960," start like pushing these lines in a loop right so that means that could consume all of the memory"
228960,235840," starts consuming all of the memory if this uh if this thing doesn't have any sort of limit right and"
235840,242320," that could potentially kill the entire machine you see what i mean so that could be an explanation so"
242320,248800," by itself this thing doesn't really do anything uh by itself it doesn't really do anything but"
248800,256480," if the sdl works the way i think it works and i think it actually does work this way it may"
256480,259840," basically consume everything it just depends on how it schedules everything"
259840,263360," wakaflame thank you thank you so much for the gifted sub thank you thank you"
263920,268080," uh all right so let's actually take a look at the source code of sdl because this is actually very"
268080,279520," interesting um oh just to give me time to to find motivation to to keep doing that because it's"
279520,286800," kind of goddamn hard uh to keep yourself motivated when uh nothing is working and uh chat is actually"
286800,296560," tries to you know you know the fuck out of you right uh so okay let me see um so let's find the"
296560,307120," implementation of this function all right uh and here it is so it uses this function like render draw lines f"
307920,315840," uh uh uh and let's actually try to go there right so it's going to be something like grep rn uh where"
315840,322960," it is so this is just an external declaration um right it's just an external declaration and where"
322960,327840," is the actual implementation i feel like the actual implementation could depend on the driver"
328640,336640," it could depend on the driver but looks like here it is uh so render lines"
336640,348640," uh uh cue cmd draw lines this could be the case as you can see it cues drawing lines"
348640,355600," well so it's already you know kind of works the way i described right and even though like i never read"
355600,360320," like properly sdl i don't really know how that renders things but i could imagine that that this"
360320,367600," is how it does that at least this is how i would implement that personally uh right so prepare a qcmd draw"
367600,376320," solid so it prepares some sort of a queue then q draw lines and okay this is interesting so it uses like an"
376320,381280," internal method of renderer right it uses the internal method of renderer and"
383200,390320," that thing is very much driver dependent right so in opengl it probably does one thing in direct"
390320,396080," 3d does another one and so on and so forth right so let's actually take a look at what we have here"
396080,403280," uh so let's try to specifically search for this one and yeah as you can see we're starting to see"
403280,409440," different uh drivers we just see different drivers in here and let's take a look at the opengl one because"
409440,417040," that's the one that we use all the time and what does it do here um so q draw lines"
417040,428240," yeah so it's a gl version sdl allocate rendering vertices so we're allocating some stuff uh and then"
430640,436480," yeah i think the most important thing is probably here so it keeps allocating the memory so let's try"
436480,442560," to find this uh function then so i think this is the unless i miss something unless i miss something"
442560,447120," i think i didn't miss anything because we're just allocating it and probably like it's it in some sort"
447120,454240," of a allocator or whatnot and yeah so okay let's take a look at that one uh so it's going to be like this"
455680,464000," uh right and where it is implemented so i suppose yeah it sounds like it's something very much"
