start,end,text
0,8760," our live looks like we're live hello everyone and welcome to yet another recreational programming"
8760,15040," session with azuzin how about that i bet you didn't expect that shit to happen as usual let's"
15040,20860," make a little bit of an announcement and officially start this stream hello hello everyone i can see"
20860,28680," people in the chat welcome welcome welcome let's do the usual thing a red circle live on twitch and"
28680,36300," what are we doing today on twitch.television website today we're implementing a shapes classifier"
36300,43760," right so i'm going to give the link to twitch.tv where are we doing and i'm going to ping everyone"
43760,49940," who's interested in being pinged and there we go the stream has officially started right so uh today"
49940,55740," we're going to continue working on uh deep learning framework in c right so and then dot h you can find"
55740,61380," this thing in here i'm going to copy paste it in the chat and uh right i'm going to for people who's"
61380,65940," watching on youtube i'm going to actually put it here in the description right so we've been developing"
65940,70200," this framework for quite some time all right the things that we developed are rather interesting"
70200,76340," right so i think we did a little bit of a circuitry all right we implemented an adder which is quite"
76340,82980," cool i'm really proud of this adder uh it actually learned super fast um right we also did image"
82980,91980," interpolation right uh a thing that is rarely done uh so usually uh people i think only recently like a"
91980,99200," real paper about using latent space of neural networks for storing images was released at some point uh i don't"
99200,105120," really remember but somebody in the in the disco chat actually uh posted uh you know a link to to a"
105120,111480," paper that explored the same idea that we explored on the stream and they claimed that nobody has ever"
111480,117540," done that before something like that it was actually quite funny i think uh but i mean i think they claimed"
117540,123180," nobody made a scientific paper on that before right so they didn't say that nobody done that before but"
123180,128920," they said nobody published a scientific paper so the thing is uh using the latent space of neural network"
128920,135120," to store images is actually such an obvious idea that i don't think anybody thought that it's worth"
135120,143060," even like making a scientific paper about that's why i think there was no uh any papers like serious papers"
143060,149140," on all of that but yeah it's actually a pretty straightforward idea right so and it's so obvious and"
149140,155780," straightforward that even such a dummy as myself uh came up with that idea right so that's probably why"
155780,160960," nobody posted that nobody posted a paper about this kind of stuff so we did these kind of things"
160960,169480," but we didn't do the classics the old-time classics of neural networks which is an image classifier"
169480,176220," we never actually implemented an image classifier the reason why i never implemented image classifier"
176220,183820," because it's kind of like uh you know how to say that like everyone does that like everyone who"
183820,187740," learns neural network the first thing they're gonna do they're gonna just grab this database"
187740,192220," and just implement the image classifier it's just like it's boring so that's why i kind of"
192220,198220," postpone all that but i think the time has come to finally do that so uh we're not going to be doing"
198220,203420," a nice database what we're going to do we're going to try to um generate the data on which we're going"
203420,209660," to be training neural network ourselves right so that way we don't have to worry about like clean data"
209660,216300," or anything like that and that will actually allow us to test uh different aspects of neural networks"
216300,223180," learning how to classify uh images right so we're going to have a lot of control over our database and"
223180,229020," we'll be able to maybe change some features and see how that changes the behavior of the learning process i think"
229020,235100," that's going to be useful so the idea what i uh that i wanted to implement today it comes actually from"
235100,241260," one of the previous stream uh right so perceptron i think i think that's what it's called but the idea was"
241820,251500," to implement the first ever perceptron perceptron yeah there we go so i wonder if there is a link to the"
251500,259260," word for the yeah there is a link to the word right so and the idea is actually super simple uh right so"
259260,267580," you sort of like i have a screen that perceives an image right and as far as i know each individual"
267580,273260," cell in here is sort of a weight and essentially you just sum up all of the things and if it"
273260,280700," comes out as like zero you basically um assume that it's a circle if one is a rectangle but i don't"
280700,285100," remember the specific i don't remember how you classify it because it was some time ago right but"
285100,291660," essentially it was not like a really classical neural network and the learning the training process was"
291660,296140," actually kind of dumb and it didn't yield very interesting result but what i liked about it is"
296140,302620," that um you can generate the data yourself right you can generate the data yourself you can just generate"
302620,308300," a bunch of rectangles you can generate a bunch of circles and just train a neural network on that"
308300,313980," right so you can train neural network on that so uh you can find this thing in here there will be"
313980,320780," some links to uh like the link to the video in here so i really recommend to watch it uh i think it i think"
320780,324700," it turned out quite kind of interesting so i'm going to pull also put this thing in the description"
324700,333980," right so uh let's go ahead and uh just start implementing the demo right let's actually start"
333980,340940," implementing the demo so i'm going to create something like shape.c uh and uh let's actually include"
340940,348060," this kind of thing all right so this is going to be that sprint f hello world"
348060,358220," and let's add this entire stuff to the build process right so we're not going to build"
358220,365420," everything we're only going to build the shape right let's only build the shape there we go"
369580,374460," so let's take a look at how much time it was actually almost instant why is it so fast"
374460,381500," this is probably because we don't include stb libraries right because if you just include"
381500,388140," something like stb image right which we probably will need right to just like debug whatever we"
388140,394220," generated uh it actually takes uh enormous amount of time though this is probably because we didn't"
394220,401420," include the implementation right so we do is to the image uh right implementation right implementation i"
401420,409500," think it will yeah now now we're talking now we're talking so i can even time this entire thing look at"
409500,414380," that look at that it took two and a half of a second but if we don't include the implementation of"
414380,420620," this library is just like 100 milliseconds 150 milliseconds right so that's the difference"
420620,426380," between including the dependency and not including the dependencies right so third-party dependencies are"
426380,428380," free literally free"
430620,439180," they do not impact your workflow as a developer at all completely they're free you can just stack them"
439180,449500," as much as you want uh so right so uh essentially what we're gonna do we're gonna classify small images"
449500,455660," right i want to actually work on images 28 by 28 uh because that's the size of the image used by mist"
455660,461420," database right so i kind of want to um you know accommodate to the size of these images right because"
461420,466300," we're probably going to use this database in the future episodes all right so we're probably going"
466300,473260," to implement uh you know digit classifier at some point right so and uh let's just go ahead and define"
473260,477500," a couple of constants in here right so the width is going to be 28 and height is going to be"
478140,483420," uh 20 28 maybe i'm going to say that height is going to be the same as width which will make it a"
483420,489580," little bit easier for me to just change the uh you know the resolution or to make it smaller or make"
489580,494700," it bigger or something like that but preserve the squareness of this entire thing right so but we're"
494700,501500," going to use 28 for now we're going to use 28 so for generated images i think it would make sense to"
501500,505900," use olivettes so what do you guys think right so the library that we developed quite some time ago"
507100,513020," right so it's kind of interesting how from time to time i have crossovers with like small libraries"
513020,518540," that implement sometimes i implement them anything like like they're useless but then it's just like"
518540,522940," it occurs to me oh i could just like use this library i developed like a year ago for for this"
522940,533660," specific case so uh you can find it in here it's all coming together right just like billy harrington it's"
533660,544300," fucking coming together right so here it is and do i have a downloaded i didn't think i have a"
544300,549420," downloaded i have a folder with that but yeah i don't have a download so let's actually take it row"
549420,561340," uh where is it where is the row there it is um okay so let me just like download it like that"
561340,570620," even though github implemented the download button i don't really use it because i still have reflexes"
570620,577820," to just click on a row right click on a row and download with wget and the reason why i like this"
577820,582300," workflow a little bit better is because i can control where exactly i can download things"
582300,587740," right because if i click download it will always download in the download folder and it's just like"
587740,594380," and i kind of feel a little bit better if i can just like say download it there or download it there"
594380,599820," and i kind of got used to this workflow so this button doesn't really do anything for me unfortunately"
599820,605020," even though uh it's kind of cool that they finally came around to implement that button"
605020,611180," so it's it's very cool that such a huge corporation is still capable of implementing download buttons"
611180,620140," it's it's fucking amazing uh anyways so here's the olivets uh and uh let's just include the olivets i"
620140,628540," suppose what else can you do with the library you can only include it olivets and let's define it's"
628540,636220," also stb style uh that means you have to do implementation all right and so what i want to do in here"
636220,641020," right so i probably want to allocate some region into which i'm going to be generating"
641020,647820," anything right so we're going to be having a temporary region for machine learning anyway"
647820,654460," right so because we recently implemented in an end dot h a temporary allocator actually arena allocator"
654460,660620," so now the library is allowed to do a lot of intermediate allocations and all of them should"
660620,666700," happen within arena allocator so that then later you can actually deallocate everything at once it just"
666700,670860," makes it everything a little bit easier and a little bit more natural right we don't have a"
670860,677580," garbage collector but we sort of like simulate garbage collector with arena allocators and it works"
677580,683580," relatively well i think since we're going to be having this arena allocator for temporary things anyway"
683580,688060," we might as well uh allocate it right away right so let's actually do something like"
688060,691660," region let's first allocate the allocator"
692220,698060," so how much member do we want to allocate so i think 256 megabytes is going to be uh enough for"
698060,705820," everyone right 256 megabyte ought to be enough for everyone and let's allocate some stuff in there"
705820,710940," right so maybe i'm going to do olivets canvas all right so this is the canvas i'm going to zero"
710940,716460," initialize this entire thing and let's just allocate some pixels right so let's allocate some pixels this is"
716460,722940," going to be region alloc and within the temporary allocator i'm going to allocate width by width by"
722940,729740," height pixels and i need to know the size of the pixel so size of the pixel is actually oc pixels right there"
729740,734860," we go so then i need to set the width and height of this canvas all right so this is going to be width"
735740,742540," this is going to be height and you also need to specify the stride right stride is how many pixels"
742540,748780," you need to skip to get to the next row right so that's that's how basically it works so essentially"
748780,754620," it allows you to take sub images if you want to right we're not going to use sub images but i mean"
754620,759100," the library requires you to have a stride anyway otherwise it won't be able to get to the next row"
759820,766300," uh so the next thing we want to do we probably want to clean up uh the canvas uh olivets fill"
766300,771420," i'm going to just fill it up with black color i think so this is basically black color"
771420,779180," and i think i think i've got one zero and let's draw a circle right let's draw a circle like a single"
779180,785180," circle in here so this is going to be a circle uh oc we're going to draw it at the center right width"
785180,791180," divided by two height divided by two and we have to specify the radius so let's say that the radius"
791180,796940," is going to be maybe a third of the width and then we can specify the color right so you can't see"
796940,803100," really shite in this mist so let me put something behind me behind the screen super quick so i cannot"
803100,809020," see shed the same shed you can see so then i intuitively try to adjust everything right so"
809020,815660," we're going to be using like i think white color i want to use strictly black and white colors because"
815660,822060," it will then it will make it easier to translate them to zero and one for neural networks right so"
822060,826300," because we're going to be taking the entire image we're going to be feeding it into the neural network"
826300,831100," uh right so and essentially the way we're going to approach that right so we're going to approach that"
831100,838300," in a very straightforward way so just a quick footnote yes i am aware of convolutional neural"
838300,843500," networks yes we're going to implement them at some point yes this is going to be a separate stream"
843500,848060," probably several streams on one of the streams we're first going to familiarize ourselves with"
848060,853580," convolutions in general and then we'll see how to use them in neural network don't tell me about"
853580,860220," convolutional neural network please i know about them right we're trying to learn things we're trying to"
860220,868460," discover things ourselves again so uh as i already say it's pointless to run fast if you don't know"
868460,874380," the direction i know that you need to use convolutional neural networks because because they perform better"
874380,882940," right but there's no point at running fast if you don't know the direction yes i know thank you thank"
882940,890140," you very much uh anyways so imagine that you have uh an image right so imagine that you have an"
890140,895980," image so when it consists of like several pixels and stuff like that right so let's imagine that this is"
895980,901820," pixels and they sort of can see continue downwards because i'm too lazy to render all of the pixels that"
901820,906780," imagine that the pixels like continue there so and essentially we're going to have a fully connected"
906780,912220," neural network not a convolutional one i know about convolutional neural networks i know that they perform"
912220,918300," better i and we're using fully connected because we're trying to learn and discover things okay thank you very much"
918860,929900," uh uh so uh and essentially we can take all the pixels and we can straighten them up and we're going"
929900,936940," to be basically feeding them into uh each neuron of the input layer like so right and then we're going to"
936940,943900," have a probably a bunch of um hidden layers right so we're going to have a bunch of hidden layers that also"
943900,951180," interconnect here and then on the output we're probably going to have a vector of uh two things"
951180,957500," right so uh since we're going to be actually trying to distinguish between circles and rectangles right"
957500,963900," so the first neuron is going to um correspond to circle right so this is going to be circle and the"
963900,967740," second one is going to correspond to rectangle so this is probably how we're going to uh approach this"
967740,972460," entire thing so first we need to generate the image and then we're going to be feeding that image into"
972460,977100," like the first uh you know the input layer but we're going to be straight in this entire thing up"
977100,983260," all right so okay so we just generated the circle and it would be nice to kind of see"
983260,989340," what kind of image we generated so let's actually say but we already included stb image right so let's go"
989340,996380," ahead and do that uh so how do you even use stb image right i don't quite remember so i think it's yeah i think"
996380,1003020," it's something like this uh huh so we have to provide the file path so let's define this variable"
1003020,1014060," file path in the output p and g p and g file path width is actually width height is that the amount of"
1014060,1020300," components we have four amount of components we assume rgba 32 right so let's actually put four in here"
1020300,1027100," so this is supposed to be pixels and this is stride right and we do know stride but we actually store"
1027100,1032700," the library stores stride in pixels but we need it in bytes which means that we need to multiply this"
1032700,1039020," entire thing by the size of the pixel right so on this thing if i remember correctly returns true on"
1039020,1044300," success and false on failure right if this thing has failed we probably want to just do something like"
1044300,1054460," like std error error could not uh generate s and that s is going to be the file path and then we're going"
1054460,1060220," to just exit with non-zero exit code to indicate uh to the parent program that something bad has happened"
1060220,1067820," otherwise we are going to print something like generated output uh s right so because uh output png is"
1067820,1074540," this thing okay so that is very cool let's go ahead and just print this in that thing so what do we have"
1074540,1080380," in here we just put some garbage in here nothing particular special uh region uh allocator right so"
1080380,1086860," region comes from the neural network uh framework right so we have to include nn.h and then we have to"
1086860,1094940," define and then implementation there we go uh is it going to build it is building actually so which is kind of"
1094940,1102780," cool and let's try to run shape and it generated output png right let's take a look at this thing"
1102780,1108860," let's take a look at this thing uh here's the circle right isn't it cool i think it's pretty freaking"
1108860,1115580," cool so this is the circle that we generated it even has anti-aliasing uh right so as you can see it's a"
1115580,1124140," very smooth circle but it's 28 by 28 so we can do this kind of stuff uh we can probably even open it in"
1124140,1131340," fair so we can refresh as we generate more circles and stuff like that so this is gonna be black uh keep"
1131340,1140300," zoom vp and uh let's go so i'm gonna just zoom in and that's what we have in here it's kind of difficult"
1140300,1148460," to see the background but i wonder if i can say that the background uh has to be gray is that something i can"
1148460,1156700," say can you do gray that's good look that fair is actually useful program right so i don't want it to"
1156700,1163020," be super super bright right because i don't want to flash bang you um but something like a little bit"
1163020,1167900," darker even that gray is a little bit bright in my opinion it's a little bit too bright is there something"
1167900,1174540," like a dark gray if you know what i'm talking about like a dark gray no there is no such thing as dark"
1174540,1182060," gray it literally looks like a gray it's dark underscore gray right are you debating me or you literally"
1182060,1187980," know know that oh you literally you don't know that because it's literally black so"
1190060,1195340," so somebody said dark gray but they're literally confabulating things like chat gpt so people"
1195340,1201900," sometimes ask uh like why should gpt lying and hallucinating but i mean it's it's mimicking"
1201900,1208620," people like people do that all the time it's just like yeah they're trying to solve the problem and"
1208620,1213820," they start hallucinating random like just trying to solve the problem it's just like you don't know"
1213820,1218140," whether it's on the score or not like you just hallucinated that and that's basically what church"
1218140,1227020," gpt doing as well right so just get yeah let's use a more like appropriate word guessed it we didn't"
