start,end,text
320,5600," Hello everyone and welcome to yet another recreational programming session. How about"
5600,11760," that? So today we continue working on Musualizer, which is a music visualizer that we started to work"
11760,18880," on several sessions ago. Right, so essentially you supply the music file through the command line"
18880,24640," argument, you start the application and it starts playing the music and visualizing the frequencies"
24640,29520," in this sort of like a classical equalizer fashion. Right, it's pretty boring right now,"
29520,34400," but we're going to make it interesting in the future. Right, so what I want you to work on"
34400,40320," today, I want you to improve the UX of this application a little bit. Right, I think supplying"
40320,46320," the music file through command line argument is not particularly helpful. Something better would have"
46320,51920," been probably drag and drop. Right, so I think I already mentioned that I want to be able to drag"
51920,61280," and drop the music to the window. Right, so through you know Windows Explorer style file manager. Right,"
61280,67360," so something like this and it would automatically pick that file up and you know and play it. That"
67360,74160," would have been actually super useful. And to be fair, personally when I'm working on my thumbnails for my"
74160,83280," YouTube videos, I work on them in Inkscape. Right, I usually draw them in Inkscape, sometimes I do post-processing in Krita,"
83280,91600," right, but primarily in Inkscape. I find it useful to actually have a file manager open with all of my assets"
91600,97840," and just drag and drop them into Inkscape and just like compose a thumbnail out of that. So for this specific"
97840,108000," for this specific sort of goal I think drag and drop is more superior than like clicking file expert and"
108000,115600," just finding the file there. And yeah, so this is primary reason why even though I have this very simplistic"
115600,124400," setup with i3 and on the console and Emacs I still do have this Windows Explorer style file manager. I"
124400,132960," still find it very useful. So and what's cool is that the RayDeep, the library that we use for you know"
132960,140000," graphical stuff in this application does support drag and drop. It's actually pretty cool like I didn't know"
140000,145360," whether it supports it or not. I was actually prepared to you know implement it myself on a"
145360,150320," level of x11 or something like that but apparently it does work with drag and drop so we can just like"
150320,156160," use that and have it in our application. So let's actually google up how you do that. So"
156160,162400," there were some examples I think there were some like straight up examples in the source code so maybe"
162400,171520," we can find something there. Drop I don't quite remember so let's actually find a file with the name"
171520,179200," that contains drop and see if we can find anything. There we go. So core drop files. So let's actually"
179200,185840," open this entire file and let's go to the entry point. And how do you do that? So here's the main"
185840,193680," game loop and there's a function that checks whether a file was dropped. So yeah essentially the main game"
193680,203360," loop can be notified whether a new file just dropped right and if a new file just dropped you can get the"
203360,209600," list of dropped files you can iterate through the list of dropped files do something with them and"
209600,214880," apparently you have to unload the drop files. I suppose this particular function allocates some memory"
214880,223200," but but that is fine. But and that's it that's the whole API. So is file dropped just load drop files"
223200,228880," and just unload drop files. So that sounds pretty cool. So that means you can actually drop several"
228880,235040," files and I'm not sure how we're going to handle several files. I think I think we're going to handle"
235040,241280," only one first file. So let's actually go ahead and try to implement it. I wonder if we can implement that"
242240,248240," within like a single session without restarting the application because in the previous streams we"
248240,253680," implemented the hot reloading right. So which allows you to change the code of the application without"
253680,259280," restarting it. So let me actually demonstrate you because it's a very cool feature. I'm super proud of"
259280,266000," that feature. Oh my god. So I'm going to do OGG. There we go. So here is the application. You can do"
266000,271600," different things in that. So let's go to did I actually run it correctly? I think I run it. Yeah,"
271600,277600," I run it in compilation what I have to do that in a different mode otherwise I won't be able to hot"
277600,282880," reload anything. So let's actually do something like this. There we go. The application has started. So"
282880,289280," let's go to the source code where we do the rendering and at any point I can like right in the C code no"
289280,297120," configuration files or anything like that the C code. I modify the the color of the bars and I am going to"
297120,302800," recompile the entire thing right and then I'm going to reload and as you can see it is red now is in that"
302800,308560," poggers minor foreign. I think it is freaking poggers and then at any point I can even change the"
308560,315920," visualization from rectangles to circles and all of that within a single session of the application and I"
315920,325120," wonder if I can add support for the you know for the uh for the file drops for the drag and drop uh right"
325120,330480," without restarting the application that would have been poggers in my opinion. So let's go ahead and do"
330480,336880," that. So the application is running the application is working the application is working so let me do this"
336880,344880," kind of thing. And uh let's go. So essentially you can think about plug update as the single iteration of"
344880,350160," event loop. So that means somewhere here after we handled the keys we need to check whether a particular"
350160,359440," file was dropped. Uh is file dropped. There we go. And uh I don't really know what exactly we're going to do in here."
359440,371440," So maybe um um do you are you even obligated to call uh load drop files after the file was dropped. So"
371440,379120," the question is is the file dropped will still true still be true until you load the drop files and then"
379120,384000," unload them. So does it retain between the frames or something like that because one of the things I want"
384000,389280," to try to do I just want to try to print whatever the files were dropped. We can actually"
389280,396320," do that by calling load drop files. Right so uh here it is. It would have been kind of interesting to"
396320,403120," take a look at the definition of uh file path list. So let me actually see. So it's going to be ready."
403120,410000," So we're okay. So this looks like a classical dynamic array. Right so the one that I usually"
410000,416480," like define for myself. Uh it has the elements, it has the count, how many entries there is, and the"
416480,422320," capacity how many entries we already allocated. Right so it's a it's a classical dynamic array. I appreciate"
422320,428080," that. Uh all right so we can go ahead and just iterate through all these things. Uh I didn't want"
428080,435760," to clone the uh the line. So count plus plus i and what we can do here we can just print uh something like"
435760,445280," this. We can even say uh new files just dropped. New files just dropped. And let's just like print those"
445280,454240," files. Let's indent uh with a couple of spaces. We're going to put s in here and dropped files uh paths i and"
454240,461120," after that we have to unload uh vr stereo config node. Emacs. Like unload the dropped files please."
461120,467360," Uh and this is a dropped files and there we go. So can I now rebuild the entire thing?"
467360,473440," And uh there we go. So I want to take a look at the log of the application. Right because this is where"
473440,479680," we're going to be able to see all of that. I'm going to start the uh why do I have W in here?"
480240,489360," So uh let me maybe put this stuff in here. So now if i drag and drop gebaited it says new files just"
489360,494960," dropped uh and the path to the gebaited. So we already have that. That's actually pretty cool."
494960,501680," So what if i select like several of them uh like three of them. So it says new files just dropped and"
501680,506720," here are all of the files. So we can actually detect all that and by the way all of that without restarting"
506720,512880," the application. This is not a dynamic language. This is not a toy scripting dynamic language like"
512880,519200," python law or javascript. This is you know real programming language called c with a static typing"
519200,525120," compiled and everything. We can still hot reload this kind of stuff. Uh right so that's actually pretty"
525120,533120," cool. Anyways anyways. So and what we need to do in here when we load the file when we drop the file we"
533120,541360," need to i suppose substitute the currently playing music right. So we already have some like plug music"
541360,549440," in here and uh let's just go ahead and like stop it unload it and load a new one. I think that actually"
549440,561920," would uh work i think fine excuse me. So uh let me put it like this. So we are supplied several files um"
561920,569440," but how can we handle several files uh right now i don't see a way to handle several files because the"
569440,574720," application is sort of designed to work with a single file. So maybe the way we're going to handle that is"
574720,583040," basically we're going to check that uh there was like at least one file right. There was at least one file"
583040,591040," and we're only gonna use the first file right. So we're going to only load uh dropped files uh path zero"
591040,598880," right. So this is going to be a sort of like um const char file path. There we go."
599760,605680," So that's pretty cool. Uh one of the things we need to do we need to probably stop the musics the music"
605680,612400," that is currently playing. So let me actually go ahead and uh just open the RayLib header right. So"
612400,622000," stop music stream okay. So that's what we want to do. Plug music. We stopped it. After that i suppose we"
622000,628240," need to unload it right. We need to unload it because we don't really need it in the memory anymore"
628240,633040," uh because we're about to replace it with something else. We're about to replace it with something else."
633040,640880," So and after that we need to try to load the new music. Load music. Where was the where was the function?"
640880,647760," Load music stream. All right. So and we're going to supply the file path"
649280,656480," and we're going to assign it to plug music. Plug music. There we go."
656480,664640," Uh and that should be it. So it should kind of replicate whatever we have when we are initializing"
664640,670160," the plugin I suppose right. So because there's a plugin in it and here oh okay. So this one is"
670160,677280," interesting uh right. We after loading the music we're printing its uh characteristics its stats"
677280,685920," sort of speak like uh any music like any character in rpg it has the stats uh right. A sample rate sample"
685920,693200," size amount of channels and so on and so forth right. So and depending on the stats depending on the"
693200,700480," characteristic you may want to handle uh the music differently. So right now we had coded uh that we"
700480,708160," can only work with the music with two channels um right. And the reason is because in a callback"
708160,717200," that handles the incoming samples uh we assume um two channels. We literally assume two channels. So when"
717200,727120," the uh library gives us the the sound in the form of a sequence of floats right. So uh so there is a sequence of"
727120,734480," floats. And each float is four bytes right. So and uh the buffer data points at the beginning of this sort"
734480,741680," of array. And in that array we have this continuous sequence of 32-bit floats. And that's what they are."
741680,746880," So two channels means that the first float represents the sample from the left channel."
746880,749760," The second one represents the sample from the right channel."
749760,758240," And then a left right. Left right and so on and so forth right. So and this is why we have this sort"
758240,764880," of like a structure called frame uh which consists of two floats right. And essentially having this"
764880,770160," structure makes it super easy to just cast this pointer to the pointer to these frames and skip and"
770160,776560," like think about these things as pairs of left and right. And just what we do here we just pick the left"
776560,784000," one uh since both of the channels are equal to each other in our specific case with the music that we're"
784000,787840," usually testing this thing with. It doesn't really matter right. We can just pick the left one."
787840,795360," So but the thing is we need to be able to work with uh music with like arbitrary amount of channels uh"
795360,799840," right. And maybe this is something that we need to handle right. So maybe this is something we need to handle."
799840,813120," Maybe essentially we want to get rid of the of the frames right. And maybe we want to think about uh"
813120,824080," this entire stuff as you know pointer to a fixed array right. So pointed to a fixed array essentially"
824080,830960," we can think of it uh as a pointer that contains continuous array of pairs of floats"
830960,837360," right pairs of floats. It's kind of difficult to see with a square brackets because i already use"
837360,841920," square brackets. Let me actually use like something like this uh right."
845520,852640," and uh essentially depending on the amount of channels the size of sort of these sequences of arrays"
852640,857440," is going to be different. In case of the two channels we're going to have two of these things."
857440,865040," In case of the single channel uh we're going to have only uh one thing in here. And basically that's the idea."
865600,876720," So we can essentially say all right. So fs is going to be a pointer to uh an array pointer to an array of two."
876720,887760," But that shadow is not correct. Right. So we want to define in here is a pointer to an array of size two."
889040,896560," But if you define it like that you get array of size two of pointers. You get this thing"
896560,903840," inside out. It's not a pointer to an array of two. It's an array of two of pointers to floats."
903840,912000," So this is like a classical frequency. For this kind of situation and see by the way there is a website."
912000,916880," There is a very cool website called cdecal. Uh right. If you never heard about this website."
916880,924000," Put it into your bookmarks. Really. It's it's a like a lifesaver. So yeah. It literally says see gibberish to English."
924000,932080," Right. It's actually very good. So yeah. For example like what do we have here?"
