start,end,text
0,29980," Thank you."
30000,59980," Thank you."
60000,89980," Thank you."
90000,119980," Thank you."
120000,149980," Thank you."
150000,179980," Thank you."
180000,209980," Thank you."
210000,239980," Thank you."
240000,269980," Thank you."
270000,299980," Thank you."
300000,329980," Thank you."
330000,359980," Thank you."
360000,389980," Thank you."
390000,419980," Thank you."
420000,449980," Thank you."
450000,479980," Thank you."
480000,509980," Thank you."
510000,539980," Thank you."
540000,569980," Thank you."
570000,599980," Thank you."
600000,629980," Thank you."
630020,659980," Thank you."
659980,689960," Thank you."
689980,719960," Thank you."
719960,749940," Thank you."
749960,755660," You pick up the one who's the most successful, the one who's the most fitest, and you slice"
755660,762440," your chromosomes in half and you cross over them and you cross over them and those you create"
762440,763160," a new generation."
763160,770320," On top of that, you also want to apply random mutations on the characters of the chromosome."
770320,779940," Characters are called genes, by the way."
779940,784900," stochastic events like stochastic mutations help you sometimes to get out of the local optimum and"
784900,792260," maybe find a better solution. So essentially you are emulating a natural selection. Right, so and"
792260,799080," what is our idea for this project? So we wanted to write a simple game where some sort of agents"
799080,805420," are trying to survive in an environment fighting for food and with each other. So the behavior of"
805420,811200," a single agent is described with a Turing machine style state machine that we call a chromosome."
811200,820420," So essentially we have a string of rows where we have the current state of the agent, what the agent"
820420,825380," sees right now, what's going to be the action that is going to happen in that particular state when the"
825380,830340," agent sees something and what state it has to switch to afterwards. So we have like a string of these"
830340,836020," sort of chromosomes that describe a behavior of the agent and the idea was to use genetic algorithm"
836020,842420," to fight an optimal behavior that survives the longest. Right, so we also have different kinds of"
842420,850740," entities, right, we have first of all agents, we have food and we have walls, right, food is meant to be"
850740,858100," eaten by the agents to actually let them survive longer, wall is an impenetrable obstacle and all of"
858100,865780," that is happening actually in a rectangular grid. This is, by the way, a screenshot of the game. Like I"
865780,871220," just generated as many entities as possible in like a very small space and it turned out to be a pretty"
871220,877140," good logo for the project, don't you think? So I really like how it looks like, so I decided to use"
877140,886660," this as a logo. So yeah, and also agents have different actions that they can perform in the"
886660,892820," environment, they can basically stay, do nothing, they can step forward, they can turn left, turn right, so"
892820,900820," they have four directions they can look at. They can attack, they can eat, and that's pretty much"
900820,906180," an intentional ram, by the way. So and all of that I wanted to document at some point, so I just put like"
906180,909780," some sort of like placeholders here, but in the future we're going to have all of that documented."
910500,919220," So yeah, so we already implemented the game simulation, right? So we have a game simulation and"
919220,928660," visualization. So the only thing we need to implement is the genetic algorithm itself. So you, I really"
928660,935300," recommend to check out this repo, so I'm trying to document as much as possible. So yeah, let's actually"
935300,940420," fetch all these changes, because I think I did a little bit of documentation of the screen, because"
940420,945460," it's not that interesting, and the things that I documented, I explained on the stream anyway. So"
945460,957220," merge origin master. All right, so hope everything I said makes sense. So by the way, we're using C, so"
957220,965140," pure C. Everything is written in pure C, the only dependencies we use is SDL and SDL GFX, just for graphics,"
965140,970580," and pretty much nothing else. Well, except maybe libc, because I mean, you need to use libc to interact"
970580,974740," with the operating system. How are we going to interact with the operating system using syscalls?"
974740,984740," It's not portable, okay? It's not portable. So this is how all of that looks like. So yeah, red triangles are"
984740,993620," the agents, green circles are the foot, and we're supposed to have walls somewhere. So here's the wall. It's an impenetrable wall."
994740,1001380," So yeah, by pressing space, you can actually step like a single simulation. As you can see, some of them made some steps,"
1001380,1007940," some of them moving, some of them doing some things, but majority of them are staying, and this is because"
1007940,1013460," their chromosomes are pepega. So after some time, they're all going to die, by the way, because they're going to"
1013460,1019300," run out of hunger. But look at that. Some of them survived. And the reason why some of them survived is"
1019300,1026660," because they managed to eat something. And this is basically the instances that we have to use for the"
1026660,1031940," further generations at some point, but we don't have that algorithm yet. But yeah, it's kind of funny. When"
1031940,1038580," you generate like a random genes, majority of the instances are going to be just pretty much useless."
1038580,1044100," So you're going to have like a few of them that you want to breed further. And what's funny is that"
1046500,1051300," we're just using like random chromosomes. We literally just use a rand function to generate"
1051300,1058500," a random chromosome. And they don't really perform really well. And I think this is because our rules"
1058500,1068020," are too complicated. Our rules are too complicated. Because we have separate actions for eating and"
1068020,1074100," separate actions for attacking. And I think that kind of complicates the entire system. So I think what we"
1074100,1079140," need to do instead, we need to get rid of those actions. We need to get rid of these actions and"
1079140,1087140," basically make eating basically going forward towards the food and attacking going forward towards the agent."
1087140,1091540," Right. I think it should be a little bit more simple. So it's a little bit easier to generate"
1091540,1096260," actually working chromosomes. Right. So we have this kind of steps or this kind of actions, eat, attack."
1096260,1100500," And of course, if you're trying to eat an agent, it's not going to work because you have to attack"
1100500,1104900," it first. And as you can see, it's too complicated. I think if we could get rid of these two actions,"
1104900,1111540," I think it would be way easier to work with. And the random chromosomes would actually produce more"
1111540,1115700," interesting results. And this is going to be our first step. We already have some to-dos"
1116420,1120500," that I planned for today. And one of them is actually simplifying the rules and getting"
1120500,1125540," rid of some of the actions that are kind of redundant, if you think about it. So let's"
