start,end,text
0,29980," Thank you."
30000,59980," Thank you."
60000,89980," Thank you."
90000,119980," Thank you."
120000,149980," Thank you."
150000,179980," Thank you."
180000,209980," Thank you."
210000,239980," Thank you."
240000,269980," Thank you."
270000,299980," Thank you."
300000,329980," Thank you."
330000,359980," Thank you."
360000,389980," Thank you."
390000,419980," Thank you."
420000,449980," Thank you."
450000,479980," Thank you."
480000,509980," Thank you."
510000,539980," Thank you."
540000,569980," Thank you."
570000,599980," Thank you."
600000,629980," Thank you."
629980,659960," Thank you."
659960,689940," Thank you."
689940,719920," Thank you."
719920,749900," Thank you."
749920,779900," Thank you."
779920,809900," Thank you."
809900,839880," Thank you."
839880,869860," Thank you."
869880,899860," Thank you."
899880,929860," Thank you."
929880,959860," Thank you."
959880,989860," Thank you."
989860,1019840," Right, right."
1019860,1049840," Thank you."
1049860,1079840," Thank you."
1079860,1109840," Thank you."
1109860,1139840," And you're in the"
1139860,1169840," there."
1169860,1199840," Thank you."
1199860,1229840," Thank you."
1229860,1259840," Thank you."
1259860,1289840," Thank you."
1289860,1319840," Thank you."
1319860,1349840," Thank you."
1349860,1379840," Thank you."
1379840,1409820," Thank you."
1409840,1439820," Thank you."
1439840,1469820," Thank you."
1469840,1499820," Thank you."
1499840,1529820," Thank you."
1529840,1559820," It's interesting."
1559820,1589800," Thank you."
1589800,1619780," Thank you."
1619780,1649760," Thank you."
1649760,1679740," Thank you."
1679740,1709720," Thank you."
1709720,1739700," Thank you."
1739700,1769680," Thank you."
1769680,1799660," Thank you."
1799660,1829640," Thank you."
1829640,1859620," Thank you."
1859620,1889600," Thank you."
1889600,1919580," Thank you."
1919580,1949560," Thank you."
1949580,1979560," Thank you."
1979580,2009560," Thank you."
2009580,2039560," Thank you."
2039580,2069560," Thank you."
2069580,2099560," Thank you."
2099560,2129540," Thank you."
2129560,2159540," Thank you."
2159560,2189540," Thank you."
2189560,2219540," Thank you."
2219540,2249520," Thank you."
2249520,2279500," Thank you."
2279520,2309500," Thank you."
2309520,2339500," Thank you."
2339520,2369500," thank you."
2369520,2399500," Thank you."
2399500,2429480," Thank you."
2429480,2459460," Thank you."
2459460,2489440," Thank you."
2489460,2519440," Thank you."
2519440,2549420," Thank you."
2549420,2579400," Thank you."
2579400,2609380," Thank you."
2609380,2639360," Thank you."
2639360,2669340," Thank you."
2669360,2699340," Thank you."
2699340,2729320," Thank you."
2729340,2759320," Thank you."
2759320,2789300," Thank you."
2789300,2819280," Thank you."
2819280,2849260," Thank you."
2849260,2879240," Thank you."
2879240,2909220," Thank you."
2909220,2939200," Thank you."
2939200,2969180," Thank you."
2969180,2999160," Thank you."
2999180,3029160," Thank you."
3029160,3059140," Thank you."
3059140,3089120," Thank you."
3089140,3119120," Thank you."
3119120,3149100," Thank you."
3149100,3179080," Thank you."
3179080,3209060," Thank you."
3209080,3239060," Thank you."
3239080,3269060," Thank you."
3269080,3299060," Thank you."
3299060,3329040," Thank you."
3329060,3359040," Thank you."
3359040,3389020," Thank you."
3389020,3419000," Thank you."
3419000,3448980," Thank you."
3448980,3478960," Thank you."
3478960,3508940," Thank you."
3508940,3538920," Thank you."
3538920,3568900," Thank you."
3568900,3598880," Thank you."
3598880,3628860," Thank you."
3628860,3658840," Thank you."
3658840,3688820," Thank you."
3688820,3718800," Thank you."
3718800,3748780," Thank you."
3748780,3778760," Thank you."
3778760,3808740," Thank you."
3808760,3838740," Thank you."
3838740,3868720," Thank you."
3868720,3898700," Thank you."
3898700,3928680," Thank you."
3928680,3958660," Thank you."
3958660,3988640," Thank you."
3988640,4018620," Thank you."
4018620,4048600," Thank you."
4048600,4078580," Thank you."
4078580,4108560," Thank you."
4108560,4138540," Thank you."
4138540,4168520," Thank you."
4168520,4198500," Thank you."
4198500,4228480," Thank you."
4228480,4258460," Thank you."
4258460,4288440," Thank you."
4288460,4318440," Thank you."
4318460,4348440," Thank you."
4348440,4378420," Thank you."
4378440,4408420," Thank you."
4408420,4438400," Thank you."
4438400,4468380," Thank you."
4468380,4498360," Thank you."
4498360,4528340," Thank you."
4528340,4558320," Thank you."
4558320,4588300," Thank you."
4588300,4618280," Thank you."
4618280,4648260," Thank you."
4648260,4678240," Thank you."
4678240,4708220," Thank you."
4708220,4738200," Thank you."
4738200,4768180," Thank you."
4768180,4798160," Thank you."
4798160,4828140," Thank you."
4828140,4858120," Thank you."
4858120,4888100," Thank you."
4888100,4918080," Thank you."
4918080,4948060," Thank you."
4948060,4978040," Thank you."
4978060,5008040," Thank you."
5008060,5038040," Thank you."
5038040,5068020," Thank you."
5068020,5098000," Thank you."
5098000,5127980," Thank you."
5127980,5157960," Thank you."
5157960,5187940," Thank you."
5187940,5217920," Thank you."
5217920,5247900," Thank you."
5247900,5277880," Thank you."
5277880,5307860," Thank you."
5307860,5337840," Thank you."
5337840,5367820," Thank you."
5367820,5397800," Thank you."
